Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.13,1.1,"Andreikin, Dmitry","Kramnik, Vladimir",1/2-1/2,2709,2787,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 d7d5 g1f3 d5c4 c3c4 b7b6 c1g5 c8a6 c4a4 d8d7 a4c2 c7c5 d4c5 f8c8 g5f6 g7f6 c2e4 d7b5 b2b4 b6c5 e2e3 b5b7 e4g4 g8f8 b4b5 a6b5 a1b1 a7a6 a3a4 f6f5 g4f4 b7e4 f4e4 f5e4 a4b5 e4f3 b5b6 c8d8 g2f3 b8c6 f3f4 c6b4 f1g2 a8b8 b6b7 b4d5 e1g1 d8d7 f1c1 d7b7 b1b7 b8b7 g2d5 e6d5
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.13,1.2,"Karjakin, Sergey","Svidler, Peter",1/2-1/2,2766,2758,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 d1d2 g8f6 f2f4 b7b5 e4e5 f6g4 e3g1 c8b7 e1c1 c6d4 g1d4 f8e7 f1d3 f7f5 h2h3 g4h6 h1g1 e8g8 d2e3 a8c8 c1b1 b7c6 c3e2 c6d5 g2g4 g7g6 b2b3 c7b7 d1f1 a6a5 e2g3 d5c4 d3e4 c4d5 e4d3 d5c4 d3e4 c4d5 e4d3
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.13,1.3,"Anand, Viswanathan","Aronian, Levon",1-0,2770,2830,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 h2h3 c8b7 d2d3 d7d5 e4d5 f6d5 b1d2 d8d7 f3e5 c6e5 e1e5 d5f6 e5e1 a8e8 d2f3 e7d6 c1e3 e8e7 d3d4 f8e8 c2c3 h7h6 f3e5 d6e5 d4e5 e7e5 d1d7 f6d7 e1d1 d7f6 c3c4 c7c6 a1c1 e5e7 a2a4 b5c4 b3c4 f6d5 e3c5 e7e4 f2f3 e4e5 g1f2 b7c8 c4f1 e5e6 d1d3 d5f4 d3b3 e8d8 c5e3 f4d5 e3d2 d5f6 d2a5 d8e8 b3b6 e6e5 a5c3 f6d5 c3e5 d5b6 e5d4 b6a4 c1c6 e8d8 c6c4 c8d7 b2b3 d7b5 c4b4 a4b2 f1b5 a6b5 f2e3 d8e8 e3d2 e8d8 d2c3
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.13,1.4,"Mamedyarov, Shakhriyar","Topalov, Veselin",1/2-1/2,2757,2785,D11,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2 g7g6 e2e3 f8g7 f1d3 c6c5 d4c5 b8a6 d2b3 d5c4 d3c4 d8d1 e1d1 f6e4 d1e2 a6c5 b3c5 e4c5 c4b5 c8d7 b5d7 e8d7 h1d1 d7e8 a1b1 a8c8 c1d2 c5e4 d2b4 f7f5 f3e1 a7a5 b4a5 c8a8 d1d5 b7b6 a5b4 a8a2 e1d3 e8f7 b1c1 h8a8 c1c2 e4f6 d3e5 f7e8 d5b5 a2a7 b4a3 a7a5 c2c7 a5b5 c7e7 e8d8 e5f7 d8c8 f7d6 c8d8 e7g7 b5d5 d6b7 d8c8 b7d6 c8d8 d6b7 d8c8
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.14,2.1,"Aronian, Levon","Mamedyarov, Shakhriyar",1-0,2830,2757,D38,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 c1g5 b8d7 c4d5 e6d5 f3d2 c7c6 e2e3 d7f8 f1d3 f8g6 e1g1 e8g8 f2f4 h7h6 g5f6 d8f6 f4f5 g6e7 d2e4 d5e4 c3e4 f6h4 g2g3 h4h3 e4f2 h3f1 g1f1 e7f5 d1f3 f5d6 e3e4 f7f6 d3c2 c8e6 f2d3 d6c4 f1g1 b4d6 d3f4 d6f4 g3f4 a8d8 f4f5 e6f7 f3c3 f8e8 c2d3 c4b6 a2a4 a7a6 a4a5 b6c8 e4e5 c8e7 e5e6 f7h5 d3e4 e7d5 c3h3 h5e2 g1f2 e2b5 a1g1 g8h7 h3a3 b5c4 g1g4 c4b5 g4g1 b5c4 g1c1 c4b5 e4f3 d5f4 c1d1 h7h8 d4d5 f4d5 f3h5
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.14,2.2,"Topalov, Veselin","Anand, Viswanathan",1/2-1/2,2785,2770,A09,g1f3 d7d5 c2c4 c7c6 e2e3 g8f6 b1c3 b8d7 d1c2 e7e5 c4d5 f6d5 d2d4 f8d6 d4e5 d7e5 f3e5 d6e5 c2e4 d8e7 c3d5 c6d5 f1b5 e8f8 e4d5 g7g6 c1d2 f8g7 d5e5 e7e5 d2c3 e5c3 b2c3 c8e6 e1e2 a8c8 h1c1 c8c5 a2a4 h8c8 a1a3 a7a6 b5d3 b7b5 a4b5 a6b5 c1b1 c5c3 a3c3 c8c3 b1b5 e6c4 d3c4 c3c4 e2f3 h7h5 h2h3 c4c2 b5b1 g7f6 b1e1 g6g5 e1a1 f6g6 a1a6 f7f6 a6a4 h5h4 g2g3 h4g3 f3g3 c2b2 e3e4 b2b1 f2f3 b1g1 g3f2 g1h1 f2g2 h1b1 a4a6 g6f7 a6a5 f7g6 a5a6 g6f7 a6a2 f7e6 g2g3 b1g1 a2g2 g1g2 g3g2 e6e5 g2f2 e5f4 f2g2 f4e5 g2g3 f6f5 e4f5 e5f5 h3h4 g5h4 g3h4 f5f4 h4h3 f4f3
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.14,2.3,"Svidler, Peter","Andreikin, Dmitry",1-0,2758,2709,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 c2c4 f8e7 b1c3 a7a6 b5a3 c8e6 f1e2 e7g5 a3c2 g5c1 a1c1 d8g5 e1g1 a8d8 b2b4 g8f6 d1d3 e8g8 f1d1 d8c8 c3d5 b7b5 d3g3 g5g3 d5f6 g7f6 h2g3 b5c4 f2f4 f6f5 e4f5 e6f5 c2e3 f5d3 e2d3 c4d3 e3f5 e5e4 f5d6 e4e3 d6c8 d3d2 c1c6 e3e2 c6c1 e2d1r c1d1 f8c8 d1d2 c8c3 d2d5
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.14,2.4,"Kramnik, Vladimir","Karjakin, Sergey",1-0,2787,2766,D20,d2d4 d7d5 c2c4 d5c4 e2e4 g8f6 e4e5 f6d5 f1c4 d5b6 c4d3 b8c6 c1e3 c6b4 d3e4 f7f5 a2a3 f5e4 a3b4 e7e6 b1c3 f8b4 d1h5 g7g6 h5g4 b4c3 b2c3 d8d5 g1e2 c8d7 e1g1 d5c4 e2g3 d7c6 a1a5 e8c8 a5c5 c4b3 c3c4 c8b8 g4e6 d8e8 e6h3 b6c4 c5c6 b7c6 g3e4 c4b6 e4c5 b3d5 f1c1 b8a8 c5a6 a8b7 a6b4 d5f7 h3g4 b6d5 b4c6 e8e6 c6a5 b7a8 g4e4 e6b6 g2g4 h7h5 c1c5 h8d8 a5c6 b6c6 c5c6 h5g4 c6f6 f7h7 e3g5 h7g8 f6g6
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.15,3.1,"Topalov, Veselin","Aronian, Levon",1/2-1/2,2785,2830,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 d2d4 d7d6 d4e5 d6e5 b1d2 e7c5 h2h3 c8b7 d1e2 c6d4 f3d4 c5d4 b3c4 a6a5 c4d3 f6d7 d2f3 d7c5 f3d4 e5d4 c1f4 f8e8 e2h5 d8e7 d3b5 c7c6 b5c4 b7a6 f4d6 e7d6 c4f7 g8f8 e4e5 d6d7 e5e6 c5e6 f7e8 a8e8 h5h7 d7d5 f2f4 d4d3 f4f5 d3d2 h7h8 f8f7 h8h5 f7f8 h5h8 f8f7 h8h5 f7f8 h5h8
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.15,3.2,"Andreikin, Dmitry","Karjakin, Sergey",1/2-1/2,2709,2766,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 d7d6 b1d2 c6e7 d3d4 e5d4 c3d4 c5b6 h2h3 d6d5 e4e5 f6e4 b5d3 c8f5 d1e2 e7c6 f1d1 b6d4 d2e4 d5e4 d3e4 f5e4 f3d4 d8d5 d4c6 d5c6 f2f3 e4d5 b2b3 a7a5 c1a3 f8d8 a1c1 c6b6 g1h1 d5e6 d1d8 a8d8 c1d1 d8d1 e2d1 h7h6 d1d8 g8h7 d8d3 h7g8 d3d8 g8h7 d8d3 h7g8
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.15,3.3,"Svidler, Peter","Kramnik, Vladimir",1/2-1/2,2758,2787,A35,c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 g2g3 g7g6 d2d4 c5d4 f3d4 f8g7 f1g2 e8g8 e1g1 c6d4 d1d4 d7d6 d4d3 c8e6 c1d2 d8c8 b2b3 e6h3 a1c1 h3g2 g1g2 c8c6 f2f3 e7e6 f1d1 a8d8 d2f4 d8d7 d3e3 b7b6 d1d3 f8c8 e3d2 f6e8 e2e4 a7a6 e4e5 h7h6 h2h4 c8d8 c1d1 b6b5 c4c5 c6c5 c3e4 c5b6 e4d6 g7f8 h4h5 e8d6 e5d6 g6g5 f4e5 d8c8 d1c1 c8c1 d2c1 b6b7 g3g4 b5b4 c1c4 f8g7 e5g3 b7b5 g3e1 b5e5 e1g3 e5e2 g3f2 g7f8 c4a6 e6e5 a6c4 e2a2 c4c6 e5e4 f3e4 a2e2 d3f3 d7d6 c6e8 f7f6 e4e5 f6f5 g4f5 d6f6 g2g3 e2e4 f2c5 e4e1 c5f2 e1e4 f2c5 e4e1 c5f2
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.15,3.4,"Mamedyarov, Shakhriyar","Anand, Viswanathan",0-1,2757,2770,D11,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 d1c2 d5c4 c2c4 c8g4 b1d2 b8d7 g2g3 e7e6 f1g2 f8e7 f3e5 g4h5 e5d7 f6d7 e1g1 e8g8 d2b3 a7a5 a2a4 e7b4 e2e4 e6e5 c1e3 e5d4 e3d4 g8h8 e4e5 f8e8 f2f4 f7f6 e5f6 d7f6 g2f3 h5f3 f1f3 e8e4 f3e3 e4e3 d4e3 d8e8 e3b6 e8h5 b6d4 a8e8 a1f1 f6g4 c4c2 c6c5 b3c5 e8c8 f1d1 b4c5 d4c5 h7h6 g1h1
FIDE Candidates 2014,Khanty-Mansiysk RUS,2014.03.17,4.1,"Mamedyarov, Shakhriyar","Andreikin, Dmitry",1-0,2757,2709,D45,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 a7a6 g1f3 e7e6 a2a3 b8d7 d1c2 d8c7 e3e4 d5e4 c3e4 c6c5 e4f6 d7f6 d4c5 a6a5 g2g3 f8c5 f1g2 e8g8 e1g1 e6e5 c1g5 a8a6 a1e1 f8e8 c2c3 h7h6 g5f6 g7f6 b2b4 c5f8 f3h4 a5b4 a3b4 c8e6 c4c5 b7b6 c5c6 a6a4 e1b1 e8d8 c3f3 d8d4 h4f5 d4b4 b1b4 a4b4 f3h5 g8h7 f1d1 c7c8 f5e3 f6f5 g2d5 f5f4 e3c2 b4a4 h5e5 f8g7 d5e4 h7g8 e5f4 f7f5 c6c7 a4e4 d1d8 g8f7 f4d6 c8a6 d8d7 f7g6 d6c6 a6c8 d7d8 e4c4 c6c4
