Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Biel Interzonal,Biel,1976.??.??,1,"Sanguineti, Raul","Petrosian, Tigran V",0-1,2480,2635,A41,g1f3 d7d6 d2d4 c8g4 e2e4 e7e6 c2c3 c7c6 f1e2 b8d7 b1d2 d8c7 e1g1 g8f6 f3g5 g4e2 d1e2 h7h6 g5f3 e6e5 b2b3 f8e7 c1a3 e8g8 d4e5 d7e5 f3e5 d6e5 a3e7 c7e7 a2a4 f8d8 d2c4 d8d7 f1d1 a8d8 d1d7 d8d7 b3b4 e7e6 a4a5 f6e8 c4e3 e8c7 a1d1 c7b5 d1d7 e6d7 c3c4 b5c3 e2h5 d7d3 h2h3 d3b1 g1h2 b1e4 e3g4 c3a2 b4b5 c6b5 c4b5 a2c3 h5h4 e4f4 h2g1 f7f6 h4h5 g8f8 g4e3 f4g5 h5g5 h6g5 a5a6 b7b6
Biel Interzonal,Biel,1976.??.??,1,"Diaz, Joaquin C","Larsen, Bent",0-1,2385,2625,B47,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1e2 d8c7 e1g1 b8c6 b1c3 g8f6 a2a3 c6d4 d1d4 f8d6 g1h1 d6e5 d4d3 b7b5 f2f4 e5c3 b2c3 c8b7 e4e5 f6d5 f1f3 a8c8 c1d2 d5e7 f3h3 h7h6 d3g3 e7f5 g3g4 e8g8 e2d3 f7f6 d3f5 e6f5 g4g6 c7c6 h3g3 f8f7 g6f5 c8e8 f5h5 f6e5 f4f5 e8f8 a1f1 f7f6 h2h3 c6c4 h1g1 c4f1 g1f1 f6f5 h5f5 f8f5 f1g1 g8f7 g3d3 f7e6 d3g3 e6f7 g3d3 f7e7 d3g3 f5f7 c3c4 b5c4 g3g6 e7f8 g6b6 b7e4 d2b4 f8g8 b6b8 g8h7 c2c3 f7f6 b8e8 d7d6 e8d8 d6d5 d8d6 h6h5 d6f6 g7f6 b4c5 h7g6 h3h4 g6f5 g1f2 e4g2
Biel Interzonal,Biel,1976.??.??,1,"Andersson, Ulf","Sosonko, Gennadi",1/2-1/2,2585,2505,A13,c2c4 g8f6 g1f3 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4 c7c5 c4c2 b7b6 e1g1 c8b7 f1d1 a8c8 b1c3 a7a6 d2d3 f8e7 c1f4 e8g8 a1c1 b6b5 a2a4 f6d5 a4b5 d5c3 b2c3 a6b5 c2b3 d8b6 c1b1 b7c6 f3e1 e6e5 f4e3 c8b8 d1d2 c6g2 e1g2 b6c6 d2b2 c5c4 d3c4 b5c4 b3c2 b8b2
Biel Interzonal,Biel,1976.??.??,1,"Smejkal, Jan","Byrne, Robert E",1/2-1/2,2615,2540,E18,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b7b6 b1c3 c8b7 f3e5 b8a6 c4d5 e6d5 c1g5 c7c5 e2e3 f6e4 g5e7 d8e7 a1c1 a6c7 d1a4 f8e8 f1d1 e4c3 c1c3 c5c4 b2b3 f7f6 e5c4 b6b5 a4a5 b5c4 b3c4 a8d8 a5a7 b7a8 c4d5 c7d5 a7e7 e8e7 c3a3 d5b6 d1b1 a8g2 g1g2 b6c4 a3c3 c4d6 a2a4 e7a7 b1b4 g8f7 c3c6 f7e7 g3g4 e7d7 b4b6 d6e8 c6c2 d8a8 a4a5 a7a5 b6b7 d7d8 e3e4 a5a7 c2b2 e8d6 b7a7 a8a7 f2f3 g7g5 h2h4 g5h4 b2b6 d8e7 e4e5 f6e5 d4e5 d6c4 b6h6 e7f8 f3f4 a7f7 h6h4 f7f4 h4h7 f4g4 g2f2 c4e5
Biel Interzonal,Biel,1976.??.??,1,"Tal, Mihail","Csom, Istvan",1/2-1/2,2615,2490,B66,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 c8d7 f2f3 b7b5 g2g4 d8c7 h2h4 c6d4 e3d4 b5b4 c3e2 e6e5 d4e3 d7e6 f1h3 c7a5 a2a3 a8b8 g4g5 h6g5 h3e6 f7e6 h4g5 h8h1 d1h1 f6d7 h1h8 d6d5 e4d5 e6d5 a3a4 b8c8 b2b3 d5d4 e2d4 e5d4 e3d4 a5f5 d4g7 e8f7 g7f8 d7f8 h8h6 f8g6 h6h7 f7g8 h7d7 c8c5 d7d8 g6f8 f3f4 a6a5 c1b1 g8f7 d2e2 f7g7 e2h2 g7g8 h2d2 g8f7 d2e2 f7g7 e2h2 g7g8
Biel Interzonal,Biel,1976.??.??,1,"Huebner, Robert","Matanovic, Aleksandar",1-0,2585,2525,A14,c2c4 g8f6 b1c3 c7c5 g1f3 e7e6 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 e1g1 f8e7 b2b3 e8g8 c1b2 e7f6 d1c2 b7b6 c3d5 e6d5 d2d4 c6d4 f3d4 c5d4 a1d1 d4d3 d1d3 c8f5 e2e4 d8c8 c2c8 a8c8 e4f5 f6b2 d3d5 f8d8 f1d1 d8d5 d1d5 g8f8 d5d7 c8c1 g2f1 a7a5 a2a4 b2e5 g1g2 c1c7 d7d1 f8e7 f1c4 e5c3 f2f4 c3b4 g2f3 h7h5 f3g2 c7c5 c4d5 e7f6 d5c4 c5c7 d1d5 f6e7 f5f6 e7f6 d5h5 c7d7 g2f3 b4c5 g3g4 d7d2 h5f5 f6e7 f5f7 e7d6 f7g7 d2h2
Biel Interzonal,Biel,1976.??.??,1,"Lombard, Andre","Castro Rojas, Oscar Humberto",0-1,2420,2380,D89,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5 e1g1 b8c6 c1e3 c5d4 c3d4 c8g4 f2f3 c6a5 c4d3 g4e6 d4d5 g7a1 d1a1 f7f6 a1d4 e6d7 e4e5 f6e5 d4e5 d8b8 e5g5 d7f5 f1d1 b8d6 e2d4 f5d3 d1d3 a5c4 e3f2 d6f4 g5f4 f8f4 d4e6 f4f5 f2c5 g8f7 g2g4 f5e5 g1f2 c4b6 e6f4 a8c8 c5d4 c8c2 f2f1 c2c1 f1f2 e5e1 d5d6 e7d6 d4b6 a7b6 d3d6 e1d1 d6b6 c1b1 b6b1 d1b1 f4d3 b1a1 d3b4 f7e6 f2e3 a1h1 b4d3 h1h2 d3c5 e6d5 c5b7 h2a2 b7d8 a2a7
Biel Interzonal,Biel,1976.??.??,1,"Portisch, Lajos","Liberzon, Vladimir M",1/2-1/2,2625,2540,E96,d2d4 g8f6 c2c4 d7d6 b1c3 b8d7 g1f3 g7g6 e2e4 e7e5 f1e2 f8g7 e1g1 e8g8 f1e1 a7a5 e2f1 c7c6 a1b1 f8e8 d4d5 d7c5 b2b3 c8d7 f3d2 e8f8 a2a3 c6d5 c4d5 f6e8 b3b4 a5b4 a3b4 c5a4 c3a4 d7a4 d2b3 f7f5 e4f5
Biel Interzonal,Biel,1976.??.??,1,"Gulko, Boris F","Geller, Efim P",1-0,2530,2620,A65,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 c7c5 d4d5 a7a6 a2a4 f8e8 d1d2 d8a5 g1e2 e7e6 e2g3 e6d5 c4d5 b8d7 f1e2 a5b4 a4a5 b7b5 a5b6 d7b6 g5f4 g7f8 e1g1 f6d7 g1h1 a8b8 d2c2 b6a8 e2a6 c8a6 a1a6 d7e5 f4e5 d6e5 f1b1 c5c4 g3f1 a8b6 f1e3 e8c8 h2h3 b4c5 c2e2 h7h5 b1d1 f8h6 e3c2 b6d7 d5d6 b8b2 d1d5 b2c2 e2c2 c5e3 d5d1 d7f6 c3e2 f6d7 e2c3 d7f6 c3d5 f6d5 e4d5 h6f4 d6d7 c8d8 a6g6 g8f8 g6f6 d8d7 c2h7
Biel Interzonal,Biel,1976.??.??,1,"Rogoff, Kenneth","Smyslov, Vassily",0-1,2480,2580,C60,e2e4 e7e5 g1f3 b8c6 f1b5 g7g6 c2c3 d7d6 d2d4 c8d7 d4e5 d6e5 b5c4 d8f6 e1g1 h7h6 c1e3 g8e7 b2b4 f8g7 b1d2 e8g8 d2b3 d7g4 b4b5 f8d8 d1c2 c6b8 f3d2 g4e6 b3c5 d8d2 c2d2 e6c4 d2d8 g8h7 f1b1 e7d5 d8f6 d5f6 b1b4 c4e2 c5b7 a7a5 b5a6 b8a6 b4b2 e2c4 f2f3 f6d7 a1d1 c4e6 b2d2 a8b8 b7a5 a6c5 a5c6 b8a8 c6d8 a8a2 d8e6 a2d2 d1d2 f7e6 e3c5 d7c5 d2d8 c5a4 c3c4 c7c5 d8a8 a4b6 a8b8 b6c4 b8c8 c4d6 c8c5 h7g8 c5c6 g7f8 g1f1 g6g5 h2h3 g8f7 c6c7 f8e7 c7a7 d6e8 a7b7 e8f6 b7b5 f6d7 b5b7 d7f8 b7b5 f8g6 b5b7 g6f4 b7b5 f7f6 b5b7 e7c5 b7c7 c5d4 c7c8 f4h5 c8h8 f6g7 h8e8 h5f4 e8c8 g7g6 c8g8 g6h5 g8h8 h5h4 h8h6 h4g3 h3h4 g5h4 h6h8 d4c5 h8c8 c5e7 c8e8 e7f6 f1g1 f4e2 g1f1 e2f4 f1g1 f6g7 e8e7 g7f8 e7f7 f8h6 f7h7 h4h3 g2h3 f4h3 g1f1 h6f4 f1e2 h3g1 e2d3 g1f3
