Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Tunis Interzonal,Tunis,1985.??.??,1,"Portisch, Lajos","Zapata, Alonso",1/2-1/2,2635,2535,E81,d2d4 g8f6 c2c4 d7d6 b1c3 g7g6 e2e4 f8g7 f2f3 e7e5 g1e2 c7c6 c1g5 b8d7 d1d2 e8g8 d4d5 c6d5 c4d5 d7c5 e2g3 d8b6 f1e2 c8d7 g5e3 a7a5 e1g1 a5a4 a1c1 f8c8 c3b1 f6e8 b1a3 g7f8 g1h1 b6d8 c1c2 f7f6 f1c1 e8c7 d2e1 c7a6 e3d2 b7b6 e1f1 a6c7 d2e3 a8b8 a3b5 c7b5 e2b5 d8e8 b5d7 e8d7 f1d1 b6b5 b2b4 a4b3 a2b3 f8e7 g3f1 g8f7 b3b4 c5a6 e3d2 e7d8 c2c6 c8c6 d5c6 d7e6 f1e3 a6c7 e3d5 c7d5 e4d5 e6c8 d1e2 d8c7 d2c3 c8a6 c1a1 a6b6 f3f4 b8g8 a1f1 g8f8 f4f5 f7g7 h2h4 c7b8 e2f2 b8a7 f2b6 a7b6 f5g6 g7g6 f1a1 g6f5 a1a6 b6d4 c3d4 e5d4 h1g1 f5e4 a6a5 e4e3 g1f1 d4d3 f1e1 f8g8 a5a2 g8g4 a2f2 g4b4 f2f3 e3e4 f3f6 b4b1 e1d2 b1b2 d2d1 e4d5 c6c7 b2c2 f6f5 d5d4 f5b5 c2c7 b5b6 d6d5 g2g4 c7c4 g4g5 d4e3 h4h5 c4g4 b6e6 e3d4 g5g6 h7h6 e6e8 g4g1 d1d2 g1g2 d2d1 g2g5 d1d2 g5g1 e8f8 g1g2 d2d1 g2g1 d1d2 g1g2
Tunis Interzonal,Tunis,1985.??.??,1,"Beliavsky, Alexander G","Suba, Mihai",1/2-1/2,2635,2465,A75,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 f1e2 e8g8 e1g1 a7a6 a2a4 c8g4 c1g5 g4f3 e2f3 f8e8 d1c2 b8d7 f3e2 h7h6 g5h4 d8a5 g1h1 a8c8 f2f3 c5c4 h4e1 a5c7 a1c1 c7b6 c3d1 d7e5 a4a5 b6b5 c1a1 f6d7 d1c3 b5b3 c2b3 c4b3 a1a3 d7c5 e1f2 e5d7 e2d1 f7f5 d1b3 f5e4 b3c2 e4f3 c2g6 f3g2 h1g2 e8f8 f2c5 c8c5 g6f5 g7c3 b2c3 d7e5 a3b3 c5c7 f5e6 g8g7 f1b1 g7g6 b3b7 c7c3 b1g1 g6h5 b7g7 c3c2 g2h3 f8f3 g1g3 f3f4 g3e3 c2f2 e6c8 f2f3 e3f3 f4f3 g7g3 f3g3 h3g3 e5c4 g3f4 h5g6 c8a6 c4a5 a6d3 g6f6 f4g4 a5b3 g4h5 f6g7 h5g4 b3d4 g4f4 g7f6 f4g4
Tunis Interzonal,Tunis,1985.??.??,1,"Gavrikov, Viktor","Jussupow, Artur",0-1,2550,2590,D58,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6 g5h4 b7b6 f1d3 c8b7 e1g1 b8d7 d1e2 c7c5 h4g3 f6e4 f1d1 c5d4 e3d4 e4g3 h2g3 d7f6 f3e5 a8c8 a1c1 d5c4 d3c4 f6d5 c4b3 d5c3 b2c3 c8c7 e2d3 e7f6 e5g4 h6h5 g4e3 c7d7 g3g4 h5g4 e3g4 g7g6 d1e1 g8g7 c1d1 f8h8 d3g3 h8h5 g3f4 f6e7 f4c1 e7d6 g4e5 d8h4 f2f3 h4g3 e1e3 d7d8
Tunis Interzonal,Tunis,1985.??.??,1,"Hmadi, Slaheddine","Chernin, Alexander",0-1,2285,2495,C41,e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 d1d4 g8f6 b1c3 f8e7 e4e5 d6e5 d4d8 e7d8 f3e5 e8g8 f1c4 c8f5 c4b3 c7c6 c1e3 d8c7 e5f3 f6g4 e1c1 g4e3 f2e3 b8a6 f3h4 f5g4 d1d4 g4c8 h1f1 a6c5 h2h3 c5b3 a2b3 f8e8 d4d3 b7b5 h4f3 b5b4 c3a4 c8a6
Tunis Interzonal,Tunis,1985.??.??,1,"Sosonko, Gennadi","Miles, Anthony J",1/2-1/2,2535,2570,A40,d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f1d3 b8c6 g1f3 c6b4 e1g1 g8e7 b1c3 b4d3 d1d3 e7g6 a2a3
Tunis Interzonal+,Tunis,1985.??.??,1,"Bouaziz, Slim","Morovic Fernandez, Ivan",1/2-1/2,2395,2450,D67,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 e7b4 d1d2 b4d2 e1d2 d5f6 c4d3 f8d8 d2e2 f6e4 d3e4 d7f6 e4d3 c8d7 f3e5 d7e8
Tunis Interzonal,Tunis,1985.??.??,1,"Dlugy, Maxim","Ermenkov, Evgenij",1/2-1/2,2485,2515,A53,d2d4 d7d6 e2e4 g8f6 f2f3 c7c6 c2c4 e7e5 b1c3 b8d7 c1e3 f8e7 g1h3 e8g8 f1e2 a7a6 d4d5 c6d5 c4d5 b7b5 h3f2 f6e8 d1d2 d7b6 b2b3 c8d7 e1g1
Tunis Interzonal,Tunis,1985.??.??,1,"De Firmian, Nick E","Nikolic, Predrag",1-0,2540,2575,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8 d2d4 c8b7 a2a4 h7h6 b1d2 e5d4 c3d4 c6b4 a4b5 a6b5 a1a8 d8a8 e4e5 d6e5 d4e5 f6d5 d2e4 c7c5 e5e6 f7e6 f3e5 b4c6 b3d5 e6d5 d1d5 g8h7 d5d3 h7g8 d3d5 g8h7 d5d3 h7g8 e5d7 c6b4 e4f6 g8f7 d7e5 f7e6 e5g4 e6f7 g4e5 f7e6 e5g4 e6f7 g4h6 g7h6 d3h7 f7f6 h7h6 f6f7 h6h7 f7f6 c1g5 f6g5 h7g7
Tunis Interzonal,Tunis,1985.??.??,1,"Hort, Vlastimil","Afifi, Assem",1-0,2560,2370,B25,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 g2g3 e7e6 f1g2 g8e7 d2d3 e8g8 c1e3 c6d4 e3f2 d7d6 e1g1 a8b8 a2a4 e7c6 f3e1 a7a6 g3g4 b7b5 h2h4 b5b4 c3b1 d8b6 b1d2 c6a5 a1b1 c8d7 b2b3 f7f5 f2e3 f5g4 d1g4 b6d8 f1f2 d8e7 d2f3 a5c6 g2h3 b8d8 g4g5 g7f6 g5g3 e7g7 g1h1 e6e5 e1g2 d4f3 f2f3 e5f4 g2f4 c6d4 f3f2 f6e5 b1f1 e5f4 e3f4 f8f4 f2f4 d4e2 g3g5 d8e8 f4f7 g7f7 f1f7 d7h3 f7f2
Tunis Interzonal,Tunis,1985.??.??,2,"Ermenkov, Evgenij","Portisch, Lajos",1/2-1/2,2515,2635,B47,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 f1e2 a7a6 e1g1 g8f6 g1h1 f8b4 c1g5 b4c3 g5f6 g7f6 b2c3 c6e7 c3c4 b7b6 d1d2 c8b7 e2d3 h8g8 a1b1 c7c5 d4b3 c5h5 f2f3 a8b8 c4c5 b6b5 a2a4 b7c6 a4b5 a6b5 f1d1 e8f8 d3f1 f8g7 d2d6 e7g6 b3d4 g6e5 d4b5 h5g5 b5d4 b8b1 d1b1 g5e3 d4b3 g8a8 d6d4 e3d4 b3d4 a8a5 d4b3 a5a2 b1c1 c6a4 h1g1 g7f8 b3d4 a2a3 c1b1 a3c3 b1b8 f8g7 b8b4 a4c2 d4c2 c3c2 f3f4 e5g6 g2g3 c2c5 b4b7 d7d5 e4d5 c5d5 f1c4 d5d1 g1f2 g7f8 f4f5 g6e5 c4e2 d1d7 b7d7 e5d7 f2e3 d7b6 e3e4 f8e7 g3g4 b6d5 e2c4 e7d6 e4d4 h7h6 c4b3 d5e7 d4e4 e7c6 b3a2 c6e5 e4f4 e5d3 f4e4 d3c5 e4d4 c5b7 a2b3 d6e7 b3c4 b7d6 c4d3 d6e8 d4c5 e8g7 d3c2 h6h5 g4h5 g7h5 c5d4 e7f8 d4e4 h5g7 e4f4 g7e8 c2b3 e8c7 f4e4 f8e7 b3a2 c7b5 e4f4 b5d4 a2b1 e7f8 f4e3 d4b5 b1d3 b5d6 e3f4 f8g7 f4f3 g7f8 f3g4 d6b7 g4f4 b7c5 d3c4 f8g7 c4a2 e6e5 f4g4 c5e4 a2b1 e4c3 b1c2 c3d5 c2e4 d5e3 g4f3 e3f1 e4d3 f1d2 f3g4 g7h6 d3c2 d2f1 c2d3 f1e3 g4f3 e3d1 d3c2 d1b2 f3g4
