Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Kiev,Kiev,1944.??.??,?,"Bronstein, David I","Goldenov, Boris Petrovich",1-0,,,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6 d2c1 c7c5 f1d3 c5d4 g1e2 e4c5 c3d4 c5d3 c2d3 b7b6 h2h4 h6h5 g4f3 b8c6 c1g5 c6e7 e1g1 c8a6 a1c1 d8d7 f3f6 h8g8 c1c3 e7f5 e2g3 f5d4 f1c1 d4b5 c3c2 d7d8 f6f4 d8d7 a2a4
Kiev,Kiev,1944.??.??,?,"Sokolsky, Alexey","Bronstein, David I",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 d7d6 d1b3 g8h6 c1h6 g7h6 c4f7 e8f8 d4e5 d8e7 f7d5 c6e5 f3e5 e7e5 e1g1 c7c6 b3a4 a5d8 d5b3 b7b5 a4a3 d8b6 b1d2 c8g4 g1h1 a8e8 f2f4 e5c5 a3b2 g4e2 f1e1 e2d3 e4e5 c5f2 b2a3 f2d2 a3d6 e8e7 d6f6 f8e8 f6h8 e8d7 a1d1
Kiev,Kiev,1944.??.??,?,"Bronstein, David I","Flohr, Salo",1/2-1/2,,,B16,e2e4 c7c6 b1c3 d7d5 g1f3 d5e4 c3e4 g8f6 e4f6 g7f6 d2d4 c8g4 f1e2 e7e6 c1f4 b8d7 e1g1 d7b6 f1e1 f8d6 f4g3 d6g3 h2g3 d8d5 c2c3 h7h5 d1c1 e8c8 a2a4 g4f3 e2f3 d5g5 a4a5 g5c1 a1c1 b6d5 e1e4 h8h6 e4h4 d8h8 f3d5 c6d5 g1f1 c8d7 f1e2 d7c6 e2d3 h6g6 c3c4 d5c4 c1c4 c6d6 c4b4 d6c7 h4h1 a7a6 h1c1 c7b8 c1c6 h8d8 c6a6 d8d7 a6b6 b8a7 b6b5 h5h4 g3h4 g6g2 d3e3 f6f5 d4d5 e6e5 d5d6 f7f6 b5c5 d7d6 c5c7 a7a6 c7b7 a6a5 b4b3 a5a6 b7b4 a6a7 b4a4 d6a6 a4a6 a7a6 b3b8 g2g6 b8h8 a6b6 h4h5 g6g5 h8h6 b6c7 h6h8 g5g4 h5h6 g4h4 e3d3 c7b7 h6h7 b7a7 b2b4 a7b7
Kiev,Kiev,1944.??.??,?,"Bronstein, David I","Boleslavsky, Isaak",1/2-1/2,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 d1g4 c7c5 d4c5 b8c6 g1f3 d5d4 f1b5 d8a5 b5c6 e7c6 e1g1 d4c3 g4g7 h8f8 a2a3 c3b2 a3b4 a5a1 c1h6 a1f1 g1f1 b2b1q f3e1 c6e7 g7f8 e8d7 h6g5 e7f5 c5c6 d7c6 f8e8 c8d7 e8a8 b1b4 a8a7 c6c7
Kiev,Kiev,1944.??.??,?,"Makogonov, Vladimir Andreevich","Bronstein, David I",1-0,,,E90,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b1c3 d7d6 e2e4 e8g8 h2h3 c7c6 f1d3 e7e5 d4d5 c6d5 c4d5 f6h5 g2g3 b8d7 c1e3 a7a6 d3e2 b7b5 f3d2 h5f6 a2a3 d7b6 g3g4 f6d7 h3h4 f7f5 g4f5 g6f5 e4f5 d7f6 h4h5 h7h6 h1g1 g8h8 d2f1 c8f5 d1d2 f6g8 f1g3 f5h7 e2d3 b6c4 d3c4 b5c4 e1c1 a8b8 g3e4 f8f7 g1g3 g8f6 e4f6 d8f6 d1g1 f6f5 f2f3 b8b3 c3e4 c4c3 b2c3 f7b7 d2c2 b3a3 g3g7 f5f3 g7b7 f3e3 c1b2 h7e4 c2c1 a3c3 c1c3 e3g1 c3c8 g1g8 c8c7 g8g2 b2a3
URS-ch13,Moscow,1944.??.??,?,"Veresov, Gavriil N","Bronstein, David I",1-0,,,D63,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 f8e8 c4c5 c7c6 f1d3 e6e5 d4e5 f6g4 g5f4 d7c5 d3b1 f7f6 e1g1 c5e6 f4g3 e6f8 d1b3 f6f5 f1d1 g8h8 h2h3 g4h6 c3a4 b7b5 a4c5 d8b6 b3c3 e7c5 c3c5 b6c5 c1c5 c8d7 f3d4 f8e6 d4e6 e8e6 f2f3 a8f8 e3e4 f5f4 g3e1 e6e5 e1c3 e5g5 g1f2 h6g8 e4d5 g8f6 c3b4 c6d5 c5b5 f8e8 b5b7 d7b5 b7e7 e8e7 b4e7 g5e5 d1e1 e5e1 f2e1 h8g8 b1a2 b5c6 e1f2 g8f7 e7d6 g7g5 f2e2 f7e6 d6c5 e6e5
URS-ch13,Moscow,1944.??.??,?,"Mikenas, Vladas","Bronstein, David I",1-0,,,E46,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4d6 c4c5 d6e7 b2b4 c7c6 c1b2 b7b6 e2f4 b6c5 b4c5 f6d7 f1e2 c8a6 e1g1 a6e2 c3e2 e7f6 f4d3 f8e8 a1b1 b8a6 b2c3 d8c8 d1c2 f6d8 b1b2 f7f6 f1b1 e6e5 c2a4 e5e4 d3e1 a6b8 b2b7 a7a5 e2f4 b8a6 f4d5 a6c5 d4c5 d7c5 a4c4 c6d5 c4d5 g8h8 b7b5 c5d7 c3d4 d8e7 b5a5 a8a5 d5a5 c8c6 a3a4 h7h6 a5b5 c6e6 b5b3 e6b3 b1b3 d7c5 d4c5 e7c5 b3b5 c5d6 b5d5 d6e5 d5c5 e8a8 c5c4 f6f5 g2g4 f5g4 c4e4 e5c3 e1d3 a8d8 d3f4 d8d1 g1g2 c3e1 e4d4 d1d4 e3d4 g7g5 f4h5 e1c3 d4d5 h8g8 g2g3 c3d4 g3g4 d4f2 g4f5 g8f7 h5f6 f2g1 h2h3 f7e7 f6e4 e7d7 a4a5 g1d4 a5a6 d7c7 f5g6 d4e3 e4g3 c7b6 g3f5 e3f4 d5d6 b6a6 d6d7 f4c7 f5h6
URS-ch13,Moscow,1944.??.??,?,"Tolush, Alexander V","Bronstein, David I",0-1,,,E60,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 e2e3 b8d7 g1f3 g7g6 f1e2 f8g7 b2b3 e8g8 c1b2 f8e8 d1c2 c7c6 e1g1 d8a5 f1d1 d7f8 a2a3 e5e4 f3d2 c8f5 b3b4 a5c7 d2f1 d6d5 c4d5 c6d5 c2b3 e8d8 d1c1 c7e7 a3a4 h7h5 a4a5 h5h4 b2a3 h4h3 g2g3 f8h7 f1d2 h7g5 b4b5 e7e6 c3a4 f5g4 b3d1 e6f5 a3e7 g4e2 d1e2 d8c8 e7f6 g7f6 a4c5 b7b6 a5b6 a7b6 a1a8 c8a8 c5a6 f6e7 g1f1 a8c8 e2d1 c8c1 d1c1 g8g7 c1c7 e7f6 a6b4 g5f3 d2f3 f5f3 f1e1 f3h1
URS-ch13,Moscow,1944.??.??,?,"Sokolsky, Alexey","Bronstein, David I",1-0,,,B16,e2e4 c7c6 b1c3 d7d5 g1f3 d5e4 c3e4 g8f6 e4f6 g7f6 d2d4 c8g4 f1e2 e7e6 c1e3 b8d7 e1g1 f8d6 c2c4 f6f5 d4d5 c6d5 c4d5 e6e5 f3d2 g4e2 d1e2 d8e7 e2h5 e7f6 f2f4 f6g6 h5h3 e5e4 d2c4 d6c7 e3d4 h8g8 c4e3 c7b6 d4b6 g6b6 a1c1 d7f6 g1h1 f6g4 e3g4 g8g4 h3c3 e8f8 c3e5 b6g6 d5d6 a8e8 e5h8 g6g8 d6d7
URS-ch13,Moscow,1944.??.??,?,"Smyslov, Vassily","Bronstein, David I",1/2-1/2,,,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 g8e7 f1e1 g7g6 c2c3 e7c6 b2b3 f8g7 c1b2 e8g8 b1a3 d7d5 b5c6 b7c6 c3d4 d5e4 d1c2 g7d4 e1e4 d4b2 c2b2 c8e6 a1e1 a7a5 h2h4 a5a4 h4h5 d8g5 e4e5 g5h6 e1e3 a4b3 a2b3 a8d8 b2c3 d8d5 h5g6 h7g6 a3c4 f8d8 e5d5 c6d5 c3d4 d8a8 c4e5 c7c5 d4b2 d5d4 e3e1 a8b8 b2c2
