Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Minsk tt,Minsk,1986.??.??,?,"Gelfand, Boris","Ryskin, Alexander",1-0,,,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 d4b3 a7a5 a2a4 d6d5 f1b5 c6a7 b5e2 c8d7 g5f6 e7f6 e4d5 f6c3 d2c3 d7a4 d5e6 d8e7 e6f7 g8h8 e2c4 a8c8 h1e1 e7g5 c3d2 g5g6 c4e6 c8c7 d2d3 g6g2 d3d6 g2g5 f2f4 g5e7 d6e7 c7e7 b3a5 g7g6 e6d5 e7c7 b2b3 a4d7 a5b7 a7b5 e1e7 b5c3 d1d3 c3d5 d3d5 c7b7 e7d7 b7b4 d5d4
Minsk tt,Minsk,1986.??.??,?,"Zagrebelny, Sergey","Gelfand, Boris",1/2-1/2,,,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 c1e3 c8e6 d1d2 b8d7 a2a4 a8c8 a4a5 d8c7 f1d1 c7c6 e2f3 f8e8 d2e1 c8a8 a1c1 b7b5 a5b6 d7b6 c3d5 b6c4 b3a5 c4a5 d5e7 e8e7 e1a5 e7b7 a5a3 f6e4 f3e4 c6e4 d1d6 h7h5 f2f3 e4g6 a3c3 g6f5 b2b3 a8c8 c3d2 b7d7 d6d7 e6d7 c1d1 d7c6 d2e2 c6b7
Minsk tt,Minsk,1986.??.??,?,"Yakovich, Yuri","Gelfand, Boris",1/2-1/2,2480,,D37,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 b7b6 c4d5 f6d5 c3d5 d8d5 f1d3 d5a5 f3d2 c8a6 d3a6 a5a6 d1e2 c7c5 f4b8 a6e2 e1e2 a8b8 d4c5 e7c5 a1c1 f8c8 c1c2 c5d6 h1c1 c8c2 c1c2 g8f8 c2c6 f8e7 d2c4 b8d8 f2f4 d6b8 b2b4 g7g5 g2g3 g5f4 g3f4 d8g8 e2f2 e7d7 b4b5 g8g6 c4d2 e6e5 c6c4
Minsk tt,Minsk,1986.??.??,?,"Mowsziszian, Karen","Gelfand, Boris",1-0,,,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8b6 c1e3 b6b7 a2a3 e8g8 f1e1 b8d7 e3g5 d7c5 b3a2 b7c7 a1d1 c8b7 b2b4 c5d7 f3h3 d7e5 f2f4 e5c4 g1h1 c4b2 d1b1 b2a4 c3a4 b5a4 h3d3 a8c8 c2c4 h7h6 g5f6 e7f6 b1c1 f8d8 a2b1 c7b6 d4f3 g8f8 b1c2 b6c6 c2d1 c8c7 d3c2 d8c8 e4e5 c6c4 c2c4 c7c4 c1c4 c8c4 e5f6 c4c3 f6g7 f8g7 d1a4 c3a3 a4c2 b7f3 g2f3 a3f3 e1b1 f3c3 c2d1 g7f6 h1g2 f6f5 b1b3 c3c6 g2f3 d6d5 d1e2 c6b6 e2d3 f5f6 f3e3 e6e5 d3f1 f6e6 f4e5 e6e5 b3b1 f7f5 e3d3 f5f4 b1e1 e5f5 d3c3 f4f3 e1a1 f5e4 a1a6 d5d4 c3b3 b6b8 a6e6 e4f5 e6h6 b8c8 f1h3
Minsk tt,Minsk,1986.??.??,?,"Gelfand, Boris","Orlov, Pavle",1-0,,2395,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 d1d4 d6d4 f3d4 a7a6 c1f4 f8c5 d4b3 c5e7 c4e2 f6d5 f4g3 c8d7 f1d1 d5b4 c2c3 b4c6 e2f3 f7f6 g3c7 a8c8 c7b6 c8b8 b3c5 e7c5 b6c5 c6e5 f3h5 g7g6 c5d6 b8c8 d6e5 g6h5 e5f6 h8g8 f2f3 g8g6 f6h4 c8c4 h4f2 c4f4 f2g3 f4f5 g1f2 d7c6 d1d2 g6g7 a1e1 e8f7 c3c4 h5h4 g3h4 f5f4 h4g3 f4c4 g3e5 g7g8 e5c3 c4c5 g2g4 c5d5 d2d5 c6d5 a2a3 g8d8 e1e5 d5c6 e5g5 f7f8 f2e3 d8d1 g5h5 d1d7 h5h6 c6d5 f3f4 f8g8 h6h5 d5c6 c3d4 c6d5 h5g5 g8f8 d4c3 d5c6 g5h5 f8g8 e3e2 c6b5 e2f2 b5c6 f2e3 c6d5 h5g5 g8f8 h2h4 d5c6 c3b4 f8f7 b4c3 f7f8 g5h5 c6d5 h5e5 f8f7 e5g5 f7f8 h4h5 d5b3 c3b4 f8f7 h5h6 f7f6 b4c3 f6f7 e3f2 b3c2 f2g3 f7e8 g5g8 e8f7 g8c8 c2e4 g3h4 d7d1 c3b4 e4c6 c8f8 f7g6 f8g8 g6f6 g8f8 f6g6 f8g8 g6f6 b4c3 e6e5 c3e5 f6e6 e5c3 c6f3 f4f5 e6d5 f5f6 d5e6 g8e8 e6f7 e8e7 f7f8 e7h7 f3d5 c3b4
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Psakhis, Lev",1/2-1/2,,2555,C08,d2d4 e7e6 e2e4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 c8d7 d1e2 f8e7 d4c5 g8f6 d2b3 e8g8 c1e3 f8e8 g1f3 a7a6 b5d3 d7a4 b3d4 e7c5 e1g1 a4d7 h2h3 b8c6 e2d1 d8b6 a1b1 f6e4 c2c3 b6c7 f1e1 c6e7 d3c2 h7h6 c2b3 a8d8 d4c2 c5d6 e3d4 d7e6 c2e3 d6f4 d1c2 f7f5 b1d1 g8h7 e3f1 e6f7 f3h2 f7g6 f2f3 e4c5 c2f2 f4d6 b3c2 c5d7 e1e6 e7c6 e6g6 h7g6 c2f5 g6f7 h2g4 d7f8 f2h4 c6d4 c3d4 c7e7 h4h5 f7g8 f5c2 e7f7 h5f7 g8f7 c2b3 d6f4 g1f2 f8g6 g2g3 h6h5 g4e3 f4e3 f1e3 g6e7 d1c1 d8d7 b3a4 b7b5 a4b3 e8d8 h3h4 d7d6 c1c5 f7e6 e3g2 e6f6 g2f4 g7g6 a2a3 f6g7 b3c2 d8c8 b2b4 c8c5 d4c5 d6d7 g3g4 h5g4 f3g4 d7a7 f4e6 g7f6 e6d4 a7a8 g4g5 f6e5 f2e3
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Mikhalchishin, Adrian",1-0,,2525,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1c2 d5c3 b2c3 c7c5 e2e4 b8d7 c1f4 c5d4 c3d4 a8c8 c2b3 d8f6 b3e3 f6g6 f1d3 f8e7 e1g1 e8g8 e4e5 g6h5 d3e4 b7e4 e3e4 c8c7 f1c1 f8c8 c1c7 c8c7 e4a8 d7f8 d4d5 e6d5 e5e6 c7c3 a8a7 c3f3 e6f7 g8f7 g2f3 h5f3 f4g3 h7h5 h2h4 f3e4 a7b6 e7h4 b6b4 e4b4 a3b4 h4f6 a1a7 f7e6 b4b5 f8d7 a7a6 e6e7 b5b6 h5h4 g3h2 d5d4 b6b7 d4d3 g1f1
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Kupreichik, Viktor D",1-0,,2490,A00,d2d4
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Kosten, Anthony C",0-1,,2405,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f1d3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 d2f3 d8c7 e1g1 f8d6 h2h3 e8g8 c1e3 c8d7 a1c1 a8e8 e2c3 a7a6 c3a4 c7a5 e3d2 a5d8 a4c5 d7c8 d2e3 e6e5 d4e5 c6e5 f3e5 d6e5 d1b3 f8f7 e3d2 e5c7 b3a4 e8f8 c5b3 f6h5 a4b4 h5f4 d2f4 f7f4 b4c3 c7b6 b3c5 d8g5 b2b4 b6c5 b4c5 f4f3 h3h4 g5h4 c3d2 c8h3 g2f3 f8f4 d3h7 g8h7 d2d5 f4f5 d5d6 f5g5
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Dorfman, Josif D",0-1,,2520,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 a1b1 e8g8 f1e2 c5d4 c3d4 d8a5 c1d2 a5a2 e1g1 b7b6 d1c1 a2e6 e2c4 e6e4 f1e1 e4b7 d2b4 c8e6 e1e6 f7e6 f3g5 g8h8 g5e6 b8d7 b4e7 f8c8 e6g7 b7c6 b1b4 b6b5 g7e8 c6e4 e8d6 e4e7 d6c8 e7b4 c4d5 a8b8 h2h4 b4d4 c1c6 d4c5 c6d7 b8c8 g2g3 c8f8 d5f7 c5c3 h4h5 c3f6 h5g6 h7g6 f7d5 f6f2 g1h1 f2f1 h1h2 f1f2 h2h3 f2f5 d7f5 f8f5
