Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20,Sharjah,1985.??.??,1,"Ivanchuk, Vassily","Moran, Bernardo",1-0,,,D44,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 b8d7 e5f6 c8b7 g2g3 d8b6 f1g2 e8c8 e1g1 f8h6 g5e3 d7f6 d1f3 h6e3 f2e3 h8h6 a2a4 a7a6 f3f4 d8h8 f1f2 h8h7 a1f1 b6d8 g2e4 h7h8 f4g5 f6e4 c3e4 f7f5 g5d8 h8d8 e4c5 c8b8 e3e4 b7c8 f2d2 b8c7 e4e5 h6h8 a4a5 d8d5 f1d1 h8d8 g1f2 d8h8 f2g2 h8d8 g2f3 d8h8 d1h1 h8h3 f3g2 h3h8 h2h4 h8d8 d2d1 d5d4 d1d4 d8d4 h4h5 d4d8 h5h6 d8h8 g3g4 f5g4 g2g3 c7d8 g3g4 d8e7 g4g5 e7f7 h1f1 f7g8 g5g6
Wch U20,Sharjah,1985.??.??,2,"Zysk, Robert","Ivanchuk, Vassily",1/2-1/2,2340,,D13,g1f3 g8f6 c2c4 c7c6 d2d4 d7d5 c4d5 c6d5 b1c3 b8c6 c1f4 d8b6 a2a3 c8f5 b2b4 e7e6 a1c1 f6e4 e2e3 a7a6 c3e4 f5e4 f3e5 c6e5 f4e5 f8d6 e5g7 h8g8 g7f6 g8g6 f6h4 g6h6 h4g3 d6g3 f2g3 e8e7 d1g4 h6f6 f1e2 a6a5 g4h4 a8g8 h1f1 g8g6 f1f6 g6f6 b4b5 b6d6 c1c5 e6e5 e2f3 e5d4 e3d4 e7f8 h4g5 f6g6 g5e5 d6e5 d4e5 g6e6 f3e4 e6e5 c5d5 e5e4 e1d2 e4c4 d5d7 b7b6 d7d6 c4a4 d6d3 f8e7 d2c2 a4e4 c2d2 e4a4 d2c2 a4e4 c2d2 e4a4
Wch U20,Sharjah,1985.??.??,3,"Ivanchuk, Vassily","Dobrey, N.",1/2-1/2,,2275,D37,g1f3 g8f6 d2d4 e7e6 c2c4 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 c4d5 e6d5 f1e2 b8c6 e1g1 a7a6 a1c1 c5a7 d1b3 c6a5 b3c2 a5c6 c2b3 c6a5 b3a3 c8e6 f1d1 a8c8 f3e5 a7b8 e5d3 a5c4 a3b4 c8c6 b2b3 c4d6 d3c5 d8c8 c5d3 d6e4 c3e4 d5e4 c1c6 c8c6 d1c1 c6d5 f4b8 f8b8 d3c5 b8d8 h2h3 d5e5 c5e6 f7e6 b4b7 a6a5 b7c7 e5c7 c1c7 d8d2 e2c4 f6d5 c7c6 g8f7 a2a4 d2d1 g1h2 d1d2 h2g3 h7h5 h3h4 g7g5 h4g5 h5h4 g3h4 d2f2 c4d5 e6d5 c6f6 f2f6 g5f6 f7f6 h4g3 f6g5 g3f2 g5g4 f2f1 g4g3 f1g1 g3h4
Wch U20,Sharjah,1985.??.??,4,"Ivanchuk, Vassily","Mishra, Neeraj Kumar",1-0,,2280,B88,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1c4 a7a6 c4b3 b8c6 c1e3 f8e7 f2f4 e8g8 d1f3 d8c7 e1c1 c6a5 g2g4 a5b3 a2b3 f6d7 d4f5 e6f5 c3d5 c7d8 g4f5 d7f6 d5b6 a8b8 h1g1 g8h8 e3d4 f8g8 g1g3 c8d7 g3h3 g7g6 b6d5 g8g7 d5e7 d8e7 e4e5 f6h5 f5f6 e7d8 f6g7 h8g8 h3h5 g6h5 f3h5 d8c8 h5g5 d7f5 c2c3 d6d5 d4a7 b8a8 d1d5 c8c6 c3c4 f5e6 d5d6 c6e4 a7c5 a8e8 d6d4 e4e3 c1b1 e3b3 d4d8 e6f5 b1a1 b3a4 c5a3 f5e6 f4f5 e6c4 g5e7
Wch U20,Sharjah,1985.??.??,5,"Horvath, Csaba","Ivanchuk, Vassily",0-1,2330,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8b6 g2g3 c5d4 c3d4 f8b4 e1f2 f7f6 f2g2 g7g5 h2h3 g5f4 g3f4 h8g8 g2h2 f6e5 f4e5 d7e5 c1f4 b4d6 f3e5 c6e5 f1b5 c8d7 b5d7 e8d7 d1h5 e5f3
Wch U20,Sharjah,1985.??.??,6,"Ivanchuk, Vassily","Blatny, Pavel",0-1,,2390,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 f1e1 b7b5 a4b3 d7d6 b3d5 c8b7 f3d4 f6d5 d4c6 b7c6 e4d5 c6b7 a2a4 e8g8 a4b5 a6b5 a1a8 b7a8 d1e2 e7f6 e2b5 c7c6 d5c6 d8c7 c2c3 a8c6 b5b4 f6e5 b1a3 c7d7 a3c2 f8e8 h2h3 h7h5 c1f4 d7f5 f4e5 f5c2 b4d6 e8e6 d6b8 g8h7 e1e3 e6g6 e3g3 h5h4 g3g4 g6g4 h3g4 c2d1 g1h2 d1f1 f2f3 h4h3 h2h3 c6f3 h3g3 f1g2 g3f4 g2g4 f4e3 g4e4 e3f2 e4e2 f2g3 f7f6 e5d6 f3e4 b8c7 e2f3 g3h4 e4f5
Wch U20,Sharjah,1985.??.??,7,"Murshed, Niaz","Ivanchuk, Vassily",0-1,2415,,D44,c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 g1f3 g8f6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 e5f6 g5h4 f3e5 d8f6 g2g3 b8d7 d1e2 c6c5 f1g2 c5d4 e5d7 c8d7 c3d5 f6g7 d5c7 e8d8 c7a8 f8b4 e1f1 d4d3 e2d1 g7b2 a1b1 b2d2 f2f4 d2d1 b1d1 d8e7 d1b1 b4a3 f1e1 c4c3 b1b3 b5b4 g2e4 h8c8 b3a3 b4a3 e4d3 c8a8 e1d1 d7a4 d1c1 a8b8 d3c2 a4c2 c1c2 b8b2 c2c3 b2a2
Wch U20,Sharjah,1985.??.??,8,"Ivanchuk, Vassily","Dlugy, Maxim",0-1,,2495,B17,e2e4 c7c6 b1c3 d7d5 d2d4 d5e4 c3e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 f8c5 f3e5 b6d7 g1f3 d7e5 f3e5 e8g8 c1d2 d8d5 e1g1 c5d4 e5c4 b7b6 c4e3 d5h5 c2c3 h5e2 d3e2 d4c5 e2f3 a8b8 b2b4 c5e7 c3c4 c8b7 f3b7 b8b7 f1d1 f6e4 d2e1 f8c8 f2f4 e4d6 a1c1 b7c7 d1d4 c7c6 e1f2 e7f6 d4d2 d6c4 d2c2 f6b2 c1d1 c4e3 c2c6 c8c6 f2e3 g8f8 d1d8 f8e7 d8a8 c6c7 a2a4 e7d6 a8d8 c7d7 d8c8 d6d5 g1f1 b2d4 e3d2 d5e4 f1e2 f7f6 c8c6 e6e5 f4e5 d4e5 h2h3 d7c7
Wch U20,Sharjah,1985.??.??,9,"Michel, C.","Ivanchuk, Vassily",0-1,2350,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 b8c6 f1b5 g8e7 c1g5 f7f6 g5e3 e8g8 d1d2 f6f5 f2f3 e4f3 g2f3 f5f4 e3f2 e6e5 b5c6 e7c6 d4d5 c6b8 e1c1 c8f5 h1e1 b8d7 c3e4 b7b6 d2c3 a8c8 c3c6 d8e8 c6b7 e8h5 d5d6 c7c6 e4d2 h5h2 e1e2 h2h5 d1e1 h5f7 b2b3 f7d5 b7a6 d5b5 a6b5 c6b5 c2c4 f5d3 e2e5 d7e5 e1e5 b5c4 b3c4 f8d8 c4c5
Wch U20,Sharjah,1985.??.??,10,"Ivanchuk, Vassily","Borges Mateos, Juan",1/2-1/2,,2320,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 c5d4 f3d4 d8b6 f1e2 f8c5 c3a4 b6a5 c2c3 c5d4 e3d4 c6d4 d1d4 d7b8 a4c5 b8c6 d4f2 e8g8 e1g1 a5c7 e2b5 c6e7 b5d3 c8d7 a1e1 a7a6 c5d7 c7d7 e1e3 f7f5 e5f6 f8f6 f1e1 a8f8 f2e2 f6f4 e3e6 e7g6 g2g3 f4f6 e6f6 f8f6 e2e8 g6f8 e8d7 f8d7 e1e8 g8f7 e8c8 f6b6 b2b3 g7g6 g1f2 d7e5 c8c7 f7e6 d3e2 b6c6 c7b7 c6c3 b7b6 e6f5 b6a6 d5d4 f2e1 c3c2 a2a4 d4d3 e2d1 c2h2 a4a5 f5e4 a6e6
