Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly","Ponomariov, Boris",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 f1d3 c8g4 e1g1 f8e7 f1e1 e8g8 c1g5 b8d7 b1d2 f8e8 c2c3 c7c5 d1b1 c5c4 d3f5 g4h5 g5f4 d7f8 f3e5 f8g6 e5g6 h5g6 f5g6 f7g6 b1c2 e7d6 f4d6 d8d6 d2f3 f6e4 f3e5 e8e6 e5c4 d6f4 c4e3 e4f6 e3f1 a8e8 e1e6 e8e6 a1d1 g6g5 c2d2 f4h4 f1e3 f6e4 d2e2 e6h6 h2h3 h6f6 d1f1 g5g4 e3g4 f6f5 f2f3 e4d6 e2f2 h4g5 f1e1 h7h5 g4e5 b7b5 e5c6 f5f7 f2e3 g5g3 c6e7 g8h8 e7d5 d6f5 e3f2 g3g5 f3f4 g5d8 d5e3 f5h4 g2g3 h4g6 f4f5 g6f8 f2e2 d8g5 g1g2 f8d7 h3h4 g5h6 e2f3 f7e7 f3f4 h6a6 a2a3 d7f6 e3c2 a6c6 f4f3 c6e8 e1e7 e8e7 c2e3 e7d6 g2h3 a7a5 d4d5 b5b4 a3b4 a5b4 f3f4 d6d7 c3c4 d7a7 d5d6 a7a1 f4f3 a1b2 d6d7 b2d4 e3d5 d4g4 f3g4 h5g4 h3g2 f6d7 d5b4 h8g8 b4d5 g8f7 g2f1 g7g6 f5g6 f7g6 f1e2 g6f7 e2e3 f7e6 e3d4 e6d6 h4h5 d7c5 h5h6 c5e6 d4e4 e6g5 e4f5 g5f7 h6h7 d6c5 f5f6 f7h8 f6g7
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly","Alekseev, V.",1/2-1/2,,,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 f2f3 d7d5 e4d5 f6d5 f1b5 c8d7 b5d7 b8d7 e1g1 f8c5 g1h1 e8g8 d4b3 c5e3 d1e2 e3c1 f1c1 d8g5 b1d2 d5f4 e2f2 d7f6 g2g3 f4g6 b3c5 g5d5 c5e4 f6h5 c1d1 d5c6 d2b3 b7b6 d1d6 c6c7 a1d1 a8d8 d6d8 f8d8 d1d8 c7d8 f2d2 d8e7 d2c3 e7d7 c3d4 d7e7 d4d6 h7h6 d6e7 g6e7 e4d6 e7c6 c2c3 g8f8 h1g2 f8e7 d6b5 e6e5 b3d2 e7d7 d2c4 f7f5 b5d6 d7e6 b2b3 h5f6 d6b5 f6d5 a2a4 a7a6 b5a3 c6a7 a3b1 b6b5 c4b2 e5e4 g2f2 e6e5 c3c4 d5b4 f2e3 b4c2 e3d2 c2d4 f3f4 e5e6 d2c3 a7c6 a4b5 a6b5 b3b4 g7g5 c4b5 d4b5 c3c4 c6d4 b1c3 b5c3 c4d4 c3e2 d4e3 e2c3 e3d4 c3e2 d4e3 e2c3 e3d4
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly",Budakov,1/2-1/2,,,C99,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c6a5 b3c2 c7c5 d2d4 c5d4 c3d4 d8c7 b1d2 f6d7 d2f1 a5c4 f1g3 g7g6 b2b3 c4b6 c1e3 e7f6 a1c1 c7d8 c2d3 c8b7 e1e2 d6d5 d4e5 d7e5 f3e5 f6e5 e4d5 d8d5 d3e4 d5d1 c1d1 b7e4 g3e4
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly",Gaimaletdinov,1-0,,,C62,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8g4 d4d5 a7a6 b5c6 b7c6 d5c6 h7h6 e1g1 g8f6 d1d3 f8e7 b1c3 e8g8 f3d2 d8e8 d3c4 a8b8 d2b3 b8b6 b3a5 g8h7 b2b3 g4e6 c4d3 f6h5 f1d1 f7f5 f2f3 f5f4 c3d5 e6d5 e4d5 h7h8 a5b7 e7f6 a1b1 e8f7 a2a4 f6g5 a4a5 b6b4 c2c3 b4b5 c3c4 b5b7 c6b7 f8b8 b3b4 b8b7 b4b5 a6b5 c4b5 f7e8 d3c4 e8a8 c4c6 a8a7 b5b6 c7b6 a5b6 a7a6 c1d2 h5f6 c6d6 e5e4 d2f4 g5f4 d6f4 e4f3 f4f3 b7b6 b1b6 a6b6 g1h1 b6d6 h2h3 h8h7 f3e2 f6g8 e2e6 d6e6 d5e6 g8f6 e6e7 h7g8 d1e1 g8f7 h1h2 f7e8 e1e5 f6g8 h2g3 g8e7 g3g4 e8f7 h3h4 e7g8 g4f4 f7f6 g2g4 g8e7 h4h5 g7g5 f4e4 f6f7 e5a5 e7g8 e4e5 f7g7 a5a7 g7h8 e5e6
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly","Kalashnikov, Viacheslav",1-0,,,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 b7c6 d2d4 e5d4 f3d4 c6c5 d4e2 c8b7 b1c3 g8f6 f2f3 c7c6 e4e5 f6d5 c3e4 f7f5 e5f6 d5f6 e4d6 f8d6 d1d6 d8e7 d6e7 e8e7 c1g5 a8e8 e1c1 d7d5 e2g3 b7c8 h1e1 e7f7 c1d2 h7h6 g5f6 f7f6 e1e8 h8e8 d1e1 e8e1 d2e1 f6e5 e1d2 d5d4 g3e4 c5c4 c2c3 c8f5 c3d4 e5d4 e4c3 f5d3 g2g3 g7g5 a2a3 h6h5 c3d1 d3f1 d1e3 f1d3 e3d1 d3g6 d1e3 g6d3 e3d1 d3h7 d1c3 h7g8 c3e2 d4e5 d2e3 e5d5 e2c3 d5e5 c3e4 e5f5 e4c5 f5e5 c5a6 e5d5 a6b4 d5c5 b4a2 c4c3 a2c3 c5c4 a3a4 c4b3 a4a5 g8c4 f3f4 g5f4 g3f4 b3b4 f4f5 b4a5 e3d4 a5b4 c3e4 c4a2 f5f6 a2f7 e4c5 f7d5 h2h4 d5f7 c5d3 b4b3 d3e5 f7e6 e5c6 b3b2 c6d8
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly",Mukhudulin,1/2-1/2,,,B56,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 e7e5 d4b3 f8e7 f2f3 e8g8 f1c4 a7a6 d1d2 d8c7 c4d5 c6b4 a1c1 f6d5 c3d5 b4d5 d2d5 c8e6 d5d2 f7f5 e4f5 f8f5 e1g1 a8f8 c2c4 c7d8 b3a5 e7g5 e3g5 f5g5 g1h1 g5h5 g2g3 d8c7 f1d1 e6h3 d2d5 f8f7 b2b4 c7b6 c4c5 b6b5 d5c4 b5c4 c1c4 d6c5 d1d8 f7f8 d8f8 g8f8 b4c5 h3e6 c4b4 e6a2 b4b7 a2d5 c5c6 d5f3 h1g1 f3g4 c6c7 e5e4 a5b3 h5b5 b7b8 f8e7 b3d4 b5c5 b8b6 g4c8 g1f2 c5c7 f2e3 c8b7 d4f5 e7f8 f5d6 c7c3 e3e2 b7c6 b6a6 f8e7 d6f5 e7f7 f5d6 f7e7 d6f5 e7e6 f5d4 e6d5 d4c6 c3c6 a6a7 d5d4 a7d7 d4e5 d7g7 c6c2 e2e3 c2h2 g7e7 e5f5 e7e4 h2h3 e4f4 f5g5 e3f3 h3h6 f4g4 g5f5 g4g7 f5f6
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly",Shefler,1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 f1e2 f8d6 e1g1 h7h6 f1e1 c8e6 b1d2 b8d7 d2f1 c7c6 e2d3 d8c7 d1e2 e8c8 c1e3 d8e8 f1g3 g7g6 c2c4 e6g4 c4c5 d6f4 e2d2 f4e3 e1e3 g4e6 b2b4 f6g4 e3e1 f7f5 a2a4 g4f6 g3f1 f6e4 d2b2 g6g5 e1b1 g5g4 f3d2 c7f4 d3e4 f5e4 b4b5 f4c7 b5b6 a7b6 c5b6 c7d6 a4a5 d7b8 d2b3 c8d8 b3c5 e6c8 a5a6 b7a6 b6b7 c8d7 b2b6 d6c7 b6a7 d8e7 f1e3 h8f8 c5a6 b8a6 a1a6 c7f4 a7c5 f4d6 c5c2 e8b8 b1b6 h6h5 a6a5 d6c7 e3d5
Zlatoust,Zlatoust,1961.??.??,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",1/2-1/2,,,A30,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 g2g3 c8b7 f1g2 c7c5 e1g1 f8e7 b1c3 c5d4 f3d4 b7g2 g1g2 d7d5 d1a4 d8d7 a4d7 b8d7 c4d5 f6d5 c3d5 e6d5 d4f5 g7g6 f5e7 e8e7 f1d1 e7e6 c1d2 a8c8 d2c3 h8d8 d1d4 d7c5 f2f3 d8d6 a1d1 c8d8 g3g4 f7f6 h2h4 h7h6 d4f4 c5d7 e2e4 d7e5 e4d5 d6d5 d1e1 a7a5 g4g5 h6g5 h4g5 f6f5 f4h4 e6d6 c3e5 d5e5 h4d4 d6c7 d4c4 e5c5 c4c5 b6c5 g2g3 d8d2 e1e6 d2d6 e6e7 d6d7 e7e5 c7d6 e5e8 d6c6 g3f4 d7d2 e8e6 c6d7 e6g6 d2b2 f4f5 c5c4 f5e4 b2d2 g6a6 d2a2 e4d4 c4c3 d4c3 a2a3 c3d4 a3f3 a6a5 d7e7 d4e5 e7f7 a5a6 f7g7 a6h6 f3f2 h6d6 f2f1 e5e4 f1f2 d6h6 f2f1 e4e5 f1f2 e5e6 f2f3 h6f6 f3e3 e6f5 e3f3 f5e6 f3e3 e6f5 e3f3 f5e5
Zlatoust,Zlatoust,1961.??.??,?,"Karpov, Anatoly",Zyulyarkin,1-0,,,B24,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1e2 e7e6 d2d3 g8e7 c1e3 c6d4 e1g1 e8g8 f2f4 a8b8 g1h1 b7b5 a2a3 d7d6 d1d2 d6d5 a1b1 a7a5 b2b4 d4e2 c3e2 d5d4 e3f2 c5b4 a3b4 a5a4 e4e5 e7f5 g3g4 f5h4 g2e4 f7f5 e5f6 g7f6 g4g5 f6g5 f4g5 h4f5 f2g3 b8b7 g3e5 b7f7 c2c3 d4c3 e5c3 h7h6 c3f6 d8b6 e2f4 h6g5 f6g5 f7h7 d2g2 g8f7 g2g1 b6d6 b1c1 f8h8 f1f2 c8d7 f4g6
Zlatoust,Zlatoust,1961.??.??,?,"Tarinin, X.","Karpov, Anatoly",1-0,,,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 c8d7 d2f1 a5c6 f1e3 f8e8 b2b3 e7f8 d4c5 d6c5 e3d5 f6d5 e4d5 c6a5 f3g5 h7h6 d5d6 f8d6 c2h7 g8f8 g5f7 f8f7 d1h5 f7e7 h5h4 e7e6 h4g4 e6f6 g4h4 f6f7 h4h5 f7f8 c1h6 e8e7 h5f3 e7f7 f3a8 d7c8 h6g5 a5c6 h7e4 c6e7 a1d1 e7f5 e4f5 f7f5 d1d6
