Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U16,Wattignies,1976.08.27,?,"Chandler, Murray G","Kasparov, Gary",1-0,,,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 b8c6 g1f3 c5d4 c3d4 e7e6 a2a3 d7d6 f1d3 d8a5 c1d2 a5b6 b1c3 d5c3 d2c3 d6e5 d4e5 f8e7 e1g1 c8d7 f3d2 b6c7 d1g4 e8c8 f1c1 c8b8 g4c4 d8c8 b2b4 f7f6 d2f3 c7b6 c4e4 f6f5 e4e1 a7a6 a1b1 g7g5 f3d2 c6d4 e1e3 c8c3 c1c3 f5f4 e3e1 g5g4 d2e4 d7c6 e4c5 b8a7 a3a4 c6f3 a4a5 b6d8 d3c4 e7c5 b4c5 d8h4 g2f3 g4f3 g1h1 h8g8 e1e4 g8g7 e4d4 h4g5 c5c6 a7b8 c6c7 g7c7 b1g1 g5h5 g1g8 c7c8 d4d6 b8a7
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Galle, Andre",1-0,,,C11,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6e4 d2e4 d5e4 c1e3 b7b6 g1e2 c8b7 e2g3 c7c5 d4c5 d8d1 a1d1 f8c5 e3c5 b6c5 f1b5 e8e7 e1g1 b7c6 b5c6 b8c6 g3e4 c6e5 e4c5 a8c8 b2b4 h8d8 f2f3 a7a5 c2c3 a5b4 c3b4 e5c6 d1d8 c8d8 b4b5 c6b4 f1b1 b4d5 b5b6 d8b8 b6b7 d5c7 b1b6 e7d8 g1f2 c7d5 b6d6 d8c7 d6d5 e6d5 c5a6 c7b7 a6b8 b7b8 f2e3 b8c7 e3d4 c7c6 a2a4 c6b6 d4d5 b6a5 d5d6 a5a4 d6e7 f7f5 e7f7
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Grinberg, Nir",1/2-1/2,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4b5 f8b4 a2a3 b4c3 b5c3 d7d5 e4d5 e6d5 f1d3 e8g8 e1g1 d5d4 c3e4 c8f5 c1g5 f5e4 d3e4 h7h6 g5f6 d8f6 d1h5 f8e8 f1e1
Wch U16,Wattignies,1976.??.??,?,"Roos, Louis","Kasparov, Gary",0-1,,,B50,e2e4 c7c5 b1c3 e7e6 g1f3 d7d6 g2g3 b8c6 f1g2 g8f6 d2d3 f8e7 e1g1 e8g8 h2h3 a8b8 a2a4 b7b6 f1e1 c8b7 c1g5 h7h6 g5e3 e6e5 g3g4 c6d4 g1h2 f6h7 f3g1 e7g5 c3d5 d4e6 g1e2 b7d5 e4d5 e6f4 e3f4 g5f4 e2f4 e5f4 g2e4 g7g6 d1d2 d8f6 c2c3 b8e8 f2f3 f6h4 d2g2 h7g5
Wch U16,Wattignies,1976.??.??,?,"Van der Wiel, John TH","Kasparov, Gary",1-0,,,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 d8c7 a2a4 g7g6 f1d3 f8g7 d4f3 c8g4 c1e3 b8c6 e1g1 e8g8 d1e1 g4f3 f1f3 e7e6 e1h4 c7d8 f3h3 h7h5 d3e2 d6d5 e4e5 f6d7 h4f2 d8e7 g2g4 h5g4 e2g4 a8d8 a1d1 f7f5 g4f3 f8f7 g1h1 g6g5 f3h5 g5g4 h5f7 e7f7 h3g3 f7h5 h1g2 d7f8 c3e2 f8g6 h2h3 g6h4 g2f1 g8f7 e2g1 d5d4 e3c1 g4h3 f2e2 h5e2 g1e2 h4g6 g3h3 g7f8 h3b3 d8d7 b3d3 f8c5 c2c3 c5a7 c1e3 d7d5 c3d4 c6b4 d3b3 a6a5 e3d2
Wch U16,Wattignies,1976.??.??,?,"Dunne, David Joseph","Kasparov, Gary",0-1,,,B51,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 d2d4 g8f6 b1c3 c5d4 d1d4 e7e5 d4d3 h7h6 c1e3 f8e7 e1g1 e8g8 a1d1 a7a6 b5c4 d8c7 a2a4 d7c5 e3c5 c7c5 c3d5 f6d5 c4d5 a8b8 f3d2 c8d7 d5b3 b7b5 a4a5 b8c8 d2f3 d7e6 f1e1 f8d8 e1e2 c8c7 e2d2 d8c8 h2h3 c5b4 b3e6 f7e6 d3b3 c7c4 d2e2 b4b3 c2b3 c4c1 d1c1 c8c1 g1h2 g8f7 f3e1 e7d8 e1d3 c1d1 d3b4 d8a5 b4a6 d1c1 b3b4 a5b6 b2b3 c1c3 e2a2 c3b3 a2c2 b6d4 c2c7 f7f6 f2f3 b3a3 c7c6 a3c3 c6c7 c3c7 a6c7 d4c3 c7b5 c3b4 b5a7 f6f7 h2g3 f7e8 g3g4 e8d7 f3f4 g7g6 h3h4 d7c7 f4f5 e6f5 e4f5 g6f5 g4f5 c7b7 a7b5 b7b6 b5d6 b4d6 g2g4 b6c6 g4g5 h6g5 h4g5 c6d5 g5g6 d6f8
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Rogers, Ian",1-0,,1865,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 c8e6 a3c4 a8c8 c4e3 f8e7 g5f6 e7f6 f1c4 e8g8 c4b3 c6d4 e1g1 f6g5 c3d5 d4b3 a2b3 g7g6 g1h1 g5h6 d1d3 f7f5 e4f5 g6f5 f2f4 g8h8 a1d1 d8h4 d3e2 e5f4 e3c4 e6f7 e2d3 f7h5 c4d6 h5d1 d6c8 d1h5 c8e7 f4f3 g2f3 h4h3 d5f4 h3h4 d3d4 h4f6 d4f6 f8f6 f4h5 f6f7 e7d5 f5f4 f1e1
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Cramling, Pia",1/2-1/2,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 c1g5 b8d7 b1c3 e7e2 f1e2 h7h6 g5h4 g7g6 d3d4 a7a6 e1c1 f8g7 h1e1 e8g8 e2c4 b7b5 c4d5 a8b8 d5c6 d7b6 a2a3 c8b7 c6b7 b8b7 h4f6
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Sendur, Adnan",1-0,,,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 b8d7 e1g1 e8g8 e4e5 d6e5 d4e5 f6g4 e5e6 d7e5 d1d8 f8d8 f3e5 g4e5 c3b5 c7c6 b5c7 a8b8 f2f4 e5g4 e2g4 g7d4 g1h1 d4b6 f4f5 b6c7 f5g6 f7g6 c1h6 c7e5 a1d1 d8d1 f1d1 e5d6 d1f1
Telechess ol1 7778,telex,1977.??.??,?,"Kasparov, Gary","West, Guy",1-0,,,B40,e2e4 c7c5 g1f3 g8f6 b1c3 e7e6 d2d4 c5d4 f3d4 f8b4 e4e5 f6d5 c1d2 d5c3 b2c3 b4f8 f1d3 d7d6 d1e2 b8d7 d4e6 d8b6 e6c7
