Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS Cup,URS,1984.??.??,?,"Khalifman, Alexander","Ratkovic, Milorad",1-0,,,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 a7a6 d4c5 f8c5 f1d3 b8c6 e1g1 g8e7 d1e2 e8g8 d2b3 c5a7 e4d5 e6d5 c1e3 a7b8 f1e1 h7h6 h2h3 f8e8 a1d1 d8c7 e3c5 b7b6 c5a3 c8d7 c2c3 e7g6 e2e8 d7e8 e1e8 g8h7 d1e1 h6h5 e1e7 c7e7 e8e7 c6e7 a3e7 h7g8 d3g6 f7g6 g1f1 b8c7 e7g5 a8e8 g5e3 g8f7 f1e2 f7e6 e2d3 e6d7 e3d4 e8e7 b3d2 e7f7 d2f1 d7c6 f1e3 c7d6 d3e2 f7b7 f3h4 g6g5 h4f3 d6f4 g2g3 f4e3 e2e3 b7e7 e3d2 g5g4 h3g4 h5g4
URS Cup,URS,1984.??.??,?,"Jailjan, M.","Khalifman, Alexander",1-0,,,E88,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 c7c6 f1d3 b7b5 d5c6 b5c4 d3c4 b8c6 g1e2 c8b7 e1g1 c6a5 c4d3 d6d5 e4d5 f6d5 c3d5 b7d5 e3c5 f8e8 e2c3 d5c4 d3c4 a5c4 d1e2 c4b6 c3e4 d8c8 e2f2 c8e6 a2a4 a8b8 b2b4 h7h6 a4a5 b6c4 a1d1 a7a6 f2e2 e8d8 d1d8 b8d8 e2a2 g7f8 f1c1 f7f5 a2c4 e6c4 e4f6 g8f7 c1c4 f8c5 c4c5 f7f6 c5c6 f6g5 c6a6 d8d1 g1f2 d1d2 f2g3 f5f4 g3h3 g5f5 a6b6 h6h5 a5a6 g6g5 a6a7 g5g4 f3g4 h5g4 h3h4 d2a2 b6b7 f4f3 g2f3 g4f3 h4g3 f3f2 g3g2 e5e4 b7b5
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Khalifman, Alexander",1/2-1/2,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4c5 d8a5 d1d5 a7a6 e1c1 b8c6 f1c4 c8e6 d5e4 f6f5 e4e2 e6c4 e2c4 e7e6 c3a4 a5b5 c4b3 c6d4 b3b5 a6b5 a4c3 f8c5 a2a3 e8e7 g1h3 b5b4 a3b4 c5b4 h3f4 b4c3 b2c3 d4b5 c1d2 a8a3 d1b1 h8d8 f4d3 b5d6 f2f3 d6c4 d2e2 b7b6 b1b3 a3a2 h1c1 e6e5 b3b4 e5e4 f3e4 f5e4 d3f4 b6b5 b4b5 d8d2 e2e1 d2c2 c1c2 a2c2 b5b4 c4d6 b4d4 f7f5
URS Cup,URS,1984.??.??,?,"Dautov, Rustem","Khalifman, Alexander",1/2-1/2,2215,,E32,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 f8b4 d1c2 c8b7 a2a3 b4c3 c2c3 d7d6 g2g3 e8g8 f1g2 b8d7 e1g1 a7a5 b2b3 d8e7 c1b2 f6e4 c3e3 f7f5 f3g5 d7f6 g5h3 f6d7 h3f4 f8e8 a1d1 d7f8 f1e1 f8g6 f2f3 g6f4 e3f4 e4f6 f4d2 e7f7 d2c2 f6d7 c2c3 e6e5 d4d5 d7f6 e2e3 e8e7 c3c2 f7g6 b2c3 b7a6 c3b2 a6b7 g2h3 b7c8 d1a1 g6h5 h3g2 c8b7 b2c3 b7a6 c3d2 e7e8 a1a2 a6b7 e1a1 c7c5 e3e4 f5e4 f3e4 e8f8 a1f1 f6g4 h2h3 f8f1 g2f1 g4f6 d2e1 h5g6
URS Cup,URS,1984.??.??,?,"Ruban, Vadim","Khalifman, Alexander",1/2-1/2,,,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 a7a5 c1e3 f6g4 e3g5 f7f6 g5h4 d8e8 f3d2 f6f5 e2g4 f5g4 h4g5 b8a6 e1g1 c8d7 d1e2 h7h6 g5e3 e8e7 b2b3 g8h7 a2a3 g7f6 f1b1 a6c5 b3b4 a5b4 a3b4 a8a1 b1a1 c5a6 b4b5 a6c5 a1a7 d7c8 e3c5 d6c5 b5b6 c7b6 d2f1 f6g5 c3b5 h6h5 f1e3 e7f6 d5d6 g5e3 e2e3 f8f7 a7a2 c8d7 a2d2 d7c6 b5c7 f7d7 e3d3 f6f7 c7a8 f7f4 f2f3 g4f3 g2f3 f4g5 g1h1 g5d8 a8c7 d8f6 h1g1 f6g5 g1h1 d7f7 d3e2 g5f6 d2d3 f7d7 e2d1 g6g5 c7d5 f6d6 f3f4 g5g4 d5f6 d6f6 d3d7 c6d7 d1d7 h7h6 f4f5 f6c6 d7d2 h6h7 d2g5 c6e4 h1g1 e4e1 g1g2 e1e2 g2g1 e2e1
URS Cup,URS,1984.??.??,?,"Khalifman, Alexander","Oll, Lembit",1/2-1/2,,2425,E01,d2d4 g8f6 c2c4 c7c5 g1f3 e7e6 g2g3 c5d4 f3d4 d7d5 f1g2 e6e5 d4f3 d5d4 e1g1 b8c6 e2e3 d4d3 b1c3 c8e6 f3g5 e6g4 d1b3 d8d7 c3d5 f6d5 g2d5 f7f6 f2f3 g4f5 g5f7 h8g8 f7d6 f8d6 d5g8 d6b4 g8d5 d3d2 c1d2 b4d2 a1d1 c6a5 b3a3 f5c2 d1d2 a5c4 d5c4 d7d2 a3c5 c2f5 c5d5 d2d5 c4d5 e8c8 e3e4 f5d7 f1c1 c8b8 g1f2 d8c8
EU-ch U20,Groningen,1985.??.??,1,"Khalifman, Alexander","Piket, Marcel",1-0,2485,,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g1f3 e8g8 e1g1 c7c6 f1e1 b8d7 h2h3 e7e5 c1e3 d8e7 e2f1 b7b5 a2a3 a7a6 d1d2 f8e8 e3g5 c8b7 a1d1 e7f8 d4e5 d6e5 d2e3 h7h6 g5h4 f8c5 e3c1 b7c8 f3d2 f6h5 d2b3 c5b6 f1e2 h5f4 e2g4 f4e6 g4e6 e8e6 d1d3 a6a5 a3a4 b5b4 c3d1 d7c5 d3d8 g8h7 b3c5 b6c5 d1e3 c8b7 d8d7 b7a6 d7f7 a8f8 f7f8 c5f8 h4g3 h6h5 e1d1 e6d6 b2b3 d6d4 d1d4 e5d4 e3f1 f8c5 c1d1 c5e7 f1d2 c6c5 d1f3 e7d7 f3f4 a6e2 e4e5 d7f5 d2e4 c5c4 e5e6 f5f4 g3f4 g7f8 f4g5 d4d3 e6e7 f8e7 g5e7 d3c2 e7g5 c4c3 e4c5
EU-ch U20,Groningen,1985.??.??,2,"Burgess, Mark R","Khalifman, Alexander",0-1,,2485,A05,g1f3 g8f6 c2c4 g7g6 b2b3 f8g7 c1b2 e8g8 g2g3 d7d6 f1g2 e7e5 e1g1 b8c6 d2d4 e5e4 f3e1 f8e8 e1c2 c6e7 d4d5 e7f5 e2e3 h7h5 b1c3 h5h4 a1b1 f5h6 c2d4 d8e7 d1d2 a7a6 b1c1 h6g4 b3b4 e7e5 c3d1 e5h5 h2h3 g4e5 g3g4 f6g4 h3g4 h5g4 d2e2 e5f3 g1h1 e8e5 d4f3 h4h3 f1g1 h3g2 g1g2 e4f3
EU-ch U20,Groningen,1985.??.??,3,"Khalifman, Alexander","Piket, Jeroen",1-0,2485,2380,B58,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5 d4f3 h7h6 e1g1 f8e7 f1e1 e8g8 h2h3 a7a6 e2f1 b7b5 a2a4 b5b4 c3d5 f6d5 e4d5 c6b8 a4a5 c8f5 c1d2 d8c7 d2b4 f5c2 d1d2 c2f5 f3e5 e7g5 f2f4 g5h4 e5c4 h4e1 a1e1 f8d8 g2g4 b8d7 g4f5 d7f6 c4b6 a8b8 b4c3 d8e8 e1e8 b8e8 f1a6 f6e4 d2e3 e4f6 e3d2 f6e4 d2d4 e4c3 d4c3 c7e7 a6b5 e8b8 b5f1 e7e4 c3d2 e4b1 d2f2 b1a2 a5a6 a2a5 b2b4
EU-ch U20,Groningen,1985.??.??,4,"Winsnes, Rikard","Khalifman, Alexander",0-1,,2485,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 d4b3 a7a5 a2a4 d6d5 f1b5 c6b4 h1e1 h7h6 e4d5 e6d5 d2e3 c8e6 g5f4 a8c8 f2f3 f6h5 f4e5 b4c6 b5c6 b7c6 b3c5 d8b6 c5e6 b6e3 e1e3 f7e6 e3e2 g8f7 c1b1 h5f6 d1e1 f8e8 g2g3 e7b4 e1f1 f6d7 c3d1 d7e5 e2e5 c8b8 f3f4 b4d6 e5e2 f7e7 d1f2 e7d7 f2d3 e8f8 f1e1 f8f6 c2c3 g7g5 f4g5 h6g5 b1c2 c6c5 d3e5 d6e5 e2e5 f6f2 e1e2 f2e2 e5e2 g5g4 e2e5 b8h8 e5g5 h8h2 c2c1 d7d6 g5g4 d6e5 c3c4 d5d4 g4g5 e5e4 g5c5 e4d3 c1b1 h2h1 b1a2 d3c2
