Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
GMA-qual,Belgorod,1989.??.??,?,"Arbakov, Valentin","Kramnik, Vladimir",0-1,2400,,A88,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3 e8g8 b1c3 d7d6 e1g1 d8e8 b2b3 b8a6 c1a3 c7c6 e2e3 a8b8 a1c1 b7b5 c4b5 c6b5 c3e2 b5b4 a3b2 f6d5 e2f4 a6c7 f4d5 c7d5 f1e1 h7h6 f3d2 e8f7 d2c4 c8d7 d1f3 d5f6 d4d5 b8b5 e1d1 f6e4 b2g7 g8g7 f3e2 e4c3 e2b2 g7h7 d1d2 f8c8 a2a3 c3d5 a3b4 d5b4 b2a3 a7a5 g2f1 b5c5 c1d1 d7e6 f1g2 e6c4 b3c4 f7c4 g2f1 c4e6 h2h4 h6h5 g1h2 e6e5 f1g2 c5c4 h2g1 e5c5 a3b3 h7g7 b3b2 c5e5 b2e5 d6e5 d2d7 c8c7 g2f1 c4c2 f1b5 g7f6 b5a4 c7d7 d1d7 c2a2 a4b3 a2a3 b3c4 a3c3 c4b5 c3c5 b5a4 e5e4 d7b7 b4d3 b7b6 e7e6 a4d7 c5e5 d7e8 e5d5 b6a6 d3e5 e8a4 e5f3 g1g2 f3d2 a6a7 d2f3 a7a6 d5c5 a4b3 c5e5 b3a4 f3e1 g2g1 e1d3 a6a7 e5c5 a7a6 c5c1 g1g2 c1a1 a4b5 d3e5 a6a8 a1a2 a8a7 a2b2 a7a5 e5g4 g2g1 b2f2 a5a6 f2f3 g1g2 g4e3 g2h2
GMA-qual,Belgorod,1989.??.??,?,"Moldobaev, Emil","Kramnik, Vladimir",1/2-1/2,2375,,A88,g1f3 f7f5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d4 e8g8 b2b3 d7d6 c1b2 d8e8 c2c4 b8a6 d4d5 c8d7 b1c3 c7c6 a1c1 a8c8 f3d4 e8f7 b2a3 g6g5 e2e3 f5f4 e3f4 g5f4 d4e2 f6h5 g2f3 g7e5 f3h5 f7h5 e2f4 h5d1 f1d1 e5f4 g3f4 f8f4 d1d3 g8f7 d3e3 c8g8
GMA-qual,Belgorod,1989.??.??,?,"Kramnik, Vladimir","Yakovich, Yuri",1-0,,2455,C54,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5 c2c3 d7d6 c4b3 c5b6 b1d2 c6e7 d2c4 e7g6 h2h3 c8e6 e1g1 e8g8 f1e1 h7h6 d3d4 e6c4 b3c4 f8e8 d1b3 d8d7 a2a4 a7a5 c1e3 f6e4 c4b5 c7c6 b5d3 e5d4 e3d4 b6d4 d3e4 e8e4 e1e4 d4f6 a1e1 d6d5 e4e3 a8d8 b3b6 d8a8 e1d1 g6e7 f3e5 d7c8 e3e2 h6h5 d1e1 a8a6 b6c5 c8c7 e5f3 e7g6 e2e8 g8h7 c5e3 g6f4 f3e5 f6g5 e3f3 g5h6 g2g3
GMA-qual,Belgorod,1989.??.??,?,"Kramnik, Vladimir","Taborov, Boris",1/2-1/2,,2385,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f2f4 d8a5 d1d2 e7e5 g1f3 b8d7 f1d3 e5d4 f3d4 g7g6 d4b3 a5c7 e1g1 f8g7 a2a4 b7b6 d3e2 e8g8 f1d1 f6e8 e2f3 a8b8 d2f2 e8f6 f2d2 f6e8 d2f2 a7a6 c1e3 b6b5 a4a5 c8b7 d1d2 b5b4 c3a4 c6c5 e4e5 c5c4 e5d6 e8d6 b3c5 c4c3 b2c3 d7c5 e3c5 d6c4 d2d3 f8e8 f3b7 b8b7 a4b6 c4b6 a5b6 c7c6 c5b4 c6b6 f2b6 b7b6 a1d1 b6b8 g1f2 g7f8 b4f8 g8f8
GMA-qual,Belgorod,1989.??.??,?,"Kramnik, Vladimir","Gorelov, Sergey G",1/2-1/2,,2455,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 a2a4 a7a6 b5a3 f8e7 f1c4 c8e6 e1g1 a8c8 c1g5 e8g8 g5f6 e7f6 c3d5 f6g5 c2c3 g8h8 d1e2 e6d7 c4d3 d7e6 d3c4 e6d7 c4d3 d7e6
GMA-qual,Belgorod,1989.??.??,?,"Kramnik, Vladimir","Efimov, Igor",1/2-1/2,,2395,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 g8f6 b1c3 h7h6 b5d6 f8d6 d1d6 d8e7 d6e7 e8e7 b2b3 d7d6 c1a3 a7a5 e1c1 c6b4 f2f3 c8d7 a3b2 h8c8 a2a3 b4a6 f1a6 a8a6 a3a4 a6c6 d1d3 d7e6 c1b1 f6d7 h1c1 d7c5 c3d5 e7f8 d3d2 f7f5 c1e1 f5e4 f3e4 e6d5 d2d5 f8e7 b2a3 c8f8 a3c5 c6c5 d5d2 b7b5 a4b5 c5b5 b1b2 e7e6 e1d1 b5b6 b2a3 f8f4 d2e2 b6b4 c2c4 b4b6
GMA-qual,Belgorod,1989.??.??,?,"Tataev, Manach","Kramnik, Vladimir",0-1,,,A81,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 g1f3 f8g7 e1g1 e8g8 b1d2 d7d6 c2c3 g8h8 f1e1 b8c6 e2e4 e7e5 d4e5 d6e5 d1b3 f5f4 g3f4 f6h5 f4f5 h5f4 d2f1 f4g2 g1g2 g6f5 e4f5 c8f5 c1g5 d8d7 f3g1 f5e6 b3b5 e6d5 f2f3 f8f3 g1f3 d7g4
GMA-qual,Belgorod,1989.??.??,?,"Basin, Leonid","Kramnik, Vladimir",1/2-1/2,2455,,A88,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3 e8g8 e1g1 d7d6 b1c3 d8e8 b2b3 b8a6 c1a3 c7c6 d1d3 a8b8 e2e4 f5e4 c3e4 f6e4 d3e4 c8f5 e4e3 g7f6 a1d1 a6c7 f1e1 e8d7 d1d2 b8e8 a3b2 a7a6 e3h6 f6g7 h6e3 f5g4 f3g5 h7h6 g5e4 g6g5 d4d5 g7b2 d5c6 b7c6 d2b2 c7e6 h2h4 d6d5 h4g5 d5e4 b2d2 d7c7 e3e4 g4f5 e4c6 c7c6 g2c6 e6g5 f2f4 e8c8 c6d5 e7e6 f4g5 e6d5 d2d5 h6g5 e1e5 f5g6 d5d6 g8g7 e5g5 f8f6 g5d5 c8c6 d6c6 f6c6 g1f2 c6e6 g3g4 g7f6 d5a5 f6e7 f2f3 e7d7 b3b4 d7c7 a5c5 c7b7 a2a3 g6d3 g4g5 d3e2 f3f4
GMA-Open,Moscow,1989.??.??,1,"Kramnik, Vladimir","Kuzmin, Gennadi P",1/2-1/2,,2505,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 e1g1 e8g8 c4b3 a7a6 f1e1 d7d6 c2c3 c8e6 b1d2 e6b3 d1b3 d8d7 d2f1 f8e8 f1g3 g7g6 d3d4 e7f8 c1g5 f8g7 a1d1 d7c8 h2h3 h7h6 g5c1 b7b6 f3h2 c6a5 b3c2 c7c5 d4d5 b6b5 c2e2 a5c4 h2g4 f6g4 h3g4 c4b6 c1e3 b6a4 f2f3 c5c4 e2d2 g8h7 g1f2 e8h8 e1h1 h7g8 e3h6 a4b2 d1f1 b2d3 f2g1 g7h6 h1h6 c8c5 g1h2 d3f4 h6h8 g8h8 g3f5 g6f5 g2g3 f5e4 f3e4 a8g8 g3f4 g8g4 f4e5 h8g7 e5e6 f7e6 d2e2 g4g6 e2f3 g6h6
GMA-Open,Moscow,1989.??.??,2,"Yurtaev, Leonid","Kramnik, Vladimir",0-1,2510,,B30,e2e4 c7c5 g1f3 b8c6 b1c3 e7e5 f1c4 f8e7 e1g1 d7d6 c3e2 g8f6 d2d3 c8g4 f3g5 e8g8 f2f3 g4h5 e2g3 h5g6 a2a3 f6h5 g5h3 d8d7 f3f4 h5f4 h3f4 e5f4 c1f4 e7f6 a1b1 c6e7 c4a2 g8h8 g1h1 b7b5 b2b4 c5b4 a3b4 a8c8 f4e3 f6e5 g3e2 d6d5 e4d5 e7d5 a2d5 d7d5 e3a7 f8e8 a7c5 g6h5 f1f5 h5g4 e2f4 d5a2 d1g4 a2b1 c5g1 e5d4 f4e2 d4g1 e2g1 b1a2 c2c4 a2a7 f5b5 c8d8 c4c5 d8d3 h2h3 a7a1 g4e2 d3d8 e2f2 a1a7 b5a5 a7c7 a5a1 d8b8 a1b1 c7d7 f2c2 d7c6 g1f3 h7h6 c2c3 e8e2 c3d3 c6e4 d3d1 b8e8 d1g1 e8e6 b4b5 e2g2 h1g2 e6g6 g2f2 e4c2 f2e3 g6g1 b1g1 c2c5 f3d4 f7f5 e3d3 c5b4 g1c1 f5f4 d3e4 h8h7 e4d5 h6h5 h3h4 b4e7 c1b1 f4f3 b1f1 e7f7 d5e4 f3f2 e4e3 f7e7 e3f2 e7h4 f2e3 h4g5 e3e4 h5h4 f1f5 g5g4 f5f4 g4g2 e4e3 g7g5 f4f2 g2g3 f2f3 g3e1 e3d3 g5g4 f3f7 h7g6 f7f4 e1g3 d3e4 h4h3
