Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Amsterdam,Amsterdam,1889.??.??,?,"Lasker, Emanuel","Mason, James",1/2-1/2,,,C47,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1e2 f8b4 e1g1 d7d6 d2d3 h7h6 c1d2 c8e6 d1c1 c6e7 c3d1 b4d2 f3d2 g7g5 f2f3 e7g6 f1e1 g6f4 e2f1 h6h5 g2g3 f4h3 f1h3 e6h3 e1e2 h3e6 d1f2 f6d7 d2f1 d8e7 c1e3 a7a6 c2c3 e8c8 b2b4 d8g8 a2a4 g5g4 f3g4 e6g4 f2g4 g8g4 e3f3 h8g8 f1e3 g4g5 e3f5 e7e6 a4a5 d6d5 a1b1 c7c6 c3c4 d5c4 d3c4 h5h4 b4b5 h4g3 h2h4 g5f5 e4f5 e6c4 b5c6 b7c6 f3e4 g8g4 e4c4 g4c4 e2g2 c4h4
Amsterdam,Amsterdam,1889.??.??,?,"Gunsberg, Isidor","Lasker, Emanuel",0-1,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d1e2 f8e7 c2c3 d7d6 d2d3 c8d7 b5a4 d8c8 b1d2 c6d8 a4b3 d7e6 d2f1 c7c6 f1g3 c8c7 e1g1 e8g8 b3c2 f8e8 d3d4 e7f8 f3h4 g7g6 c1g5 f8g7 e2d2 e6c4 f1e1 d8e6 b2b3 e6g5 d2g5 c4e6 g5d2 a8d8 h4f3 e6c8 a2a4 f6d7 a1d1 d7f8 b3b4 c8g4 d2e3 e5d4 c3d4 d6d5 h2h3 d5e4 g3e4 g4e6 c2b3 c7b6 d4d5 b6e3 e1e3 e6d5 b3d5 c6d5 d1d5 d8d5 e4f6 g7f6
Amsterdam,Amsterdam,1889.??.??,?,"Lasker, Emanuel","Bauer, Johann",1-0,,,A03,f2f4 d7d5 e2e3 g8f6 b2b3 e7e6 c1b2 f8e7 f1d3 b7b6 g1f3 c8b7 b1c3 b8d7 e1g1 e8g8 c3e2 c7c5 e2g3 d8c7 f3e5 d7e5 b2e5 c7c6 d1e2 a7a6 g3h5 f6h5 d3h7 g8h7 e2h5 h7g8 e5g7 g8g7 h5g4 g7h7 f1f3 e6e5 f3h3 c6h6 h3h6 h7h6 g4d7 e7f6 d7b7 h6g7 a1f1 a8b8 b7d7 f8d8 d7g4 g7f8 f4e5 f6g7 e5e6 b8b7 g4g6 f7f6 f1f6 g7f6 g6f6 f8e8 f6h8 e8e7 h8g7 e7e6 g7b7 d8d6 b7a6 d5d4 e3d4 c5d4 h2h4 d4d3 a6d3
Amsterdam,Amsterdam,1889.??.??,?,"Loman, Rudolf","Lasker, Emanuel",0-1,,,C79,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 b1c3 b7b5 a4b3 c8g4 h2h3 g4h5 d2d3 c6d4 g1h2 g7g5 g2g4 f6g4 h3g4 h5g4 b3f7 e8f7 f3g5 d8g5 c1g5 g4d1 f2f4 d1g4 f4e5 f7g6 g5f6 f8g7 f1f4 h7h5 a1f1 a8f8 f1f2 d6e5
Amsterdam,Amsterdam,1889.??.??,?,"Lasker, Emanuel","Bauer, JH.",1-0,,,A03,f2f4 d7d5 e2e3 g8f6 b2b3 e7e6 c1b2 f8e7 f1d3 b7b6 g1f3 c8b7 b1c3 b8d7 e1g1 e8g8 c3e2 c7c5 e2g3 d8c7 f3e5 d7e5 b2e5 c7c6 d1e2 a7a6 g3h5 f6h5 d3h7 g8h7 e2h5 h7g8 e5g7 g8g7 h5g4 g7h7 f1f3 e6e5 f3h3 c6h6 h3h6 h7h6 g4d7 e7f6 d7b7 h6g7 a1f1 a8b8 b7d7 f8d8 d7g4 g7f8 f4e5 f6g7 e5e6 b8b7 g4g6 f7f6 f1f6 g7f6 g6f6 f8e8 f6h8 e8e7 h8g7
Amsterdam,Amsterdam,1889.??.??,?,"Lasker, Emanuel","Van Foreest, Arnold E",1-0,,,D37,g1f3 g7g6 d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1f4 b8c6 a2a3 a7a6 e2e3 f8g7 h2h3 e8g8 c4c5 f8e8 f1e2 b7b6 c5b6 c7b6 a1c1 c8b7 e1g1 f6h5 f4h2 e6e5 f3e5 c6e5 d4e5 g7e5 e2h5 e5h2 g1h2 d8d6 h2h1 g6h5 d1h5 e8e6 c1d1 e6h6 h5g4 h6g6 g4d4 a8d8 d1d2 d6e6 e3e4 e6e7 e4d5 e7g5 f2f4 g5h4 d4e5 f7f5 f1e1 d8f8 d2e2 b7c8 e5d4 h4g3 d4f2 g3f2 e2f2 g6d6 e1e5 g8g7 f2e2 g7f6 h1g1 c8d7 g1f2 f8f7 f2e3 f6g7 e3d4 h7h5 b2b4 g7f6 a3a4 f7f8 g2g4 h5g4 h3g4 f8c8 e2h2 f6g7 g4f5 b6b5 a4b5 a6b5 c3e4 c8c4 d4e3 d6a6 f5f6 a6f6 h2h7
Amsterdam,Amsterdam,1889.??.??,?,"Van Vliet, Louis","Lasker, Emanuel",1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 c8g4 d4e5 b8d7 e5d6 f8d6 f1e2 g8f6 b1c3 d8e7 f3d2 h7h5 f2f3 g4e6 c3b5 d6e5 c2c3 h8h6 b5d4 h6g6 d4e6 g6g2 e2f1 g2h2 h1h2 e5h2 e6g7 e8f8 g7f5 e7e5 d1e2 d7b6 e2g2 f6d5 d2c4 b6c4 c1h6 f8e8 g2g8 e8d7 g8f7 d7c8 e1c1
Amsterdam,Amsterdam,1889.??.??,?,Leather,"Lasker, Emanuel",0-1,,,B23,b1c3 d7d5 g2g3 g8f6 f1g2 c7c5 d2d3 e7e6 e2e4 h7h6 g1e2 d5d4 c3b1 c8d7 f2f4 d7c6 b1d2 b8d7 d2f3 f8e7 h2h3 d8c7 a2a3 a8d8 b2b3 f6h7 e1g1 f7f5 f3e1 h7f6 e4e5 f6d5 c1d2 e8g8 g1h2 f8f7 b3b4 b7b6 e1f3 d7f8 d1e1 c6a4 a1c1 c7d7 h2h1 d8c8 b4c5 b6c5 c2c4 d4c3 e2c3 d5c3 c1c3 e7d8 e1c1 d8a5 c3c5 a5d2 f3d2 c8c5 c1c5 d7d3 c5b4 a4c2 f1c1 f7d7 d2f3 g7g5 b4c5 c2d1 c1c3 d3b1 c3c1 b1b2 c5c3 b2c3 c1c3 d1f3 g2f3 g5f4 g3f4 d7d4 f3h5 d4f4 c3c7 f4e4 h5f7 g8h8 c7c8 e4e5 f7e6 h8g7 c8c7 g7f6 e6f5 e5f5 c7a7 f5f2 a7a4 f8g6 h1g1 f2a2 g1f1 a2h2 f1g1 h2h3
Amsterdam,Amsterdam,1889.??.??,?,"Lasker, Emanuel","Burn, Amos",1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 g8f6 g1f3 f8d6 e1g1 e8g8 c2c3 c7c6 c1e3 c8e6 b1d2 b8d7 d1c2 d8c7 h2h3 d6f4 a1e1 f8e8 e3f4 c7f4 f3e5 d7f8 d2f3 f8g6
Amsterdam,Amsterdam,1889.??.??,?,NN,"Lasker, Emanuel",0-1,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 d4d5 f8e7 c1e3 g8f6 f1d3 f6g4 c2c4 g4e3 f2e3 d7c5 d3c2 e7h4 e1d2 c7c6 b1c3 c6d5 c3d5 h4e7 d1e2 a7a5 a1f1 e8g8 h2h4 a5a4 f3g5 f7f6 e2h5 h7h6 g5f3 g8h7 f3h2 c8e6 h5f3 a8b8 g2g4 b7b5 d2c1 b5c4 f3e2 d8c8 e2c4 c8b7 c4c3 f8c8 c3a3 c5b3 c1d1 b7b5 d5c3 b5a5 a2b3 c8c3 b2c3 a5c3 a3a4 e6b3 c2b3 c3d3 d1e1 b8b3
Leipzig8990 m,Leipzig,1889.??.??,1,"Lasker, Emanuel","Mieses, Jacques",1-0,,,A84,d2d4 f7f5 c2c4 c7c5 d4c5 d8a5 b1c3 a5c5 e2e4 f5e4 c3e4 c5c7 g1h3 g7g6 h3f4 f8g7 f4d5 c7d8 c1g5 g7b2 e4d6 e8f8 d1f3 b2f6 g5f6 g8f6 d5f6 e7f6 f3d5 d8e7 e1d2 f8g7 a1e1 e7f8 h2h4 h7h5 h1h3 b8c6 h3e3 f8d8 e3e8 h8e8 e1e8 d8a5 d5a5 c6a5 e8c8 a8c8 d6c8 a5c6 c8d6 b7b6 f1e2 f6f5 e2f3 c6e7 d6b5 a7a5 b5c7 e7c8 c7d5 g7f7 d2c3 f7e6 c3d4 d7d6 d5f4 e6f6 f3b7 c8a7 f4d5 f6e6 d5b6
Leipzig8990 m,Leipzig,1889.??.??,2,"Mieses, Jacques","Lasker, Emanuel",1/2-1/2,,,C25,e2e4 e7e5 b1c3 b8c6 g2g3 f8c5 f1g2 a7a6 g1e2 d7d6 d2d3 c8g4 h2h3 g4e6 e1g1 g8e7 c3d5 e8g8 c2c3 c5a7 g1h2 f7f6 f2f4 e6f7 g3g4 e7d5 e4d5 c6e7 c3c4 c7c6 d5c6 e7c6 e2g3 d6d5 b2b3 f8e8 c1b2 e5f4 f1f4 a7b8 f4f3 h7h5 h2h1 c6e5 b2e5 b8e5 d3d4 h5g4 h3g4 e5g3 f3g3 d5c4 b3c4 f7c4 g3h3 c4d5 d1d3 d5g2 h1g2 d8d5 g2h2 e8e4 a1c1 a8e8 c1c2 e8e7 g4g5 d5e6 g5f6 e4e2 c2e2 e6e2 h2g1 e2d3 h3d3 g7f6 g1f2 g8f7 f2f3 f7e6 f3e4 f6f5 e4f4 e7d7 d3d2 d7d5 f4e3 d5a5 d2b2 a5a3 e3f4 b7b5 b2c2 e6d5 c2d2 a3a4 f4e3 f5f4 e3f4 a4d4 f4e3 d4d2 e3d2 d5d4 d2c2 d4c4 c2b2 c4b4 b2b1 a6a5 b1b2 a5a4 b2b1 b4c3 b1c1 c3c4 c1c2 c4d4 c2d2
