Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chJ,Leningrad,1990.??.??,?,"Morozevich, Alexander","Kulaots, Kaido",0-1,,,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 b8d7 f1e1 d7c5 b3d5 f6d5 e4d5 b5b4 d5e6 f7e6 c3d5 c8d7 d1g4 e6e5 g4g3 e8f7 c1g5 d8b8 d4f3 b8b7 a1d1 d7c6 f3e5 d6e5 g3e5 a8e8 e5f4 f7g8 e1e8 c6e8 d5c7 h7h6 c7e8 h6g5 f4g5 b7e7 g5d5 e7f7 d5e5 f7h5 d1e1 h5e5 e1e5 h8h6 e8c7 h6c6 c7d5 c5d3 e5e2 d3b2 g2g4 a6a5 h2h4 b2d1 d5f4 d1c3 e2d2 a5a4 h4h5 c6d6
URS-chJ,Leningrad,1990.??.??,?,Macenis,"Morozevich, Alexander",1/2-1/2,,,C03,e2e4 e7e6 d2d4 d7d5 b1d2 a7a6 g1f3 g8f6 f1d3 c7c5 e4d5 d8d5 d4c5 f8c5 e1g1 e8g8 d2b3 c5e7 c1g5 b7b5 d1e2 d5d8 g5f6 g7f6 e2e4 f6f5 e4a8 d8b6 b3a5 e7d6 f3g5 f7f6 a8f3 f6g5 a5b3 b6c7 h2h3 b8c6 f3e3 c7g7 c2c4 d6f4 e3e2 c6e5 f2f3 g7h6 c4b5 h6h4 f1d1 h4g3 e2f2 g3h2 g1f1 g5g4 f2g1 h2g3 g1f2 g3h2 f1e2 f4g3 f2g1 g4f3 e2f1 h2g1 f1g1 f3f2 g1f1 a6b5 d3b5 e5g6 d1d2 e6e5 d2f2 g3f2 f1f2 e5e4 a2a4 f5f4 b5c6 e4e3 f2e1 g6e5 c6d5 g8g7 b3c5 f8d8 a1d1 c8f5 a4a5 d8c8 b2b4 f5c2 d1c1 c8c5 b4c5 e5d3 e1f1 d3c1 d5c4 c1b3 c4b3 c2b3 c5c6 b3c4 f1e1 g7f6
URS-chJ,Leningrad,1990.??.??,?,"Yemelin, Vasily","Morozevich, Alexander",1-0,,,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f1d3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 d2f3 f8d6 e1g1 e8g8 e2c3 a7a6 c1e3 d8c7 a1c1 f6g4 h2h3 g4e3 f2e3 c7e7 e3e4 d6b8 d3b1 e7c7 e4e5 c7e7 g1h1 b8a7 d1d2 c8d7 c3e2 a8c8 e2f4 g7g6 c1d1 e7g7 h3h4 g7h6 g2g3 c8e8 h1g2 e8e7 d2e3 h6g7 f3h2 c6e5 b2b3 d7e8 h2g4 e5c6 g4f6 g8h8 h4h5 g6h5 f6h7 f8g8 f1f3 c6e5 e3e5 g7e5 d4e5 e7h7 b1h7 h8h7 f4e6 d5d4 f3f8 e8c6 g2h2 g8g4 f8f4 g4f4 g3f4 h7g6 e6d4 c6e4 d1e1 e4d5 e1d1 d5e4 h2g3 a7b6 e5e6 g6f6 e6e7 e4g6 d4c6 b7c6 d1d6 f6e7 d6g6 e7d7 g3h4 b6e3 f4f5
Moscow7 op,Moscow,1991.??.??,?,"Zlotnik, Boris A","Morozevich, Alexander",0-1,2450,,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 a7a5 c1e3 f6g4 e3g5 f7f6 g5d2 f6f5 e4f5 g6f5 f3g5 d8e8 c4c5 d6c5 d1b3 g8h8 e1g1 g4f6 e2c4 a5a4 b3c2 c7c6 d2e3 b7b5 e3c5 b5c4 c5f8 e8f8 g5e6 f8d6 e6g7 h8g7 d5c6 b8c6 a1d1 c6d4 c2d2 f5f4 c3b5 d4b5 d2d6 b5d6 d1d6 c8f5 f1e1 a8b8 g2g4 f5g6 e1e5 b8b2 e5e7 g7f8 e7c7 f6e8 d6d8 b2d2 d8d2 e8c7 d2d4 c4c3 d4f4 f8e7 f4a4 g6d3 a4a7 e7d6 a7a3 c7d5 a3c3 d5c3 f2f3 d6e5 g1f2 e5f4 a2a3 d3e2
Moscow7 op,Moscow,1991.??.??,?,"Balashov, Yuri S","Morozevich, Alexander",1-0,2590,,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7 d2d3 f8d6 c2c3 e8g8 b1d2 h7h6 a2a3 f8e8 f3h4 d6f8 d1f3 d7d5 f1e1 c6b8 e4d5 b7d5 b3d5 d8d5 d2e4 f6e4 e1e4 e8e6 h4f5 d5c6 f3g3 b8d7 e4g4 e6g6 c1e3 g6g4 g3g4 g8h7 d3d4 a8e8 a1d1 d7f6 g4e2 e5e4 e3f4 f6d5 f4e5 g7g6 f5e3 f8d6 e5d6 c7d6 e2c2 d5b6 d4d5 c6c5 d1d4 f7f5 h2h4 e8e5 h4h5 b6d7 h5g6 h7g8 e3f5 e5f5 c2e4 f5e5 e4f4 e5e7 f4h6 d7f8 d4h4 e7e1 g1h2
Moscow7 op,Moscow,1991.??.??,?,"Petrosian, Arshak B","Morozevich, Alexander",1/2-1/2,2505,,E65,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 b1c3 d7d6 g1f3 c7c5 e1g1 b8c6 d4c5 d6c5 c1e3 c8e6 d1a4 c6d4 a1d1 e6d7 a4a3 d4c2 a3c5 b7b6 c5g5 h7h6 g5f4 g6g5 f4e5 a8c8 c3d5 f6d5 e5d5 c2e3 f2e3 d7c6 d5d8 f8d8 b2b3 b6b5 d1d8 c8d8 c4c5 e7e5 f3h4 c6g2 h4g2 e5e4 f1c1 g8f8 a2a4 b5a4 b3a4 f7f5 g2e1 d8c8 c1c4 f8f7 c5c6
Moscow7 op,Moscow,1991.??.??,?,"Morozevich, Alexander","Zvjaginsev, Vadim",1/2-1/2,,2400,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7 d2d3 f8e7 c2c4 d7d6 b1c3 b5c4 b3c4 e8g8 a2a3 c6d4 c1e3 c7c5 b2b4 c5b4 a3b4 d6d5 c3d5 d4f3 d1f3 f6d5 c4d5 b7d5 e4d5 e7b4 d3d4 b4c3
Moscow7 op,Moscow,1991.??.??,?,"Morozevich, Alexander","Sturzesecher, S.",1-0,,,B54,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 b8c6 c2c4 g8f6 b1c3 e7e6 f1e2 f8e7 e1g1 e8g8 c1e3 c6d4 e3d4 b7b6 d1d2 c8b7 f2f3 f6e8 a1d1 e7f6 b2b3 f6d4 d2d4 e6e5 d4d2 a7a6 f1f2 d8c7 e2f1 a8d8 c3d5 b7d5 c4d5 b6b5 d1c1 c7b7 d2a5 d8d7 c1c6 e8c7 f2c2 b7a7 a5b6 a7b6 c6b6 f7f5 b6b7 f8f7 c2c6 g7g6 f1d3 f5f4 g1f2 g8g7 g2g3 g6g5 g3f4 g5f4 d3f1 c7e8 b7d7 f7d7 c6a6 d7c7 f1b5
Moscow7 op,Moscow,1991.??.??,?,"Morozevich, Alexander","Savchenko, Stanislav",0-1,,2485,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 e1c1 d6d5 d2e1 e7e6 g2g4 e6e5 d4c6 b7c6 e4d5 c6d5 e3g5 c8b7 e1e5 h7h6 g5h4 g6g5 h4e1 f6g4 e5g3 g4e3 d1d2 d8a5 g3f2 g7c3 c1b1 a5b4
Moscow7 op,Moscow,1991.??.??,?,"Morozevich, Alexander","Lempert, Igor",0-1,,2440,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 f8b4 f1d3 e6e5 d4e2 d7d5 e4d5 f6d5 e1g1 d5c3 e2c3 b8c6 c3e4 c8f5 c2c3 b4e7 e4d6 e7d6 d3f5 e8g8 c1e3 d8c7 d1a4 c6e7 f5e4 f7f5 e4c2 e5e4 g2g3 e7g6 a1d1 g6e5 d1d5 e5g4 e3c1 a8e8 d5f5 g4f6 a4a7 c7c8 f5b5 c8h3 b5b7 e8e5 c2d1 d6c5 a7a6 e5f5 a6e2 h7h5 c1e3 f5f3 e2f3 e4f3 d1f3 c5e3 f2e3 h5h4 f3g2 h3e6 g3h4 e6e3 g1h1 f8d8 f1g1 f6g4 g2c6 d8d2
