Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Cannes,1997.??.??,1,"Bellaiche, Antony","Nakamura, Hikaru",1-0,,,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 f1e1 h5f4 e2f1 f7f5 c1f4 e5f4 e4e5 h7h6 d1d2 g6g5 e5d6 c7d6 f3d4 e7g6 a1d1 g6e5 c4c5 a7a5 a2a3 a5b4 a3b4 d8f6 c3b5 d6c5 b4c5 c8d7 b5c7 a8c8 d5d6 b7b6 c7d5 f6f7 d5e7 g8h8 e7c8 b6c5 d4f3 e5f3 g2f3 d7c6 c8e7 c6f3 f1e2 f3b7 d2d3 g5g4 d3f5 f7f5 e7f5 f8f5 d6d7 g7f6 d7d8q f6d8 d1d8 h8g7 d8d7 f5f7 d7f7 g7f7 e2g4 c5c4 e1c1 b7d5 g4e2 f7f6 e2c4 d5e4 c1e1 e4f5 f2f3 h6h5 h2h4 f6g6 g1g2 g6f6 e1e8 f5d7 e8h8 f6g6 c4d3 g6f6 h8h5 f6g7 h5g5 g7f6 d3e4 d7c8 g5g4 f6e5 g4g8 c8d7 h4h5 e5f6 h5h6 d7e6 h6h7 e6g8 h7g8q f6e7 g8g4 e7f6
Wch U10,Cannes,1997.??.??,2,"Nakamura, Hikaru","El Mikati, Mohamad",1-0,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 c2c3 b8c6 g1f3 e6e5 e4f6 d8f6 d4e5 c6e5 d1e2 e8g8 f3e5 f8e8 e1c1 h7h6 d1e1 f6f4 e2e3 f4f5 f1d3 f5e6 d3c4 e6f5 c4f7 g8f8 e5g6 f8f7 e3e8 f7f6 e1e5 f5e5 g6e5 b7b6 e8c6 f6e5 h1e1 e5f4 g2g3 f4g4 e1e4 g4f3 e4f4 f3e2 c6f3 e2f1 f4e4 c8b7 f3h1 f1f2 e4f4 f2e2 h1d1 e2e3 d1d2
Wch U10,Cannes,1997.??.??,4,"Nakamura, Hikaru","Eryomenko, Volodymyr",1-0,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 f1c4 b8c6 c4b5 e7e6 b5c6 b7c6 h2h3 g4h5 e1g1 f8e7 f1e1 a5f5 e1e3 h5g6 f3e1 e7d6 c1d2 f6d5 c3d5 c6d5 c2c4 e8g8 e3f3 f5h5 c4c5 g6e4 c5d6 e4f3 e1f3 c7d6 d2f4 f8d8 d1e2 h5f5 e2d2 a8c8 a1c1 c8c4 b2b3 c4c1 d2c1 f7f6 f4d6 h7h6 d6g3 g7g5 c1c7 d8e8 c7a7 h6h5 g1h2 h5h4 g3d6 e6e5 d4e5 f5f4 h2h1 f6e5 a7d7 e8a8 d6e5 f4e4 d7g7
Wch U10,Cannes,1997.??.??,5,"Amin, Bassem","Nakamura, Hikaru",1-0,,,A04,e2e4 c7c5 g1f3 e7e6 d2d3 d7d6 g2g3 b8c6 f1g2 g8e7 e1g1 g7g6 b1d2 f8g7 f1e1 e8g8 a2a4 b7b6 h2h4 h7h5 c2c3 d6d5 e4e5 f7f6 e5f6 g7f6 d2f1 e7f5 c1g5 g8g7 g5f6 d8f6 d1e2 f8e8 f3g5 c8d7 f1d2 a8d8 d2f3 e6e5 a1c1 e8e7 c3c4 c6d4 f3d4 f5d4 e2f1 d7c6 c4d5 c6d5 g2d5 d8d5 e1e3 e7d7 c1c3 a7a6 a4a5 b6b5 g5e4 f6e7 f1c1 c5c4 g1g2 d4b3 c1b1 b3a5 b1a2 b5b4 d3c4 b4c3 c4d5 c3c2 e3c3 e7b4 e4c5 b4c3 b2c3 c2c1q c5d7 c1c3 d7e5 c3e5 a2a5 e5e4 g2f1 e4h1 f1e2 h1e4 e2d1 e4h1 d1d2 h1g2 d2e3 g2f1 a5c7 g7h6 d5d6 f1e1 e3d3 e1d1 d3e4 d1e2 e4d5 e2f2 d6d7 f2g2 d5c5 g2f2 c5c6 f2c2 c6b7 c2b3 b7c8 b3e6 c7f4 h6h7 f4f8 a6a5 c8d8 e6c6 f8e7 h7h6 d8e8 a5a4 e8f8 c6f3 f8g8 f3d5 e7f7 d5a8 f7f8 a8f8 g8f8 a4a3 d7d8q
Wch U10,Cannes,1997.??.??,7,"Lepan, Marvin","Nakamura, Hikaru",0-1,,,E60,d2d4 g8f6 c2c4 g7g6 b2b3 f8g7 c1b2 e8g8 g2g3 d7d6 f1g2 e7e5 d4e5 f6d7 g1f3 d6e5 e1g1 e5e4 b2g7 e4f3 g7f8 f3g2 g1g2 d8f8 b1c3 d7f6 f2f3 b8c6 e2e4 f8h6 f1f2 c8h3 g2g1 h6e3 d1e1 e3e1 a1e1 c6e5 e1d1 h3d7 c3d5 f6d5 d1d5 f7f6 g1g2 d7c6 d5d4 a8e8 h2h3 g8g7 h3h4 f6f5 g2h3 e8e7 b3b4 a7a6 c4c5 h7h5 a2a3 f5e4 f3e4 e5g4 f2e2 c6e4 a3a4 g4e3 h3h2 e4f3 e2b2 e3g4
Wch U10,Cannes,1997.??.??,8,"Nakamura, Hikaru","Baramietze, David",0-1,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1b5 c6d4 b5d3 d7d6 f3d4 c5d4 c3e2 e7e5 e1g1 g8e7 c2c3 e8g8 c3d4 e5d4 d3c2 d8b6 d2d3 d6d5 e2g3 d5e4 g3e4 e7f5 g1h1 c8e6 g2g4 f5d6 h2h3 f7f5 e4g5 e6d5 h1h2 g7h6 c1d2 a8c8 c2a4 f5g4 a4d7 h6g5 d7c8 d6c8 h3g4 b6d6 h2g3 g5h6 d1e1 d6a6 e1e2 c8d6 e2e5 a6d3 g3h4 d3d2 e5d5 f8f7 g4g5 d2h2 h4g4 d6f5 d5d8 h6f8 g4f3 h2g3 f3e4 f7e7 e4d5 f5e3 d5d4 e3f5 d4c4 e7e4 c4b5 f5d4 b5c4 d4c6
Wch U10,Cannes,1997.??.??,10,"Nakamura, Hikaru","Djukic, Stevan",1-0,,,B23,e2e4 c7c5 b1c3 e7e6 f2f4 b8c6 g1f3 d7d5 f1b5 g8f6 b5c6 b7c6 e4e5 f6d7 d2d3 f8e7 e1g1 a7a5 b2b3 d7b6 c1a3 c5c4 a3e7 d8e7 b3c4 d5c4 c3e4 e8g8 d3d4 b6d5 d1d2 c8a6 c2c3 e7a3 f3e1 f8b8 e1c2 a3b2 f4f5 e6f5 f1f5 d5e3 d2e3 b2c2 a1f1 c2a2 e4f6 g7f6 e3h6 a2a3 e5f6 a3f8 f5g5 g8h8 g5g7
World op,Philadelphia,1998.06.28,2,"Knecht, Mark E","Nakamura, Hikaru",1-0,2200,,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 h2h3 e8g8 f1e2 b8d7 e1g1 d8e8 f4h2 e7e5 c2c4 e8e7 b1c3 c7c6 b2b4 f8d8 d1b3 e5e4 f3d2 d7b6 c4c5 d6c5 b4c5 b6d5 d2c4 c8e6 b3b2 d5c3 b2c3 e6c4 e2c4 f6d5 c3b3 b7b5 c5b6 d5b6 a1c1 b6d5 c4a6 d5b4 b3a4 g7f8 c1c5 a8b8 h2b8 d8b8 c5e5 e7h4 a2a3 f8d6 a3b4 d6e5 d4e5 h4e7 a4c6 e7e5 b4b5 f7f5 f1c1 b8d8 c6c4 g8h8 c4f7 e5b2 f7c7 d8d3 b5b6
Cardoza US op,Kona,1998.08.04,4,"Thinnsen, James A","Nakamura, Hikaru",1-0,2350,,A45,d2d4 g8f6 c1g5 f6e4 g5f4 c7c5 d4d5 d8b6 f4c1 e7e6 f2f3 e4f6 c2c4 b6b4 c1d2 b4c4 e2e4 c4d4 b1c3 e6d5 g1e2 d4e5 d2f4 e5e6 e4d5 e6b6 e2g3 d7d6 f1b5 c8d7 d1e2 e8d8 e1c1 a7a6 b5d3 f8e7 g3f5 d7f5 d3f5 b8d7 d1d3 h8e8 d3e3 b6c7 f4g5 c5c4 h1e1 d7e5 e3e5 d6e5 d5d6 e7d6 e1d1 e5e4 g5f4 d8e7 f4d6 c7d6 d1d6 e7d6 c3e4 f6e4 f5e4 a8b8 e2d2 d6e7 d2b4 e7d7 e4f5
Cardoza US op,Kona,1998.08.09,9,"Nakamura, Hikaru","Krush, Irina",1-0,,2275,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 d4c6 d7c6 d2d4 f8e7 f1e2 a8b8 e2f3 d8b6 g5f6 g7f6 h1e1 b6d4 d1d4 e8d7 e1d1 d7c7 f3g4 a6a5 d1e1 h7h5 g4h3 e7f8 f4f5 b5b4 c3d1 e6e5 d4d3 f8h6 c1b1 b8b5 c2c4 b5c5 b2b3 a5a4 d1b2 a4b3 a2b3 h8a8 b1c2 h5h4 h3g4 h6f4 h2h3 f4g3 e1e2 a8a1 d3d1 c5a5 g4f3 a1d1 b2d1 a5a1 d1e3 c7b6 e2d2 b6c5 e3d5 g3f2 c2b2 a1f1 d2d1 f2d4 b2c2 f1f2 d1d2 f2f1 d5f6 f1a1 d2d3 a1a2 c2c1 d4c3 f6d5 c6d5 d3d5 c5c6 f3h5 f7f6 h5e8 c6c7 c4c5 d6c5 d5c5 c7d8 e8h5 a2g2 c5c6 g2g1 c1c2 g1g2 c2d3 g2g3 d3c4 g3h3 c6f6 h3g3 f6g6 d8e7 g6e6 e7d8 f5f6 c3d4 f6f7 g3c3 c4b4
