Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Tbilisi,Tbilisi,1945.??.??,?,"Sereda, Viktor","Petrosian, Tigran V",0-1,,,E60,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 c2c4 b8d7 d1c2 e7e5 d4e5 d6e5 f1d1 f8e8 h2h3 c7c6 c1e3 d8c7 b1c3 d7b6 f3d2 c8e6 c3a4 f6d7 a4c5 d7c5 e3c5 f7f5 d2f3 a8d8 b2b3 h7h6 g3g4 e5e4 f3d4 e6c8 e2e3 b6d7 c5b4 d7e5 b4c3 e5d3 g4f5 g6f5 d4e2 d8d7 e2g3 d7f7 g3h5 g7c3 c2c3 c7e7 h5f4 d3f4 e3f4 f7g7 c3e3 g8h7 g1h2 e7h4 d1d2 e8g8 g2h1 c6c5 a1d1 b7b6 d2d6 g7g4 d6d2 g4f4 d1g1 f4g4 g1g4 g8g4 d2d6 g4g6 d6g6 h7g6 h1g2 g6f6 e3d2 f6e7 d2e3 h4g5 e3g3 f5f4 g3g5 h6g5 g2e4 e7d6 h2g2 d6e5 e4g6 e5d4 g6h5 c8f5 h5d1 a7a5 a2a4 f5e4 g2h2 d4d3 h3h4 g5h4 h2h3 f4f3 h3g4 h4h3 g4h3 d3d2
Tbilisi,Tbilisi,1945.??.??,?,"Petrosian, Tigran V","Buslaev, Aleksander",1-0,,,E16,g1f3 g8f6 c2c4 e7e6 d2d4 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4d2 d1d2 e8g8 e1g1 d7d6 b1c3 f6e4 d2c2 e4c3 c2c3 b8d7 a1d1 a7a5 f1e1 f7f5 f3g5 d8g5 g2b7 a8d8 b7c6 d7f6 c3f3 e6e5 d4e5 d6e5 f3c3 f5f4 c3f3 h7h5 e2e3 d8d1 e1d1 f6g4 f3d5 g8h8 e3f4 g5f6 d1d2 e5f4 d5h5 g4h6 c6e4 f4g3 h2g3 c7c6 h5g6 f6g6 e4g6 f8c8 d2d7 b6b5 c4b5 c6b5 d7a7 a5a4 a7b7 h6g8 b7b5 g8e7 g6f7 g7g6 b5b7 e7c6 f7g6
Tbilisi,Tbilisi,1945.??.??,?,"Petrosian, Tigran V","Kasparian, Genrikh",1-0,,,D90,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1a4 c8d7 a4b3 d5c4 b3c4 e8g8 c1f4 c7c6 e2e4 d7e6 c4d3 b8a6 f1e2 d8b6 e1g1 a8d8 h2h3 f6h5 f4e3 c6c5 e4e5 f7f6 d4c5 b6b2 c3a4 b2a1 f1a1 d8d3 e2d3 a6b4 d3e4 e6d5 a4c3 d5e4 c3e4 f6f5 e4g5 b4c6 a1b1 f8b8 g2g4 c6d8 g4h5 h7h6 h5g6 h6g5 e3g5 d8c6 e5e6 f5f4 g1g2 g7d4 f3d4 c6d4 g5f4 b8f8 f4e5 d4c6 f2f4 c6e5 f4e5 b7b6 c5b6 a7b6 b1f1 f8a8 f1f7 a8a2 g2g3 a2a1 g3g4 a1e1 f7e7 e1e5 h3h4 e5e1 h4h5 e1g1 g4f5 g1f1 f5g5 f1f8 h5h6
Tbilisi,Tbilisi,1945.??.??,?,Agamalian,"Petrosian, Tigran V",0-1,,,A53,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 d4e5 d6e5 d1d8 e8d8 c1g5 c7c6 e1c1 d8c7 g1f3 b8d7 a2a3 f6g4 g5h4 f7f6 h2h3 g4h6 g2g4 h6f7 h4g3 a7a5 f3d4 d7c5 e2e3 f7d6 d4c2 d6e4 c3e4 c5e4 g3h4 g7g5 h4g3 h7h5 g4h5 e4g3 f2g3 h8h5 f1g2 c8e6 g2f1 a5a4 d1d2 f8c5 d2f2 f6f5 h1g1 a8h8 c1d2 f5f4 g3g4 h5h3 f1h3 h8h3 d2d3 c5e3 c2e3 h3e3 d3d2 e6c4 g1e1 e3e1 d2e1 e5e4
Tbilisi,Tbilisi,1945.??.??,?,Agamalian,"Petrosian, Tigran V",1-0,,,D02,d2d4 g8f6 g1f3 d7d5 g2g3 c8f5 f1g2 e7e6 e1g1 b8d7 b2b3 f8d6 c1b2 c7c6 b1d2 e8g8 c2c4 f6e4 f3h4 e4d2 d1d2 f5g6 h4g6 h7g6 e2e4 d5e4 g2e4 d7f6 e4g2 d6e7 a1d1 d8c7 d2c3 f8d8 d1d3 d8d7 f1d1 a8d8 a2a4 a7a5 c3c2 e7b4 c2e2 c7b8 b2c1 b8c7 c1g5 b4e7 g5f4 e7d6 f4e3 d6e7 f2f4 b7b5 c4b5 c6b5 d1c1 c7b8 g2c6 d7c7 a4b5 f6d5 e3d2 d5b4 d2b4 e7b4 g3g4 d8d5 c1c4 d5d6 e2f2 b8d8 g4g5 f7f6 f2h4 e6e5 f4e5 f6e5 d3h3 d6d4 h4h7
Tbilisi,Tbilisi,1945.??.??,?,"Blagidze, Alexander","Petrosian, Tigran V",1/2-1/2,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6 d1c2 d7d5 g1f3 d5c4 f1c4 e8g8 e1g1 b4d6 e3e4 e6e5 d4d5 c6e7 c3b5 e7g6 c1d2 f6h5 f1c1 c8g4 f3e1 h5f4 b5d6 c7d6 d2e3 a8c8 c2b3 b7b6 f2f3 g4d7 c4f1 f7f5 g2g3 f5e4 g3f4 e5f4 e3d4 e4e3 c1c3 c8c3 b2c3 g6h4 g1h1 d8e7 b3c2 g7g5 f1d3 d7h3 d3e4 e7f7 a2a4 h4f5 e4f5 h3f5 c2g2 h7h6 a4a5 f7d5 a5b6 a7b6 h2h4 g5g4 a1a7 f8f7 g2a2 d5a2 a7a2 g4f3 e1f3 f5e4 h1g2 g8h7 a2a6 h7g6
Tbilisi,Tbilisi,1945.??.??,?,"Buslaev, Aleksander","Petrosian, Tigran V",1/2-1/2,,,E68,c2c4 e7e5 b1c3 g8f6 g1f3 d7d6 d2d4 b8d7 e2e4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 a7a5 h2h3 f8e8 c1e3 e5d4 f3d4 d7c5 f2f3 c7c6 f1e1 d8c7 g1h2 f6d7 d1c2 d7e5 c3e2 c8d7 a1d1 f7f6 d1d2 g7f8 f3f4 e5f7 e2c3 f8g7 d4f3 e8e7 e1d1 b7b6 e3f2 a8e8 f3d4 c7c8 g3g4 c8a6 b2b3 a6b7 f2g3 b7c8 a2a3 f6f5 e4f5 g6f5 d4f5 d7f5 g4f5 e7e3 c3a4 c5a4 b3a4 e3c3 c2b1 e8e3 g3f2 c3b3 f2e3 b3b1 d1b1 c8f5 b1b6 f7e5 g2c6 e5c6 b6c6 f5e4 c6c8 g8f7 c8c7 f7e6 d2e2 g7d4 f4f5 e6f5 e2f2 f5e6 e3d4 e4d4 f2f7 d4b2 h2g3 b2a3 g3g4 e6e5 f7f5 e5e6 f5a5 a3d3 a5g5 d3e2 g4h4 e2f2 h4h5 f2f3
Tbilisi,Tbilisi,1945.??.??,?,Gabuniya,"Petrosian, Tigran V",0-1,,,B70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g3 g7g6 f1g2 c8d7 e1g1 f8g7 d4e2 e8g8 a2a4 a8c8 c1e3 f6g4 e3f4 c6b4 a1c1 a7a6 d1d2 d8c7 h2h3 g4e5 b2b3 d7h3 f4e5 g7e5 c3d5 b4d5 g2h3 d5c3 h3c8 f8c8 e2c3 e5c3 d2d3 c3b2 c1d1 c7c2 d3c2 c8c2 d1d3 b7b5 f1d1 b5a4 b3a4 c2c4 d3b3 b2e5 a4a5 c4a4 b3b7 g8f8 f2f4 e5c3 d1d5 c3a5 b7b8 f8g7 b8a8 a5e1 d5d3 a4e4 a8a6 h7h5 a6a1 h5h4 g3h4 e1h4 a1f1 h4f6 g1g2 e4a4 g2f3 g6g5 f4g5 f6g5 f1g1 f7f6 d3b3 g7g6 b3b7 e7e5 g1d1 e5e4 f3e2 a4a2 e2e1 g5h4 e1f1 h4g3 b7e7 f6f5 e7e8 g3e5 d1e1 g6g5 e8e6 f5f4 e1e4 g5f5 e6e5 d6e5
Tbilisi,Tbilisi,1945.??.??,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",0-1,,,B00,e2e4 b8c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1d3 f5d3 c2d3 g8e7 d1b3 e7f5 c1e3 f8e7 b3b7 c6b4 e1d2 e8g8 b7b5 a8b8 b5a4 c7c5 a2a3 c5d4 f3d4 f5e3 f2e3 e7c5 h2h4 d8b6 a3b4 c5d4 e3d4 b6d4 b1c3 b8b4 a4a3 f8b8 a1b1 b4b3 a3a2 d4f4 d2e2 d5d4 c3e4 b8b5 e4f2 b5e5 e2f1 e5f5
Tbilisi,Tbilisi,1945.??.??,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",0-1,,,E21,d2d4 e7e6 c2c4 f8b4 b1c3 c7c5 g1f3 g8f6 a2a3 b4a5 d1c2 d7d5 d4c5 d5d4 b2b4 d4c3 b4a5 d8a5 e2e4 b8c6 a1b1 e6e5 b1b5 a5c7 f1d3 c8g4 c2c3 g4f3 g2f3 f6h5 f3f4 h5f4 c1f4 e5f4 e1g1 a7a6 b5b6 e8g8 f1b1 a8b8 e4e5 c6e5 d3e4 c7c5 e4d5 c5e7 g1h1 e5g4 c3f3 e7h4 h2h3 g4e5 f3g2 f4f3 d5f3 e5f3 g2f3 h4c4 b6b7 b8b7 b1b7 f8e8 h1g2 h7h6 b7b4 c4c2 b4b6 c2c4 b6b4 c4c5 b4b7 c5g5 g2h2 e8e1 f3g3 g5g3 h2g3 e1a1 b7b8 g8h7 b8b3 a1a2
