Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Gorky,1954.??.??,2,"Geller, Efim P","Polugaevsky, Lev",1/2-1/2,,,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 c1e3 b8d7 a2a4 b7b6 f2f3 c8b7 d1d2 d8c7 f1d1 f8d8 d2e1 d6d5 e4d5 e7b4 e1f2 b4c3 d5d6 c7c6 b2c3 f6d5 c3c4 d5c3 a4a5 c3d1 a1d1 b6b5 c4c5 d7f8 e2d3 c6d7 d3e4 a8c8 f2g3 b7e4 f3e4 f7f6 g3f3 f8e6 f3e2 d8f8 e2d3 e6d8 b3c1 d8c6 c1a2 f8d8 a2c3 c6d4 c3d5 c8c5 c2c3 c5d5 e4d5 d4f5 e3b6 d8c8 d3h3 c8c4 b6c7 c4h4 h3f3 f5d6 c7d6 d7d6 f3f2
URS-ch sf,Gorky,1954.??.??,3,"Polugaevsky, Lev","Simagin, Vladimir",1/2-1/2,,,E01,c2c4 g8f6 d2d4 e7e6 g2g3 d7d5 f1g2 c7c6 d1c2 f8b4 b1d2 e8g8 g1f3 b8d7 e1g1 b7b6 e2e4 c8b7 f1d1 a8c8 e4e5 f6e8 d2f1 b4e7 f1e3 e8c7 c4d5 c7d5 c2e4 c6c5 e4g4 g8h8 e3d5 b7d5 c1e3 c5c4 f3e1 d7b8 g2d5 d8d5 e1g2 b8c6 g2f4 d5e4 d1e1 h7h6 a1d1 e7g5 e3c1 e4c2 d4d5 g5f4 d5c6 f4c1 d1c1 c2b2 g4c4 f8d8 c6c7 d8d7 e1d1 c8c7 c4c7 d7c7 c1c7 b2a2 c7f7 a7a5 f2f4 a2e2 d1d8 h8h7 d8d7 h7g6 h2h3 e2e1 g1g2 e1e2 g2g1 e2e3 g1g2 e3e2
URS-ch sf,Gorky,1954.??.??,4,"Bondarevsky, Igor","Polugaevsky, Lev",1-0,,,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 d8c7 d1f3 b7b6 f1d3 c8b7 e1g1 f8c5 c1e3 c7d6 e4e5 b7f3 e5d6 f3b7 c3a4 c5d6 a4b6 a8a7 f2f3 d6c7 b6a4 a7a8 a4c5 b7c6 b2b4 d7d5 b4b5 d5c4 d4c6 b8c6 d3c4 c6e5 c5a6 a8a6 b5a6 e5c4 f1c1 c7b6 e3b6 c4b6 a1b1 f6d5 c1c6 e8e7 c6b6 d5b6 b1b6 h8a8 g1f2 g7g5 b6b7 e7f6 a6a7 h7h5 f2e3 f6g6 e3d4 f7f6 d4c5 g5g4 c5b6
URS-ch sf,Gorky,1954.??.??,5,"Polugaevsky, Lev","Weltmander, I.",1-0,,,D36,c2c4 g8f6 d2d4 e7e6 b1c3 d7d5 c4d5 e6d5 c1g5 c7c6 d1c2 c8g4 e2e3 b8d7 f1d3 f8d6 g1e2 h7h6 g5h4 d8c7 h2h3 g4e6 a1b1 f6h5 g2g4 g7g5 g4h5 g5h4 e2g1 d7f6 g1f3 e8c8 b2b4 h8g8 f3h4 f6h5 h4f5 e6f5 d3f5 c8b8 b4b5 h5g7 f5d3 c6b5 c3d5 c7c2 d3c2 a7a6 d5f6 g8h8 e1e2 d6e7 f6e4 f7f5 h1g1 g7e6 e4g3 f5f4 g3f5 f4e3 f2e3 h8e8 g1g4 e6c7 c2b3 e7f8 b3f7 h6h5 g4g8 c7d5 f7e8 f8a3
URS-ch sf,Gorky,1954.??.??,7,"Polugaevsky, Lev","Uusi, Gunnar",1/2-1/2,,,E59,c2c4 g8f6 d2d4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 c7c5 g1f3 d7d5 e1g1 b8c6 a2a3 b4c3 b2c3 d5c4 d3c4 d8c7 c1b2 e6e5 d1c2 e5e4 f3d2 c8f5 c4e2 a8d8 d2b3 c5d4 c3d4 f6d5 f1c1 d8d6 b3c5 f8e8 e2b5 d6h6 g2g3 f5c8 c5e4 c8f5 b5d3 c7e7 e4f6 h6f6 d3f5 d5e3 f5h7 g8h8 c2e2 h8h7 c1e1 f6e6 f2e3 e6e3 e2e3 e7e3 e1e3 e8e3 d4d5 e3b3 d5c6 b3b2 c6b7 b2b7 a1f1 b7b3 a3a4 h7g6 g1g2 b3b2 f1f2 b2f2 g2f2 g6f5 f2f3 f5e5 f3e3 e5d5 e3f4
URS-ch sf,Gorky,1954.??.??,8,"Zagorovsky, Vladimir Pavlovich","Polugaevsky, Lev",0-1,,,B67,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f1e2 h7h6 g5e3 b7b5 a2a3 b5b4 a3b4 c6b4 f2f3 d8c7 g2g4 a8c8 h2h4 e6e5 d4b3 d6d5 g4g5 d5d4 b3d4 e5d4 e3d4 h6g5 h4g5 c7a5 c1b1 h8h1 d1h1 c8c3 d2c3 a5a2 b1c1 a2a1 c1d2 a1h1 g5f6 b4a2
URS-ch sf,Gorky,1954.??.??,10,"Nezhmetdinov, Rashid","Polugaevsky, Lev",1-0,,,B30,e2e4 c7c5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d5 e4d5 f6d5 f3e5 d8a5 b1c3 d5c3 b5c6 b7c6 d1d2 c8e6 e1g1 c5c4 f1e1 a8c8 b2c3 g7g6 d2e3 c4d3 c2d3 a5c3 c1d2 c3a3 a1b1 a3a2 b1b7 f8g7 e5f7 e8f7 e3f3 f7g8 f3e3 g8f7 e3f4 f7g8 b7e7 c8f8 e7g7 g8g7 d2c3 g7g8 f4d4 a2f2 d4f2 f8f2 g1f2 e6f7 e1e7 g8f8 e7f7 f8f7 c3h8 f7e6 f2e3 e6d5 e3d2 a7a5 d2c3 c6c5 c3b3
URS-ch sf,Gorky,1954.??.??,11,"Polugaevsky, Lev","Borisenko, Georgy K",0-1,,,E99,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 e1d3 f7f5 f2f3 f5f4 b2b4 g6g5 c4c5 d7f6 a2a4 f8f7 a4a5 e7g6 d3f2 h7h5 c5c6 g7h6 c1d2 f7g7 c6b7 c8b7 a1c1 b7c8 h2h3 g6h4 c3b5 a7a6 b5a3 d8e8 b4b5 e8g6 c1c4 g5g4 f3g4 h5g4 h3g4 h4g2 g1g2 f4f3 e2f3 h6d2 b5b6 d2a5 c4c7 a5b6 c7g7 g8g7 a3c4 b6c5 f1h1 c8d7 g4g5 a8f8 d1d2 f6h7 f2h3 f8f3 g2f3 g6h5 f3g2 h5g4 g2f1 g4e4 h3f2 e4c4 f1g2 d7f5
URS-ch sf,Gorky,1954.??.??,12,"Novopashin, Arkady","Polugaevsky, Lev",1-0,,,B69,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 f8e7 d4f3 b7b5 g5f6 g7f6 f4f5 a8c8 f1d3 d8a5 c1b1 c6b4 f3d4 e7f8 a2a3 b4c6 f5e6 f7e6 d4c6 d7c6 d2f4 f8e7 f4g4 c6d7 g4g7 h8f8 c3a2 f8f7 g7h6 e7f8 h6h4 a5d8 h1f1 a6a5 d3e2 f6f5 h4h3 d8c7 d1d2 e8d8 e4f5 e6f5 a2c3 b5b4 c3d5 c7c5 e2h5 f7g7 h3h4 f8e7 d5e7 g7e7 f1e1 d6d5 d2e2
URS-ch sf,Gorky,1954.??.??,13,"Polugaevsky, Lev","Soloviev, Vladimir A",1/2-1/2,,,B77,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f3 f8g7 c1e3 b8c6 d1d2 e8g8 e1c1 c6d4 e3d4 d8a5 f1c4 c8e6 c4b3 e6b3 c2b3 f8d8 c1b1 d8d7 g2g4 a8d8 d2e2 a5a6 e2g2 e7e5 d4e3 d6d5 e3g5 d5e4 d1d7 d8d7 f3e4 a6d3 b1c1 d7d4 h1f1 d4d6 f1d1 d3a6 g2f3 h7h6 g5h4 a6c6 h2h3 a7a6 c1c2 d6d1 c2d1 c6b6 d1c2 b6c6 f3d3 f6d7 b3b4 g7f8 a2a3 b7b5 d3d5 c6c8 h4f2 f8g7 f2c5 d7f6 d5d6 h6h5 g4g5 f6e8 d6d3 e8c7 c3d5 c7d5 e4d5 e5e4
