Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
San Francisco sim,San Francisco,1921.??.??,?,"Reshevsky, Samuel Herman","Bernstein, Ossip",1-0,,,B01,e2e4 d7d5 e4d5 g8f6 d2d4 d8d5 b1c3 d5d8 g1f3 c8g4 f1d3 e7e6 e1g1 f8e7 d3e2 b8c6 h2h3 g4f3 e2f3 c6d4 f3b7 a8b8 b7a6 e8g8 a6d3 c7c5 b2b3 f6d5 c3e2 d4e2 d1e2 e7f6 e2e4 g7g6 c1h6 f6a1 h6f8 g8f8 f1a1 d8f6 a1e1 d5c3 e4c6 f6e7 a2a4 b8d8 c6f3 d8d5 d3c4
San Francisco sim,San Francisco,1921.??.??,?,"Reshevsky, Samuel Herman",Bruckstein,1-0,,,C34,e2e4 e7e5 f2f4 e5f4 g1f3 d7d6 d2d4 c8g4 c1f4 d8f6 f4g3 g4f3 g2f3 a7a6 b1c3 b8c6 c3d5 f6d8 d1d2 g8e7 f1c4 b7b5 c4b3 a6a5 a2a4 b5b4 d2d3 d8d7 e1c1 a8c8 d3c4 e7d5 c4d5 g7g6 e4e5 c6d8 h1e1 d8e6 d5e4 e6g5 e5d6 g5e4 e1e4 d7e6 e4e6 e8d7 e6f6
San Francisco sim,San Francisco,1921.??.??,?,"Reshevsky, Samuel Herman","Tevis, Will S",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d7d6 d2d4 e5d4 c3d4 c5b6 e1g1 g8f6 c4b5 e8g8 b5c6 b7c6 b1c3 h7h6 c1e3 c8g4 h2h3 g4f3 d1f3 f6h7 f3e2 g8h8 a1d1 f7f6 f2f4 d6d5 e4e5 f6f5 e2f3 d8e7 c3e2 f8f7 g1h1 a8f8 g2g4 f5g4 h3g4 h7g5 f3g2 g5e4 e2c3 e4c3 b2c3 g7g6 g2h2 f7h7 f4f5 g6f5 g4f5 b6a5 e5e6 e7d6 e3f4 d6e7 f4e5 h8g8 f1g1
San Francisco sim,San Francisco,1921.??.??,?,"Reshevsky, Samuel Herman","Duncan, ED.",0-1,,,C40,e2e4 e7e5 g1f3 d7d5 e4d5 e5e4 d1e2 g8f6 b1c3 f8c5 c3e4 e8g8 e4f6 d8f6 c2c3 c8d7 d2d4 c5d6 c1e3 d7f5 f3d2 b8d7 g2g3 f8e8 f1g2 f6g6 e1c1 c7c5 d5c6 b7c6 g2c6 a8c8 c6d7 c8c3
San Francisco sim,San Francisco,1921.??.??,?,"Reshevsky, Samuel Herman","Stamer, Arthur B",1/2-1/2,,,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 c2c3 f8e7 f1e1 e8g8 d2d4 b7b5 a4c2 h7h6 h2h3 f6h7 b1d2 e7g5 d2f1 g5c1 a1c1 d8f6 f1g3 h7g5 e1e3 c6e7 d4e5 d6e5 d1f1 e7g6 g3h5 g5f3 e3f3 f6g5 h5g3 c8e6 g3f5 g6f4 g1h2 e6f5 e4f5 a8d8 c1d1 d8d1 c2d1 e5e4 f3e3 g5f5 d1c2 f8e8 f2f3 f4d3 f1e2 d3c1 e3e4 e8e4 e2e4 f5e4 f3e4 c1a2 h2g3 a6a5 g3f4 b5b4 c3c4 a2c1 f4e3 b4b3 e3d2 b3c2 d2c1 g8f8 c1c2 f8e7 c4c5 e7e6 c2c3 e6e5 c3d3 h6h5 g2g3 f7f6 d3e3 c7c6 e3d3 h5h4 g3h4 e5f4 b2b3 f4f3 d3d4 f3f4 d4d3 f4g3 d3d4 g3h3 e4e5 f6e5 d4e5 h3h4 e5d6 g7g5 d6c6 g5g4 c6b5 g4g3 c5c6 g3g2 c6c7 g2g1q c7c8q g1e1 c8d8 h4g4 d8a5 e1e8
New York CCI,New York,1922.??.??,?,"Reshevsky, Samuel Herman","Bigelow, Horace Ransom",1/2-1/2,,,E10,d2d4 g8f6 g1f3 e7e6 c2c4 c7c5 c1g5 h7h6 g5f6 d8f6 b1c3 c5d4 f3d4 f8c5 e2e3 b8c6 d4f3 e8g8 d1d2 f8d8 f1e2 c5b4 e1g1 d7d5 c4d5 e6d5 f1d1 c8e6 f3d4 c6d4 d2d4 f6d4 d1d4 b4c3 b2c3 d8c8 a1c1 c8c5 e2f3 a8c8 g2g4 c5c3 c1c3 c8c3 f3d5 e6d5 d4d5 c3a3 d5b5 b7b6 b5b2 g8h7 g1g2 h7g6 b2e2 h6h5 h2h3 g6g5 g2g3 h5g4 h3g4 g5f6 f2f4 g7g5 g3f3 g5f4 f3f4 a3a4 e3e4 f6g6 e2c2 f7f6 c2d2 a4a5 f4e3 a5a3 e3f4 a3a4 d2d6 a4a2 e4e5 a2f2 f4e3 f2f1 e3e2 f1f4 e2e3 f4g4 d6f6 g6g7 f6f1 g7g8 e3d3 g4g7 e5e6 g7e7 f1a1 g8g7 d3d4 g7f6 d4d5 e7e6 a1a7
New York CCI,New York,1922.??.??,?,"Bernstein, Jacob","Reshevsky, Samuel Herman",1-0,,,D51,d2d4 g8f6 c1g5 d7d5 c2c4 e7e6 b1c3 b8d7 e2e3 c7c6 f1d3 d8a5 g5h4 f8b4 g1e2 f6e4 d1c2 f7f5 f2f3 e4c3 b2c3 b4d6 e1g1 a5c7 h4g3 d7f6 e3e4 f5e4 f3e4 d5e4 d3e4 e8g8 a1e1 c8d7 e4d3 a8e8 c4c5 d6g3 e2g3 b7b6 g3e4 f6e4 d3e4 h7h6 c2e2 c7d8 c5b6 a7b6 f1f8 e8f8 e4c6 d7c8 c6a4 d8f6 a4b3 g8h8 e1f1 f6f1 e2f1 f8f1 g1f1 h8g8 g2g3 g8f7 f1f2 c8b7 f2e3 f7e7 c3c4 g7g5 c4c5 b6b5 a2a3 b7c6 b3c2 c6d7 c2e4 d7e8 e3d3 e7d8 d3c3
New York CCI,New York,1922.??.??,?,"Jaffe, Charles","Reshevsky, Samuel Herman",1/2-1/2,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 d2d4 e5d4 f3d4 e8g8 b1c3 f8e8 g1h1 e7c5 d4b3 c5b4 c3d5 f6e4 d1f3 b4f8 b5d3 e4c5 b3c5 f8c5 f3f5 g7g6 d5f6 g8h8 f5f4 e8e6 f6d5 c5d6 f4h6 e6e5 d5f4 d6f8 h6h3 d7d6 h3g3 f8g7 c1d2 e5e8 f4d5 c8e6 d5f4 c6e5 d2c3 d8d7 f1e1 e8e7 d3e4 c7c6 a1d1 d7c7 f4e6 e7e6 f2f4 e5d7 f4f5 g7c3 g3c3 e6e5 e1f1 d7f6 e4f3 c7e7 g2g4 g6g5 c3d2 f6d5 f3d5 e5d5 d2c3 e7e5 d1d5 c6d5 f1d1 e5c3 b2c3 a8c8 d1d5 c8c3 d5d6 c3c2 d6d7 h8g7 d7b7 c2a2 h1g1 a7a5 b7b6 a5a4 b6a6 a4a3 h2h3 a2a1 g1g2 f7f6 a6a7 g7g8 a7a8 g8f7 a8a7 f7e8 a7h7 a3a2 h7a7 e8d8 g2h2 d8c8 h2g2 c8b8 a7a3 b8b7 a3a4
New York CCI,New York,1922.??.??,?,"Reshevsky, Samuel Herman","Lasker, Edward",0-1,,,D38,d2d4 g8f6 g1f3 e7e6 c2c4 d7d5 b1c3 b8d7 c1g5 f8b4 d1b3 c7c5 e2e3 d8a5 g5f6 d7f6 f1d3 b7b5 b3c2 b5c4 d3e2 c5d4 e3d4 e8g8 e1g1 c8d7 a1c1 b4c3 b2c3 a8b8 f3e5 a5a3 e5d7 f6d7 c1b1 b8b6 b1b6 a7b6 f1b1 f8a8 b1b2 g7g6 g2g3 g8g7 c2d2 d7f6 f2f3 b6b5 b2b5 a3a2 b5b2 a2a7 g1g2 a7c7 d2e3 a8a3 e2d1 f6d7 f3f4 c7a5 b2b7 a3a2 g2h3 a5d8 g3g4 d8c8 b7b1 c8c7 g4g5 h7h6 d1e2 h6g5 f4g5 a2a8 h3g2 e6e5 b1f1 e5e4 f1f2 f7f5 g5f6 d7f6 e3g5 c7d6 f2f5 a8a2 g2f1 a2a1 f1g2 a1a2 f5f2 e4e3 g5e3 f6e4 h2h3 e4f2 g2f2 a2a7 f2g2 a7e7 e3d2 d6e6 e2f3 e6e3 d2b2 e3g5 g2f2 g5f4 f2g2 f4g5 g2f2 g5f4 f2g2 g7h6 b2f2 e7e3 f3d5 f4f2 g2f2 e3c3 d5e6 h6g5 e6f7 g5f6 f7d5 g6g5 d5g8 f6f5 d4d5 f5f4 d5d6 c3c2 f2f1 c4c3 g8h7 c2d2 f1e1 d2d6 h7g8 d6h6
New York CCI,New York,1922.??.??,?,"Janowsky, Dawid Markelowicz","Reshevsky, Samuel Herman",0-1,,,D52,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 b8d7 c1g5 f8e7 e2e3 c7c6 f1d3 a7a6 e1g1 d5c4 d3c4 d7b6 c4d3 f6d5 g5e7 d8e7 d1d2 d5c3 b2c3 c6c5 a1b1 b6d7 a2a4 e8g8 d2c2 h7h6 f1e1 b7b6 b1b2 a8b8 e1b1 e7d6 c2e2 a6a5 d3b5 f8d8 h2h3 d6c7 e3e4 d7f8 e2e3 c8d7 f3e5 d7e8 b5e8 d8e8 f2f4 f7f6 e5f3 f8d7 e4e5 f6f5 g2g4 g7g6 g4f5 g6f5 d4d5 d7f8 b2g2 g8h7 c3c4 c7f7 g1h2 f8g6 b1g1 e8g8 d5d6 f7b7 h3h4 b7c6 h4h5 g6h8 f3g5 h6g5 f4g5 h8g6 g2g3 h7g7 g3h3 g8h8 h5g6 h8h3 h2h3 b8h8 h3g3 c6a4 e3f3 f5f4 g3g4 a4c2 f3f4 c2e2 g4g3 e2d3 g3g2 d3e2 g2g3 e2h2 g3f3 h8f8 f4f6 g7g8 d6d7 f8f6 g5f6 h2d2 g1h1 d2d3 f3g2 d3g6 g2f2 g6f5 f2g2 f5g4 g2h2 g4e2 h2h3 e2d3 h3h4 d3d7 h1g1 g8f8 h4g5 d7d4
Detroit sim,Detroit,1924.??.??,?,"Torre, Carlos","Reshevsky, Samuel Herman",1-0,,,D63,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 b8d7 c1g5 f8e7 e2e3 e8g8 a1c1 b7b6 c4d5 e6d5 f3e5 c8b7 f2f4 f6e8 g5e7 d8e7 d1f3 e8f6 f1d3 f6e4 d3e4 d5e4 f3e2 d7e5 f4e5 a7a5 e2c2 e7g5 c2d2 f7f6 e5e6 f8e8 d4d5 a8d8 c1d1 e8e6 d5e6 d8d2 d1d2 g5e3 e1d1 g8f8 d2d7 e3f2 d1c1 b7a6 c3d5 f2c5 c1b1 a6b5 d7f7 f8e8 d5c7 e8d8 e6e7 d8c8 c7b5
Pasadena,Pasadena,1932.??.??,?,"Alekhine, Alexander","Reshevsky, Samuel Herman",1-0,,,D35,g1f3 g8f6 c2c4 e7e6 b1c3 d7d5 d2d4 b8d7 c4d5 e6d5 c1f4 c7c6 e2e3 f8e7 f1d3 e8g8 d1c2 f8e8 h2h3 d7f8 e1c1 b7b5 f3e5 c8b7 c1b1 f6d7 e5d7 d8d7 d1c1 e7d6 c3e2 d6f4 e2f4 d7d6 h3h4 a7a5 d3f5 e8e7 c2c5 d6d8 h4h5 e7e8 g2g4 f8d7 c5c2 d7f8 f4d3 g7g6 d3c5 b7c8 f5c8 a8c8 c5d3 d8f6 c2d2 a5a4 h5g6 f7g6 f2f4 f8d7 d3e5 d7e5 d4e5 f6e6 d2d4 e8e7 g4g5 e7f7 h1h2 f7d7 h2d2 c8d8 d2c2 d8c8 a2a3 d7f7 b1a1 g8h8 c2c5 h8g8 d4c3 f7c7 c1d1 e6f7 c3d4 f7f5 c5c3 f5f7 d4c5 c7e7 c5b4 f7e6 d1c1 e7e8 c3c5 e6d7 b4d4 c8c7 c5c3 e8c8 e3e4 c8d8 e4d5 d7d5 d4d5 d8d5 c3c6 c7c6 c1c6 d5d1 a1a2 d1f1 c6f6 g8g7 b2b4 f1f2 a2b1 f2f3 f6b6 f3f4 b6b5 f4f5 b5b7 g7f8 b7h7 f5e5 h7a7 e5g5 a7a4 f8e7 b1b2 e7d7 a4a6 g5g3 b4b5 d7c7 a6c6 c7b7 a3a4 b7a7 c6c3 g3g2 b2a3 g2g4 a3b3 a7b7 c3c4 g4g3 b3b4 g3f3 c4c6 f3f7 c6g6 f7h7 g6c6 h7g7 a4a5 g7g4 c6c4 g4g7 a5a6 b7a7 b4a5 g7g5 c4c7 a7b8 c7b7 b8a8 b7d7 a8b8 a5b6 g5g8 b6c6 g8c8 c6d6 c8c1 d7b7 b8c8 b7f7 c8b8 b5b6 c1d1 d6c5 d1c1 c5d4 c1d1 d4c3 d1d8 c3c4 d8h8 f7f5
Pasadena,Pasadena,1932.??.??,?,"Reshevsky, Samuel Herman","Dake, Arthur William",1-0,,,D15,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 b1c3 d5c4 e2e3 b7b5 a2a4 b5b4 c3a2 e7e6 f1c4 b8d7 e1g1 c8b7 d1e2 c6c5 b2b3 f8e7 c1b2 e8g8 f1d1 d8b6 a2c1 a7a5 c1d3 b7d5 a1c1 d5c4 c1c4 c5d4 f3d4 a8c8 d1c1 c8c4 c1c4 d7c5 d3c5 e7c5 d4b5 f8d8 h2h3 f6e8 e2c2 c5e3 f2e3 b6e3 g1h1 d8d2 c4c8 g8f8 b5c7 f8e7 c8e8 e7d7 c2c4 d2d1 h1h2 e3g1 h2g3 g1e3 g3h4 e3h6 h4g4 h6g6 g4f3 g6d3 c4d3 d1d3 f3e4 d3b3 b2e5 f7f6 e8g8 f6e5 g8g7 d7c6 c7e6 b3a3 e4e5 a3a4 e6d4 c6b6 g7h7 a4a2 h7h6 b6b7 d4b3 b7c7 e5d4 a5a4 b3c5 b4b3 c5a4 a2a4 d4c3 a4b4 c3b2 c7d7 h6g6 d7e7 g6g3 e7f6 g3b3
Pasadena,Pasadena,1932.??.??,?,"Kashdan, Isaac","Reshevsky, Samuel Herman",1-0,,,E16,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 b1d2 b7b6 g2g3 c8b7 f1g2 e8g8 e1g1 b4d2 d1d2 d7d6 b2b3 b8d7 c1b2 f8e8 a1d1 a7a5 f1e1 a8a7 f3h4 b7g2 h4g2 d6d5 g2f4 a5a4 d1c1 a4b3 a2b3 d8e7 c4d5 e6d5 c1c2 d7b8 e1c1 e8d8 f4d3 f6e8 b2c3 b8c6 c3b4 c6b4 d3b4 a7a8 b4c6 e7f6 c6d8 a8d8 c2a2 h7h6 c1a1 f6c6 d2c2 c6c2 a2c2 g8f8 a1a7 d8d7 c2c6 f8e7 f2f3 d7d6 c6d6 e7d6 g1f2 e8f6 f2e3 f6d7 e3d3 d7f8 e2e4 d5e4 f3e4 f8e6 b3b4 g7g6 b4b5 h6h5 h2h4 f7f6 a7a8 d6e7 a8g8 g6g5 h4g5 f6g5 d4d5 e6c5 d3e3 h5h4 g8g5 h4g3 e4e5
USA-ch,Syracuse,1934.??.??,?,"Reshevsky, Samuel Herman","Araiza Munoz, Jose Joaquin",1-0,,,E16,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 d8e7 e1g1 b4d2 d1d2 d7d6 d2c2 c7c5 b1c3 b8c6 a1d1 e8g8 d4d5 e6d5 c4d5 c6b4 c2b3 a7a5 a2a3 a5a4 b3c4 b6b5 c3b5 b7d5 c4f4 e7e2 b5c7 b4d3 f4d2 d5f3 c7a8 c5c4 a8b6 d6d5 g2f3 e2f3 d2e3 f3h5 f2f3 f8e8 e3d2 h5e5 b6a4 d5d4 b2b3 f6d5 b3c4 d5f4 g3f4 d3f4 g1h1 e5g5 d1e1 e8e3 f1g1 g5h5 e1e3
