Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Budapest Spring op,Budapest,1986.??.??,?,"Sokolov, Ivan","Gruenberg, Hans Ulrich",1-0,2405,2460,E46,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4e7 e2g3 c7c6 f1d3 b7b6 e1g1 c8b7 d1e2 b8d7 f1d1 d8c7 e3e4 d5e4 g3e4 c6c5 c3b5 c7b8 d4c5 d7c5 e4f6 e7f6 b5d6 c5d3 d1d3 b8c7 c1f4 a8d8 a1d1 b7a8 b2b4 c7c6 f2f3 f6e7 d6f5 e7f6 d3d8 f8d8 d1d8 f6d8 e2d2 d8f6 d2d6 c6b7 f5d4 f6e7 d6c7 b7c7 f4c7 a7a5 d4c2 a5b4 a3b4 a8c6 b4b5 e7c5 g1f1 c6d7 f1e2 f7f6 c2e3 g8f7 e3d1 e6e5 d1b2 d7e6 e2d3 e6f5 d3c3 c5d4 c3b3 d4b2 b3b2 f5d3 b2c3 d3f1 g2g3 f1e2 f3f4 e5f4 c7f4 f7e6 f4c7 g7g5 c7b6 f6f5 b6c7 h7h5 c3b4 e6d7 c7b8 d7e6 c4c5 e6d5 c5c6 d5e6 b4c5
Budapest Spring op,Budapest,1986.??.??,?,"Sokolov, Ivan","Van Mil, Johannes A J",1-0,2405,2370,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 b7b6 e1g1 c8b7 d1d3 c5d4 c3d4 d8d7 c1f4 d7a4 f1c1 e7e6 e2d1 a4a6 d3e3 b8c6 d4d5 e6d5 e4d5 a8e8 e3d2 e8d8 f4h6 c6e7 h6g7 g8g7 d5d6 e7d5 d1b3 a6a5 d2d4 g7g8 f3g5 d5c3 d4h4 c3e2 g1h1 h7h5 c1e1 d8e8 g5f7 e2g3 h2g3 e8e1 b1e1 a5e1 h1h2 b7c8 f7e5
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","Ivanchuk, Vassily",1/2-1/2,2425,2475,D44,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 g8f6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 h4g3 f6h5
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","McDonald, Neil R",1-0,2425,2495,B08,d2d4 g8f6 g1f3 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 a7a6 c1f4 b7b5 e4e5 f6d7 a2a4 b5b4 c3d5 b8c6 f1c4 e8g8 d1e2 e7e6 f4g5 c6d4 g5d8 d4e2 d8e7 e6d5 c4d5 e2f4 d5a8 f8e8 e7g5 d7e5 e1g1 f4e2 g1h1 e5f3 a8f3 e2d4 a1e1 c8e6 f3e4 e6d7 b2b3 a6a5 f2f3 c7c6 g5e3 d6d5 e4d3 d7e6 f3f4 f7f5 e3d4 g7d4 e1e2 g8f7 h1h2 e8d8 g2g4 d8d6 h2g3 c6c5 d3b5 d4c3 f1d1 c3d4 g3f3 d4c3 g4g5 c3g7 h3h4 h7h5 d1e1 g7c3 b5e8 f7e7 e8g6 c3e1 e2e1 e7f8 e1e5 c5c4 g6f5 e6f7 b3c4 f7e8 c4d5 e8a4 f3e3 a4e8 e3d4 d6b6 e5e6 b6e6 f5e6 a5a4 d5d6 a4a3 d4c5 e8g6 c5b4
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","Ninov, Kiril",1-0,2425,2315,B47,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 g2g3 d7d6 f1g2 c8d7 d4b5 c7b8 c1f4 c6e5 d1d4 a7a6 b5d6 f8d6 e1c1 e5d3 d1d3 d6f4 g3f4 b8f4 c1b1 e8c8 h1d1 g8e7 d4c5 e7c6 c3a4 c8b8 d3d7 f4g4 d7d8 h8d8 d1d8 c6d8 c5d6
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","Blatny, Pavel",1-0,2425,2410,A52,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3 f8c5 e2e3 b8c6 f1e2 e8g8 e1g1 g4e5 f3d4 e5g6 d4b3 c5e7 b1c3 f8e8 c3d5 e7f8 c1d2 a7a5 d2c3 c6b4 b3a5 b4d5 d1d5 c7c6 d5d2 d8g5 a5b3 d7d5 f2f4 g5e7 c4d5 e7e3 d2e3 e8e3 g1f2 e3e7 d5c6 g6f4 e2f3 b7c6 f3c6 a8a6 c6f3 a6g6 f1d1 c8a6 c3d4 f4g2 b3c5 g2h4 c5a6 h4f3 f2f3 g6a6 a2a4 e7b7 d4c3 f7f6 d1d4 f8d6 b2b4 d6h2 b4b5 a6a8 d4d5 g8f7 a4a5 f7e6 d5d2 h2e5 c3e5 f6e5 d2b2 e6d5 b5b6 e5e4 f3e3 a8f8 a1d1 d5e6 a5a6 f8f3 e3e2 b7f7 a6a7 f3f2 e2e1 f2f1 e1d2 f7d7 d2c3 f1f3 c3b4 d7d1 a7a8q d1d4 b4c5
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","San Segundo, Pablo",1/2-1/2,2425,,A56,d2d4 g8f6 c2c4 c7c5 d4d5 a7a6 c1g5 f6e4 g5f4 e7e6 g1f3 b7b5 b1d2 e4d2 d1d2 d7d6 d5e6 c8e6 e2e4 b5c4 f3g5 d8d7 a1c1 b8c6 g5e6 f7e6 f1c4 f8e7 e1g1 e8g8 f4e3 c6e5 c4b3 g8h8 f2f4 e5g6 d2e2 d6d5 e2g4 c5c4 b3d1 d5d4 e3d2 a8c8 g4h3 c4c3 d1h5 c3d2 h5g6 h7h6 c1d1 c8c2 e4e5 d4d3 h3d3 e7c5 g1h1 d7d3 g6d3 c2b2 d3a6 c5e3 g2g3 b2c2 h1g2 f8a8 a6d3 c2c3 d3b5 a8a2 b5d7 a2a6 f4f5 e6f5 e5e6 e3g5 f1f5 c3c1 d1d2 g5d2 e6e7 c1e1 f5f8
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","Spycher, B.",1-0,2425,,D61,g1f3 d7d5 d2d4 e7e6 c2c4 g8f6 c1g5 f8e7 b1c3 e8g8 e2e3 b8d7 d1c2 c7c6 a1d1 d5c4 f1c4 f6d5 g5e7 d8e7 e1g1 d5c3 c2c3 c6c5 c4b5 c5d4 c3d4 d7f6 f3e5 a7a6 b5e2 b7b5 e5c6 e7c7 e2f3 c8b7 d1c1 a8c8 d4b4 g8h8 c1c3 c7b6 a2a4 f8e8 a4a5 b6c6 f3c6 b7c6 b4d4 b5b4
EU-ch U20,Groningen,1986.??.??,?,"Sokolov, Ivan","Manor, Ilan",0-1,2425,2405,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c1g5 d7d6 b1d2 b8d7 e2e4 b5c4 d1c2 h7h6 g5f4 g7g5 f4g3 f6h5 f1c4 h5g3 h2g3 f8g7 f2f4 a8b8 a1b1 d7f6 g1f3 f6g4 c2d3 b8b2 b1b2 g7b2 c4b5 c8d7 d2c4 d7b5 c4d6 e8f8 d6b5 d8a5 e1e2 a7a6 h1b1 c5c4 d3d2 c4c3
EU-ch U20,Groningen,1986.??.??,?,"Piket, Jeroen","Sokolov, Ivan",0-1,2390,2425,D91,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c1g5 f6e4 c4d5 e4c3 b2c3 d8d5 d1b3 c8e6 b3d5 e6d5 f3d2 f7f5 f2f3 c7c5 e2e4 f5e4 f3e4 d5c6 e4e5 b8d7 d2c4 c5d4 c3d4 d7b6 c4a5 h7h6 g5h4 c6d5 f1b5 e8d8 e1g1 a8c8 f1c1 g6g5 h4e1 e7e6 a5b3 g7f8 c1c8 b6c8 a1c1 h8h7 b5d3 h7c7 e1a5 b7b6 c1f1 f8g7 a5b4 d5c4 d3c4 c7c4 b4f8 g7f8 f1f8 d8d7 f8h8 a7a5 h8h6 c8e7 g1f2 c4c2 f2e1 a5a4 b3d2 b6b5 d2e4 e7f5 e4c5 d7c6 h6e6 c6d5 e6f6 f5d4 c5a6 c2g2 e5e6 g2h2 a6c7 d5d6 e6e7 d6e7 c7d5 e7d7 a2a3 d4c2 e1d1 c2a3 f6g6 h2g2 d5c3 g5g4 c3e4 a3c4
EU-ch U20,Groningen,1986.??.??,?,"Howell, James C","Sokolov, Ivan",1-0,2400,2425,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e6 d1f3 d8c7 c1e3 b8d7 g2g4 b7b5 f1d3 b5b4 c3e2 h7h6 h2h4 e6e5 d4f5 g7g6 f5g3 e5f4 f3f4 f8g7 e3d4 d7e5 g4g5 h6g5 h4g5 h8h1 g3h1 f6g4 e1c1 a6a5 d3b5 e8f8 h1f2 g4f2 f4f2 c7b7 b5c4 b7e7 c4d5 c8b7 e2f4 f8g8 d5b7 e7b7 f4d5 a8e8 d1h1 b7c8 c1b1 g8f8 f2h4 c8c4 h4f2 e8b8 b2b3 c4c8 h1h7 c8g4 h7g7 g4d1 b1b2 a5a4 g7f7 e5f7 b3a4 b8c8 d5f6 c8c2 f2c2 d1d4 b2b1 d4g1 c2c1 g1c1 b1c1 f8e7 a4a5 e7d8 f6h7 f7e5 c1c2 e5f3 c2d3 d8c7 d3e3 f3e5 e3d4 c7c6 a5a6 e5f3 d4e3 f3e5 e3d4 e5f3 d4c4 f3d2 c4b4 d2e4 b4c4 c6b6 c4d5 e4d2 d5d6 b6a6 d6e5 a6b5 e5f4 d2c4 h7f8 c4d6 f8g6 b5b4
EU-ch U20,Groningen,1986.??.??,?,"Hansen, Lars Bo","Sokolov, Ivan",1/2-1/2,,2425,D91,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b1c3 d7d5 c1g5 f6e4 c4d5 e4g5 f3g5 e7e6 g5f3 e6d5 b2b4 d8d6 a2a3 b8d7 e2e3 c7c6 f1e2 b7b5 e1g1 a7a5 b4a5 a8a5 d1b3 e8g8 b3b4 d6b4 a3b4 a5a1 f1a1 f8e8 f3e1 d7b8 e1d3 b8a6 a1a3 f7f5 a3b3 g7f8 c3a2 f8d6 d3c5 a6c7 h2h4 f5f4 b3c3 f4e3 f2e3 d6g3 h4h5 g3e1 c3a3 c8f5 h5g6 h7g6 g2g4 f5b1 c5d7 g8g7 d7e5 b1a2 a3a2 e1b4 e5c6 b4d6
