Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Minsk,1952.??.??,?,"Chepukaitis, Genrikh","Spassky, Boris V",0-1,,,C31,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 b1c3 g8f6 f1c4 f8c5 g1e2 e8g8 d2d4 e4d3 d1d3 f8e8 h2h3 a7a6 a2a4 d8e7 c1d2 c7c6 d5c6 b8c6 e1c1 c6b4 d3f3 b7b5 f3a8 b5c4 a8f3 c8f5 h1e1 e7d7 e2g3 f5c2 e1e8 f6e8 c3e4 d7a4 d2b4 c5b4 d1d8 c2d3 d8d3 c4d3 f3d3 a4c6 c1b1 g7g6 d3d8 g8f8 d8d4 b4d6 d4h8 f8e7 h8h7 d6f4 h7h4 g6g5 e4g5 c6c1 b1a2 f4g5 h4b4 e7d7 b4a4 c1c6 a4g4 c6e6
Bucharest,Bucharest,1953.??.??,1,"Spassky, Boris V","Smyslov, Vassily",1-0,,,E31,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 e6d5 c4d5 d7d6 e2e3 b8d7 f1b5 e8g8 g1e2 d7e5 e1g1 e5g6 h4g3 f6h5 b5d3 h5g3 e2g3 g6e5 d3e2 b4c3 b2c3 d8h4 f2f4 e5g4 e2g4 c8g4 d1a4 g4c8 e3e4 h4g4 a4c2 h6h5 f1f2 b7b5 e4e5 h5h4 g3f1 c8f5 c2d2 d6e5 f4e5 f5g6 a1e1 h4h3 d5d6 g6e4 f1e3 g4e6 f2f4 e4g2 e3f5 f8e8 e1e3 a8d8 f5g7 d8d6 g7e6
Bucharest,Bucharest,1953.??.??,2,"Ciocaltea, Victor","Spassky, Boris V",1/2-1/2,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 d7d6 d2d4 c8g4 c4b5 e5d4 c2c3 d4c3 b1c3 f8e7 e1g1 a7a6 b5a4 b7b5 a4b3 g8f6 a2a4 c6e5 c1f4 b5b4 f4e5 d6e5 c3d5 e8g8 h2h3 g4f3 d1f3 f6d7 f1d1 e7d6 d5e3 d7c5 b3d5 a8b8 b2b3 c5e6 e3f5
Bucharest,Bucharest,1953.??.??,3,"Spassky, Boris V","Milev, Zdravko",0-1,,,D88,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c5 g1e2 e8g8 e1g1 c5d4 c3d4 b8c6 c1e3 c8g4 f2f3 g4d7 a1b1 e7e6 d1d2 c6a5 c4d3 a7a6 e3g5 f7f6 g5f4 e6e5 d4e5 f6e5 f4g5 g7f6 g5f6 f8f6 d2c3 f6d6 d3c4 a5c4 c3c4 d7e6 c4c5 b7b5 e2c3 d8b6 c5b6 d6b6 f1d1 a8c8 c3d5 e6d5 d1d5 c8c2 a2a4 b5b4 a4a5 b6b7 d5d6 b4b3 d6b6 b7d7 b6b3 d7d2 b3b8 g8g7 b8b7 g7h6 b7e7 d2g2 g1h1 g2h2 h1g1 c2g2 g1f1 g2a2 f1g1 h6g5 e7e5 g5f4 e5c5 f4f3 b1b3 f3f4 e4e5 h2e2 b3b4 f4f5 b4b1 e2g2 g1h1 g2h2 h1g1 a2g2 g1f1 g2c2 c5c2 h2c2 e5e6 f5e6 b1b6 e6f5 b6a6 c2a2 a6a8 h7h5 a5a6 g6g5 a8f8 f5g4 f8f6 h5h4 f6b6 h4h3 f1g1 g4g3 b6b3 g3h4 b3b6 g5g4 b6b4 a2a6 g1h2 a6a2 h2h1 a2e2 h1g1 h4g3 b4b1 g3f3 b1f1 f3e3 f1f8 e2g2
Bucharest,Bucharest,1953.??.??,4,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,,,D13,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 b8c6 c1f4 e7e6 e2e3 f8d6 f4d6 d8d6 f1d3 e8g8 e1g1 e6e5 d4e5 c6e5 f3e5 d6e5 d3e2 c8e6 d1d4 e5d4 e3d4 f8c8
Bucharest,Bucharest,1953.??.??,5,"Spassky, Boris V","Radulescu, Mihai",1-0,,,B14,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 c7c5 e2e3 c5d4 e3d4 f8e7 g1f3 e8g8 f1d3 d5c4 d3c4 a7a6 e1g1 b7b5 c4b3 c8b7 d1d3 b8d7 a1d1 d8c7 f1e1 a8d8 d3e2 d7b6 f3e5 f6d5 c3e4 f7f6 d1c1 c7b8 e4c5 f6g5 c5e6 d8d6 e6f8 e7f8 e2h5 g7g6 h5g5 g8h8 c1c5 b8e8 c5c7 d6d7 c7d7 b6d7 b3d5 b7d5 e5g6 e8g6 g5d5 d7f6 d5e6 f8b4 e1c1 b4d2 c1c8 h8g7 c8c7 g7h6 g2g3 d2a5 c7f7 g6b1 g1g2 b1e4 e6e4 f6e4 f7a7 a5e1 a7e7 e1f2 e7e4
Bucharest,Bucharest,1953.??.??,6,"Troianescu, Octavio","Spassky, Boris V",0-1,,,C22,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3 f8e7 b1c3 g8f6 f1c4 e8g8 g1e2 f6g4 e3d2 e7c5 c3d1 d8e7 f2f3 e7h4 g2g3 g4e5 g3h4 e5f3 e1f1 d7d5 f1g2 f3d2 c4d5 c8g4 c1d2 g4e2 d1c3 e2h5 d2f4 c6d4 c3a4 h5f3 g2f2 f3h1 a4c5 c7c6 d5c4 d4e6 c5e6 f7e6 f2e3 h1g2 a1g1 g2h3 f4e5 g7g6 g1g3 b7b5 c4b3 c6c5 c2c4 h3f1 c4b5 c5c4 b3c2 a8d8 h4h5 f1d3 g3g2 f8f1 c2d3 d8d3 e3e2 f1c1 g2f2 c1a1 a2a3 a1c1 h5g6 c1c2 e2f1 c2f2 f1f2 h7g6
Bucharest,Bucharest,1953.??.??,7,"Spassky, Boris V","Sajtar, Jaroslav",1/2-1/2,,,D86,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 b8c6 h2h4 c6a5 c4d3 c7c5 c1e3 c5d4 c3d4 a5c6 e4e5 d8a5 e1f1 f8d8 h4h5 c8e6 h5g6 h7g6 e2f4 c6d4 e3d4 d8d4 f4e6 f7e6 d1b3 a5e5 a1e1 e5d5 d3g6 d5b3 a2b3 a8c8 h1h3 c8c6 h3f3 g7f6 g6e4 c6b6 e4d3 g8f8 d3c4 d4d6 f3e3 e6e5 e3g3 e7e6
Bucharest,Bucharest,1953.??.??,8,"Stoltz, Goesta","Spassky, Boris V",1/2-1/2,,,D40,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 e2e3 d7d5 b1c3 f8e7 a2a3 e8g8 f1d3 c5d4 e3d4 d5c4 d3c4 b8d7 e1g1 d7b6 c4a2 c8d7 f3e5 a8c8 d1f3 d7c6 e5c6 c8c6 f1d1 f6d5 c3e4 b6c4 e4c5 e7c5 a2c4 c5b6 c4b5 c6d6 c1e3 a7a6 b5a4 f7f5 d1d3 d5e3 f2e3 f5f4 a1d1 e6e5 f3e4 d8e7 h2h3 f4e3 d3e3 f8d8 a4b3 g8h8 g1h1 b6d4 e3f3 d6f6 b3c2 g7g6
Bucharest,Bucharest,1953.??.??,9,"Spassky, Boris V","Szabo, Stefan",1-0,,,D31,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 d5c4 a2a4 f8b4 e2e4 b7b5 d1c2 g8f6 c1g5 b4c3 b2c3 h7h6 g5h4 g7g5 h4g3 a7a6 f1e2 c8b7 h2h4 g5g4 f3d2 f6h5 g3e5 h8g8 a1b1 d8e7 e2c4 b8d7 e5g3 d7b6 a4b5 c6b5 c4d3 h5g3 f2g3 e7c7 e1f2 a8c8 h1c1 e6e5 d2b3 g8g6 d4d5 b6a4 c3c4 b5c4 d3c4 c7b6 f2e2 g6f6 c1f1 f6f1 e2f1 b6e3 b3a5 a4b6 c2b2 b6c4 a5c4 c8c4 b2e5 e8d8 e5d6 d8e8 d6e5 e8d8 e5f6 d8e8 f6h8 e8d7 b1b7 c4c7 b7c7 d7c7 h8e5 c7b6 e5b8 b6a5 b8c7 a5b4 d5d6 e3d3 f1g1 d3g3 c7b6 b4c3 b6c5 c3b3 c5d5 b3c3 d5c5 c3b3 c5f5 g3e1 f5f1 e1h4 d6d7 g4g3 f1d3 b3b2 d3d4 b2c2 d7d8q
