Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
LAT-ch,LAT,1952.??.??,?,"Klasup, Karlis","Tal, Mihail",0-1,,,D46,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 f1d3 f8b4 a2a3 b4a5 e1g1 e8g8 f3e5 d7e5 d4e5 d5c4 d3c4 f6d7 f2f4 d8e7 b2b4 a5b6 d1b3 f7f6 c4e6 g8h8 c3e4 f6e5 g1h1 e5f4 e3f4 d7f6 e4g5 f6e4 g5f7 f8f7 e6f7 e4f2 h1g1 f2d3 g1h1 e7e2 c1b2 c8h3 b2g7 h8g7 f7d5 c6d5 b3d5 g7h8 d5g5 b6d4 g2h3 a8g8 a1e1 d3e1
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail","Klasup, Karlis",1-0,,,A82,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 f2f3 d7d5 f3e4 d5e4 f1c4 c8f5 g1e2 b8c6 e1g1 e7e6 c4b5 a7a6 b5a4 d8d7 c1g5 e8c8 g1h1 f8e7 g5f6 e7f6 d4d5 e6d5 a4c6 b7c6 e2d4 f5g4 d1d2 d7d6 d4b3 c6c5 h2h3 h7h5 b3a5 e4e3 d2e3 d5d4 e3e4 d4c3 e4b7 c8d7 a5c4 d6d4 c4b6 d7e8 b2c3 d4d6 b6c4 d6g3 a1e1 e8f8 e1e3 g3h4 b7c7 f8g8 h1g1 g4c8 f1f4 h4g5 e3f3 g8h7 h3h4 d8d1 g1h2 g5d5 f3g3 c8g4 f4f6 d5c4 f6f5 h7h6 f5h5 h6h5 c7g7 c4f4 g7h8 h5g6 h8g8 g6f5 g8c8 f5e5 c8g4 f4g4 g3g4 d1d2 g4g5 e5f4 g5c5 d2c2 c5c6 f4g4 c6c4 g4h5 a2a4 c2d2 h2h3 d2d3 g2g3 d3d6 a4a5 d6d5 g3g4 h5g6 c4c6 g6f7 c6a6 d5d3 h3g2 d3c3 h4h5 f7g7 a6b6 c3a3 a5a6 g7f7 g2h2 f7g7 g4g5 a3a5 b6b7 g7g8 a6a7
Riga-ch,Riga,1952.??.??,?,"Mileika, Janis","Tal, Mihail",1/2-1/2,,,D44,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 b8d7 g2g3 c8b7 f1g2 d8b6 e5f6 e8c8 e1g1 c6c5 g2b7 b6b7 a2a4 c5d4 d1d4 d7c5 d4g4 b5b4 c3b5 a7a6 b5d4 c5d3 d4e6 f7e6 g4e6 c8b8 f6f7 d8c8 a1d1 f8c5 b2b3 b7f3 g5e3 f3c6 e6c6 c8c6 b3c4 d3b2 d1d5 b2a4 g3g4 h8f8 d5f5 c5e3 f2e3 b4b3 g4g5 b3b2 f1b1 c6c4 g1g2 c4c1 b1b2 a4b2 g5g6 c1c6 f5g5 c6f6 h2h4 f6f7 g6f7 f8f7 h4h5 b2c4
Riga-ch sf,Riga,1952.??.??,?,"Tal, Mihail","Segal, Alexandru Sorin",1-0,,,B07,e2e4 d7d6 d2d4 g8f6 f1d3 b8c6 g1e2 c6b4 e1g1 b4d3 c2d3 g7g6 b1c3 f8g7 e4e5 f6g4 h2h3 g4h6 c1g5 c7c6 d1d2 h6f5 g5f4 e8g8 e5d6 e7d6 d4d5 f5d4 e2d4 g7d4 f4h6 d4g7 h6g7 g8g7 d5c6 b7c6 c3e4 d6d5 d2c3 f7f6 e4c5 d8d6 f1e1 f8f7 e1e8 a8b8 a1e1 b8b5 b2b4 a7a5 a2a3 a5b4 a3b4 c8d7 e8d8 d6c7 d8d7 f7d7 c5e6
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail",Lozov,1-0,,,E18,c2c4 e7e6 g1f3 d7d5 d2d4 g8f6 g2g3 f8e7 f1g2 e8g8 e1g1 b7b6 b1c3 c8b7 f3e5 d8c8 c4d5 f6d5 c3d5 b7d5 e2e4 d5b7 d1c2 c7c5 d4d5 f8d8 g2h3 c8c7 c1f4 e7d6 e5f7 g8f7 h3e6 f7e8 e4e5 d6f8 c2h7 d8d5 h7g6 e8d8 f4g5 f8e7 g6f7 b8d7 f7g8
Riga-ch,Riga,1952.??.??,?,"Pasman, M.","Tal, Mihail",1-0,,,E92,d2d4 g8f6 c2c4 d7d6 g1f3 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 e7e5 d4d5 f6h5 g2g3 a7a5 h2h3 c8d7 f3h2 h5f6 c1g5 h7h6 g5e3 d7h3 g3g4 f6e4 c3e4 h3g2 h1g1 g2e4 f2f3 d8h4 e1d2 h4h2 g1h1 h2g2 h1g1 g2h2 g1h1 h2g2 f3e4 g2e4 h1g1 f7f5 e2d3 e4d3 d2d3 f5f4 e3f2 b8d7 g4g5 h6h5 d3e4 f4f3 f2e3 f8f5 g1f1 a8f8 d1c2 d7c5 e3c5 d6c5 e4e3 g8h7 a1d1 f5f4 d5d6 c7d6 d1d6 e5e4 d6d7 h7h8 d7g7 h8g7 c2h2 f4f5 f1f2 f5g5 e3e4 g5f5 h2c7 f8f7 c7a5 g6g5 a5d8 h5h4 f2f3 f5f3 d8g5 g7f8 g5c5 f8g8 c5g5 g8f8 g5h4 f3f6 h4h8 f8e7 h8b8 b7b6 e4d4 e7d7 d4c3 d7c6 b8c8 f7c7 c8a8 c6d7 a8g8 f6c6 b2b3 c6c5 a2a4 c5c6 g8g4 d7d8 b3b4 c7c8 g4f4 c8c7 c3b3 d8c8 f4e4 c8b8 e4d5 b8c8 d5b5 c8b7
Riga-ch sf,Riga,1952.??.??,?,"Klevitzki, Yehezkel","Tal, Mihail",0-1,,,B28,e2e4 c7c5 g1f3 a7a6 f1c4 e7e6 c2c3 d8c7 e1g1 d7d6 a2a4 g8f6 d2d3 f8e7 b1a3 b8c6 a3c2 d6d5 e4d5 e6d5 c4a2 e8g8 c1g5 c8e6 c2e3 f8d8 d3d4 c5c4 a2b1 g7g6 f3d2 f6g4 e3g4 e7g5 g4e3 c7d7 f2f4 g5h6 h2h4 d7e8 h4h5 f7f5 h5g6 h7g6 d1f3 e8d7 b1c2 d8e8 g1f2 e6f7 f1h1 h6g7 h1h3 c6d4 c3d4 g7d4 a1e1 e8e7 f3d1 a8e8 d2f1 d4a7 a4a5 d5d4 c2a4 d4e3 f1e3 d7d1 a4d1 g6g5 d1a4 e7e3 a4e8 e3h3
Riga tt,Riga,1952.??.??,?,"Tal, Mihail","Segal, Alexandru Sorin",1-0,,,A96,c2c4 f7f5 g1f3 g8f6 g2g3 d7d6 d2d4 e7e6 f1g2 f8e7 e1g1 e8g8 b1c3 c7c6 d1c2 a7a5 e2e4 f5e4 c3e4 c8d7 h2h4 b8a6 f3g5 g7g6 g2h3 d8c8 f1d1 e6e5 h3d7 f6d7 h4h5 c8e8 g5e6 g6h5 e6f8 e8f8 c4c5 a6b4 c2b3 d6d5 a2a3 g8h8 e4d6
Riga-ch sf,Riga,1952.??.??,?,"Tal, Mihail",Birjanis,1-0,,,D53,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8e7 c1g5 f6e4 g5e7 d8e7 d1c2 e4c3 c2c3 e8g8 a1c1 c7c6 g2g3 b8d7 f1g2 d5c4 c3c4 e6e5 e1g1 d7b6 c4c5 e7e6 b2b3 e5d4 f3d4 e6h6 f1d1 b6d7 d4f5 h6f6 f5e7 g8h8 c5a3 d7e5 e7d5 f6d8 d5c7 c8d7 c7a8 d8a8 f2f4
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail","Zaid, Leonid D",1-0,,,D07,d2d4 b8c6 c2c4 d7d5 b1c3 e7e5 c4d5 c6d4 e2e3 d4f5 e3e4 f5h4 g2g3 h4g6 d1b3 a7a6 h2h4 h7h5 c1g5 f8e7 g5e7 d8e7 f1h3 b7b5 a2a4 c8h3 g1h3 b5b4 b3c4 e7d6 c3a2 a8b8 b2b3 g8f6 h3g5 e8g8 a1c1 f8c8 e1g1 a6a5 c1c2 g6f8 a2c1 f8h7 g5f3 f6g4 c1d3 c7c6 c4a6 b8a8 a6b7 a8b8 c2c6 b8b7 c6d6 f7f6 d6c6 c8c6 d5c6 b7c7 f1c1 h7f8 c1c5 f8e6 c5a5 c7c6 d3b4 c6c3 f3d2 e6d4 a5a8 g8h7 a4a5 d4b3 d2b3 c3b3 b4c6 b3b1 g1g2 b1b2 a5a6 g4e3 g2g1 b2b1 g1h2 b1b2 g3g4 h5g4 h2g3 e3f1 g3g4 b2f2 a6a7 f2g2 g4f3
LAT-ch sf,LAT,1953.??.??,?,"Tal, Mihail","Rozenberg, S.",1-0,,,B15,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4g3 h7h5 h2h4 d8c7 f1e2 c8g4 e2g4 f6g4 g1e2 e7e6 g3e4 b8d7 c1f4 c7a5 c2c3 e8c8 f2f3 g4h6 b2b4 a5b6 d1b3 d7f6 e4d2 f8d6 d2c4 b6c7 c4d6 d8d6 b4b5 f6d5 f4d6 c7d6 c3c4 d6b4 b3b4 d5b4 a1b1 c6c5 e1d2 b4a2 d4c5 h8d8 d2c2 h6f5 b1b3 f5d4 e2d4 d8d4 h1a1 d4c4 c2d3 c4a4 a1b1 a4h4 g2g4 h5g4 b3b2 g4f3 b2a2 g7g5 a2a7 f7f5 b5b6 e6e5 c5c6 h4d4 d3c3
LAT-ch,LAT,1953.??.??,?,Gradus,"Tal, Mihail",0-1,,,E69,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 g2g3 d7d6 f1g2 b8d7 e1g1 e7e5 e2e4 e5d4 f3d4 d7c5 h2h3 f8e8 f1e1 a7a5 b2b3 c7c6 c1f4 a5a4 b3b4 c5e6 d4e6 c8e6 f4d6 e6c4 e4e5 f6d7 d1d4 d7e5 e1e5 e8e5 d6e5 d8d4 e5d4 g7d4
LAT-ch,LAT,1953.??.??,?,"Mileika, Janis","Tal, Mihail",0-1,,,A60,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 g2g3 e6d5 c4d5 b7b5 a2a4 b5b4 b2b3 g7g6 f1g2 d7d6 e2e4 f8g7 c1b2 e8g8 g1e2 f8e8 b1d2 f6e4 b2g7 e4d2 g7h6 c8g4 h6e3 d2f3 g2f3 g4f3 h1g1 b8d7 d1d2 d7f6 e2f4 g6g5 f4e2 e8e5 e1c1 f6e4 d2c2 f3e2 c2e2 e4c3
LAT-ch,LAT,1953.??.??,?,"Solmanis, Zigfrids","Tal, Mihail",0-1,,,E61,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 c1f4 d7d6 d1d2 b8d7 a1d1 c7c5 d4d5 f6h5 f4h6 g7h6 d2h6 d7e5 e2e4 f7f5 f1e2 h5f6 e4f5 c8f5 g1f3 f6g4 h6g7 h8f8 f3e5 g4e5 g7h7 d8b6 e1g1 b6b2 d1c1 b2d2 f2f4 d2e3 g1h1 e8c8 h7h4 e5d3 e2d3 f5d3 c1e1 e3d4 e1d1 d4c4 f1f3 d3e2 c3e2 c4e2 d1e1 e2a2 e1e7 a2d5 h2h3 f8e8 f3e3 e8e7 e3e7 c5c4 h4g4 d5f5 g4f3 d8d7 e7e8 c8c7 f3c3 f5c5 c3h8 c7b6 e8c8 d7c7 h8b2 b6c6 c8g8 c4c3 b2c2 c5d4 g8g6 c7e7 g6g4 b7b5 c2f5 d4d1 h1h2 c3c2 f5c8 c6b6 c8d8 e7c7
LAT-ch,LAT,1953.??.??,?,"Tal, Mihail",Erepov,1-0,,,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 e7f5 f1d3 h7h5 g4f4 c5d4 c3d4 d8h4 f4h4 f5h4 g2g3 h4f5 g1e2 b8c6 c2c3 c6a5 a1b1 c8d7 e2f4 f5e7 d3e2 g7g6 h2h4 a8c8 c1d2 c8c7 g3g4 h5g4 e2g4 a5c4 d2c1 d7a4 h4h5 a4c2 b1a1 g6h5 f4h5 e8d8 c1g5 d8c8 g5f6 h8h7 e1e2 b7b6 h5g7 h7h1 a1h1 c8b7 h1h8 e7g6 h8d8 c2a4 d8g8 c4a3 g7e6 c7c3 e6d8 b7a6 e2f1 g6f4 f1g1 a4d1 d8f7 d1g4 g8g4 f4e6 f7g5 c3c6 g5e6 c6e6 f2f4 b6b5 f4f5 e6c6 f6e7 a3c4 f5f6 c4b6 f6f7 b6d7 g4g8
LAT-ch,LAT,1953.??.??,?,"Tal, Mihail","Kampenuss, P.",1-0,,,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d4e5 e8g8 d1e2 e4c5 f1d1 d8e8 b1c3 a7a6 b5c4 b7b5 c4d5 a8b8 a2a3 b5b4 c3e4 c5e6 e4g3 f7f6 f3h4 c6e5 f2f4 e7c5 g1h1 e5f7 f4f5 e6g5 e2c4 b8b5 c1g5 f6g5 d1e1 e8d8 h4g6 c7c6 d5f7 f8f7 g6h8 d7d5 h8f7 g8f7 c4e2 c8d7 a3a4 b5b6 a1d1 d8f6 g3e4 d5e4 e2c4 f7e8 e1e4 c5e7 c4g8 f6f8 e4e7 e8e7 d1e1 e7d6 g8f8 d6c7 f8g7 c6c5 f5f6
LAT-ch,LAT,1953.??.??,?,"Tal, Mihail","Pasman, M.",1-0,,,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 b8d7 f1d3 f8e7 e1g1 e8g8 g1h1 b7b5 a2a3 d8c7 f4e5 d6e5 f3h4 d7c5 c1g5 c7d8 h4f5 c8f5 f1f5 f6d7 g5e7 d8e7 c3d5 e7d6 d1g4 g7g6 a1f1 f7f6 h2h4 g8h8 f5f3 f6f5 e4f5 d6d5 f5g6 f8f3 g6g7 h8g8 d3h7 g8h7 f1f3 c5e4 h4h5 d7f6 g4g6 h7g8 h5h6 a8a7 h1h2 a7e7 f3h3 f6h7 h3d3 d5a8 g6e4 a8e4 d3d8 g8f7 g7g8q f7f6 d8d6 f6f5 g8g6 f5f4 g2g3 f4e3 d6d3 e4d3 g6d3 e3f2
LAT-ch,LAT,1953.??.??,?,Balinsh,"Tal, Mihail",0-1,,,A96,d2d4 e7e6 g1f3 f7f5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c2c4 d7d6 b2b3 d8e8 c1b2 b8d7 b1d2 e8h5 e2e3 h5h6 h2h4 f6g4 f3h2 g4h2 g1h2 g7g5 f1h1 g5h4 h2g1 h6g7 g3h4 f5f4 e3e4 e6e5 d2f3 e7f6 d4d5 d7c5 d1c2 a7a5 g1f1 c8g4 f3e1 g8f7 f2f3 g4d7 c2f2 f8g8 a1d1 g7h6 g2h3 g8g3 h3d7 c5d7 e1g2 a8g8 h1h2 h6h5 f1e2 d7c5 g2e1 c5e4 f2a7 e4g5 a7b7 g5f3 b7c7 f6e7
LAT-ch sf,LAT,1953.??.??,?,"Mileika, Janis","Tal, Mihail",0-1,,,E40,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6 f1d3 e6e5 g1e2 e5d4 e3d4 d7d5 c4c5 e8g8 e1g1 b4c3 b2c3 c6e7 d1c2 e7g6 c1g5 h7h6 g5d2 g6h4 e2g3 d8d7 f2f3 b7b6 c5b6 a7b6 f1e1 c7c5 e1e5 c5c4 d3f5 d7a4 c2c1 h4f5 g3f5 c8f5 e5f5 a4d7 f5f6 g7f6 d2h6 f8e8 c1f4 g8h7 f4h4 h7g6 g2g4 e8h8 h4h5 g6h7 g1h1 h7g8 a1g1 d7c6 g4g5 f6f5 g5g6 f7f6 h5h4 a8a2 g6g7 h8h7 h4g3 a2e2 g1a1 c6e8 g3h4 e2e6 h4f4 b6b5 a1g1 e8h5 g1a1 h7h6 a1a8 g8g7 f4g3 h5g6 a8a7 g7g8
LAT-ch,LAT,1953.??.??,?,"Kliavinsh, Janis","Tal, Mihail",1/2-1/2,,,E25,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 c7c5 a2a3 b4c3 b2c3 d7d5 c4d5 f6d5 d4c5 f7f5 c3c4 d8h4 g2g3 h4c4 e2e4 c4c3 c1d2 c3e5 f1g2 f5e4 f3f4 e5f6 g2e4 d5c3 d2c3 f6c3 e1f2 c3c5 f2g2 e8g8 g1f3 b8d7 a1c1 c5e7 c1c7 e7d8 d1c2 d7f6 h1d1 f6d5 c7c3 g7g6 f3g5 c8d7 e4g6 h7h6 g6f7 f8f7 g5f7 g8f7 c2h7 f7f8 h7h6 f8g8 h6g6 g8f8
LAT-ch sf,LAT,1953.??.??,?,"Tal, Mihail",Pigit,0-1,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d4c6 b7c6 e4e5 d8a5 f1b5 c6b5 e5f6 b5b4 d1f3 a5e5 c3e4 d6d5 a1d1 c8a6 d1d4 d5e4 d4e4 e5g5 e4e6 f7e6 f3a8 e8f7 a8a7 f7f6 a7a6 g5c1
