Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U18 f-A 6768,Groningen,1967.??.??,1,"Hostalet, Pedro Enrique","Timman, Jan H",0-1,,,A17,g1f3 e7e6 c2c4 g8f6 b1c3 c7c5 g2g3 b7b6 e2e4 c8b7 d2d3 d7d6 f1g2 f8e7 e1g1 e8g8 h2h3 b8a6 f3g5 h7h6 g5f3 a6c7 c1e3 d6d5 e4e5 f6d7 e3f4 d5d4 c3e4 b7e4 d3e4 b6b5 c4b5 c7b5 d1d3 a8b8 a2a4 b5c7 f1b1 d8c8 b2b4 c5b4 f3d4 c7a6 h3h4 a6c5 d3e3 c8b7 g2f1 a7a6 f2f3 f8c8 g3g4 b4b3 f1c4 b3b2 a1a2 b7b4 a2b2 b4c4 d4c6 c8c6 b2b8 d7b8 b1b8 g8h7 b8e8 e7h4 g4g5 c5d3 g1h2 d3f4 e3f4 c4f1
EU-ch U18 sf 6768,Groningen,1967.??.??,1,"Maeder, Karl Heinz","Timman, Jan H",1-0,,,C04,e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6 e4e5 f6d7 d2b3 f7f6 f1b5 f8e7 c1f4 e8g8 e5f6 e7f6 f4g3 f8e8 e1g1 e6e5 b5c6 b7c6 b3a5 d7b8 d4e5 f6e7 f3d4 c6c5 a5c6 b8c6 d4c6 d8d7 c6e7 e8e7 f2f4 c8a6 f1f2 a8f8 f4f5 f8f5 f2f5 d7f5 d1d5 e7f7 c2c4 h7h5 a1e1 c7c6 d5c5 f5g5 g3f2 f7f5 b2b3 h5h4 h2h3 g8h7 c5d4
EU-ch U18 sf 6768,Groningen,1967.??.??,2,"Timman, Jan H","Dudek, Hansgeorg",1-0,,,A52,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3 f8c5 e2e3 b8c6 f1e2 g4e5 e1g1 e8g8 b1c3 d7d6 a2a3 e5f3 e2f3 c6e5 b2b4 e5f3 d1f3 c5b6 c1b2 d8g5 c3d5 c8e6 f1d1 c7c6 d5b6 a7b6 d1d6 a8d8 a1d1 d8d6 d1d6 f8d8 b2f6 g5f6 f3f6 d8d6 f6f3 e6c4 h2h4 b6b5 f3f4 d6d1 g1h2 h7h6 f4b8 g8h7 b8b7 d1d2 h2g3 d2d3 a3a4 d3d6 a4a5 c4d5 f2f3 c6c5 b7b5 c5b4 b5b4 d6d8 e3e4 d5c6 a5a6 d8e8 b4c4 e8e6 a6a7
EU-ch U18 f-A 6768,Groningen,1967.??.??,2,"Timman, Jan H","Ligterink, Gert",1-0,,,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 c4d5 e6d5 e2e3 e8g8 f1d3 f8e8 g1e2 b7b6 a2a3 b4f8 e3e4 d5e4 f3e4 c8b7 e1g1 f6e4 d1b3 e4c3 b3f7 g8h8 b2c3 d8e7 f7h5 b7e4 c1g5 e7g5 h5g5 e4d3 g5e3
EU-ch U18 f-A 6768,Groningen,1967.??.??,3,"Moles, John","Timman, Jan H",0-1,,,A03,f2f4 d7d5 e2e3 g7g6 g1f3 f8g7 f1e2 g8f6 e1g1 e8g8 d2d3 c7c5 d1e1 b8c6 e1h4 e7e6 b1d2 b7b6 e3e4 c8a6 e4e5 f6d7 h4h3 d8e7 d2b3 f7f6 c1d2 a8e8 a1e1 f6e5 f3g5 h7h6 g5e6 e7e6 e2g4 f8f5 f4e5 d7e5 g4f5 g6f5 h3f5 e6f5 f1f5 c5c4 d3c4 d5c4 b3c1 c6d4 f5h5 e5f3 g2f3 d4f3 g1f2 f3e1
EU-ch U18 sf 6768,Groningen,1967.??.??,3,"Jacobsen, Bo","Timman, Jan H",0-1,,,C03,e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 f1b5 g8e7 g1f3 a7a6 b5c6 e7c6 e1g1 f8e7 c2c3 b7b6 f3e5 c6e5 d4e5 c8b7 d1g4 d8d7 e4d5 d7d5 d2f3 h7h5 g4a4 b6b5 a4d4 d5c6 h2h4 a8d8 d4f4 h8h6 f4h2 h6g6 c1g5 f7f6 e5f6 g7f6 f1e1 f6g5 h4g5 d8d5 f3d4 d5d4 c3d4 g6g5 g2g3 h5h4 e1e3 e8d7 a1e1 h4g3 e3g3 g5g3 f2g3 e7f6
EU-ch U18 sf 6768,Groningen,1967.??.??,4,"Timman, Jan H","Adorjan, Andras",0-1,,,E64,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 c7c5 d4d5 d7d6 c2c4 b8a6 b1c3 a6c7 d1c2 a7a6 b2b3 c8f5 c2d2 f6e4 c3e4 g7a1 e4c3 b7b5 d2h6 f7f6 c1d2 a1c3 d2c3 f8f7 e2e4 f5d7 h6e3 c7e8 f3d2 b5b4 c3b2 a6a5 f2f4 a5a4 e4e5 f6e5 f4e5 f7f1 g2f1 a4b3 e5e6 b3a2 e6d7 d8d7 b2a1 e8g7 d2e4 g7f5 e3f2 f5d4 f2e3 b4b3 e3c3 d7f5 e4d2 f5c2
EU-ch U18 f-A 6768,Groningen,1967.??.??,4,"Karpov, Anatoly","Timman, Jan H",1-0,,,A17,c2c4 e7e6 b1c3 g8f6 g1f3 f8b4 d1b3 c7c5 a2a3 b4a5 e2e3 e8g8 f1e2 d7d5 e1g1 b8c6 c3a4 d8e7 b3c2 f6d7 d2d4 d5c4 d4c5 e6e5 e3e4 c6d4 f3d4 e5d4 e2c4 d7e5 b2b4 a5c7 c4d5 d4d3 c2d1 c8g4 f2f3 g4h5 a1a2 g8h8 g2g4 h5g6 f3f4 e5g4 d1g4 f7f5 e4f5 g6f5 g4f3 a8d8 a4c3 e7f6 a2g2 f6d4 g1h1 f8f6 c1d2 f6h6 f3f2 d8d5 f1e1 h6e6 c3d5 d4d5 e1e6 f5e6 h1g1 d5b3 f2e1 h8g8 f4f5 e6f7 d2h6 g7g6 e1a1 c7e5 a1e5 b3d1 g1f2 d1c2 f2g3
EU-ch U18 f-A 6768,Groningen,1967.??.??,5,"Timman, Jan H","Adorjan, Andras",0-1,,,A34,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3 b2c3 f8g7 g1f3 e8g8 e1g1 c7c5 a1b1 b8c6 d1a4 d8a5 a4a5 c6a5 d2d4 c8f5 b1b5 b7b6 f3h4 f5d7 b5a5 b6a5 g2a8 f8a8 c1a3 c5d4 c3d4 d7b5 a3e7 b5e2 f1e1 e2c4 a2a3 a8e8 e1c1 c4d5 e7c5 e8e4 c1d1 e4e2 h4g2 e2a2 g2e3 d5f3 d1b1 h7h5 d4d5 g8h7 d5d6 a2d2 b1e1 g7c3 e1c1 c3f6 e3c4 d2d5 c4a5 f6b2 c1b1 d5c5 a5b3 c5d5 g3g4 d5d6 g4h5 d6d1 b1d1 f3d1 h5g6 h7g6 b3a5 b2a3
EU-ch U18 sf 6768,Groningen,1967.??.??,5,"Fucak, Emilijo","Timman, Jan H",0-1,,,B80,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 a7a6 f1d3 b7b5 a2a3 c8b7 e1g1 b8d7 f2f4 f8e7 d1f3 a8c8 g1h1 e8g8 a1e1 c8c3 b2c3 d7c5 e3g1 d8a8 f3h3 f6e4 c3c4 f7f5 c4b5 a6b5 d4b3 f8f6 g1c5 d6c5 d3e4 b7e4 e1e2 a8a3 h3e3 f6g6 f1a1 a3b2 a1a7 e7f8 h2h3 e6e5 f4e5 b2e5 b3d2 g6g2 d2f3 e4f3 e3b3 c5c4 e2e5 c4b3 e5f5 b3c2 f5f3 g2d2 f3f1 d2d1 a7f7 f8a3 f7f8
EU-ch U18 f-A 6768,Groningen,1967.??.??,6,"Zara, Dan","Timman, Jan H",1/2-1/2,,,A40,d2d4 g7g6 g2g3 f8g7 f1g2 c7c5 c2c3 d8a5 b1d2 c5d4 d2b3 a5b6 c3d4 a7a5 a2a4 b8c6 g1f3 d7d5 e1g1 c8g4 c1e3 g4f3 g2f3 e7e6 d1d3 g8e7 d3b5 b6a6 g3g4 h7h5 h2h3 h5g4 h3g4 e8f8 g1g2 b7b6 b5a6 a8a6 a1d1 f7f6 f1h1 h8h1 g2h1 g6g5 e3d2 a6a8 d1c1 a8c8 h1g2 c6a7 e2e3 f8f7 f3e2 g7f8 f2f4 g5f4 e3f4 c8c1 b3c1 e7c6 d2e3 c6b4 e2d1 a7c6 g2f2 f8d6 f2e2 c6e7 c1d3 b4d3 e2d3 f6f5 d1f3 f5g4 f3g4 f7f6 d3e2 e7f5 e2d3 f5h4 d3e2 h4f5 e2f3 d6e7 e3f2 f6g6 f3e2 e7f6 e2d3 g6f7 f2e3 f6e7 g4h5 f7f6 h5g4 e7b4 e3f2 b4f8 d3e2 f6g6 g4f5 g6f5 e2f3 f8e7 f2g1 e7h4 g1e3 h4e1 e3c1
EU-ch U18 sf 6768,Groningen,1967.??.??,6,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,,,D03,d2d4 g8f6 g1f3 e7e6 c1g5 d7d5 b1d2 b8d7 e2e3 f8e7 f1d3 e8g8 d1e2 c7c5 c2c3 b7b6 f3e5 d7e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f5 e5f6 f8f6 e3e4 c8b7 e1g1 a8f8 e4d5 b7d5 a1e1 f6f4 d3h7
EU-ch U18 sf 6768,Groningen,1967.??.??,7,"Timman, Jan H","Zara, Dan",1-0,,,D94,d2d4 g8f6 c2c4 c7c6 b1c3 d7d5 e2e3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 e7e6 a1b1 b8d7 b2b4 f8e8 d1b3 b7b6 c4d5 c6d5 a2a4 c8b7 a4a5 b6a5 b4a5 d8a5 c1d2 e8b8 c3b5 a5d8 b3a2 a7a6 b5d6 b7c6 f3g5 f6e4 d6e4 d8e7 b1b8 a8b8 a2a6 c6a8 a6d6
EU-ch U18 f-A 6768,Groningen,1967.??.??,7,"Timman, Jan H","Lewi, Jerzy",0-1,,,D88,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 f1c4 f8g7 g1e2 e8g8 e1g1 c5d4 c3d4 b8c6 c1e3 c6a5 c4d3 a5c6 d3b5 c8g4 f2f3 g4d7 a1b1 c6a5 d1a4 d7b5 b1b5 b7b6 f1c1 a8c8 b5d5 c8c1 e3c1 d8c8 c1a3 a5c6 d5b5 c6d4 e2d4 c8c3 d4c2 f8c8 b5d5 g7f8 a4a7 c3c2 a7d7 c2e2
Wch U20,Jerusalem,1967.??.??,1,"Kaplan, Julio P","Timman, Jan H",1-0,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 d1g4 g8e7 d4c5 b8c6 c1d2 e7f5 g1f3 b4c5 f1d3 e8g8 d2g5 d8b6 e1g1 b6b4 g4h3 h7h6 a2a3 b4b6 d3f5 e6f5 c3d5 b6b2 d5f6 g7f6 g5f6 g8h7 h3h5
Wch U20,Jerusalem,1967.??.??,2,"Timman, Jan H","Keene, Raymond D",1/2-1/2,,,A42,d2d4 g7g6 e2e4 f8g7 c2c4 d7d6 b1c3 b8c6 c1e3 e7e5 d4d5 c6e7 g2g4 f7f5 g4f5 g6f5 d1h5 e7g6 e4f5 d8h4 h5f3 g6f4 g1h3 g8f6 f3g3 h4g3 f2g3 f6g4 e3d2 f4h3 f1h3 c8f5 e1g1 f5d7 c3e4 h7h5 d2g5 h8f8 c4c5 d7f5 h3g2 f5e4 g2e4 d6c5 e4g6 e8d7 g6h5 g4f6 h5g6 f6d5 h2h4 g7f6 g5h6 f8h8 h6d2 a8g8 h4h5 d7e6 g3g4 g8g6 h5g6 h8g8 g1g2 g8g6 g2h3 c5c4 a1e1 b7b5 e1e4 g6g7 f1e1 e6d6 e1g1 d6e6 g4g5 f6e7 g1e1 e7d6 e4h4 e6f5 e1g1
Wch U20,Jerusalem,1967.??.??,3,"Ghizdavu, Dumitru","Timman, Jan H",1/2-1/2,,,C04,e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6 e4e5 f6d7 d2b3 f7f6 f1b5 f8e7 e5f6 e7f6 e1g1 e8g8 f1e1 d7b6 b5c6 b7c6 b3c5 d8d6 b2b3 f8e8 c5d3 b6d7 a2a4 d6f8 c1a3 f8f7 f3e5 d7e5 d3e5 f6e5 e1e5 f7g6 d1d2 a7a5 a1e1 h7h6 e1e3 c8a6 e3g3 g6f6 g3f3 f6g6 h2h4 g6h7 h4h5 a6b7 f3g3 a8d8 g3g6 d8a8 d2e3 b7c8 g2g4 g8h8 g4g5 h6g5 e3g5 c8d7 h5h6 e8g8 a3e7 h7h6 g5h5 d7e8 h5h6 g7h6 e7f6 h8h7 g6g8 h7g8 e5e3 e8g6 e3c3 a8a6 f6e5 g8f7 e5c7 f7e7 c3c5 e7d7 c7f4 h6h5 f4d2 a6a8 g1f1 h5h4 d2g5 h4h3 g5f4 g6e4 f4e5 e4f5 f1e2 f5g4 e2e1 g4f5 e1f1 f5e4 f1g1 e4f5 g1h2 f5g4 e5g3 g4f5 f2f3 a8a6 g3e1 a6a8 e1g3 a8a6 g3e1 a6a8 e1g3 a8a6 g3e1 a6a8 e1g3 a8a6 g3e1
