Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Forli op,Forli,1988.??.??,?,"Topalov, Veselin","Braga, Fernando",1/2-1/2,2300,2425,D18,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 f3h4 e8g8 f2f3 d8a5 c3a2 c6c5 h4f5 e6f5 a2b4 a5b4 b2b3 f8e8
Forli op,Forli,1988.??.??,?,"Votruba, Pavel","Topalov, Veselin",1/2-1/2,2345,2300,A41,g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c8g4 f1e2 b8c6 d4d5 g4f3 e2f3 c6d4 b1c3 c7c5 e1g1 g8f6 c1e3 f6d7 f3e2 e8g8 e2d3 d8b6 a1b1 b6a5 f2f4 a7a6 e3d2 a5c7 a2a4 b7b5 a4b5 a6b5 c3b5 d4b5 c4b5 c5c4 d3e2 c7c5 g1h1 a8a2 d2c3 g7c3 b2c3 f8a8 e2g4 d7f6 g4f3 a8b8 e4e5 f6d7 d1e1 d7f8 e1h4 a2a7 e5d6 c5d6 f4f5 a7c7 f3e4 b8b6 f1f3 d6f6 h4g3 f6d6 g3h4 d6f6 h4g4 g6g5 h2h4 h7h6 h4g5 h6g5 f3h3 f6g7 f5f6 e7f6 e4f5 c7c5 g4d4 b6b5 b1b5 c5b5 d4c4 b5a5 c4d4 g5g4 f5g4 f6f5 d4g7 g8g7 g4f5 a5d5 h3f3 f8g6 f5g6 g7g6 h1h2 d5d2 h2g3 f7f5 f3e3 g6f6 g3f3 f6f7 f3f4 d2g2 f4f5 g2f2 f5e5 f7e7 e5d5 e7d7 d5c5 f2f6 e3e5 f6g6 c3c4 g6a6 e5g5 a6f6 g5g7 d7c8 c5b5 f6h6 c4c5 h6f6 g7h7 f6g6 c5c6 g6g1
Forli op,Forli,1988.??.??,?,"Topalov, Veselin","Mantovani, Renzo",1-0,2300,2410,E12,d2d4 g8f6 g1f3 b7b6 c2c4 e7e6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1c2 d5c3 b2c3 f8e7 e2e3 e8g8 f1d3 h7h6 e1g1 c7c5 c2e2 d8c8 c1b2 b8c6 a1d1 f8e8 c3c4 c5d4 e3d4 e7f6 e2e4 g7g6 e4e3 f6g7 h2h4 c6e7 h4h5 e7f5 e3e2 g6g5 f3e5 c8c7 e2g4 f5h4 f2f4 f7f5 g4g3 g7e5 d4e5 c7e7 f1f2 a8d8 b2c3 d8d7 c3b4 e7d8 b4d6 d7g7 d3f1 g5f4 g3f4 d8g5 d1d4 b7e4 d4e4 f5e4 f4e4 g8h8 e4c6 e8g8 d6f8 g7h7 c6e6 h7c7 f8h6 g5h5 e6f6 h8h7 h6d2 c7d7 e5e6 h4g2 f1g2 d7g7 f6f4 h5d1 g1h2 g7g2 f2g2 d1h5 h2g1 h5d1 g1f2 g8g2 f2g2 d1e2 g2g3 e2e6 f4h4 h7g6 h4g4 g6f7 g4e6 f7e6 g3f4 e6d6 d2e3 d6c6 f4e5 b6b5 c4c5 a7a6 e5d4 a6a5 e3d2
Forli op,Forli,1988.??.??,?,"Topalov, Veselin","Granda Zuniga, Julio E",0-1,2300,2540,A69,d2d4 g8f6 g1f3 e7e6 c2c4 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 f3d2 f8g7 e2e4 e8g8 f1e2 f8e8 e1g1 b8a6 f2f4 a8b8 e2f3 a6b4 f3e2 c5c4 e2c4 f6g4 d1a4 g7d4 g1h1 g4h2 g2g3 h2f1 c4f1 d4c5 a2a3 b4a6 a4c4 d8f6 e4e5 f6g7 d2f3 c8g4 f3h2 g4f5 g3g4 f5d7 c3e4 d6e5 e4c5 a6c5 c4c5 e5f4 c1f4 g7b2 c5c1 b2c1 a1c1 b8c8 c1b1 b7b6 d5d6 f7f6 f1b5 d7b5 b1b5 g6g5 f4g3 e8e3 h1g2 c8c2 g2h3 e3a3 b5f5 c2c3 h2f1 g8f7 f5f2 c3f3 h3g2 f3f2 g2f2 f7e6 f1e3 a3d3 e3f5 a7a5 f2e2 d3d5 f5g7 e6f7
Forli op,Forli,1988.??.??,?,"Topalov, Veselin","Meduna, Eduard",1/2-1/2,2300,2505,D18,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 b8d7 e1g1 f8b4 f3h4 e8g8 h4f5 e6f5 f2f3 d8e7 d1c2 g7g6 a4a5 a8d8 g1h1 f6h5 c2f2 d7f6 e3e4 f5f4 g2g4 f4g3 h2g3 e7d7 c3e2 f8e8 f2g2 h5g7 g3g4 g7e6
Forli op,Forli,1988.??.??,?,"Garcia Palermo, Carlos","Topalov, Veselin",1/2-1/2,2455,2300,A48,d2d4 d7d6 c1g5 g7g6 c2c3 f8g7 e2e4 g8f6 b1d2 e8g8 g1f3 c7c5 d4c5 d6c5 f1c4 b8c6 e1g1 d8c7 f1e1 c6a5 c4f1 c8e6 b2b4 c5b4 c3b4 a5c6 b4b5 c6e5 a1c1 e5f3 d1f3 c7a5 d2b3 a5a2 b3c5 a8c8 e1e2 a2a5 c5e6 c8c1 g5c1 f7e6 f3b3 g8f7 g2g3 f8c8 c1b2 a5b6 e4e5 f6d5 e2e4 g7h6 f1c4 a7a6 c4d5 e6d5 e4h4 c8c5 b3f3 f7g8 h4h6 c5b5 e5e6 b6e6 f3c3 d5d4 c3d4 e6e1 g1g2 e7e5 d4d8 g8g7 d8e7 g7h6
Forli op,Forli,1988.??.??,?,"Topalov, Veselin","Gonsior, Evzen",1/2-1/2,2300,2305,D53,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 h7h6 e2e3 c7c6 a1c1 b8d7 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d7b6
Forli op,Forli,1988.??.??,?,"Strikovic, Aleksa","Topalov, Veselin",0-1,2450,2300,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 g1f3 b7b6 f3d4 e7e6 c3c4 d5c7 d1f3 f8c5 c1e3 e8g8 f1d3 d7d5 e5d6 d8d6 d4b5 c7b5 e3c5 d6c5 f3a8 b8c6 d3e4 b5d4 e4c6 d4c6 e1g1 c8a6 b2b4 c5c4 b1a3 f8a8 a3c4 a6c4 f1c1 c4d5 a2a3 g8f8 f2f3 f8e8 g1f2 e8d7 f2e3 a7a5 b4b5 c6e7 c1c2 a8c8 a1c1 c8c2 c1c2 e7f5 e3d3 f5d6 a3a4 d6b7
Forli op,Forli,1988.??.??,?,"De Eccher, Stefano","Topalov, Veselin",0-1,2290,2300,A26,c2c4 e7e5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6 d2d3 g8f6 e2e4 d7d6 g1e2 f6d7 e1g1 d7c5 a1b1 a7a5 f2f4 c6d4 b2b3 e5f4 g3f4 f7f5 c1e3 d4e2 c3e2 f5e4 d3e4 e8g8 d1d2 d8e7 b1d1 g8h8 e2c3 c8g4 d1e1 a8e8 g1h1 e7h4 e4e5 e8d8 e3f2 h4h5 d2e3 c5e6 c3d5 g6g5 f2g3 g5f4 d5f4 e6f4 g3f4 d6e5 f4e5 f8f1 g2f1 g4f3 h1g1 h5g4 g1f2 d8f8 e5g7 g4g7 e3f3 g7b2 e1e2 f8f3 f2f3 b2f6 f3g2 a5a4 b3a4 h8g7 g2g1 f6b6 e2f2 b6b4 g1g2 b4a4 g2g1 a4a3 f1g2 a3c1 g2f1 h7h5 g1g2 h5h4 f2f3 c1b2 f3f2 b2a3 g2g1 g7g6 f1e2 g6g5 e2f1 b7b6 f1g2 a3c1 g2f1 c1e3 g1g2 c7c6 f1e2 h4h3 g2g1 g5h4 e2f1 b6b5 c4b5 c6b5 f1e2 e3g5 g1h1 b5b4 e2f1 g5c1 h1g1 c1e3 f1a6 e3g5 g1h1 g5d5 h1g1 d5g8 g1f1 g8g6 a6b7 g6b1 f1e2 b1a2 e2e3 a2a7
EU-ch U20,Arnhem,1989.??.??,?,"Markovic, Ivan","Topalov, Veselin",1-0,2370,2460,C10,e2e4 e7e6 d2d4 d7d5 b1c3 b8c6 e4e5 f7f6 f2f4 f6e5 d4e5 g8h6 d1h5 g7g6 h5h3 c6b4 f1d3 c7c5 d3b5 e8f7 e1d1 f7g7 a2a3 b4c6 g1f3 h6f5 g2g4 f5d4 b5e2 d4e2 c3e2 d5d4 e2g3 d8d5 h1f1 d4d3 f4f5 e6f5 c1h6 g7g8 h6f8 c8d7 f8d6 f5g4 h3h6 d3c2 d1c1 g4f3 g3h5 d5d1 f1d1 c2d1q c1d1 g6h5 h6g5 g8f7 g5f6 f7g8 e5e6
