Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FIDE-Wch,NLD/INA,1993.??.??,1.0,"Timman, Jan H","Karpov, Anatoly",0-1,2620.0,2760.0,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 f8c5 f3e5 b6d7 g1f3 d8c7 c1f4 c5b4 f3d2 b4d2 e1d2 e8g8 h1d1 c7b6 e5c4 b6c6 e2f3 f6d5 g2g3 d7c5 f4h6 g7h6 f3g4 g8h8 c4e5 c6a4 g4h5 h8g7 e5g4 f8h8 g4e5 h8f8 e5g4 f8h8 g4e5 a4e8 h5g4 g7f8 g4d4 c5d3 e5g6 f7g6 d4h8 f8e7 h8e8 e7e8 d2d3 b7b5 d1e1 e8e7 e1e5 g6g5 a1e1 e7f6 e5e4 c8d7 h2h4 a8f8 c2c3 a7a5 d3d4 f8c8 f2f3 a5a4 e1c1 d5e7 d4d3 e6e5 d3e2 d7e6 e2f2 e6a2 c1e1 c8c5 h4g5 h6g5 f3f4 e7g6 f4e5 g6e5 e4d4 c5d5 d4d5 a2d5 f2e3 d5c4 e1d1 f6f5 d1d4 e5d3 g3g4 f5e5 d4e4 e5f6
FIDE-Wch,NLD/INA,1993.??.??,2.0,"Karpov, Anatoly","Timman, Jan H",0-1,2760.0,2620.0,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 c7c6 d2c3 d7d5 f3e5 f6d7 e5d7 b8d7 b1d2 e8g8 e1g1 a8c8 e2e4 b6b5 f1e1 d5e4 c4c5 f7f5 f2f3 b5b4 c3b4 d7e5 b4c3 e5d3 f3e4 d3e1 d1e1 e6e5 d2f3 e5d4 c3d4 f5e4 e1e4 e7f6 a1e1 f8e8 d4f6 e8e4 f6d8 e4e1 f3e1 c8d8 g2c6 d8d1 g1f2 d1d2 f2f3 d2a2 h2h4 g8f8 f3f4 f8e7 e1f3 a2f2 h4h5 a6e2 f4e3 e2f3 c6f3 f2b2 f3d5 b2c2 e3d4 c2h2 g3g4 h2h3 d4e5 h3e3 e5f4 e3c3 c5c6 e7d6 d5g8 h7h6 f4f5 c3c6 f5g6 d6e5 g6g7 e5f4
FIDE-Wch,NLD/INA,1993.??.??,3.0,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2620.0,2760.0,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 f8c5 f3e5 b6d7 g1f3 d8c7 c1f4 c5b4 f3d2 b4d2 e1d2 e8g8 h1d1 c7b6 d2c1 f6d5 f4g3 d7c5 d3c4 c8d7 e5d7 c5d7 a2a4 a8c8 a1a3 b6b4 c4d5 e6d5 e2b5 b4e4 b5d3 d7f6 d3e4 d5e4 a3b3 b7b6 b3b5 c8c6 d1d6 c6d6 g3d6 f8c8 h2h3 c8c6 d6f4 f6d7 f4e3 g8f8 b5b4 d7f6 b2b3 c6e6 b4b5 f8e7 a4a5 f6d7 a5b6 a7b6 c2c4 e6g6 g2g3 g6d6 c1c2 g7g5 h3h4 f7f6 c2c3 e7e6 c3b4 e6e7 b4c3 d6d3 c3b4 d3d6 c4c5 b6c5 b5c5 e7e6 c5c4
FIDE-Wch,NLD/INA,1993.??.??,4.0,"Karpov, Anatoly","Timman, Jan H",1/2-1/2,2760.0,2620.0,D43,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4 d1a4 c7c6 a4c4 b7b5 c4d3 b8d7 c1g5 c8b7 e2e3 a7a6 f1e2 c6c5 e1g1 f8e7 f1d1 e8g8 d4c5 d7c5 d3d4 d8d4 d1d4 f8d8 a1d1 h7h6 d4d8 a8d8 g5f4 d8d1 c3d1 f6d5 f4b8 d5b4
FIDE-Wch,NLD/INA,1993.??.??,5.0,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2620.0,2760.0,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 f1g2 e8g8 e1g1 d7d6 d2d3 h7h6 a2a3 a7a6 b2b4 c5a7 c1b2 c8g4 h2h3 g4e6 g1h2 a8b8 f3d2 d8d7 c3d5 f6e8 d1a4 c6d4 a4d7 e6d7 e2e3 d4e6 d5e7 g8h7 c4c5 d6c5 d2c4 d7a4 g2e4 h7h8 b2e5 e8f6 e4f5 f8e8 e5f6 g7f6 e7d5 h8g7 b4c5 a7c5 f1c1 c5f8 c4a5 b7b6 a5c6 b8b7 c1c4 a4b5 c4g4 e6g5 f5d7 e8e6 d7e6 b5c6 d5f4 f7e6 f4e6 g7g8 e6d8 c6f3 d8b7 f3b7 h3h4 f6f5 g4f4 g5f3 h2h3 f3e5 d3d4 e5c4 a3a4 b7c8 a1c1 b6b5 a4b5 a6b5 d4d5 f8d6 f4c4 b5c4 c1c4 g8f7 h3g2 f7e7 f2f3 h6h5 g2f2 c8b7 c4d4 d6c5 d4f4 b7c8 f4a4 c8b7 a4f4 b7c8 f4a4
FIDE-Wch,NLD/INA,1993.??.??,6.0,"Karpov, Anatoly","Timman, Jan H",1-0,2760.0,2620.0,D39,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4 e2e4 f8b4 c1g5 c7c5 f1c4 c5d4 f3d4 b4c3 b2c3 d8a5 d4b5 c8d7 b5d6 e8e7 d1d2 d7c6 f2f4 b8d7 a1d1 h8d8 d2d4 h7h6 g5h4 a5h5 h4f2 e7f8 e4e5 f6d5 e1g1 h5g4 h2h3 g4h5 f4f5 f8g8 d1d3 d7b6 c4d5 c6d5 d3g3 d8d7 f2e3 d5c4 f1f4 f7f6 e5f6 e6e5 d4e5 h5d1 g1h2 d1d6 f6f7 g8f7 e5g7 f7e8 g7h8 e8e7 f4e4
FIDE-Wch,NLD/INA,1993.??.??,7.0,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2620.0,2760.0,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 f8c5 f3e5 b6d7 g1f3 d8c7 c1f4 c5b4 f3d2 b4d2 e1d2 e8g8 h1d1 d7c5 d2e1 f6d5 f4g3 c5d3 d1d3 b7b5 c2c3 c7b7 a1d1
FIDE-Wch,NLD/INA,1993.??.??,8.0,"Karpov, Anatoly","Timman, Jan H",1/2-1/2,2760.0,2620.0,D39,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4 e2e4 f8b4 c1g5 c7c5 f1c4 c5d4 f3d4 b4c3 b2c3 d8a5 d4b5 f6e4 d1d4 e8g8 d4e4 a7a6 g5e7 a6b5 e7b4 a5c7 c4b5 c8d7 b5d3 g7g6 e1g1 f8e8 e4e3 b8c6 b4c5 c6e7 d3e4 e7f5 e4f5 e6f5 e3d4 e8e4 d4d6 c7d6 c5d6 f7f6 f2f3 e4e2 f1f2 a8e8 a2a4 e2e1 f2f1
FIDE-Wch,NLD/INA,1993.??.??,9.0,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2620.0,2760.0,A46,g1f3 g8f6 d2d4 e7e6 c1g5 h7h6 g5f6 d8f6 e2e4 d7d6 b1c3 g7g5 e4e5 f6e7 f1b5 c8d7 e1g1 d6d5 b5d3 b8c6 c3b5 e8c8 c2c3 h6h5 a2a4 c8b8 b2b4 f8g7 b5a3 d8f8 d1e2 g5g4 f3d2 f7f6 e5f6 g7f6 b4b5 c6a5 f2f4 e7g7 a3c2 f6e7 c2e3 g4g3 h2h3 e7d6 f4f5 h8h6 a1e1 a7a6 d2f3 f8e8 e2d2 e8d8 b5a6 b7b6 f3e5 d7c8 f5e6 h6e6 e3f5 g7g8 f5h6 g8g7 h6f5 g7g8 f5h6 g8g7 h6f7 d8f8 f7d6 e6d6 f1f8 g7f8 e1f1 d6f6 d2e3 h5h4 e5f3 a5c4 e3g5 c8a6 a4a5 f8h6 g5h6 f6h6 a5b6 c7b6 f3g5 a6b5 f1f8 b8a7 g1f1
FIDE-Wch,NLD/INA,1993.??.??,10.0,"Karpov, Anatoly","Timman, Jan H",1-0,2760.0,2620.0,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 c1e3 c7c5 d1d2 d8a5 a1b1 b7b6 f1b5 c8d7 b5e2 e8g8 b1c1 d7b5 d4d5 b8d7 c3c4 a5d2 e1d2 b5a4 g1h3 e7e6 h3f4 a8e8 f2f3 d7e5 c1c3 a4d7 c3a3 e6d5 e4d5 h7h5 a3a7 d7f5 h1d1 e8a8 a7a8 f8a8 d2e1 a8a2 d5d6 e5d7 f4d5 g8f8 e2d3 f5d3 d1d3 g7e5 e3h6 f8g8 d5e7 g8h7 h6d2 e5h2 f3f4 h2g1 e7c6 h7g8 c6e5 a2a7 e5c6 a7a1 e1e2 g8f8 f4f5 g6f5 d3h3 g1d4 h3h5 d4f6 h5f5 a1a4 e2d3 f8e8 d2g5 f6a1 g5e7 f7f6 g2g4 a4a3 d3e4 a3c3 f5h5 c3c4 e4f5 b6b5 h5h8 e8f7 h8d8 a1e5 c6e5 d7e5 d8f8 f7g7 g4g5
