Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lloyds Bank op,London,1984.??.??,1,"Adams, Michael","Sedgwick, David",1-0,,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 c5d4 c3d4 f7f6 f1d3 f8b4 c1d2 d8b6 g1e2 f6e5 f4e5 e8g8 a2a3 b4e7 d1c2 f8f3 g2f3 c6d4 e2d4 b6d4 e1c1 d7e5 d3h7 g8h8 c1b1 d4h4 d2c3 e7f6 f3f4 e5c4 c3f6 h4f6 h7d3 b7b5 c2e2 c8d7 h1g1 d7e8 d1e1 e8f7 g1g3 a8c8 e1g1 c4d6 g3g7 d6f5 g7g5 c8c7 d3f5 e6f5 g5h5
Lloyds Bank op,London,1984.??.??,3,"Adams, Michael","Dickenson, Neil F",1-0,,2230,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 d4f3 b7b5 c4d3 c8b7 a2a4 f6g4 f1e1 d6b6 d1e2 f8c5 e1f1 b5b4 h2h3 g4f6 c1g5 f6h5 g5e3 c5e3 e2e3 b6e3 f2e3 h5g3 f1e1 g3e4 f3e5 e4c5 d3c4 e8e7 a4a5 h8d8 e1d1 a8c8 b2b3 c8c7 d1d8 e7d8 e5d3 c5d3 c4d3 c7c5 a1a4 d8c7 g1f2 g7g6 g2g4 b7c6 a4b4 c5a5 b4f4 f7f5 g4g5 a5d5 f4h4 d5d7 d3a6 d7d2 f2e1 d2c2 h4h7 c7d6 a6c4 c6d5 h7g7 c2h2 g7g6 h2h3 e1d2 h3g3 g6g8 d5c4 b3c4 d6c5 g5g6 c5d6 c4c5 d6c7 g6g7 c7b7 c5c6
Lloyds Bank op,London,1984.??.??,4,"Hebden, Mark","Adams, Michael",1-0,2480,,B10,e2e4 c7c6 c2c4 d7d5 e4d5 c6d5 c4d5 g8f6 b1c3 g7g6 f1c4 f8g7 g1f3 e8g8 e1g1 b8d7 d2d3 d7b6 d1b3 c8f5 f1e1 h7h6 a2a4 f6d7 c1e3 a7a5 f3d4 b6c4 d3c4 d7c5 b3a3 c5d3 d4f5 g6f5 e1d1 d3e5 b2b3 e5g4 a3c1 f5f4 e3d4 g7d4 d1d4 e7e5 d4d2 d8h4 h2h3 g4f6 c1e1 h4g5 c3e4 f6e4 e1e4 f7f5 e4e5 a8e8 h3h4 g5h4 e5c3 e8e4 d5d6 h4g5 f2f3 e4e3 c3a5 f8e8 d2f2 g5f6 a1d1 e3e5 d6d7
Lloyds Bank op,London,1984.??.??,5,"Pasman, Michael","Adams, Michael",0-1,2310,,D42,e2e4 c7c6 c2c4 d7d5 e4d5 c6d5 c4d5 g8f6 b1c3 f6d5 d2d4 b8c6 g1f3 e7e6 f1d3 f8e7 e1g1 e8g8 f1e1 e7f6 d3e4 c6e7 a2a3 a8b8 h2h4 b7b6 d1d3 g7g6 h4h5 c8b7 c1h6 f8e8 a1c1 d5c3 b2c3 b7e4 e1e4 e7f5 h6f4 b8c8 h5g6 h7g6 f4e5 f6e5 f3e5 d8g5 c1d1 g8g7 d3f3 e8h8 e4g4 g5h5 g1f1 f5h6 g4f4 h5f3 f4f3 h8d8 f3d3 f7f6 e5f3 d8d5 d1c1 h6f5 f1e2 f5d6 f3d2 d6b5 e2d1 e6e5 a3a4 b5d6 c1b1 e5e4 d3e3 f6f5 g2g3 g6g5 b1b4 g7g6 d1c2 c8c6 e3e1
Lloyds Bank op,London,1984.??.??,6,"Adams, Michael","Levitt, Jonathan",1/2-1/2,,2370,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 f1d3 b7b5 h1e1 c8b7 f3g3 b5b4 c3d5 e6d5 e4e5 d6e5 f4e5 e8c8 d4f5 e7c5 e5f6 c7g3 h2g3 g7f6 g5f4 d7e5 f4e5 f6e5 e1e5 d8e8 e5e8 h8e8 d1h1 e8h8 h1h6 a6a5 c1d2 c8b8 h6f6 h8f8 f6h6 f8h8 h6f6
Lloyds Bank op,London,1984.??.??,9,"Adams, Michael","Saeed, Saeed Ahmed",1-0,,2430,B56,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 f6g4 e3g5 d8b6 f1b5 c8d7 e1g1 b6d4 b5c6 d4d1 c6d7 e8d7 a1d1 g7g6 h2h3 g4e5 c3d5 e5c6 b2b4 h7h6 g5h4 f7f5 f2f4 h8g8 b4b5 c6a5 e4e5 a5c4 d1d4 a8c8 e5e6 d7e8 b5b6 a7b6 f1b1 g6g5 b1b4 b6b5 b4b5 f8g7 d4c4 c8c4 b5b7 g7d4 h4f2 d4f2 g1f2 e8f8 b7e7 g8g7 e7d7 c4c2 f2f3 g7g6 d7d8 f8g7 e6e7 g5g4 h3g4 f5g4 f3g3
BCF-ch,Edinburgh,1985.??.??,1,"Adams, Michael","Singh, Sukh Dave",1/2-1/2,2360,2080,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 e8g8 c1g5 b8c6 d4b3 a7a6 g1h1 b7b5 a2a3 c8b7 f2f4 f8e8 e2f3 h7h6 g5h4 f6d7 d1e1 b5b4 a3b4 c6b4 f1f2 a6a5 f3g4 b7c6 e1d2 d7b6 f4f5 g6g5 h4g3 b6c4 d2c1 a5a4
BCF-ch,Edinburgh,1985.??.??,2,"Abayasekera, Roger","Adams, Michael",1-0,2200,2360,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 d8a5 g5f6 e7f6 c4d5 f8b4 d1d2 b4c3 b2c3 a5d5 g1e2 e8g8 e2f4 d5a5 f1d3 f8e8 f4e2 c8g4 f2f3 g4f5 e1g1 a8d8 d3f5 a5f5 e2g3 f5a5 f1e1 e8e1 a1e1 h7h5 g3f1 g7g6 e1b1 b7b6 d2c2 d8c8 c2b3 a5f5 f1e3 f5g5 e3c4 g5f4 b1e1 f4c7 d4d5 c6b8 c4d2 c7c5 g1f1 f6f5 c3c4 b8d7 b3e3 c5c7 e3e7 c7d8 e7d8 c8d8 d2b3 g8f8 b3d4 d7b8 f1e2 d8e8 e2d2 e8c8 d2d3 c8c7 d4b5 c7d7 b5d4 d7c7 e1e2 c7d7 d3c3 d7e7 e2e7 f8e7 c3b4 e7d7 a2a3 b8a6 b4c3 a6c5 d4b3 c5a6 a3a4 a6c7 c3d4 d7d6 a4a5 c7a6 a5b6 a7b6 b3c1 a6b4 d4c3 b4a6 c3d4 a6b4 d4c3 b4a6 c1d3 a6b8 c3b4 b8d7 b4b5 d6c7 f3f4 c7d6 d3e5 d7e5 f4e5 d6c7 e5e6 f7e6 d5e6 f5f4 e6e7 c7d7 b5b6 h5h4 h2h3 d7e7 c4c5 g6g5 c5c6 g5g4 c6c7
BCF-ch,Edinburgh,1985.??.??,3,"Adams, Michael","Jackson, Sheila",1/2-1/2,2360,2225,C85,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 a4c6 d7c6 d2d3 f6d7 b2b3 e8g8 c1b2 f7f6 b1d2 d7c5 f1e1 c5e6 d2c4 c6c5 c4e3 e6d4 f3h4 g7g6 c2c3 d4c6 h4f3 c8e6 d1e2 d8d7 a1d1 a8d8 d3d4 c5d4 c3d4 c6d4 f3d4 e5d4 b2d4 d7b5 e2b2 c7c6 f2f4 e7c5 f4f5 c5d4 d1d4 b5e5 d4d2 e5b2 d2b2 e6c8 f5g6 h7g6 e3c4 f8e8 b2f2 g8g7 h2h3 d8d4 e1f1 e8e4 f2f6 c8f5 f6d6 b7b5 d6d4 e4d4 c4e5 c6c5 f1c1 d4d2 c1c5 d2a2 c5c7 g7f6 e5d7 f5d7 c7d7 a2a3 d7d6 f6g5 b3b4 a3a4
BCF-ch,Edinburgh,1985.??.??,4,"Muir, Andrew J","Adams, Michael",1/2-1/2,2285,2360,E45,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6 e2g3 b4c3 b2c3 d7d5 c4d5 a6f1 e1f1 d8d5 d1d3 d5d7 e3e4 b8c6 c1g5 h7h6 g5f6 g7f6 g3h5 e8c8 h5f6 d7d6 e4e5 c6e5 d3g3 e5d7 g3d6 c7d6 f6d7 c8d7 f1e2 h8g8 g2g3 d8c8 e2d3 g8g5 h1b1 g5h5 b1h1 h5f5 f2f4 h6h5 a1f1 f5a5 f1f2 a5a3 f2c2 d7e7 h1b1 a3a5 b1b4 c8g8 b4b1 e7f6 d3e4 h5h4 b1g1 h4g3 h2g3 a5h5 g3g4 h5h3 g4g5 f6e7 d4d5 g8c8 d5e6 f7e6 e4d4 b6b5 c3c4 h3h4 c4c5 d6c5 c2c5 h4f4 d4e3 c8c5 e3f4 c5c2 a2a3 c2c3 g5g6 e7f8 g1d1 c3a3 d1d7 b5b4 f4g5 a3g3 g5f6 g3f3 f6e6 a7a5 d7a7 b4b3 a7a5 f8g7 a5b5 g7g6 b5b4 f3d3 e6e5 g6g5 e5e4 d3g3 b4b5 g5f6
BCF-ch,Edinburgh,1985.??.??,5,"Adams, Michael","Mooney, David P",1-0,2360,2245,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 d2d4 d7d6 d4e5 d6e5 d1e2 c6d4 f3d4 d8d4 c2c3 d4b6 g1h1 e8g8 b1d2 c8b7 b3c2 c7c5 f1e1 f8d8 d2f1 d8d7 f1g3 g7g6 f2f4 e5f4 c1f4 b6e6 e1f1 a8d8 a1e1 e6g4 e2f2 f6h5 g3h5 g4h5 f4g3 f7f6 g3f4 h5g4 e4e5 f6e5 f4h6 g4e6 f2g3 e5e4 c2d1 d7d3 d1g4 e6d6 g3f2 d6e5 f2f7 g8h8 f1f5 d3e3 e1f1
BCF-ch,Edinburgh,1985.??.??,6,"Bowden, Karl","Adams, Michael",1/2-1/2,2250,2360,B10,e2e4 c7c6 c2c4 d7d5 c4d5 c6d5 e4d5 g8f6 f1b5 b8d7 b1c3 a7a6 b5e2 b7b5 d5d6 e7e6 d2d4 f8d6 e2f3 a8b8 g1e2 e8g8 e1g1 d8c7 e2g3 b5b4 c3a4 c8b7 f3b7 c7b7 c1g5 b7d5 g5f6 d7f6 d1d3 f8d8 f1d1 a6a5 g3f1 d5g5 a1c1 f6d5 f1d2 d5f4 d3f3 g5b5 d2c4 b5a4 c4d6 d8d6 f3f4 b8d8 f4d6 a4d1 c1d1 d8d6 d1c1 g7g6 c1c4 e6e5 g1f1 e5d4 f1e2 d4d3 e2d2 d6d5 c4e4 g8g7 e4e3
BCF-ch,Edinburgh,1985.??.??,7,"Adams, Michael","Waddingham, Graham A",1/2-1/2,2360,2260,C85,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 a4c6 d7c6 f1e1 f6d7 d2d3 e8g8 b1d2 f7f6 d2c4 d7c5 b2b3 c5e6 c4e3 e6d4
BCF-ch,Edinburgh,1985.??.??,8,"Wiley, Tom E","Adams, Michael",0-1,2225,2360,A22,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 g1f3 f8e8 e1g1 b4c3 d2c3 b8c6 f3e1 d7d6 e1c2 c8e6 c2e3 h7h6 e3d5 f6h7 e2e4 c6e7 d1e2 d8d7 f1d1 b7b6 c1e3 e7g6 e3d2 e8f8 d1f1 a8e8 a1d1 f7f5 e4f5 e6f5 d5e3 g6f4 g3f4 e5f4 g1h1 h7g5 g2d5 g8h8 f1g1 f4e3 d2e3 g5h3 e2h5 e8e3 f2e3 h3f2 h1g2 f5g4 h5g6 f2d1
BCF-ch,Edinburgh,1985.??.??,9,"Adams, Michael","McNab, Colin Anderson",0-1,2360,2420,B06,e2e4 g7g6 d2d4 d7d6 b1c3 f8g7 c1g5 b8c6 d4d5 c6e5 f2f4 e5d7 g1f3 c7c6 d1d2 d7c5 e1c1 d8b6 e4e5 c8g4 d1e1 e8c8 d5c6 b7c6 d2e3 f7f6 g5h4 g6g5 f4g5 f6e5 c3e4 c5e4 e3e4 g4e6 b2b3 e6d5 e4a4 d8f8 f1a6 c8d7 h4g3 e5e4 f3h4 b6c5 a6e2 d5e6 h1f1 f8f1 e1f1 c5g5 c1b1 g5c5 g3f2 e4e3 e2g4 g8f6 g4e6 d7e6 f2g1 e6f7 f1e1 f6e4 a4e4 c5c3 e4e7 f7e7 e1e3 c3e3 g1e3 h8f8 h4f3 a7a6 b1c1 f8f5 c1d2 f5a5 a2a4 a5h5 d2d3 g7h6 e3f2 h5d5 d3e2 d5f5 g2g4 f5f7 f3d4 e7d7 h2h3 c6c5 d4f5 h6f8 f2g3 d7e6 e2d3 f7b7 g3e1 f8g7 d3c4 g7e5 e1d2 b7c7 d2a5 d6d5 c4d3 c5c4 d3d2 c7b7 b3c4 d5c4 f5e3 e5f4 d2e2 f4e3 e2e3 b7b2 c2c3 b2h2 e3d4 h2h3 g4g5 h3g3 d4c4 g3g5 a5d8 g5g4 c4c5 g4a4 c3c4 e6d7 d8h4 a4a2 c5b6 a2b2
BCF-ch,Edinburgh,1985.??.??,10,"Barua, Dibyendu","Adams, Michael",1-0,2410,2360,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6 h2h3 g7g6 g1f3 f8g7 e1g1 e8g8 f1e1 d8c7 b1d2 c8f5 d2f1 f5d3 d1d3 a7a6 f1g3 e7e6 c1g5 b7b5 d3d2 f8c8 g5h6 c6a5 h3h4 a5c4 d2c1 g7h6 c1h6 c4b2 f3e5 c7d8 h4h5 a8a7 e1e3 b2c4 e5c4 c8c4 e3f3 f6g4 h6f4 f7f5 f4d2 a7c7 a1e1 c7c6 g3f1 b5b4 c3b4 c4c2 d2d3 d8h4 g2g3 h4h5 b4b5 c2c1 b5c6 c1e1 g1g2 e1c1 d3c3 c1f1 g2f1 h5h1 f1e2 g4h2 c6c7 h1f1 e2d2 h2f3 c3f3 f1c4 f3c3 c4a2 d2e3
BCF-ch,Edinburgh,1985.??.??,11,"Adams, Michael","Hindle, Owen M",1/2-1/2,2360,2380,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 h7h6 f1g2 a7a6 e1g1 d8c7 h2h3 b8c6 d4c6 b7c6 f2f4 e6e5 f4e5 d6e5 c1e3 c8e6 d1e2 f8e7 c3a4 f6d7 c2c4 e8g8 b2b3 c7a5 e2f2 e6c4 f1c1 c4e6 c1c6 f8c8 a1c1 c8c6 c1c6 d7f6 c6b6 a8d8 f2e2 d8d6 b6b8 g8h7 g2f3 d6c6 b8b6 c6b6 e3b6 a5b5 e2b5 a6b5 a4c5 f6d7 c5d7 e6d7 g1f2 h7g6 f3d1 e7a3 h3h4 d7c6 f2f3 g6f6 b6d8 f6e6 d1c2 e6d6 f3e3 a3c1 e3f3 b5b4 c2d3 c1d2 d3c4 c6e8 d8a5 d6c5 c4d5 d2e1 h4h5 e1h4 a5c7 h4f6 c7b8 g7g6 b8a7 c5b5 d5c4 b5c6 a7e3 g6g5 c4d5 c6b5 d5c4
Lloyds Bank op,London,1985.??.??,?,"Bowden, Karl","Adams, Michael",1-0,2250,2360,B10,e2e4 c7c6 c2c4 d7d5 e4d5 c6d5 c4d5 g8f6 f1b5 b8d7 b1c3 a7a6 d1a4 a8b8 b5d7 c8d7 a4b3 b7b5 d2d3 b5b4 c3e4 d8a5 e4f6 g7f6 g1e2 h8g8 e1g1 d7a4 b3c4 b8d8 b2b3 a4b5 c4e4 a5b6 c1e3 b6b7 e2f4 e7e5 f1e1 d8d7 d3d4 e8d8 d4e5 f6e5 e4h7 g8g4 h7h8
Oakham YM,Oakham,1986.??.??,1,"Adams, Michael","Blatny, Pavel",0-1,2295,2415,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 b1c3 c6a5 b3a2 b5b4 c3e2 a8b8 e2g3 c7c5 f3d2 b7c8 d2c4 c8g4 f2f3 g4e6 c4a5 d8a5 a2c4 f6d7 b2b3 d7b6 a1b1 b8d8 d1e2 d6d5 e4d5 b6d5 c1d2 f7f6 f3f4 e7d6 f4f5 e6f7 e2g4 g8h8 e1e4 a5b6 g1h1 b6b7 b1e1 f8e8 g4h4 d6f8 g3f1 d5b6 c4f7 b7f7 d2e3 b6d5 e3g1 d5c3 e4c4 d8d4 g1d4 e5d4 c4c3 b4c3 e1e4 f8d6 h2h3 h8g8 f1h2 d6h2 h1h2 f7c7 h2g1 e8e5 h4f4 c7e7 g1f2 e5e4 d3e4 g7g5 f5g6 h7g6 f2e2 f6f5 e4e5 e7b7 f4g5 b7e4 e2d1 e4c6 h3h4 f5f4 g5f4 a6a5 f4g4 g8f7 d1e2 c6a6 e2f2 a6e6 g4e4 e6f5 e4f5 g6f5 h4h5 d4d3 h5h6 d3c2 e5e6 f7e6 h6h7 c2c1q h7h8q c1d2 f2g3 d2e3
Oakham YM,Oakham,1986.??.??,2,"Anand, Viswanathan","Adams, Michael",1-0,2405,2295,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 d8c7 c1d2 e8c8 e1c1 e7e6 g3e4 g8f6 g2g3 f6e4 d3e4 d7f6 e4e2 f8d6 c1b1 c8b8 f3e5 b8a8 e5c4 d6e7 d2f4 c7c8 g3g4 f6d5 f4d2 e7f6 c4e5 h8f8 c2c4 d5e7 d2b4 d8e8 f2f4 f6e5 f4e5 f7f5 h1f1 c8d7 e2f2 f8f7 f2h4 b7b6 h4h1 a8b7 h1g2 g7g5 h5g6 e7g6 g4f5 g6h4 f5e6 d7e6 g2e4 h4f5 f1f3 a7a5 b4a3 h6h5 b2b3 f5h6 f3f7 h6f7 a3b2 f7g5 e4d3 h5h4 d4d5 c6d5 c4d5 e6g4 d5d6 h4h3 d1c1 h3h2 d3d5 b7b8 d6d7 e8d8 d5d6
Oakham YM,Oakham,1986.??.??,3,"Adams, Michael","Hennigan, Michael",1-0,2295,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 c7c6 f2f4 f8g7 g1f3 b7b5 f1d3 e8g8 e1g1 b5b4 c3e2 c8b7 e4e5 f6d5 d1d2 d8b6 g1h1 b8d7 c2c4 b4c3 b2c3 f7f6 e5f6 e7f6 g5h4 f6f5 a1b1 b6c7 c3c4 d5f6 e2c3 f8e8 d2c2 h7h6 c4c5 d6d5 f3e5 d7e5 f4e5 f6d7 g2g4 f5g4 d3g6 d7f8 f1f7
