Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Bratislava,1993.??.??,1,"Martinez, J.","Akobian, Varuzhan",0-1,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1d3 c8d7 e1g1 c5d4 c3d4 c6d4 f3d4 b6d4 b1c3 d4e5 f1e1 e5b8 c3d5 f8d6 h2h3 g8e7 d5e7 d6e7 d1g4 e8g8 c1h6 e7f6 g4e4 g7g6 h6f8 d7c6 e4b4 b8f8 b4f8 g8f8 d3e4 f6b2 a1b1 b2d4 e4c6 b7c6 e1d1 a8d8 g1f1 f8e8 f1e2 d8d7 e2f3 c6c5 g2g4 e8e7 b1b8 e6e5 b8h8 e5e4 f3e4 d4h8 d1d7 e7d7 e4d5 d7c7 f2f4 c7b6 d5c4 b6c6 h3h4 f7f5 g4f5 g6f5 c4d3 c6d5 h4h5 c5c4
Wch U10,Bratislava,1993.??.??,2,"Akobian, Varuzhan","Kurobasa, B.",0-1,,,A40,d2d4 b7b6 c2c4 c8b7 b1c3 g7g6 e2e4 f8g7 c1e3 d7d6 d1d2 b8d7 f2f3 e7e6 e1c1 h7h5 g1h3 g8h6 h3f2 d8e7 c3b5 d7f8 c1b1 a7a6 b5a3 e8c8 d1c1 f7f5 d4d5 e6e5 d2b4 f8d7 b4a4 e7h4 g2g3 h4f6 f1e2 f5f4 e3d2 d7c5 a4c2 g6g5 b2b4 c5d7 f2d3 f6e7 c4c5 d6c5 b4c5 d7c5 d3c5 e7c5 c2c5 b6c5 c1c5 g7f8 c5a5 d8d6 a3c4 d6f6 d2c3 h6f7 c4e5 f7e5 c3e5 f6b6 b1c2 h8h7 h1b1 f4g3 h2g3 h7h6 e5d4 b6b1 c2b1 h5h4 g3h4 g5h4 f3f4 h4h3 e2g4 c8b8 g4h3 h6h3 a5a4 h3h1 b1b2 c7c6 d5c6 b7c6 a4a6 c6e4 a6b6 b8c8 d4e5 h1b1
Wch U10,Bratislava,1993.??.??,3,"Perunovic, Milos","Akobian, Varuzhan",0-1,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2 g8e7 c3b5 b4d2 d1d2 e8g8 g1f3 c8d7 c2c3 d7b5 f1b5 d8b6 b5d3 c5d4 c3d4 b8c6 e1g1 c6b4 d3b1 h7h6 a2a3 b4c6 d2d3 g7g6 d3d2 g8h7 h2h4 e7f5 f1d1 c6a5 a1a2 a5b3 d2d3 a8c8 g2g4 f5d4 f3d4 b3d4 d3d4 b6d4 b1g6 f7g6 d1d4 c8c2 f2f4 c2c4 d4c4 d5c4 b2b3 f8f4 b3c4 f4g4 g1f2 g4h4 a2a1 h4c4 a1d1 c4c7 d1d6 c7e7 f2e3 g6g5 e3f3 h7g6 f3e4 h6h5 a3a4 h5h4 d6d8 g6h5 d8h8 h5g4 e4e3 g4g3 e3e2 h4h3 e2f1 g5g4 h8h6 h3h2 h6h5 e7f7 f1e2 g3g2
Wch U10,Bratislava,1993.??.??,4,"Akobian, Varuzhan","Paragua, Mark",1/2-1/2,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 c7c6 c1e3 a7a6 d1d2 e8g8 a2a4 e7e5 d4d5 c6d5 c4d5 b7b6 f1d3 c8b7 g1e2 b8d7 b2b4 a8c8 e1g1 f6h5 a4a5 c8a8 a5b6 d7b6 c3a4 b6d7 a1c1 a8c8 c1c8 d8c8 f1c1 c8b8 b4b5 a6b5 d3b5 h5f6 a4c3 f8c8 c3a4 c8c7 c1c7 b8c7 d2c3 c7c3 e2c3 g8f8 a4b6 f8e7 c3a4 e7d8 g1f2 d8c7 f2e2 g7f8 e2d3 f8e7 d3c4 e7d8 c4d3 d8e7 b6c4 e7d8
Wch U10,Bratislava,1993.??.??,5,"Sebenik, Matej","Akobian, Varuzhan",1/2-1/2,,,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3 a6b5 e2e4 d7d6 f1b5 c8d7 b5d7 b8d7 g1e2 g7g6 b1a3 f8g7 a3c4 e8g8 e1g1 d7b6 c4b6 d8b6 e2c3 f6d7 d1c2 c5c4 g1h1 d7e5 a1b1 e5d3 b2b3 d3b4 c2d2 b6a6 b3c4 a6c4 c1b2 b4a2 c3a2 a8a2 d2c1 c4e2 f1e1 e2f2 e1f1 f2e2 f1e1 e2f2 e1f1
Wch U10,Bratislava,1993.??.??,6,"Akobian, Varuzhan","Vamos, Viktor",1-0,,,D17,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 d5c4 a2a4 c8f5 c1g5 f6e4 g5d2 e7e6 e2e3 e4d6 f3e5 f8e7 e5c4 e8g8 c4d6 e7d6 f1e2 b8d7 e3e4 f5g6 e1g1 d6b4 f2f3 a7a6 d2e3 f8e8 e3f2 d8a5 d1b3 b4c3 b2c3 a5c7 a4a5 c6c5 f1b1 c5d4 c3d4 d7f8 b3b7 c7c2 b7b2 e8c8 b2c2 c8c2 e2f1 f8d7 b1b7 d7b8 b7b6 h7h6 h2h3 c2c8 d4d5 e6d5 e4d5 c8d8 d5d6 b8d7 b6a6 a8a6 f1a6 d7b8 a6c4 d8d6 f2g3 d6d8 g3b8 d8b8 a5a6
Wch U10,Bratislava,1993.??.??,7,"Grigoriants, Sergey","Akobian, Varuzhan",1-0,,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 d2f3 d8b6 g1e2 f7f6 e5f6 d7f6 e1g1 c5d4 e2d4 f8c5 d4b3 c5d6 c1e3 b6c7 e3c5 d6c5 b3c5 c7d6 c5b3 e6e5 f3d2 e8g8 d2c4 d6e7 c4e3 g7g6 e3d5 f6d5 d3c4 c8e6 c4d5 a8d8 d5e6 e7e6 d1e2 b7b6 a1d1 d8d1 f1d1 f8d8 d1d8 c6d8 f2f3 e6d6 e2d2 d8b7 d2d6 b7d6 b3d2 g8f7 g1f2 f7e6 f2e3 h7h6 e3d3 d6f5 d2c4 f5h4 c4e3 g6g5 d3e4 h4g6 g2g3 h6h5 e3f5 h5h4 f5e3 h4g3 h2g3 g6f8 c3c4 f8d7 e3d5 d7c5 e4e3 c5b7 d5c7 e6d7 c7b5 a7a6 b5c3 b7d6 e3d3 d7e6 c3e4 d6f7 b2b4 e6d7 e4f6 d7d6 d3e4 d6e6 f6d5 f7d6 e4d3 b6b5 d5e3 b5c4 e3c4 d6f5 g3g4 f5d4 d3e4 d4e2 e4e3 e2c3 a2a3 c3d5 e3e4 d5c3 e4d3 c3d5 c4e3 d5f4 d3c4 e6d6 a3a4 f4e6 b4b5 a6b5 a4b5 d6c7 e3f5 e6f4 c4c5 f4d3 c5d5 d3e1 d5e4 c7b6 f5d6 b6c5 d6f7 c5b5 f7g5 b5c6 e4e5 c6d7 f3f4 d7e7 f4f5 e1d3 e5e4 d3c5 e4d5 c5d3 g5e6 e7f6 e6c5 d3f4 d5d6 f4e2 c5e4 f6f7 g4g5 e2d4 d6e5 d4f3 e5f4 f3h4 f4g4 h4g2 g5g6 f7g7 g4g5 g2e3 f5f6 g7g8 f6f7 g8g7 e4g3 g7f8 g3f5 e3d5 g5h6 d5f6 f5d4 f6d7 h6g5 d7c5 g5f6 c5e4 f6e5 e4f6 d4e6
Wch U10,Bratislava,1993.??.??,8,"Akobian, Varuzhan","Jakovenko, Dmitrij",0-1,,,D55,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b7b6 c4d5 f6d5 c3d5 e6d5 g5e7 d8e7 a2a3 c8e6 f1d3 c7c5 d4c5 b6c5 e1g1 b8d7 d1c2 g7g6 a1c1 a8b8 f1d1 b8b6 f3d2 c5c4 d3e2 f8b8 c1b1 d7c5 e3e4 c5e4 d2e4 e6f5 c2c3 f5e4 c3e3 b6b3 e3d2 e4b1 d1b1 e7e4 b1e1 b3b2 d2d1 b2e2 e1e2 b8b1
Wch U10,Bratislava,1993.??.??,9,"Rybansky, Daniel","Akobian, Varuzhan",0-1,,,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3 a6b5 e2e4 d7d6 f1b5 c8d7 b5d7 b8d7 g1e2 g7g6 e1g1 f8g7 b1c3 e8g8 a2a4 d8b6 g1h1 f8b8 c3b5 f6e8 d1c2 e8c7 b5c7 b6c7 c1e3 b8b2 c2d3 d7e5 d3d1 e5c4 e3f4 b2b4 a1a2 c4b2 d1c2 b2a4 f4c1 a4b6 a2a8 b6a8 c1a3 b4b8 f1c1 c7a5 c2d3 a5a4
Wch U10,Bratislava,1993.??.??,10,"Akobian, Varuzhan","Szabo, Gergely",1-0,,,D06,d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 c4d5 e6d5 g1f3 g8f6 c1g5 f8e7 e2e3 b8d7 f1e2 e8g8 e1g1 c7c6 e2d3 f5g6 d3g6 h7g6 a1b1 f8e8 g5f6 g7f6 d1d3 f6f5 b2b4 g8g7 b4b5 e8h8 b5c6 b7c6 b1c1 h8h6 c3e2 a8c8 c1c2 d8h8 f1c1 d7b8 e2f4 c8d8 g2g3 h8h7 c1b1 g6g5 b1b7 e7d6 f3g5 h7g8 d3f5 d6f4 b7f7 g7h8 f5f4 b8d7 c2c6 h6h5 c6c7
Wch U10,Bratislava,1993.??.??,11,"Ho, Andrew","Akobian, Varuzhan",0-1,,,D00,d2d4 g8f6 c2c3 g7g6 c1g5 f8g7 b1d2 d7d5 e2e3 e8g8 f1e2 c7c5 f2f3 c5d4 e3d4 d8b6 d1c1 b8c6 f3f4 c8f5 g5f6 g7f6 g1f3 a8c8 d2b3 c6b4 e1g1 a7a5 c1d2 b4a6 b3c1 a6c7 c1d3 c7b5 d3c5 b5d6 f3e5 b6c7 e2d3 f5d3 d2d3 f6e5 f4e5 d6c4 b2b3 c4e5 d3h3 b7b6 c5a4 e5d7 a1c1 c7d6 f1f3 b6b5 h3h6 b5a4 f3h3 d7f6 c1f1 f8d8 g2g4 a4b3 h3f3 f6g4 h6h4 d6h2 h4h2 g4h2 g1h2 b3b2 f1b1 c8b8 f3f2 d8c8 f2c2 a5a4 c2b2 b8b2 b1b2 c8c3 b2d2 g8g7 h2g2 h7h5 g2h2 g6g5 h2g2 g7g6
EU-ch U12,Herculane,1994.??.??,1,"Akobian, Varuzhan","Jorgensen, S.",1-0,,,A43,d2d4 c7c5 d4d5 e7e6 c2c4 g7g6 b1c3 f8g7 e2e4 g8e7 c1g5 h7h6 g5e3 d7d6 d1d2 d8a5 g1e2 e6e5 g2g3 g6g5 f2f4 f7f6 f1g2 b8d7 g2f3 a5c7 f3h5 e8d8 h2h4 g5f4 g3f4 f6f5 e1c1 f5e4 h5g4 h6h5 g4h3
EU-ch U12,Herculane,1994.??.??,2,"Kovchan, Alexander","Akobian, Varuzhan",1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 d1f3 g8e7 g1e2 c7c6 c1f4 d6f4 e2f4 d8b6 e1g1 e8g8 b1d2 b6d4 c2c3 d4f6 a1e1 b8d7 f3g3 e7f5 d3f5 f6f5 d2f3 d7c5 f3d4 f5g4 g3e3 g4d7 f2f3 b7b6 b2b4 c5a4 f4h5 c8a6 b4b5 a6b5 d4b5 c6b5 h5g7 a8c8 g7h5 d7f5 g2g4 f5g6 e3e5 c8c6
EU-ch U12,Herculane,1994.??.??,3,"Akobian, Varuzhan","Geanta, Horia",0-1,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 c5d4 d1d4 b8c6 d4d1 e6d5 d1d5 c8d7 e2e3 g8f6 d5b3 f8c5 g1f3 d8e7 f1e2 e8c8 e1g1 g7g5 f1d1 c8b8 f3g5 h8g8 g5f3 d7e6 b3a4 d8d1 c3d1 e6h3 g2g3 h7h5 b2b3 f6e4 a4c4 b7b6 d1c3 e4c3 c4c3 h5h4 c1b2 h4g3 h2g3 e7e4 c3d3 e4e7 f3d4 c6b4 d3d2 e7h4
EU-ch U12,Herculane,1994.??.??,4,"Jalinskas, V.","Akobian, Varuzhan",0-1,,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 h2h3 d8a5 f1d3 b8d7 g1f3 e7e5 e1g1 f8e7 c1d2 a5b6 c3a4 b6c7 b2b3 e8g8 a4b2 e5d4 f3d4 d7c5 f1e1 f8e8 d1f3 c5d3 c2d3 f6d7 d2c3 e7f6 b2c4 b7b5 c3a5 d7b6 c4b6 a7b6 e4e5 d6e5 d4b5 c6b5 f3a8
EU-ch U12,Herculane,1994.??.??,5,"Akobian, Varuzhan","Mastrovasilis, Dimitrios",1/2-1/2,,,E99,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 g2g4 a7a5 a1b1 g8h8 a2a3 e7g8 e1g2 f5g4 f3g4 g7h6 c1h6 g8h6 d1d2 h8g7 f1f8 d7f8 g4g5 h6f7 h2h4 c8d7 b2b3 d8e7 b1f1 d7h3 d2e3 h3g2 g1g2 f8d7 e2d1 b7b6 c3b5 d7c5 f1f3 a8f8 d1c2 f7d8 f3f8 g7f8 e3h3 e7f7 h3c8 c5b7 b5c7 f8g7 c7e6 d8e6 d5e6 f7e7 c8d7 e7d7 e6d7 g7f7 b3b4 f7e7 c2a4 b7d8 g2f2 d8e6 a4c6 e6f8 f2e3 f8d7 c6d7 e7d7 e3d3 a5b4 a3b4 d7c6 d3c3 c6c7 c3b3 c7d7 b3a4 d7c6 a4a3 c6c7 a3a4 c7c6 a4a3 c6c7 a3a4
EU-ch U12,Herculane,1994.??.??,6,"Hrusciov, Alexei","Akobian, Varuzhan",0-1,,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f2f4 d8a5 f1d3 e7e5 g1f3 e5d4 f3d4 a5b6 d3c4 f8e7 c4b3 e8g8 h2h3 f8e8 c1e3 e7f8 d1d3 b6a6 b3c4 a6a5 a2a3 f6e4 b2b4 a5h5 c3e4 d6d5 c4d5 h5d5 e4g5 g7g6 e1c1 a7a5 b4b5 d5a2 c1d2 f8a3
EU-ch U12,Herculane,1994.??.??,7,"Akobian, Varuzhan","Raceanu, Valentin",1/2-1/2,,,A00,b2b4 d7d5 c1b2 c8f5 e2e3 e7e6 g1f3 g8f6 b4b5 b8d7 f1e2 f8d6 e1g1 e8g8 c2c4 c7c5 d2d3 d8e7 b1d2 h7h6 d1b3 a8d8 a1c1 b7b6 a2a4 d6b8 a4a5 d8c8 a5b6 a7b6 c1a1 f8d8 a1a6 e7d6 b3a2 d6c7 a2a1 f5g6
