Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,Moscow,1963.??.??,?,"Listergarten, Leonid B","Akopian, Vladimir",1-0,,,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3 d8c7 f1d3 b8c6 c1e3 b7b5 a2a3 c8b7 e1g1 a8c8 d4c6 c7c6 d1g4 g8f6 g4g3 h7h5 e4e5 f6d5 c3e4 h5h4 g3h3 c6c7 f2f4 d5e3 h3e3 h4h3 g2h3 f7f5 e5f6 d7d5 e4f2 e8f7 a1e1 c8e8 e3g3 g7g5 f4g5 c7g3 h2g3 e6e5 g5g6 f7f6 f2g4 f6g5 f1f5
URS-chT,Moscow,1963.??.??,?,"Saigin, Vladimir","Akopian, Vladimir",1-0,,,E04,g1f3 d7d5 d2d4 e7e6 g2g3 c7c5 f1g2 b8c6 e1g1 g8f6 c2c4 d5c4 f3e5 c6e5 d4e5 d8d1 f1d1 f6d7 f2f4 a8b8 a2a4 f8e7 b1a3 e8g8 a3c4 d7b6 c4d6 e7d6 e5d6 f8d8 c1e3 b6d7 a4a5 b7b6 a5b6 a7b6 a1a7 d7f6 e3f2 d8d7 a7c7 f6e8 c7d7 c8d7 e2e4 e8f6 e4e5 f6g4 d1a1 g4f2 g1f2 g8f8 a1a7 f8e8 f2e3 e8d8 e3d3 b6b5 g2e4 h7h6 h2h4 d8e8 h4h5 f7f5 e4f3 b8c8 g3g4 f5g4 f3g4 e8d8 g4f3 c8b8 f4f5 e6f5 f3d5 b8b6 a7a8 d7c8 d5e6
Minsk tt,Minsk,1986.??.??,?,"Iailian, Mikhail","Akopian, Vladimir",1-0,,,E88,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 c7c6 f1d3 c6d5 c4d5 f6e8 g1e2 f7f5 e4f5 g6f5 e1g1 b8d7 d1d2 f8f7 a1c1 d7f8 c3b5 a7a6 b5a3 b7b5 a3c2 e8f6 c2b4 c8d7 d3b1 f8g6 b4c6 d8e8 f1e1 f5f4 e3f2 g7h6 e2c3 f7g7 g1h1 h6g5 a2a4 g6h4 c3e4 f6e4 b1e4 e8h5 a4b5 a6b5 c1a1 a8f8 a1a7 g8h8 d2b4 h4g2 b4d6 g2e1 d6f8 g7g8 a7d7 g8f8 d7h7 h5h7 e4h7 e1f3 h7d3 g5h4 f2h4 f3h4 d5d6 f8f7 c6e5 f7a7 h1g1 h8g7 d6d7 a7a8 e5c6 h4f3 g1f2 f3h2 d3f5 g7f6 f5h3 f6g5 d7d8q a8d8 c6d8 h2g4 h3g4 g5g4 d8c6 g4f5 c6d4 f5e4 d4b5 e4d3 b5a3 d3d4 b2b4
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Akopian, Vladimir",0-1,,,D06,d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 a1b1 d8d5 g1f3 b8d7 a2a3 g8f6 e2e3 e7e6 a4c2 f8d6 f1d3 d5h5 e1g1 g7g5 e3e4 g5g4 f3e5 d7e5 d4e5 d6e5 g2g3 f6d7 d3e2 e5g7 b2b4 e8g8 b1b3 h5g6 g1g2 a8d8 h2h3 h7h5 h3g4 h5g4 f1h1 d7f6 b3e3 g7h6 h1h6 g6h6 e4e5 d8d5 e5f6 h6h3 g2g1 d5h5 c2e4 h3h2 g1f1 h2h1 e4h1 h5h1 f1g2 h1c1 e3d3 g8h7 d3d7 h7g6 d7b7 f8a8 b7c7 c1a1 c7c6 a1a3 e2g4 a8b8 c6c5 g6f6 c5c7 f6g6
SochiJ-B,Sochi,1986.??.??,?,"Akopian, Vladimir","Kamsky, Gata",1-0,,,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 h7h6 h1g1 b8c6 h2h4 h6h5 g4h5 f6h5 c1g5 d8b6 d4b3 c8d7 d1d2 a7a6 e1c1 h5f6 f1h3 b6c7 d2e2 b7b5 e2e3 c6e5 f2f4 e5c4 e3d4 f8e7 e4e5 c7a7 e5d6 c4d6 d4d3 b5b4 g5f6 g7f6 c3e4 d6e4 d3e4 a8c8 c1b1 a7c7 d1d2 d7c6 e4e3 c6b7 h3e6 f7e6 e3e6 h8f8 e6f5 c8d8 f5h5 f8f7 g1g8 e7f8 d2e2 c7e7 g8f8
SochiJ-B,Sochi,1986.??.??,?,"Shirov, Alexei","Akopian, Vladimir",1/2-1/2,,,A45,d2d4 g8f6 c1g5 f6e4 g5h4 g7g5 d1d3 d7d5 f2f3 g5h4 f3e4 b8c6 g1f3 c8g4 e4d5 d8d5 b1c3 d5a5 d4d5 c6b4 d3e4 f7f5 e4e6 b4c2 e1d2 c2a1 f3e5 f8h6 e6h6 e8c8 h6e6 c8b8 e5f7 d8d6 f7d6 c7d6 e6e7 a5b4 d2c1 h8c8 e7e3 f5f4 e3d3 g4h5 d3h7 c8c3 b2c3 b4c3 c1b1 c3e1 b1b2 e1d2 b2a1 d2c1 h7b1 c1c3
Wch U20,Baguio,1987.??.??,?,"Blatny, Pavel","Akopian, Vladimir",0-1,2435,,C55,e2e4 e7e5 f1c4 g8f6 d2d3 b8c6 g1f3 h7h6 b1d2 d7d6 c2c3 g7g6 d2f1 f8g7 f1g3 d8e7 c1e3 c8d7 b2b4 a7a6 a2a4 c6d8 e1g1 e8g8 h2h3 g8h7 f1e1 d7e6 c4b3 f6d7 b3c2 f7f5 e4f5 e6f5 d1e2 d8e6 a1d1 a8e8 f3h2 e7h4 g3f5 g6f5 e2f3 c7c6 g2g4 f5f4 e3d2 e6g5 f3g2 g5h3 g1f1 h3g5 d3d4 e5e4 e1e4 g5e4 c2e4 h7g8 h2f3 h4e7 d1e1 e7f7 e4f5 e8e1 d2e1 d7b6 e1d2 b6d5 f1g1 d5e7 f5d3 f7e6 g4g5 h6h5 g1h2 e6g4 g2h3 g8f7 a4a5 f8e8 f3h4 g4g5 h4g2 g5g4 d2f4 e7d5 f4d2 e8e6 c3c4 d5e7 d2e3 g7h6 f2f4 d6d5 h3g4 h5g4 h2g3 d5c4 d3c4 e7d5 e3d2 e6e4 c4d5 c6d5 d2e3 h6f8 g3g4 f8b4 g4f3 b4a5 f3e2 b7b5 e2d3 a5c7 e3d2 c7b6 d2c3 f7e6 g2e3 e4f4
Wch U20,Baguio,1987.??.??,?,"Barcenilla, Rogelio","Akopian, Vladimir",0-1,,,A89,d2d4 d7d6 c2c4 f7f5 b1c3 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8c6 d4d5 c6a5 f3d2 c7c5 a2a3 c8d7 d1c2 d8c7 b2b3 a7a6 c1b2 b7b5 a1b1 a8b8 b2a1 c7c8 e2e4 f5f4 c3e2 f4g3 h2g3 g6g5 f2f3 e7e5 c2c3 c8d8 c3e3 f6h5 a1c3 b5b4 c3b2 a5b7 a3a4 d8f6 f1f2 g7h6 e3d3 f8f7 d2f1 b8f8 f1e3 f6g6 g3g4 h5f4 e2f4 g5f4 e3f5 h6g5 g1f1 d7f5 e4f5 g6f6 f1e2 f7e7 e2d2 g5h4 f2e2 b7d8 b1h1 d8f7 g2f1 h4g3 h1h5 f7g5 d2c2 h7h6 f1g2 g8f7 d3d1 a6a5 d1h1 f8h8 b2a1 f7f8 a1b2 e7g7 e2d2 g5f7 g2f1 g7g5 f1d3 g5h5 g4h5 h8g8 d2d1 g3f2 d1d2 f2e3 d2g2 g8g2 h1g2 f6g5 g2g5 f7g5 d3e4 g5e4 f3e4 f4f3 c2d3 f3f2 d3e2 f8e7 e2f1 e7f6 f1g2 f6g5
Wch U20,Baguio,1987.??.??,?,"Sokolov, Ivan","Akopian, Vladimir",1/2-1/2,2525,,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3 f6g4 e3g5 f7f6 g5h4 b8c6 d4d5 c6e7 f3d2 g4h6 f2f3 f6f5 a1c1 f5e4 f3e4 g7f6 h4f6 f8f6 d2f3 c8g4 e1g1 g4f3 f1f3 f6f3 e2f3 d8d7 d1e2 g8g7 c3d1 c7c5 d1e3 a8f8 g2g3 e7g8 g1g2 g8f6 c1f1 h6f7 e3g4 f7g5 g4f6 d7h3 g2g1 f8f6 f3g2 f6f1 g2f1 h3h6 h2h4 g5f7 f1h3 h6c1 g1g2 h7h5 h3e6 f7d8 e6d7 d8f7 b2b3
Wch U20,Baguio,1987.??.??,?,"Ivanchuk, Vassily","Akopian, Vladimir",1-0,2480,,E74,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4c5 d8a5 g5d2 a5c5 g1f3 c8g4 e1g1 g4f3 e2f3 b8c6 b2b3 c6d4 d2e3 d4f3 d1f3 c5a5 a1c1 a7a6 c1c2 b7b5 c3d5 f6d5 c4d5 f8c8 f3e2 c8c2 e2c2 g7c3 f1c1 b5b4 a2a4 a8f8 c2d3 f8c8 h2h4 h7h5 g2g3 g8f8 f2f4 f8e8 f4f5 g6f5 e4f5 c8c7 g1g2 e8d7 g3g4 h5g4 h4h5 c3e5 c1c4 c7c4 d3c4 a5c7 c4c7 d7c7 h5h6 c7d7 e3g5 e5h8 g2g3 e7e6 d5e6 f7e6 g3g4 d6d5 f5f6 d7e8 g4f4 e8f7 f4e5 a6a5 h6h7 f7g6 e5e6 g6h7 f6f7 h8g7 e6d5 h7g6 g5d8 g6f7 d8a5 g7c3 a5b6 f7e7 d5c6
Wch U20,Baguio,1987.??.??,?,"Kokkila, Tero","Akopian, Vladimir",0-1,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 f1d3 a7a6 e1g1 f8e7 c1e3 b6c7 f2f4 d7d6 g2g4 h7h5 g4g5 f6g4 e3d2 c7b6 g1g2 g4e3 d2e3 b6e3 f1f3 e3b6 g5g6 f7f6 f3h3 h5h4 d1e1 c8d7 h3h4 e8c8 e1g3 h8h4 g3h4 f6f5 h4f2 b6f2 g2f2 d8h8 e4f5 e6f5 c3d5 e7d8 a1g1 h8h2 g1g2 h2h4 f2f3 a6a5 c2c3 a5a4 b3d4 c6d4 c3d4 h4h5 d5e3 d8b6 g2g5 h5g5 f4g5 b6d4 e3f5 d4b2 f5d6 c8c7 d6e4 d7c6 f3e3 b7b5 e3d2 c7b6 d3b1 b5b4 d2d3 c6d5 e4f2 b6b5 f2d1 d5c4 d3d2 b2d4 b1d3 c4d3 d2d3 b5c5 d3d2 c5c4 d2c2 a4a3 c2b1 b4b3 a2b3 c4b3 d1b2 a3a2
Wch U20,Baguio,1987.??.??,?,"Norwood, David","Akopian, Vladimir",0-1,2405,,A26,g2g3 g8f6 f1g2 g7g6 c2c4 f8g7 b1c3 e8g8 g1f3 d7d6 e1g1 e7e5 d2d3 b8c6 a1b1 a7a5 a2a3 c6d4 f3d4 e5d4 c3d5 f6d7 b2b4 f8e8 d1c2 h7h6 e2e4 g6g5 b4a5 a8a5 c2d2 a5c5 f2f4 c7c6 d5b4 g5f4 d2f4 d8e7 g2h3 d7f8 h3c8 e8c8 b4c2 d6d5 a3a4 f8e6 f4f2 d5e4 c1a3 e4e3 f2e2 e7d7 a3c5 e6c5 f1f4 c5a4 e2g4 d7g4 f4g4 c8d8 c2e1 d8d7 b1a1 b7b5 c4b5 c6b5 a1b1 a4c3 b1b4 d7a7 e1f3 f7f5 g4g6 g8f7 g6g7 f7g7 f3d4 a7a1 g1g2 e3e2 d4e2 a1a2 g2f3 a2e2 b4b5 c3b5 f3e2 g7f6 e2e3 f6e5 e3f3 b5d4 f3e3 h6h5 e3f2 d4e6 f2e3 e5d5 e3f3 d5d4 f3e2 e6g5 e2d2 g5f3 d2e2 f3h2 e2f2 d4d3 f2g2 h2g4 g2f3 g4e3 f3f4 d3e2
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Ballmann, Martin",1/2-1/2,,2290,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 e1c1 d6d5 d4c6 b7c6 e4e5 f6d7 f3f4 e7e6 c3a4 f8e8 h2h4 d8c7 d2f2 c7a5 b2b3 g7f8 c2c4 f8a3 c1c2 c8a6 h4h5 a8b8 h5g6 f7g6 f1d3 e8e7 f2e1 a3b4 e1h4 d5c4 d3g6 d7f8 g6e4 a6b5 h1h3 e7g7 h3g3 b8b7 g3g7 b7g7 h4d8 a5a6 c2b1 b5a4 b3a4 a6a4 e4c2 a4b5 a2a4 b5b7 b1a2 g7g2 d1g1 g2g1 e3g1 b4c3 d8g5 g8h8
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Hellers, Ferdinand",1/2-1/2,,2490,B42,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1d3 e7e6 e1g1 b7b5 a2a3 c8b7 b2b4 b8d7 a3a4 d6d5 e4d5 f8b4 c3a2 f6d5 a2b4 d5b4 a4b5 b4d3 c2d3 a6b5 a1a8 d8a8 d4b5 e8g8 d1g4 d7e5 g4g3 e5g6 h2h4 a8a5 b5d6 b7a6 c1g5 f7f6 h4h5 a5g5 g3g5 f6g5 h5g6 h7g6 f1e1 a6d3 e1e6 f8f6 e6e8 g8h7 d6e4 d3e4
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Klinger, Josef",0-1,,2490,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1d3 b8c6 d4c6 b7c6 e1g1 e7e5 c3a4 f8e7 c2c4 e8g8 b2b3 d6d5 c4d5 c6d5 e4d5 c8b7 d3c4 f6d5 f1e1 d8d6 c1b2 e7f6 d1f3 a8d8 a1d1 d6b4 a2a3 b4a5 a4c3 e5e4 c3e4 f6b2 e4g5 b2f6 b3b4 a5c7 c4d5 b7d5 d1d5 f6g5
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Ninov, Kiril",1-0,,2425,B44,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 d7d6 c2c4 g8f6 b1c3 a7a6 b5a3 f8e7 f1e2 b7b6 e1g1 c8b7 c1e3 c6b8 f2f3 b8d7 a3c2 e8g8 d1d2 d8c7 f1d1 a8c8 e3f2 f8e8 e2f1 c7b8 c2e3 f6h5 a2a4 e7d8 e3g4 d8e7 a4a5 d7c5 d2c2 b6a5 a1a5 h5f6 g4f6 e7f6 f2g3 c8d8 b2b4 b8c7 a5c5 c7b6 c3a4 b6a7 g3d6 b7c6 g1h1
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Piket, Jeroen",0-1,,2450,A07,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6 b1d2 e7e6 b2b3 b8d7 c1b2 f8e7 f1e1 e8g8 e2e4 f5h7 d1e2 a7a5 a2a3 d8b8 f3d4 b8a7 e4d5 c6d5 d2f3 a7a6 g2h3 f8e8 c2c4 e7f8 d4b5 a8c8 f3e5 a5a4 e5d7 f6d7 b3b4 d7b6 b2e5 h7d3 e2d3 d5c4 d3f3 a6b5 f3b7 e8e7 b7f3 e7d7 h3f1 c8d8 a1c1 b5d5 f3e3 d5b7 f1c4 b6c4 c1c4 d7d3 e3c1 b7f3 c4f4 f3h5 f4h4 h5g6 h4f4 f7f6 e5b2 e6e5 f4c4 g6f5 c4c2 f5f3 c2e2 h6h5 e2e3 d3e3 c1e3 f3e3 e1e3 d8d2 b2c3 d2a2 c3e1 g8f7 f2f3 f7e6 e1f2 f8d6 e3c3 g7g5 h2h3 f6f5 f2e3 e5e4 f3e4 f5e4 e3g5 d6e5 c3c6 e6d5 c6c5 d5d4 g5e3 d4e3 c5e5 a2a3 e5h5 e3f3 h5f5 f3g3 f5g5 g3f4 g5g4 f4f3 g4g8 a3a1 g1h2 a1a2 h2g1 a4a3 g8f8 f3g3 f8g8 g3h3 g8a8 a2g2 g1h1 a3a2 a8a3 e4e3 a3e3 g2g3 e3e1 g3b3
Wch U20,Baguio,1987.??.??,?,"Akopian, Vladimir","Sorin, Ariel",1-0,,2345,A08,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5 b1d2 c7c5 e2e4 b8c6 f1e1 h7h6 c2c3 d5e4 d3e4 c8e6 d1e2 d8b6 a2a4 f8d8 e2b5 f6d7 g2f1 d7e5 f3e5 c6e5 e1e3 e6d7 b5b6 a7b6 f2f4 e5g4 e3d3 d7c6 f1e2 g4f6 d3d8 a8d8 e4e5 f6d5 a4a5 d8a8 d2b3 b6a5 a1a5 b7b6 a5a8 c6a8 b3d2 f7f6 e5f6 e7f6 d2c4 f6f5 g1f2 g7f6 e2f3 f6d8 c4e3 d5c7 f3a8 c7a8 e3d5 b6b5 c1e3 c5c4 e3a7 g8f7 f2e3 f7e6 e3d4 e6d6 a7b8 d6c6 d4e5 c6d7 b8a7 d7c6 e5e6 a8c7 d5c7 c6c7 h2h4 g6g5 f4g5 h6g5 h4h5
