Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,URS,1966.??.??,?,"Bykhovsky, Anatoly A","Alburt, Lev O",1-0,,,B29,e2e4 c7c5 g1f3 g8f6 e4e5 f6d5 b1c3 e7e6 c3e4 d8c7 b2b3 b8c6 c1b2 c6d4 f1c4 d5b4 e1g1 b4c2 a1c1 c7c6 c1c2 c6e4 f3d4 c5d4 d1c1 f8b4 c4d3 e4d3 c2c8 e8e7 c8h8 a8h8 a2a3 b4d2 c1c5 e7d8 c5a7 d2c3 a7b8 d8e7 b8d6 e7d8 d6b8 d8e7 b8d6 e7d8 b2c3 d3c3 f1d1 f7f6 g2g3 c3c7 d6d4 f6e5 d4g4 h8e8 g4g7 d7d5 g7g5 d8d7 d1c1 c7b8 b3b4 e5e4 b4b5 b8d6 g5g7 e8e7 g7h8 e7e8 h8g7 d6e7 g7c3 e8d8 b5b6 e6e5 c3c7 d7e8 c7e7 e8e7 c1c7 d8d7 c7d7 e7d7 g3g4 d5d4 h2h4 d7e6 g1f1 e6d5 f1e2 d5c4 e2d2
URS-chT,URS,1966.??.??,?,"Volovich, Anatoly A","Alburt, Lev O",1-0,,,D38,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 f6e4 d1c2 c7c5 e2e3 d8a5 c1b2 c5d4 e3d4 e8g8 f1d3 e4f6 e1g1 b8d7 c4d5 e6d5 a3a4 a5c7 f1e1 h7h6 f3e5 d7e5 d4e5 f6d7 c3c4 d5c4 e5e6 f7e6 e1e6 d7f6 d3c4 g8h8 b2e5 c7c5 e6f6 g7f6 c2g6 c5c4 g6h6 h8g8 h6g6 g8h8 e5f6 f8f6 g6f6 h8g8 f6d8 g8f7 a1e1 c4b4 d8e8 f7f6 h2h4 c8f5 e8e5 f6g6 e1e3 b4f8 e3g3 g6h7 g3f3 h7g6 e5g3 g6f6 g3g5 f6e6 g2g4 a8e8 f3f5 f8h8 g5e3 e6d7 f5f7 d7c6 e3f3
URS-chT,URS,1966.??.??,?,"Taimanov, Mark E","Alburt, Lev O",1-0,,,B14,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c5 e2e3 c5d4 e3d4 f8e7 g1f3 e8g8 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 d5c3 b2c3 b8c6 f1e1 b7b6 c4d3 f8d8 d1e2 c8b7 e2e4 g7g6 e4f4 g8g7 h2h4 e7d6 f4g4 c6e7 f3e5 h7h5 g4g3 f7f6 d3g6 g7f8 g3f4 f8g7 g6h5 f6e5 f4f7 g7h8 f7f6 h8h7 e1e5
URS-chT,URS,1966.??.??,?,"Alburt, Lev O","Polugaevsky, Lev",1-0,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c7c6 d1d3 g7g6 g5f6 e7f6 e2e4 d5e4 d3e4 f8e7 e1c1 f6f5 e4e3 e8g8 f1c4 b8d7 h2h4 d7f6 g1f3 f6g4 e3e2 e7b4 d1e1 d8d6 h4h5 b7b5 c4b3 b4c3 b2c3 a7a5 h5g6 h7g6 a2a3 a5a4 b3a2 d6a3 c1b1 c8a6 f3g5 a8a7 e2f3 g4f6 f3c6 g8g7 g5h7 f6d7 h7f8 d7f8 e1e8 a6b7 c6b6 a3c3 b6a7 c3b4 b1c1 b4a3 c1b1 a3b4 b1c1 b4a3 c1d2 a3a2 a7b7 a2c4 b7b6 c4b4 c2c3 b4b2 d2d3 b2f2 b6d6 f8h7 d6e5 h7f6 e8h8
URS-ch35,Kharkov,1967.??.??,?,"Alburt, Lev O","Sosonko, Gennadi",1/2-1/2,,,B22,e2e4 c7c5 g1f3 b8c6 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 f1e2 g7g6 e1g1 f8g7 d1b3 d6e5 d4e5 e8g8 f1d1 e7e6 b1c3 c6e5 c3d5 e6d5 d1d5 e5f3 e2f3 d8c7 b3a4 a7a6 a4b4 a6a5 b4a4 c7c6 d5b5 c6e6 a4d1 c8d7 f3d5 e6a6 b5b7 d7c6 d5c6 a6c6 d1f3 c6f3 g2f3 f8b8 b7b8 a8b8 a1b1 b8c8 c1f4 g6g5 f4g5 h7h6 g5d2 a5a4 g1f1 c8c2 f1e2 g8h7 e2d3 c2b2 b1b2 g7b2 d3c4 h7g6 d2f4 h6h5 f4d6 g6g5 a2a3 g5h4 c4b4 h4h3 b4a4 h5h4 a4b4 b2d4 a3a4 d4f2 a4a5 f2e1 b4b5 e1a5 b5a5 f7f5
URS-ch35,Kharkov,1967.??.??,?,"Alburt, Lev O","Vasiukov, Evgeni",0-1,,,B02,e2e4 g8f6 b1c3 d7d5 e4d5 f6d5 c3d5 d8d5 d2d4 b8c6 g1f3 c8g4 f1e2 e8c8 c2c3 e7e5 e1g1 e5d4 c3d4 f8d6 c1e3 c8b8 h2h3 g4d7 d1c2 f7f6 a2a3 d8e8 f1d1 c6e7 c2c4 d7c6 c4c1 g7g5 f3e1 h7h5 e2f3 d5f5 c1b1 c6f3 e1f3 f5d5 f3d2 e7f5 d2f1 f5h4 f2f3 h4g2 g1g2 g5g4 h3h4 d5f3 g2g1 e8e3 f1e3 f3e3 g1f1 e3f3 f1g1 d6h2 g1h2 f3f2
URS-ch35,Kharkov,1967.??.??,?,"Barstatis, Reinhardas","Alburt, Lev O",1-0,,,B75,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 f1c4 c8d7 d1d2 a8c8 c4b3 c6e5 e1c1 e5c4 b3c4 c8c4 g2g4 h7h5 g4g5 f6h7 f3f4 d8a5 d2d3 b7b5 e4e5 c4c3 b2c3 d6e5 d4b3 a5c7 h1e1 e5f4 e3c5 e7e6 e1e2 g7f8 d3d4 f7f6 g5f6 h8g8 f6f7
URS-ch35,Kharkov,1967.??.??,?,"Shilov, Yuri","Alburt, Lev O",1/2-1/2,,,B26,e2e4 c7c5 b1c3 b8c6 d2d3 g7g6 c1e3 d7d6 d1d2 f8g7 g2g3 a8b8 f1g2 b7b5 g1e2 b5b4 c3d1 c6d4 e1g1 e7e6 c2c3 d4e2 d2e2 b4c3 b2c3 g8e7 a1c1 d8b6 f2f4 e8g8 h2h3 f7f5 d1f2 b6a5 e2d2 c8a6 f1e1 a5a3 f2d1 f5e4 d3e4 b8b6 f4f5 g6f5 e3g5 e7g6 e4f5 e6f5 e1e6 a6c4 g2d5 c4d5 d2d5 g8h8 c1c2 a3a4 c2d2 g7e5 g5e7 g6e7 e6e7 a4e4 d5e4 f5e4 d2f2 f8f2 g1f2 b6a6 f2e3 a6a2 e3e4 e5g3 d1e3 h8g8 c3c4 g3f2 e3f5 a2e2 e4f3 e2e7 f5e7 g8f7 e7c6 f2g1 c6a7 f7f6 f3e4 f6g5 a7b5 g5h4 b5d6 h4g3 h3h4 h7h5 d6f5 g3g4 f5g7 g1f2 g7e6 f2h4 e6c5 h4e7 c5d3 h5h4 c4c5 g4g3 c5c6 e7d6 d3e5 h4h3 e5f3 g3f2 f3e5 d6c7 e5f3 c7d6 f3e5 d6b8 e5f3 b8c7
URS-ch35,Kharkov,1967.??.??,?,"Shamis, Alexey","Alburt, Lev O",0-1,,,E61,d2d4 g8f6 e2e3 g7g6 g1f3 f8g7 c2c4 e8g8 f1e2 d7d6 e1g1 b8d7 b1c3 c7c6 d1c2 e7e5 b2b4 f8e8 a1b1 d7f8 d4e5 d6e5 f1d1 d8c7 b4b5 e5e4 f3d2 c8f5 b5c6 b7c6 h2h3 h7h5 d2b3 f8e6 c1a3 a8d8 b3c5 d8d1 c3d1 h5h4 c5b7 c6c5 b1b3 f6d7 d1c3 d7b6 b7a5 b6a4 c3a4 c7a5 b3b5 a5e1 e2f1 e6d4 c2b1 d4e2 g1h1 e1f2 f1e2 f2e2 a3c5 e2c4 b5b4 c4e2 b4b8 e8b8 b1b8 g8h7 b8f4 g7f6 f4d6 e2e1 h1h2 e1a1 c5d4 f6d4 e3d4 a1a2 a4c3 a2c4 c3d5 c4c8 d6e7 c8e6 d5f6 h7h6 e7f8 h6g5 f6h7 g5h5 f8d8 h5h6 h7g5 e6b6 d8e7 f5e6 e7f6 b6d6 h2h1 d6d5 g5e6 d5e6 f6h8 h6g5 h8d8 e6f6 d8d5 f6f5 d5d8 f7f6 d8e7 f5f1 h1h2 f1f4 h2h1 e4e3 e7c5 g5h6 c5f8 h6h5 f8c5 f4f5 c5e7 f5f1 h1h2 e3e2
URS-ch35,Kharkov,1967.??.??,?,"Sakharov, Yury N","Alburt, Lev O",0-1,,,B45,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 f8b4 a2a3 b4c3 b5c3 d7d5 e4d5 e6d5 f1d3 e8g8 e1g1 d5d4 c3e2 d8d5 c2c4 d4c3 e2c3 d5a5 c1f4 f8d8 d1b1 c6d4 b2b4 a5h5 f1e1 d4f3 g2f3 h5f3 e1e3 f3f4 b1f1 f6g4 e3g3 d8d3
