Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Earl tourn,?,1906.??.??,?,Savrov,"Alekhine, Alexander",0-1,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 c8g4 f1e2 g4f3 e2f3 b8c6 b2b4 c5b6 b4b5 c6e7 d2d4 e5d4 c3d4 g8f6 e1g1 e8g8 c1b2 d6d5 e4e5 f6d7 b1c3 c7c6 d1d3 e7g6 g2g3 f7f5 g1h1 d8e7 c3d5 c6d5 f3d5 g8h8 b2a3 e7d8 d5b7 a8b8 a3f8 d7f8 b7c6 d8d4 d3f5 g6e7 f5c2 b8c8 a1d1 d4b4 d1b1 b4a5 f1f3 e7c6 f3c3 c8d8 b5c6 a5d5 c2g2 d5d1 g2f1 d1d5 f1f3 d5a2 b1d1 d8d1 f3d1 f8e6 d1f3 a2b1 h1g2 g7g6 f3d3 b1g1 g2h3 h7h5 d3c4 g1d1 c3c1 d1g4 h3g2 h5h4 c4f1 g6g5 f1d1 e6f4 g2h1
Earl tourn,?,1906.??.??,?,Giese,"Alekhine, Alexander",0-1,,,C47,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 b1c3 f8b4 d4c6 b7c6 d1d4 d8e7 f2f3 d7d5 c1g5 e8g8 e1c1 b4c5 g5f6 g7f6 d4a4 c5e3 c1b1 d5d4 c3e2 c6c5 e2c1 c8e6 f1c4 f8b8 c1d3 b8b6
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander","Ljubimov, T.",1-0,,,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 d1f3 d8c7 b5d3 h7h6 g5e4 f6d5 e4g3 g7g6 b1c3 f8e7 c3d5 c6d5 d3b5 e8f8 e1g1 c8b7 f3e2 h6h5 f1e1 f7f6 d2d4 e5e4 c1d2 a7a6 b5a4 a5c4 a4b3 c4d2 e2d2 a6a5 a2a3 e7d6 g3f1 f8g7 h2h4 d6f4 f1e3 g6g5 h4g5 f6g5 b3d5 b7d5 e3d5 f4d2 d5c7 a8c8 e1e2 d2c3 c7e6 g7f6 b2c3 f6e6 e2e4 e6d5 e4e3 h8e8 a1e1 e8e3 e1e3 d5c4 e3e5
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander",Romaskevic,1-0,,,C20,e2e4 e7e5 g1e2 f7f5 e2g3 d8h4 b1c3 f8c5 d1f3 d7d6 e4f5 g8e7 c3e4 b8c6 c2c3 c5b6 d2d4 h7h6 g3h5 e7f5 h5f6 g7f6 g2g3 f5d4 f3d3 h4e4 d3e4 c8f5 e4g2 d4c2 e1d2 c2a1 g2f3 f5e6 f1a6
Earl tourn,?,1906.??.??,?,"Manko, V.","Alekhine, Alexander",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 d4c3 d1b3 d8f6 e4e5 f6g6 b1c3 g8e7 f1e1 a8b8 a2a4 e8g8 c1a3 f8e8 a1d1 c6d8 e1e2 d8e6 c4d3 g6h5 a3e7 a5c3 e2e4 e8e7 b3a3 f7f5 e4h4 h5f7 a3c3 g7g6 d3c4 f7e8 f3g5 g8h8 c4e6 d7e6 g5h7 e7h7 h4h7 h8h7 c3c7 h7h6 d1d8 e8d8 c7d8 g6g5 d8f6 h6h7 f6g5 b7b6 g5e7 h7g6 e7c7 b8a8 h2h4 f5f4 g1h2 g6f5 f2f3
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander",Sachovskoj,1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 a5b6 d4e5 c8e6 c4e6 f7e6 c1g5 d8d7 e5d6 c7d6 b1d2 h7h6 g5h4 g7g5 h4g3 e6e5 d2c4 b6c7 d1b3 g8f6 a1d1 e8c8 c4e5 d7e7 e5g6 e7e4 g6h8 d8h8 f1e1 e4f5 g3d6 c7d6 d1d6 f6e4 d6c6 b7c6 e1b1 h8f8 b3b8 c8d7 b8a7
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander",Savrov,1/2-1/2,,,C22,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3 f8e7 c1d2 g8f6 b1c3 d7d5 e4d5 f6d5 e3g3 d5c3 d2c3 e7f6 f1d3 d8e7 g1e2 c8e6 e1g1 e8c8 e2f4 e7c5 d3e4 c6d4 c3d4 d8d4 g3f3 c7c6 c2c3 d4d2 f4d3 c5g5 a1d1 d2d1 f3d1 g5a5 a2a4 h8d8 f1e1 e6c4 d1c2 g7g6 d3b4 f6e5 g2g3 e5d6 e1c1 a5g5 c1d1 h7h5 d1d4 c4e6 c2d3 e6b3 d3d2 g5f6 d2e2 f6e7 b4c2 c8c7 d4d2 e7g5 c2d4
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander","Zubakin, N.",0-1,,,C33,e2e4 e7e5 f2f4 e5f4 f1c4 d7d5 c4d5 d8h4 e1f1 g8f6 g1f3 h4h6 b1c3 b8d7 e4e5 f6h5 f1f2 c7c6 d5b3 d7c5 d2d4 c5b3 a2b3 g7g5 c3e4 f8e7 h2h4 g5g4 f3g5 c8f5 d1e2 f5e4 g5e4 h6g6 g2g3 f4f3 e2d3 e8g8 c1g5 f8e8 g5e7 e8e7 h1e1 a8d8 e4d6 d8d6 e5d6 g6d6 e1e5 e7e5 d4e5 d6c5 d3e3 c5c2 f2e1 h5g3 e5e6 g8f8 e6f7 f8f7 a1d1 c2e4 e1d2 e4e3 d2e3 g3f5
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander",Zukovskij,1/2-1/2,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 e5d4 c3d4 a5b6 b1c3 c8g4 c4b5 e8f8 c1e3 g4f3 g2f3 c6e7 g1h1 e7g6 f3f4 c7c6 b5c4 g8h6
Earl tourn,?,1906.??.??,?,"Alekhine, Alexander",Giese,1-0,,,C29,e2e4 e7e5 b1c3 g8f6 f2f4 d7d5 f4e5 f6e4 d1f3 f7f5 g1e2 b8c6 d2d4 c6b4 e1d1 c7c5 e2f4 g7g6 f1b5 c8d7 b5d7 d8d7 c1e3 f8h6 f4d3 b4d3 c2d3 e4c3 b2c3 h6e3 f3e3 d7a4 d1d2 c5d4 e3d4 a4d4 c3d4 a8c8 h1c1 e8d7 d2e3 c8c1 a1c1 h8c8 e5e6 d7d8 e6e7 d8d7 c1c8
