Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Moscow Kasparov Cup,Moscow,1998.??.??,1,"Afonin, Alexey","Alekseev, Evgeny",0-1,2190,2275,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6 f1e2 f8g7 e1g1 e8g8 b1a3 b8c6 a3c4 d5b6 c2c3 b6c4 e2c4 c8g4 c4e2 d8d6 h2h3 g4f3 e2f3 a8b8 c1e3 f8d8 f1e1 e7e6 d1b3 h7h6 a1d1 b7b5 d4d5 c6a5 b3c2 e6e5 e3a7 b8a8 a7e3 a5c4 b2b3 c4e3 f2e3 e5e4 f3e4 a8a6 e4d3 d6g3 c2f2 g3f2 g1f2 g7c3 e1e2 d8d5 d3c2 a6f6 f2g1 d5d1 c2d1 f6d6 d1c2 c7c5 g1f2 g8g7 c2e4 c3d2 e4c6 c5c4 b3c4 b5c4 c6a4 c4c3 f2f3 d6a6 a4b3 a6b6 b3d1 b6b1 d1a4 b1b2 a2a3 c3c2 a4c2 b2c2 f3e4 c2b2 e4d3 d2c3
Moscow Kasparov Cup,Moscow,1998.??.??,2,"Alekseev, Evgeny","Guseinov, Kadir",1-0,2275,2235,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f2f4 d8a5 e4e5 f6e4 f1d3 c8f5 d1f3 d6d5 g2g4 e4c3 g4f5 c3b5 c1d2 a5d8 c2c3 g7g6 e5e6 f7e6 f5g6 b5d6 f3g4 d6f5 d3f5 e6f5 g6g7
Moscow Kasparov Cup,Moscow,1998.??.??,3,"Azarov, Sergei","Alekseev, Evgeny",1/2-1/2,2150,2275,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6 f1e2 f8g7 e1g1 e8g8 c2c4 d5b6 b1c3 c8g4 h2h3 g4f3 e2f3 b8c6 c4c5 b6d7 c1e3 e7e5 f3c6 b7c6 d1a4 e5d4 e3d4 d7b6 c5b6 d8d4 a4d4 g7d4 b6c7 a8c8 a1d1 d4c3 b2c3 c8c7 f1e1 f8b8 d1d2 c7b7 e1e2 a7a5 a2a4 b7b3 e2e5 b3c3 e5a5 b8b7 a5a8 g8g7 d2a2 c3b3 a4a5 b3b1 g1h2 b7b2 a2b2 b1b2 h2g3 b2a2 g3f3 c6c5 a5a6
Moscow Kasparov Cup,Moscow,1998.??.??,4,"Alekseev, Evgeny","Radjabov, Teimour",0-1,2275,,A90,d2d4 e7e6 g1f3 f7f5 g2g3 g8f6 f1g2 d7d5 c2c4 c7c6 e1g1 f8d6 b2b3 d8e7 f3e5 e8g8 d1c2 b8d7 c1b2 f6e4 f2f3 e4f6 b1d2 d7e5 d4e5 d6c5 g1h1 f6h5 f1d1 h5g3 h2g3 e7g5 d2f1 g5h5 f1h2 c5f2 e2e3 f2g3 g2f1 f5f4 e3e4 d5e4 c2g2 e4f3 g2h3 f8f5 d1d8 g8f7 b2a3 h5h3 f1h3 f5h5 h2f3 h5h3 h1g2 h3h5 a1d1 b7b6 d8f8 f7g6 d1d8 c8b7 d8a8 c6c5
Moscow Kasparov Cup,Moscow,1998.??.??,5,"Gaprindashvili, Valerian","Alekseev, Evgeny",1-0,2270,2275,E68,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 b1c3 d7d6 g1f3 b8d7 e1g1 e7e5 h2h3 e5d4 f3d4 f8e8 e2e4 a8b8 c1g5 h7h6 g5e3 d7e5 b2b3 c7c5 d4c2 b7b5 f2f4 e5d7 d1d6 b5b4 e4e5 b4c3 e5f6 d8f6 d6f6 g7f6 a1e1 e8e6 g3g4 b8b6 g2d5 e6e7 e3f2 a7a5 e1e7 f6e7 c2a3 d7f6 f1c1 f6d5 c4d5 c8b7 a3c4 b6a6 c1c3 b7d5 c3e3 g8f8 e3e5 d5c4 b3c4 a6c6 g1g2 f8e8 g2f3 e8d7 f4f5 e7d6 e5d5 d7e7 f3e4 g6g5 a2a4 c6b6 f2c5 d6c5 d5c5 b6b4 e4e5 b4a4 c5c7 e7f8 e5f6 f8g8 c7c8 g8h7 f6f7 a4a3 f7f6 a3h3 c8c7
Moscow Kasparov Cup,Moscow,1998.??.??,6,"Alekseev, Evgeny","Grachev, Boris",1-0,2275,2205,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 g1f3 e7e6 c3d4 b7b6 b1c3 c8b7 f1d3 f8e7 e1g1 e8g8 d1e2 f7f5 e5f6 d5f6 f3g5 b8c6 c3e4 h7h6 e4f6 e7f6 g5h7 f6d4 h7f8 d8f8 c1e3 d4f6 a1c1 d7d5 e3b6 a7b6 c1c6 b7c6 e2e6 f8f7 e6c6 a8b8 d3f5 g8h8 b2b3 d5d4 f5d3 f7e8 c6f3 e8e5 f3g4 b6b5 a2a4 b5a4 g4g6 h8g8 d3c4 g8h8 c4d3 h8g8 d3c4 g8h8 c4d3 h8g8 b3a4 b8c8 g2g3 e5a5 f1b1 a5d8 b1b7 d8d5 d3e4 d5e6 b7g7 g8f8 g7h7 c8c1 g1g2
Moscow Kasparov Cup,Moscow,1998.??.??,7,"Markarov, Arsen","Alekseev, Evgeny",1/2-1/2,2325,2275,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6 f1e2 f8g7 e1g1 e8g8 h2h3 b8c6 f1e1 d5b6 c2c3 e7e5 d4e5 c6e5 d1d8 f8d8 c1f4 e5f3 e2f3 c7c6 f4c7 d8f8 b1d2 c8e6 d2e4 e6d5 c7b6 a7b6 a2a3 f8d8 e4d2 g7h6 d2f1 d5f3 g2f3 d8d3 e1e7 a8b8 g1g2 g8f8 a1e1 h6g5 e7e4 b8a8 e4b4 b6b5 b4g4 g5f6 g4e4 d3d8 f1g3 d8d2 e4e2 d2e2 e1e2 a8d8 f3f4 d8d1 f4f5 d1b1 g3e4 f6h4 f5g6 h7g6 e4c5 b7b6 c5d7 f8g7 d7b6 b1d1 c3c4 h4f6 c4b5 c6b5 b6c8 d1d3 b2b4 d3a3 c8d6 f6g5
Moscow Kasparov Cup,Moscow,1998.??.??,8,"Alekseev, Evgeny","Tenikashvili, Georgij",0-1,2275,2165,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 b8d7 h2h4 h7h6 h4h5 g6h7 f1d3 h7d3 d1d3 d8c7 h1h4 e7e6 c1f4 f8d6 f4d6 c7d6 g3e4 d6e7 d3a3 e7a3 b2a3 e8e7 e4c5 d7c5 d4c5 a7a5 a1b1 a8a7 h4d4 g8f6 f3e5 h8c8 g2g4 c8c7 f2f3 f6d7 e5d3 a7a6 e1e2 a6a8 e2e3 e7f8 f3f4 f8e7 e3f2 f7f6 b1e1 e7f7 d4d6 a8e8 e1e4 d7f8 e4d4 f7e7 d3b2 f8d7 b2d3 e6e5 f4e5 f6e5 d4c4 d7c5 d6g6 e5e4 f2e3 e4d3 c4c5 d3c2 c5c2 e7d8 e3d4 c7d7 d4c3 e8e5 c2g2 d8c7 g4g5 e5c5 c3b2 h6g5 g2g5 c5g5 g6g5 c7b6 b2c3 d7d5 g5g7 d5h5 c3b3 h5h3 b3b2 h3h4 b2b3 b6a6 g7g6 a6b5 g6g5 c6c5 g5f5 h4h3 b3b2 b7b6 f5f4 h3h2 b2b1 h2d2 f4g4 d2d4 g4g6 d4d2 g6g4 c5c4 g4g5 b5a4 g5g3 d2d3 g3g4 b6b5
Moscow Kasparov Cup,Moscow,1998.??.??,9,"Izoria, Zviad","Alekseev, Evgeny",1/2-1/2,2270,2275,E73,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 h7h6 g5e3 e7e5 d4d5 b8d7 d1d2 d7c5 f2f3 a7a5 e2d1 f6e8 h2h4 f7f5 e3h6 c5d3 d2d3 g7h6 d1c2 e8f6 g1h3 f6h5 h3g5 h6g5 h4g5 d8g5 d3d2 g5d2 e1d2 h5g3 h1h2 f5f4 c2a4 b7b6 a4b5 g8g7 c3e2 g3e2 d2e2 c8b7 e2f2 f8h8 h2h8 a8h8 b5d7 g7f6 b2b3 h8d8 d7g4 d8a8 a2a3 b7c8 g4c8 a8c8 a1h1 f6g7 g2g4 f4g3 f2g3 c8b8 h1c1 b8a8 b3b4 a5b4 a3b4 a8a4 c4c5 a4b4 c5d6 c7d6 c1c6 b6b5 c6d6 b4c4 d6e6 g7f7 e6e5 c4c7 d5d6 c7d7 e5b5 d7d6 b5d5 d6a6 d5d3 f7e6 g3f4 e6f6 f4g4 a6c6 d3d5 c6a6 f3f4 a6a1 d5d3 a1g1 d3g3 g1e1 e4e5 f6f7 g4g5 e1e2 g3g1 e2e3 g5g4 e3e2 g1a1 e2g2 g4f3 g2b2 a1a7 f7f8 a7d7 b2b1 f3e4 b1b4 d7d4 b4b1 e4d5 f8e7 d4a4 b1d1 a4d4 d1a1 d5e4 a1e1 e4d3 g6g5 d3d2 e1f1
Wch U14,Oropesa del Mar,1998.??.??,1,"Miton, Kamil","Alekseev, Evgeny",0-1,2415,2270,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 g1f3 b8d7 e1g1 e7e5 d1c2 c7c6 f1d1 d8e7 a1b1 e5d4 f3d4 d7c5 f2f3 a7a5 c1g5 h7h6 g5h4 f8e8 e2f1 e7f8 h4f2 f6h5 g2g3 f7f5 d1e1 f5f4 g3g4 h5f6 b2b3 f6d7 b1d1 d7e5 f1g2 f8e7 d1d2 g7f6 e1d1 f6h4 g1h1 h4f2 d2f2 e7h4 f2f1 e8f8 c2f2 h4f6 d1d2 a5a4 f1d1 a4b3 a2b3 f8d8 g2f1 a8a3 c3b1 a3a8 b1c3 c5a6 d4e2 g8g7 c3a4 g7f7 f2b6 a6b8 c4c5 b8d7 b6c7 a8a4 b3a4
