Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Spring op,Budapest,1989.??.??,?,"Andrianov, Nikolai","Almasi, Zoltan",1-0,2455,,A44,d2d4 c7c5 d4d5 e7e5 e2e4 d7d6 c2c4 g7g6 b1c3 f8g7 g2g3 g8e7 h2h4 h7h5 f1h3 b8d7 g1f3 d7f6 h3c8 d8c8 f3g5 c8d7 c1e3 f6g4 e3d2 g7h6 d1e2 g4f6 f2f3 f6h7 a1b1 h7f8 b2b4 c5b4 b1b4 f7f6 g5e6 h6d2 e2d2 e8f7 e1g1 b7b6 c3b5 f8e6 d5e6 f7e6 f1d1 a8d8 a2a4 e7c6 d2d5 e6e7 b4b2 a7a6 b5c3 d8b8 g1g2 c6d4 d1b1 d7a7 a4a5 b6b5 c4b5 h8c8 b5a6 b8b2 b1b2 a7a6 b2b7
Budapest op,Budapest,1990.??.??,?,"Almasi, Zoltan","Roos, Jean Luc",0-1,2245,2310,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8d7 f2f4 g8e7 c1e3 d8b6 d1d2 e7f5 e3f2 h7h5 g1f3 d7b8 h1g1 b8c6 g2g3 c8d7 h2h3 f8e7 g3g4 h5g4 h3g4 f5h4 f3h4 e7h4 f2h4 h8h4 d2f2 c5d4 f2h4 d4c3 b1c3 b6g1 h4h8 e8e7 h8a8 g1e3 e1d1 e3f2 a1c1 f2f1 d1c2 f1c4 c2b1 d5d4 c3d1 c4d3 b1a1 c6b4 a2a3 b4c2 a1a2 d7c6 a8c8 c6d5 a2b1 c2a3 b1a1 a3c2 c1c2 d3d1 c2c1 d1a4 a1b1 d5a2
Spring op,Budapest,1990.??.??,1,"Arbakov, Valentin","Almasi, Zoltan",1-0,2415,2245,A86,c2c4 f7f5 d2d4 g8f6 g2g3 g7g6 f1g2 f8g7 b2b3 e8g8 c1b2 d7d6 b1d2 b8c6 d4d5 c6e5 g1f3 e5f3 d2f3 c8d7 e1g1 c7c6 d5c6 d7c6 b3b4 e7e5 d1b3 g8h8 f1d1 e5e4 f3d4 d8e7 d4c6 b7c6 a2a4 a8b8 b4b5 e7e6 a1b1 c6b5 a4b5 f8c8 e2e3 a7a6 b2d4 f6d7 b3c3 g7e5 b5a6 b8a8 c3a1 c8c4 g2f1 c4c7 d1c1 d7c5 b1b6 e6e7 b6d6
Spring op,Budapest,1990.??.??,8,"Almasi, Zoltan","Manca, Federico",0-1,2245,2350,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 f1d3 b8a6 e4e5 f6g4 h2h3 g4h6 c1e3 c7c5 d1d2 c5d4 e3d4 a6b4 g2g4 d6e5 f4e5 h6g4 d3e4 g4h6 d2f2 c8f5 a1d1 f5e4 c3e4 d8d5 e4c3 d5c4 b2b3 c4e6 c3e4 h6f5 d4b2 e6c6 e4c3 b4c2 e1e2 g7h6 d1d3 f8d8 h1d1 c6a6 c3e4 d8d3 d1d3 c2b4 e4c5 a6a2 e2f1 b4d3 c5d3 a2b3
HUN-chop,Gyor,1990.??.??,2,"Almasi, Zoltan","Zsinka, Laszlo",1-0,2265,2380,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 e1g1 e8g8 c2c3 d7d6 b1d2 c6a5 f1e1 a5c4 d2c4 h7h6 h2h3 c8e6 c4e3 f8e8 g2g4 g7g6 c3c4 e7f8 c1d2 f8g7 g1h2 c7c6 d2c3 d8b6 d1d2 b6c7 e1g1 g8h7 g1g3 a8d8 a1g1 e6c8 h3h4 d6d5 e4d5 c6d5 g4g5 d5d4 g5f6 d4c3 b2c3 g7f6 e3d5 d8d5 c4d5 c7d6 c3c4 e5e4 g1e1 c8f5 d3e4 f5e4 h2g1 d6d8 d2f4 e4f5 e1e8 d8e8 h4h5 e8e2 h5g6 f7g6 d5d6 f6g7 f4d2 e2d2 f3d2 g7e5 g3b3 b7b6 c4c5 f5e6 b3e3
HUN-chop,Gyor,1990.??.??,3,"Almasi, Zoltan","Videki, Sandor",0-1,2265,2385,B64,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 h7h6 g5h4 e6e5 d4f5 c8f5 e4f5 e5f4 c1b1 d6d5 h4f6 e7f6 c3d5 f6e5 f1c4 b7b5 c4b3 a7a5 a2a3 d8g5 g2g3 f4g3 d2g5 h6g5 h2g3 a5a4 b3a2 e5g3 d1d3 g3h4 d3c3 c6d4 d5e7 g8h7 c3h3 h7h6 h3h4 g5h4 h1h4 h6g5 h4d4 f8e8 d4d7 a8d8 d7d8 e8d8 c2c4 b5c4 a2c4 d8d7 e7d5 g5f5 d5b6 d7a7 c4b5 g7g5 b6a4 g5g4 a4c3 f5e5 b1c2 f7f5 c2d2 f5f4 b5c6 a7c7 c6a4 c7h7 a4d1 h7h2 d2e1 f4f3 a3a4 h2b2 a4a5 e5d4 d1f3 g4f3 c3d1 b2b1
HUN-chop,Gyor,1990.??.??,5,"Almasi, Zoltan","Teske, Henrik",0-1,2265,2365,B49,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d8c7 f1e2 a7a6 e1g1 g8f6 c1e3 f8b4 d4c6 b7c6 c3a4 b4d6 f2f4 f6e4 d1d4 e4f6 c2c4 e8g8 g2g4 c6c5 a4c5 e6e5 f4e5 d6e5 d4d1 f8e8 e3f2 e5h2 g1g2 a8b8 a1b1 h2d6 b2b4 d6c5 f2c5 c8b7 g2h3 f6e4 d1d3 e4g5 h3h4 c7h2 h4g5 h7h6
Honved,Budapest,1991.??.??,?,"Petrosian, Arshak B","Almasi, Zoltan",1/2-1/2,2505,2400,A13,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4 c7c5 c4b3 f8e7 b1c3 e8g8 d2d3 e7d6 e1g1 a7a6 a2a4 d6c7 f3d2 a8b8 d2c4 b7b6 f1d1 d8e7 h2h3 f8d8 c1e3 d7f8 e3d2 h7h6 d2e1 f8h7 c4e3 c8b7 g2b7 b8b7 b3c4 b7a7 d3d4 c5d4 d1d4 d8c8 a1d1 a7a8 c4b3 a8b8 e3c4 e6e5 c3d5
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Farago, Sandor",1-0,2400,2395,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 f1d3 b8c6 e4e5 d6e5 f4e5 f6h5 d3e2 c8g4 c1e3 f7f6 e5f6 e7f6 d1d2 f6f5 e1c1 f5f4 e3f2 d8d7 d4d5 g4f3 g2f3 c6e5 c3e4 d7a4 c1b1 b7b6 e4g5 g7f6 g5e6 f8f7 f2d4 c7c5 d4e5 f6e5 d5d6 h5f6 e6c7 a8d8 e2b5 a4d4 d2d4 c5d4 b5c4 d8d6 c4f7 g8f7 h1e1 f6d7 c7b5 d6d5 c2c4 d5c5 b5d4 f7f6 d4b5 d7f8 d1d5 c5d5 c4d5 a7a6 b5a3 f8d7 a3c4 g6g5 c4e5 d7e5 d5d6 e5c6 d6d7 g5g4 f3g4 f6g5 e1e6 c6d8 e6e8 d8b7 e8b8
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Stern, Rene",1/2-1/2,2400,2360,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7 c2c3 f6e4 d2d4 c6a5 b3c2 e5d4 c2e4 b7e4 f1e1 d7d5 b2b4 a5c4 f3d4 c7c5 b4c5 f8c5 f2f3 e8g8 f3e4 d5e4 g1h1 f8e8 a2a3 e4e3 a1a2 e8e4 d1f3 d8e7 d4f5 e7e8 a2e2 a8d8 h2h3 d8d3 f5g3 e4e5 g3h5 f7f6 h5f4 d3d6 e1f1 g7g5 f4h5 f6f5 f1e1 d6h6 h5g3 f5f4 g3f1 c4d6 c1e3 f4e3 f1e3 h6e6 e3g4 e5e2 e1e2 g8g7 e2e5 e8g6 e5c5 g6b1 h1h2 b1c1 c5c7 g7g6 c7c6 c1f4 f3f4 g5f4 c6a6 g6f5 a3a4 b5a4
