Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20,Kiljava,1984.??.??,?,"Anand, Viswanathan","Wolff, Patrick G",0-1,2285,2225,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6d7 h2h4 c7c5 e5e6 f7e6 h4h5 g6h5 h1h5 d7f6 h5h4 b8c6 c1e3 d8a5 f1d3 c5d4 f3d4 c6d4 e3d4 e6e5 f4e5 d6e5 d4e3 e5e4 d3c4 g8h8 d1d4 c8g4 c4b3 a8c8 e3d2 a5a6 d4e3 f6d5
Lloyds Bank op,London,1984.??.??,5,"Chandler, Murray G","Anand, Viswanathan",1-0,2540,2345,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 f8e7 f1e2 c8d7 f2f4 b7b5 e2f3 a8c8 d4b3 c6a5 b3a5 d8a5 c1b1 b5b4 c3e2 d7c6 e2g3 e8g8 e3d4 d6d5 e4e5 f6e4 f3e4 d5e4 d2e2 c6d5 b2b3 f7f5 e5f6 e7f6 d4f6 f8f6 h1f1 c8f8 e2e3 a5c7 f4f5 c7b7 f5e6 f6f1 g3f1 d5e6 f1g3 e6d5 e3c5 d5f7 g3f5 b7b5 c5b5 a6b5 d1d4 f8e8 f5e3 f7g6 d4b4 e8f8 b4b5 f8f2 b5c5
Lloyds Bank op,London,1984.??.??,8,"Anand, Viswanathan","Wells, Peter K",1/2-1/2,2345,2350,B17,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4g3 e7e6 f1d3 c6c5 e1g1 c5d4 f3d4 f8c5 d4f3 e8g8 d1e2 b7b6 g3e4 c5e7 c1f4 c8b7 a1d1 f6e4 d3e4 b7e4 e2e4 d8c8 c2c3 d7f6 e4e2 c8b7 f3d4 g7g6 f1e1 f8d8 a2a3 b6b5 h2h3 a8c8 f4g3 f6d5
Lloyds Bank op,London,1984.??.??,9,"Anand, Viswanathan","Greenfeld, Alon",1-0,2345,2485,B49,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 d8c7 f1e2 g8f6 e1g1 b8c6 c1e3 f8b4 c3a4 e8g8 d4c6 b7c6 a4b6 a8b8 b6c8 f8c8 e2a6 c8d8 a6d3 b4d6 g1h1 d6e5 c2c3 b8b2 d1c1 f6g4 f2f4 g4e3 c1b2 d8b8 b2f2 e3f1 f4e5 f1h2 h1h2 c7e5 f2g3 e5h5 h2g1 h5c5 g1h1 b8a8 d3c2 c5h5 g3h3 h5e5 h3d3 g7g6 c2b3 a8a5 a1f1 e5c7 f1f3 a5h5 f3h3 h5g5 h1g1 c7f4 h3f3 f4h4 d3e3 g5e5 e3f4 h4f4 f3f4 g6g5 f4g4 f7f6 b3c2 e5a5 a2a4 g8f8 g4g3 h7h5 g1f2 f8e7 f2e3 g5g4 e3d2 a5g5 g3e3 e7d6 e3e1 d6e5 d2e3 d7d5 a4a5 d5e4 c2e4 f6f5 e4d3 f5f4 e3f2 e5d6 e1a1 g5g8 a5a6 d6c7 d3c4 c7b6 c4e6 g8g7 e6c8 b6a7 c8b7 g7d7 b7c6 d7c7 c6e8 h5h4 e8h5 h4h3 h5g4 h3g2 g4e2 c7c3 f2g2 c3b3 g2f2 b3g3 a1a4 g3e3 a4f4 e3e7 e2c4 a7b6 f2f3 e7h7 f3e4 b6c5 e4d3 h7h3 d3c2 h3h1 c4f1 h1h7 f4f6 c5b4 f1g2 h7c7 c2d2 c7d7 d2e2 d7c7 g2b7 c7c2 e2d3 c2a2 d3d4 b4b5 f6c6
Thessaloniki ol (Men),Thessaloniki,1984.??.??,1,"Barumba, G.","Anand, Viswanathan",0-1,,2345,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e4 d7d6 f1e2 b8d7 e1g1 e7e5 d4e5 d6e5 b2b3 d8e7 d1c2 c7c6 c1b2 f8e8 a1d1 d7f8 h2h3 f6h5 f3h2 h5f4 b2c1 f4e6 c1e3 e6d4 c2c1 f8e6 e2g4 e7b4 g4e6 c8e6 e3d4 e5d4 c3e2 a8d8 d1d3 e6c8 f2f3 f7f5 c1g5 b4e7 g5e7 e8e7 f1d1 f5e4 f3e4 e7e4 e2g3 e4e7 h2f3 c6c5 g1h2 d8e8 h2g1 b7b6 g1f2 c8b7 d1d2 g7h6 d2e2 h6e3 f2f1 h7h5 g3h1 e8f8 h1f2 e7f7 d3e3 d4e3 e2e3 b7f3 g2f3 f7f3 e3f3 f8f3
Thessaloniki ol (Men),Thessaloniki,1984.??.??,2,"Anand, Viswanathan","Lirindzakis, Timotheos",1/2-1/2,2345,2305,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7 e5d7 c8d7 e1g1 d8f6 c1e3 f6h4 c2c4 e4f6 f1e1 e8c8 g2g3 h4g4 f2f3 g4h5 c4c5 g7g6 e3f2 d8e8 e1e8 d7e8 b1c3 e8d7 d3f1 h5f5 a2a4 h7h5 c3b5 a7a6 f1d3 f5h3 b5c3 f6g4 f3g4 h5g4 c3e2 h3h2 g1f1 f8h6 e2g1 f7f5 c5c6 d7c6 a1a3 h8e8 d3e2 c8b8 a3c3 e8f8 f1e1 f8e8 e1f1 e8f8
Thessaloniki ol (Men),Thessaloniki,1984.??.??,3,"Van der Wiel, John TH","Anand, Viswanathan",1-0,2535,2345,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 b8c6 d4c6 b7c6 e1g1 g7g6 e4e5 f8g7 f2f4 d7d6 b1d2 d6e5 f4e5 g7e5 d2c4 e5d4 g1h1 g8e7 c1h6 f7f5 d1e1 e7d5 a1d1 d4f6 g2g4 d8e7 g4f5 g6f5 e1g3 e7c7 g3h3 c8b7 h3h5 e8d8 d3f5 e6f5 h5f5 f6e7 c4e5 c7c8 f5f7 c8h3 h6g5 d8c8 f1f3
Thessaloniki ol (Men),Thessaloniki,1984.??.??,4,"Anand, Viswanathan","Hergott, Deen",1-0,2345,2240,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 g8f6 b1c3 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d5f6 d8f6 c2c4 f6g6 f2f3 f8e7 c4b5 c6d4 d2e3 e8g8 e3d4 e5d4 d1d2 d6d5 f1d3 e7g5 d2e2 d5e4 d3e4 c8f5 e1g1 g5e3 g1h1 f5e4 f3e4 g6e4 a1d1 a6b5 a3b5 a8a2 b5d4 e4e5 d4f5 e3f4 e2g4 g7g5 d1e1 h7h5 f5h6 g8g7 g4h5 e5b2 h6f5 g7g8 h5g4 b2d2 e1d1 d2b4 d1d4 b4b8 h2h3 g8h7 d4f4 g5f4 g4g7
Thessaloniki ol (Men),Thessaloniki,1984.??.??,5,"Anand, Viswanathan","Ochoa de Echaguen, F Javier",0-1,2345,2430,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d5f6 g7f6 c2c4 f6f5 c4b5 c6d4 d2c3 f8g7 c3d4 e5d4 f1d3 e8g8 e1g1 a6b5 a3b5 f5e4 d3e4 d6d5 e4d3 a8a6 b5d4 a6h6 d4f5 c8f5 d3f5 g7b2 a1b1 b2e5 g2g3 d8g5 f5g4 e5g7 b1b5 h6d6 g4f3 f8d8 d1b3 g7d4 f1d1 g5f6 d1d2 d4c3 d2d5 f6f3 d5d6 d8d6 b5g5 g8f8 b3b8 f8e7 b8c7 e7e6 c7c4 e6f6 c4f4 f3f4 g3f4 d6d2 a2a4 c3d4
Thessaloniki ol (Men),Thessaloniki,1984.??.??,7,"Ostermeyer, Peter","Anand, Viswanathan",0-1,2470,2345,A15,g1f3 g8f6 c2c4 g7g6 b2b3 f8g7 c1b2 e8g8 g2g3 d7d6 f1g2 e7e5 e1g1 c7c6 e2e3 h7h6 d2d4 e5e4 f3d2 d6d5 b1c3 c8e6 a1c1 b8d7 c4d5 c6d5 d1e2 a7a6 c3a4 b7b6 b2a3 f8e8 c1c2 e6g4 e2e1 a8c8 c2c8 d8c8 h2h3 b6b5 h3g4 b5a4 e1d1 c8c3 d2b1 c3c6 f1e1 e8b8 g2f1 a4b3 a2b3 g7f8 a3f8 d7f8 f1e2 b8c8 g1g2 a6a5 d1d2 c6b6 d2a2 f8e6 b1d2 e6g5 e1a1 g8g7 a2b2 b6e6 a1a5 f6g4 a5c5 e6f5 f2f3 e4f3 e2f3 g4e3 g2g1 g5f3 d2f3 f5f3 c5c8 f3f1
