Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U20 final-A,Groningen,1969.??.??,1,"Turunen, Erkki O","Andersson, Ulf",0-1,,,E69,c2c4 g8f6 b1c3 g7g6 d2d4 f8g7 g2g3 e8g8 f1g2 d7d6 g1f3 b8d7 e1g1 e7e5 e2e4 f8e8 a1b1 c7c6 h2h3 e5d4 f3d4 d7b6 b2b3 d6d5 e4d5 c6d5 c4c5 f6e4 c3e4 d5e4 d4b5 b6d7 b5d6 e8e6 d6e4 d8c7 c1f4 g7e5 f4e5 d7e5 d1d4 c7e7 f1e1 c8d7 f2f4 e5c6 e4f6 e7f6 d4d7 f6f5 d7d5 f5c2 b1c1 e6e1 c1e1 a8d8 d5c4 c2a2 g2d5 a2d2 d5f7 g8g7 e1e2 d2d1 g1g2 d8d3 e2f2 d3d4 c4e6 d1d3 f7g8 d4d7 g2h2
EU-ch U20 prel,Groningen,1969.??.??,1,"Andersson, Ulf","Ligterink, Gert",1/2-1/2,,,D02,g1f3 d7d5 g2g3 c8g4 f1g2 b8d7 d2d4 c7c6 e1g1 g8f6 b1d2 e7e6 b2b3 f8e7 c1b2 e8g8 f1e1 c6c5 c2c4 c5d4 f3d4 e6e5 h2h3 g4e6 c4d5 e6d5 e2e4 d5e6 d4f5 e7c5
EU-ch U20 prel,Groningen,1969.??.??,2,"Bohm, Hans","Andersson, Ulf",0-1,,,E81,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f2f3 e8g8 c1e3 b8d7 f1d3 c7c5 d4d5 a7a6 g1e2 d7e5 e1g1 e7e6 a2a4 e6d5 c4d5 b7b6 h2h3 f8e8 b2b3 e5d3 d1d3 a8b8 a1a2 d8e7 e3g5 e7f8 g2g4 h7h6 g5h4 f6h7 g1h1 b8a8 f1e1 c8d7 f3f4 b6b5 a4b5 a6b5 a2a8 e8a8 h4g3 b5b4 c3b1 a8a1 e4e5 f8a8 e2g1 d6e5 f4e5 d7e6 e1d1 a8d5 d3d5 e6d5 d1d5 a1b1 d5c5 b1b3 g3e1 h7g5 h3h4 g5e6 c5c8 g7f8 e1d2 g8g7 c8b8 f8c5 g4g5 h6g5 d2g5 e6g5 h4g5
EU-ch U20 final-A,Groningen,1969.??.??,2,"Ghizdavu, Dumitru","Andersson, Ulf",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d4 e5d4 e1g1 f8e7 f1e1 b7b5 e4e5 c6e5 e1e5 b5a4 f3d4 e8g8 d4f5 f8e8 c1g5 d7d6 f5e7 e8e7 g5f6 g7f6 e5h5 e7e5 b1c3 c8b7 h5h4 d8e8 f2f4 e5e3 g1f2 e3e6 d1g4 g8f8 h4h7 f8e7 g4e6 e7e6 a1e1 e6d7 e1e8 d7e8 h7h8 e8e7 h8a8 b7a8 c3a4 f6f5 c2c4 c7c5 h2h4 e7f6 a4c3 a8b7 c3d5 f6e6 d5c3 f7f6 g2g3 b7c6 f2e3 c6b7 b2b3 b7g2 a2a3 a6a5 e3e2 g2c6 e2d3 e6f7 c3d5 f7e6 d3c3 c6d7 b3b4 a5b4 a3b4
EU-ch U20 prel,Groningen,1969.??.??,3,"Andersson, Ulf","Schaufelberger, Heinz",1-0,,,E66,d2d4 g8f6 c2c4 d7d6 g1f3 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 b8c6 e1g1 a7a6 d4d5 c6a5 f3d2 c7c5 d1c2 e7e5 b2b3 f6g4 e2e4 f7f5 e4f5 g6f5 c1b2 c8d7 a1e1 b7b5 f2f3 g4h6 f3f4 h6f7 c3d1 a8b8 b2c3 h7h5 d1e3 b5b4 c3b2 e5e4 b2g7 g8g7 h2h3 f8h8 c2b2 g7g8 g1h2 h8h6 f1f2 a5b7 f2e2 a6a5 a2a3 b4a3 b2a3 d8f6 h3h4 h6h7 a3a1 f6g6 g2h3 f7h6 d2b1 h7g7 e2g2 b7d8 a1a5 d8f7 b1d2 f7h8 a5c3 g6f7 e1b1 g8h7 b3b4 c5b4 b1b4 b8g8 b4b7 f7e8 c3f6
EU-ch U20 final-A,Groningen,1969.??.??,3,"Andersson, Ulf","Webb, Simon",1/2-1/2,,,B24,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 e7e6 g1e2 g8e7 c1e3 c6d4 e1g1 e8g8 d1d2 d8a5 a1e1 d7d6 e2d4 c5d4 c3d5 a5d8 d5e7 d8e7 e3h6 e6e5 h6g7 g8g7 f2f4 f7f6 c2c3 d4c3 b2c3 b7b6 d3d4 c8a6 f1f3 a8c8 g2f1 a6b7 f3d3 c8c7 c3c4 g7h8 d4e5 d6e5 d3d6 b7c8
EU-ch U20 prel,Groningen,1969.??.??,4,"Andersson, Ulf","Webb, Simon",1/2-1/2,,,A05,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d6 e2e4 e7e5 b1d2 b8d7 c2c3 d6d5 e4d5 f6d5 f1e1 f8e8 d2e4 h7h6 a2a4 a7a5 f3d2 d5b6 d2b3 g8h7 c1e3 f7f5 e4c5 d7c5 b3c5 b6d5 e3d2 d8d6 d3d4 b7b6 c5d3 e5e4 f2f3 c8b7 f3e4 f5e4 g2e4 d5c3 b2c3 b7e4 d2f4 d6c6 d3e5 g7e5 f4e5
EU-ch U20 final-A,Groningen,1969.??.??,4,"Lombard, Andre","Andersson, Ulf",0-1,,,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 d2d4 d7d6 c2c3 c8g4 c1e3 d6d5 e4d5 f6d5 d4e5 d5e3 e1e3 e7c5 e3e1 d8e7 b1d2 a8d8 d1b1 c6a5 b3d1 c5b6 b1e4 g4h5 e4f4 h5g6 h2h4 f7f6 e5e6 c7c5 h4h5 g6h5 f3h4 h5g6 h4g6 h7g6 d1c2 f6f5 a1d1 g6g5 f4g3 d8d6 d2f3 d6d1 c2d1 g5g4 f3h4 e7f6 g3d6 b6d8 g2g3 d8e7 d6a6 f5f4 h4g2 f4g3 f2g3 f6f2 g1h2 a5c4 e1e2 f2f6 g2f4 f8d8 d1c2 c4e5 a6b5 e5f3 h2g2 f6h6 g2f2 h6h2 f2e3 h2g3 e2g2 g3e1 b5e2 e1c1 e3e4 f3g5 e4e5 e7d6 e5d5 c1f4 g2g4 d6c7 d5c6 f4d6
EU-ch U20 prel,Groningen,1969.??.??,5,"Vaganian, Rafael A","Andersson, Ulf",1-0,,,E69,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 b1c3 d7d6 g1f3 b8d7 e1g1 e7e5 e2e4 c7c6 h2h3 d8b6 f1e1 e5d4 f3d4 f6g4 c3e2 g4e5 b2b3 d7c5 c1e3 f8e8 e2c3 a7a5 a1b1 b6c7 d1c2 h7h5 b1d1 c7e7 e1e2 e7f6 e2d2 a5a4 f2f4 a4b3 a2b3 e5d7 d4e2 g7f8 e3d4 f6e7 b3b4 c5a6 c3a2 d7f6 e2c3 a6c7 d4b6 a8a6 b6f2 e7e6 b4b5 c6b5 c4b5 a6a8 f2b6 e6d7 e4e5 f6h7 c2b1 d6d5 c3d5 c7d5 g2d5 d7f5 b1f5 g6f5 a2c1 a8a3 d2d3 a3a4 c1e2 f8h6 d5f3
EU-ch U20 final-A,Groningen,1969.??.??,5,"Andersson, Ulf","Atanasov, Petko",1-0,,,A23,c2c4 e7e5 b1c3 g8f6 g2g3 c7c6 f1g2 d7d5 c4d5 c6d5 g1f3 b8c6 d2d3 h7h6 e1g1 f8e7 a2a3 e8g8 b2b4 a7a6 c1b2 c8e6 a1c1 e5e4 f3e1 e4e3 f2f3 d5d4 c3e4 a8c8 e4c5 e7c5 c1c5 d8d6 f3f4 a6a5 f4f5 a5b4 a3b4 e6d5 g2d5 f6d5 d1b3 f8d8 e1f3 c6b4 c5b5 c8c3 b2c3 d4c3 f3d4 b4c6 d4c2 h6h5 b3c4 c6e5 c4c5 d6d7 c2b4 d5b4 c5e5 b4d5 b5c5 b7b6 c5c4 b6b5 c4h4 b5b4 f5f6 d7d6 e5h5
EU-ch U20 final-A,Groningen,1969.??.??,6,"Maeder, Karl Heinz","Andersson, Ulf",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e4e5 d7d5 c4b5 f6e4 f3d4 f8c5 c1e3 c5d4 d1d4 e8g8 b5c6 b7c6 b1c3 f7f5 f2f3 e4c3 d4c3 d8h4 g2g3 h4a4 b2b3 a4a6 e3c5 f8f7 c3d4 c8e6 a2a4 a6a5 e1d1 f5f4 g3g4 a5a6 d1d2 a6b7 a1g1 a7a6 h2h4 a8e8 h4h5 b7c8 g4g5 f7f5 h1h4 c8d8 h4f4 f5g5 h5h6 g7h6 f4f6 d8d7 f3f4 g5g1 d4g1 d7g7 f4f5 e6c8 e5e6 g7g1 c5g1 h6h5 g1c5 h5h4 e6e7 c8d7 f6f8 g8g7 f5f6
EU-ch U20 prel,Groningen,1969.??.??,6,"Maeder, Karl Heinz","Andersson, Ulf",1/2-1/2,,,B60,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 c8d7 g5f6 g7f6 d4f5
