Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
White Nights,St Petersburg RUS,2001.06.09,1,"Andreikin,D","Meister,Y",0-1,2217,2450,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 f8b4 f1d3 b4c3 b2c3 d7d6 c1a3 d8c7 e1g1 b8d7 f2f4 d7c5 f1e1 e6e5 d4b3 b7b6 b3c5 d6c5 a1b1 e8g8 f4f5 f8d8 d1f3 c8b7 e1e2 d8d6 b1e1 c7d7 d3c2 b7c6 e2f2 c6a4 c2b1 d6d1 f2f1 d1e1 f1e1 d7d2 g1f1 a8d8 a3c1 d2d6 h2h3 h7h6 g2g4 g8f8 f1f2 d6e7 e1h1 e7d7 h1g1 a4d1 f3e3 f6e8 g4g5 h6g5 e3g5 f7f6 g5h4 d7f7 h4h8 f8e7 a2a3 f7c4 g1g7 e8g7 h8g7 c4f7 g7f7 e7f7 b1a2 f7g7 a2d5 d1h5 c1e3 h5f7 c3c4 f7d5 e4d5 b6b5 e3c5 b5c4 d5d6 c4c3 f2e2 c3c2 e2d2 c2c1q d2c1 d8c8
White Nights,St Petersburg RUS,2001.06.10,2,"Shiripov,K","Andreikin,D",0-1,,2217,A45,d2d4 g8f6 c1g5 f6e4 h2h4 c7c5 d4c5 d8a5 b1d2 e4g5 h4g5 g7g6 c2c3 a5c5 g1f3 f8g7 d1b3 b8a6 e2e3 a6c7 d2e4 c5a5 h1h4 d7d5 e4d2 b7b5 f3d4 c8d7 f2f4 a8b8 d2f3 e8g8 a2a3 a5b6 f1e2 f7f6 e1c1 f6g5 f3g5 g7f6 d1h1 f6g5 f4g5 f8f7 e2f3 b6d6 b3c2 d6e5 c2e2 e5g5 f3g4 e7e5 d4f3 g5f6 e2e1 d7g4 h4g4 c7e6 e1g3 e6c5 h1h5 b8e8 c1c2 c5e4 g3h2 e4f2 g4g5 e5e4 g5e5 e8e5 f3e5 g6h5 e5f7 f6f7 h2b8 f7f8 b8e5 f8f7 e5g5 f7g6 g5d5 g8g7 d5e5 g6f6 e5h5 f6d6 h5g5 g7h8 c2b1 a7a6 b1a1 f2d3 g5f5 d3c5 f5c8 h8g7 c8g4 d6g6 g4h4 c5b3 a1a2 b3c1 a2b1 c1d3 h4e7 g7g8 e7d8 g8f7 d8d7 f7f6 d7d6 f6f5 d6d7 f5g5 d7d5 g5h4 d5d7 g6g2 d7h7 h4g3 h7c7 g3f3 c7f7 f3e3 f7a7 e3f3 a7f7 f3e2 f7h5 e2d2 a3a4 e4e3 a4b5 a6b5
White Nights,St Petersburg RUS,2001.06.11,3,"Andreikin,D","Kharitonov,Alexa",1/2-1/2,2217,2345,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 c4d5 f6d5 c1d2 b8c6 f1d3 b4e7 a2a3 d5c3 d2c3 e7f6 f3e5 d8d5 e5f3 e8g8 d1c2 d5h5 e1c1 c6e7 d1g1 g7g6 h2h4 h5g4 c1b1 c8d7 h4h5 a8c8 h5g6 f7g6 c2b3 e7d5 c3d2 d7c6 h1h3 d5c7 h3g3 g4h5 b3d1 f6g7 d2g5 c6f3 g2f3 h5h2 g1g2 h2h5 d3e2 f8f4 g5f4 h5f5 e2d3 f5f4 g3g4 f4f7 d1c2 f7d7 c2b3 b7b6 d3e4 c8e8 g2g1 c7d5 g1c1 e8f8 g4g5 d5f4 c1d1 g8h8 g5g1 g7d4 d1d2 e6e5 g1c1 f4e6 b3d5 d7d5 e4d5 e6f4 d5e4 f8f7 b2b4 h7h5 d2c2 h8g7 c1h1 g7h6 b1c1 f7d7 c1b1 d7d6 b1a2 d6f6 a2b3 b6b5 h1h2 d4b6 a3a4 b5a4 b3a4 f6d6 c2c6 d6c6 e4c6 h6g5 c6e4 h5h4 a4b3 h4h3 b3c2 g5h4 c2d2 b6d4 e4c6 d4b2 c6d7 b2d4 b4b5 d4b6 d7c8 b6c5
White Nights,St Petersburg RUS,2001.06.12,4,"Kozlov,Vi","Andreikin,D",0-1,2389,2217,C24,e2e4 e7e5 f1c4 g8f6 d2d3 h7h6 b1c3 f8c5 f2f4 d7d6 g1f3 a7a6 d1e2 b8c6 c3d5 e8g8 c2c3 c8g4 h2h3 g4f3 e2f3 g8h8 f4f5 c6a5 d5f6 d8f6 c4b3 a5b3 a2b3 a8d8 h3h4 f6e7 g2g4 f7f6 g4g5 h8h7 c1d2 d6d5 e1c1 d5e4 d3e4 d8d7 f3g4 f8d8 c1c2 e7e8 h1h3 a6a5 h3g3 c5f2 g3f3 f2e1 d1e1 d7d2 c2c1 e8d7 f3e3 h7h8 g5f6 g7f6 e3g3 b7b5 g4h5 d2c2 c1b1 d7d2
White Nights,St Petersburg RUS,2001.06.13,5,"Andreikin,D","Anjuhin,A",1/2-1/2,2217,2460,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 g1f3 c8g4 c1e3 d5c4 f1c4 e7e6 h2h3 g4f3 d1f3 f8b4 e1g1 e8g8 f1d1 d8a5 c3e2 a8c8 a2a3 b4e7 b2b4 a5c7 a1c1 c7d7 e2f4 f8d8 g2g3 f6d5 f4d5 e6d5 c4b3 b7b5 b3c2 g7g6 c2d3 a7a6 h3h4 e7f8 h4h5 f8g7 h5g6 h7g6 f3f4 d7b7 g1g2 a6a5 c1c5 a5b4 c5b5 b7e7 a3a4 e7a7 d1h1 a7e7 f4g4 e7f6 b5d5 d8d5 g4c8 d5d8 c8g4 b4b3 h1b1 c6d4 e3g5 f6c6 d3e4 c6d7 g4d1 d8b8 a4a5 d7e6 f2f3 e6a6 g5e3 b8b4 e4d3 a6a5 e3d2 a5a2 b1a1 d4c6 a1a2 b3a2 d2b4 c6b4 d1b3 a2a1q b3b4 g7d4 b4b1 a1c3 b1d1 d4c5 d1e2 c3d4 e2f1 g6g5 d3e2 f7f5 f1d1 d4f2 g2h3 c5d4 e2c4 g8g7 d1e2
White Nights,St Petersburg RUS,2001.06.14,6,"Klimov,S","Andreikin,D",1-0,2438,2217,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8e7 e1g1 b8c6 c2c4 c6b4 d3e2 e8g8 b1c3 c8f5 a2a3 e4c3 b2c3 b4c6 c1f4 c6a5 c4d5 d8d5 f1e1 e7d6 f3e5 d5b3 d1d2 f7f6 e2d1 b3d5 d1f3 d5b3 c3c4 f6e5 d4e5 f5g6 f3d5 g8h8 e5d6 c7c6 d5e6 c6c5 d6d7 a5c6 f4d6 f8f6 d6e7 c6d4 e7f6 g7f6 d2f4 h8g7 d7d8q a8d8 f4c7 g7h6 c7d8 b3c3 d8f8 h6g5 f8c5 g5h6 a1c1
White Nights,St Petersburg RUS,2001.06.15,7,"Andreikin,D","Tseshkovsky,V",0-1,2217,2555,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 h2h4 c7c5 d4c5 d8a5 e1f1 a5c5 c1e3 c5a5 h4h5 g6h5 g1h3 b8c6 h3f4 c8g4 f4h5 g4h5 e2h5 c6e5 h5e2 a8c8 d1d4 a7a6 h1h3 h7h5 h3g3 e5g4 e3d2 g7h6 d2e1 a5e5 d4b4 e8g8 b4b7 c8b8 b7a6 b8b2 a6d3 f8c8 a2a4 h6g7 f2f3 e5f4 f1g1 g4e5 d3d4 b2c2 e2d1 c8c3 g3g7 g8g7 e1c3 f4g5 d1c2 e5f3 g1f1 f3d4 c3d4 e7e5 d4f2 g5d2 c2d1 d2b2
White Nights,St Petersburg RUS,2001.06.16,8,"Gusev,Al","Andreikin,D",1/2-1/2,2383,2217,E60,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 c7c6 b2b3 d7d6 d2d4 b8d7 c1b2 d8c7 b1c3 f8e8 e2e4 e7e5 d4d5 c6c5 f3e1 a7a6 a2a4 a8b8 e1d3 d7f8 h2h3 f6h5 g1h2 c8d7 g2f3 h5f6 d1c2 c7c8 f3g2 f6h5
White Nights,St Petersburg RUS,2001.06.17,9,"Andreikin,D","Kurnosov,I",1/2-1/2,2217,2375,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 c1e3 b6c7 a2a3 a7a6 g2g3 c6e5 f2f4 e5c4 f1c4 c7c4 e4e5 f6d5 c3d5 e6d5 d1d4 c4c2 b3d2 f8e7 e1g1 e8g8 f4f5 d7d6 a1c1 d6e5 d4d5 c2b2 c1c7 e7d8 c7f7 f8f7 d5d8 f7f8 d8d5 g8h8 e3c5 b2b5 a3a4 b5d7 d5e5 f8e8 e5c3 b7b6 c5d4 c8b7 f5f6 d7c6 c3c6 b7c6 d2c4 e8e4 c4b6 e4d4 b6a8 g7f6 f1f6 c6a8 f6f8 h8g7 f8a8 d4a4 g1g2 a4a2 g2f3 g7g6 h2h3 a2a3 f3f4 a3a4 f4f3 a4a1 a8a7 h7h6 f3f2 a1a5 f2g2 a5a3 a7a8 g6g5 a8g8 g5f6 g8h8 f6g7 h8a8 a3a2 g2f3 a2a1 f3f2 a1a5 f2g2 g7f7 a8h8 a5h5 h8a8 h5a5 a8h8 h6h5 g3g4 f7g7 h8b8 h5h4 b8b6 a5a2 g2h1 a6a5 b6a6 a5a4 g4g5 a2a3 h1h2 g7f7 a6f6 f7g7 f6a6 a3a2 h2h1 a2a1 h1h2 a1a3 h2g2 a3g3 g2h2 a4a3 a6a4 g7g6 a4h4 g3e3 h4a4 g6g5 h2g2 e3c3 h3h4 g5h5 g2h2 c3b3 h2g2 b3b2 g2h3 b2b3 h3h2 h5g6 a4a5 b3b2 h2h3 a3a2 h4h5 g6h6 h3g3 b2b3
EYCC B12,Halkidiki GRE,2001.08.31,1,"Andreikin,D","Karlsson,Erik",1-0,2293,,C79,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 c2c3 f6e4 d2d4 c8g4 d4d5 g4f3 g2f3 e4g5 d5c6 b7b5 a4b3 g5h3 g1g2 d8h4 d1d5 e8c8 a2a4 d8e8 d5f7
