Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12,Bratislava,1993.??.??,1,"Aronian, Levon","Munizaba, Slobodan",1-0,,,B21,e2e4 c7c5 b1c3 b8c6 f2f4 d7d6 g1f3 e7e6 f1c4 g8f6 d2d3 f8e7 e1g1 e8g8 d1e1 a7a6 a2a4 d8c7 c1d2 f8d8 e4e5 d6e5 f4e5 f6d5 e1g3 c6d4 f3d4 d5c3 b2c3 c5d4 c3d4 d8d4 g3f2 e7f8 d2a5 c7d7 c4e6 d7e6 f2d4 c8d7 a5b4 f8b4 d4b4 d7c6 b4f4 a8c8 c2c4 e6g6 f4g3 g6e6 f1f6 e6e7 a1f1 e7c5 g1h1 c6e8 e5e6 f7e6 g3g5 c5b4 g5a5 b4a3 f6f8 a3f8 f1f8 g8f8 a5b4 f8g8 b4b7 c8d8 b7b6 d8d3 b6e6 g8f8 e6f5
Wch U12,Bratislava,1993.??.??,2,"Ngo, N.","Aronian, Levon",0-1,,,D79,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 b1c3 c7c6 c4d5 c6d5 g1f3 e8g8 e1g1 b8c6 b2b3 f6e4 c1b2 c8g4 h2h3 g4f3 e2f3 e4c3 b2c3 d8b6 a1c1 c6d4 d1d3 e7e6 f1d1 d4f5 f3f4 a8c8 g3g4 f5d6 c3e5 f7f5 d3e2 d6e4 g4f5 g7e5 c1c8 f8c8 g2e4 e5f4 f5e6 d5e4 e2e4 f4g5 e6e7 b6c6 e4g4 g5e7 d1d7 c8c7 d7d3 c6c1 g1h2 c1e1 d3g3 e7d6 h3h4
Wch U12,Bratislava,1993.??.??,3,"Aronian, Levon","Hamrakulov, I.",1-0,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 f2f3 h7h6 g5h4 e7e6 e2e4 f8e7 e4e5 f6h5 h4e7 d8e7 g1e2 g7g5 d1d3 d7b6 g2g4 h5g7 e2g3 h6h5 f1e2 c8d7 d3e3 h5g4 f3g4 e8c8 e1g1 h8h4 b2b3 d8h8 f1f2 d7e8 a2a4 b6d7 a1f1 d7f8 e2f3 f8g6 c3e2 h8h7 c2c4 e7d8 e3d2 c8b8 f1c1 e8c6 g3f1 h4h3 f1g3 d8h8 g3f1 g6h4 f3h1 h3b3 c4d5 e6d5 d2c2 b3b6 h1d5 g7e6 d5e6 f7e6 c2h7
Wch U12,Bratislava,1993.??.??,4,"Boldyrev, Anton","Aronian, Levon",1/2-1/2,,,B20,e2e4 c7c5 g1e2 d7d6 g2g3 g7g6 f1g2 f8g7 c2c3 c8g4 h2h3 g4e2 d1e2 b8c6 e1g1 g8f6 d2d3 e8g8 c1e3 a8c8 b1d2 f6d7 f2f4 b7b5 d2f3 b5b4 c3c4 e7e6 a1d1 d8c7 g3g4 c8e8 e2f2 e6e5 f2h4 e5f4 e3f4 c6d4 f4h6 d7e5 f3d4 c5d4 h6g7 g8g7 g4g5 h7h5 g5h6 g7h7 h4f6 f8g8 f6f2 c7c5 g1h1 e8e7 f2h4 e7e6 h4g5 c5c7 h3h4 c7e7 g2h3 f7f6 g5f4 f6f5 e4f5 e6f6 f5g6 g8g6 f4e4 h7h6 h3f5 f6f5 f1f5 g6g4 e4e1 g4h4 h1g2 e7g7 e1g3 h4g4 d1h1 h6g6 h1h5 g4g3 g2g3 g7e7 c4c5 e5d3 h5g5 g6h6
Wch U12,Bratislava,1993.??.??,5,"Aronian, Levon","Das, N.",0-1,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3 b8d7 c3d5 f6d5 e2e4 h7h6 g5h4 d7b6 e4f5 d5e3 d1d3 d8d4 h4g3 d4b2 d3b5 b2b5 f1b5 c7c6 b5d3 e8c8 a1b1 b6a4 g3f2 e3g2 e1d2 g2f4 f2a7 c6c5 b1b5 c5c4 b5a5 b7b5 a5b5 c4d3 b5b4 d3c2 d2c2 e7e5 b4a4 c8b7 a7e3 f4d5 e3d2 d8c8 c2b3 f8e7 g1e2 d5b6 a4g4 h8d8 d2c3 e7f6 b3c2 c8a8 c2b1 b6d5 c3b2 a8a6 g4e4 a6b6 h1d1 b7a7 b1a1 b6d6 e4a4 a7b7 d1c1 d5b4 a4a3 d8b8 a3b3 d6d2 e2c3 b7a8 c3a4 d2h2 b3a3 b4a6 f3f4 f6e7 a4c5 b8b2 a3a6 a8b8 c5d3 b2b5 d3e5 e7c5 a6a4 f7f6 e5c6 b8b7 a4c4 b7c6 a2a4 b5a5 c1c2 h2c2 c4c2 a5a4 a1b1 a4f4 c2g2 c5f8 g2c2 c6d5 c2c8 f8d6 c8g8 f4g4
Wch U12,Bratislava,1993.??.??,6,"Kozlenkov, D.","Aronian, Levon",1-0,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d3 f5e4 d3e4 g8f6 b1c3 f8b4 d1e2 c6d4 f3d4 e5d4 a2a3 b4a5 b2b4 c7c6 b5d3 a5c7 c3d1 e8g8 e1g1 d7d5 e4e5 f6g4 f2f4 d8e7 c2c4 d4c3 d1c3 a7a5 a1b1 a5b4 a3b4 c7b6 g1h1 g4h2 e2h5 h2g4 d3h7 g8h8 h7g6 g4h6 f4f5 h8g8 c1h6 g7h6 f5f6 e7c7 h5h6 c8e6 f6f7 f8f7 g6f7 e6f7 e5e6 a8f8 h6f8 g8f8 f1f7 c7f7 e6f7 f8f7 g2g4 d5d4 c3e4 f7e6 e4c5 e6d5 g4g5 b6d8 g5g6 d8f6 c5b7 d4d3 h1g2 d5c4 b7c5 f6h8 c5e4
Wch U12,Bratislava,1993.??.??,7,"Aronian, Levon","Sitnick, Maxim",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 b1c3 e8g8 a2a3 d7d6 h2h3 c8e6 e1g1 f6e4 c3e4 d6d5 c4b5 d5e4 d3e4 c6d4 b5d3 e7d6 f3g5 e6d7 d3c4 h7h6 c2c3 h6g5 c3d4 e5d4 d1d4 b7b5 c4d5 d7h3 d4e3 h3e6 d5a8 d8a8 e4e5 d6e7 e3g3 g5g4 c1e3 a8e4 f1e1 e4c2 b2b4 c2d3 e3a7 d3g6 a7c5 e7c5 b4c5 f8d8 a1d1 d8d1 e1d1 g6c2 d1d8 g8h7 g3d3 c2d3 d8d3 c7c6 d3d6 h7g6 d6c6 g6f5 c6b6 f5e4 b6b5 e4d5 g1h2 d5c6 b5b6 c6c5 b6e6 f7e6 h2g3
Wch U12,Bratislava,1993.??.??,8,"Nur, Nawrose Farh","Aronian, Levon",0-1,,,B72,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1c4 f8g7 c1e3 e8g8 c4b3 f6g4 d1d2 g4e3 f2e3 b8c6 e1c1 c8d7 d1f1 c6e5 h2h3 a8c8 g2g4 h7h6 d2e2 g8h8 h1g1 e7e6 f1f2 d8a5 c1b1 a7a6 g1f1 b7b5 e2d2 h8g8 d4e2 a5b6 c3d1 a6a5 a2a3 b5b4 a3b4 a5b4 d2d4 b6a5 d4d6 c8a8 c2c3 d7b5 e2f4 b5f1 f2f1 b4c3 b2c3 f8b8 f1f2 b8b3 f2b2 b3b2 d1b2 a5a1 b1c2 a1b2
Wch U12,Bratislava,1993.??.??,9,"Aronian, Levon","Zabojlovich, A.",1-0,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 e7e6 g1f3 d7d6 f1c4 f8e7 d2d3 g8f6 e1g1 b7b6 d1e1 a7a6 a2a4 f6d7 c1e3 c8b7 a1d1 d8c7 f4f5 e6f5 c3d5 c7d8 e4f5 c6e5 f3e5 d6e5 e1g3 e8f8 d5e7 d8e7 d1e1 f7f6 c2c3 e7d6 d3d4 a8e8 d4c5 d7c5 e1d1 d6c7 c4d5 b7d5 d1d5 f8f7 a4a5 c5d7 f1d1 e8d8 g3g4 b6a5 g1h1 d7b8 d5d8 h8d8 d1d8 c7d8 g4c4 f7e8 c4g8 e8d7 g8e6 d7c7 e3b6
Wch U12,Bratislava,1993.??.??,10,"Shaposhnikov, Evgeny","Aronian, Levon",1-0,,,B55,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e5 f1b5 c8d7 b5d7 d8d7 d4f5 d6d5 c1g5 d5e4 g5f6 d7d1 e1d1 g7f6 f3e4 b8c6 c2c3 e8c8 d1e2 c6e7 f5e7 f8e7 b1d2 h8g8 g2g3 g8g4 a1d1 h7h5 h1g1 e7c5 g1g2 h5h4 e2f3 g4g6 g3g4 h4h3 g2g3 d8d3 f3e2 d3g3 h2g3 g6g4 e2f3 g4g8 d1h1 g8h8 f3g4 h8d8 d2b3 c5b6 g4h3 a7a5 a2a4 d8d3 h1f1 b6d8 f1e1 b7b6 h3g2 c8d7 g2f2 d7c6 e1g1 b6b5 f2e2 d3d6 a4b5 c6b5 g1d1 d6d1 e2d1 a5a4 b3d2 d8b6 d1c2 b6e3 g3g4 e3d2 c2d2 b5c4 d2c2 c4b5 b2b3 a4b3 c2b3 b5c5 c3c4 c5d4 b3b4 d4e4 c4c5 f6f5 g4f5 e4f5 b4b5 e5e4 c5c6 f5e6 b5b6 f7f5 c6c7 e6e5 c7c8q e4e3 b6c5 e5e4 c8e6 e4f4 c5d4 e3e2 e6e3
Wch U12,Bratislava,1993.??.??,11,"Horvath, Adam","Aronian, Levon",1-0,2110,,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 f1c4 b8c6 d1d2 c8d7 e1c1 a8c8 c4b3 c6e5 e3g5 e5c4 b3c4 c8c4 e4e5 d6e5 d4b3 c4c7 c3b5 d7f5 b5c7 d8c7 g2g4 f5e6 g5f6 e7f6 c1b1 e5e4 d2e2 e4f3 e2f3 f8c8 c2c3 c7c4 d1d4 c4c7 d4d3 f6f5 h2h3 e6d7 b3a5 d7e8 f3b7 c7b7 a5b7 e8c6 b7d6 c6h1 d6c8 h1e4 b1c2 g7e5 g4f5 e5f4 f5g6 h7g6 c8e7 g8g7 e7d5 f4g5 c3c4 g5c1 b2b4 g7f8 c4c5 e4d3 c2d3 f8e8 a2a4 e8d7 b4b5 c1g5 a4a5 g5d8 a5a6 d7c8 d3d4 f7f6 d5b4 f6f5 d4d5 f5f4 d5e4 d8e7 b4d3 g6g5 e4d5 c8c7 d3e5 e7f6 b5b6 a7b6 c5c6 c7b8 e5d7 b8a7 c6c7 a7a6 c7c8q
EU-ch U12,Herculane,1994.??.??,1,"Khalilov, E.","Aronian, Levon",0-1,,,A08,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 d2d3 e8g8 e1g1 d7d5 b1d2 c7c5 e2e4 b8c6 f1e1 b7b6 e4d5 f6d5 d2c4 d8c7 a1b1 c8b7 c4e3 d5f6 e3c4 f6d5 c4e3 d5e3 c1e3 c6d4 e3f4 c7c6 f3h4 c6d7 h4f3 f8e8 c2c3 d4f3 g2f3 e7e5 f4c1 b7f3 d1f3 a8d8 c1g5 f7f6 g5e3 d7d3 f3b7 d8d7 b7c6 d3d5 c6a4 e8d8 b1d1 d5e6 a2a3 h7h5 d1d7 e6d7 a4c2 g8f7 c2b3 f7e7 b3c2 d7d3
EU-ch U12,Herculane,1994.??.??,2,"Aronian, Levon","Mastrovasilis, Dimitrios",0-1,,,B80,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 b8c6 g2g3 d8c7 f1g2 g8f6 e1g1 d7d6 c1f4 c6d4 d1d4 e6e5 d4a4 c8d7 a4b3 e5f4 g3f4 d7e6 b3a4 c7d7 a4d4 e6h3 e4e5 d7g4
EU-ch U12,Herculane,1994.??.??,3,"Kobylkin, Y.","Aronian, Levon",0-1,,,D86,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 b8c6 c1e3 e7e5 a1c1 d8e7 f2f3 f8d8 d4d5 c6a5 c4d3 c7c6 d1a4 b7b6 a4b4 e7h4 e3f2 h4g5 e1g1 g7f8 b4a4 c6d5 e4d5 d8d5 c1d1 c8d7 a4c2 a8d8 e2g3 g5f4 g3e4 d7c6 f2g3 f4f5 g3h4 d5d3 h4d8 c6e4 f3e4 d3d1 f1d1 f5f4 c2d3 f4g4 d1f1 g4e6 d3d5 f8c5 g1h1 e6d5 e4d5 a5c4 d8c7 f7f5 f1d1 c4d6 c7d6 c5d6 h1g1 g8f7 g1f2 d6c5 f2e2 f7e7 c3c4 e7d6 h2h3 e5e4 g2g3 g6g5 h3h4 g5h4 g3h4 f5f4 h4h5 f4f3 e2e1 e4e3 d1b1 a7a5 a2a3 c5a3 b1b6 d6c5
EU-ch U12,Herculane,1994.??.??,4,"Aronian, Levon","Hrusciov, Alexei",1-0,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c7c6 d1d2 h7h6 g5h4 c8f5 f2f3 f5h7 e1c1 b8d7 d2e1 b7b5 e2e4 b5b4 c3b1 d5e4 e1b4 f6d5 b4e1 f7f5 g2g4 g7g5 g4f5 g5h4 f3e4 d5b6 e1h4 d8c7 h4h5 e8d8 e4e5 b6d5 f1h3 c7a5 g1e2 d5b4 b1c3 b4a2 c3a2 a5a2 e2c3 a8b8 c3a2
EU-ch U12,Herculane,1994.??.??,5,"Shinkevich, Vitaly","Aronian, Levon",1/2-1/2,,,A05,g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 c7c5 d2d4 c5d4 f3d4 b8c6 e1g1 d7d5 b1d2 d8b6 d4c6 b7c6 c2c4 f8d8 c4d5 c6d5 d2f3 c8f5 f3d4 f5e4 a1c1 e4g2 g1g2 d8c8 e2e3 b6a6 d1e2 a6e2 d4e2 f6e4 b2g7 g8g7 f2f3 e4d6 g2f2 g7f6 f1d1 e7e6 f2e1 h7h5 e1d2 g6g5
EU-ch U12,Herculane,1994.??.??,6,"Aronian, Levon","Shavtvaladze, Nikoloz",0-1,,,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 a2a4 a7a6 b5d7 d8d7 e1g1 g8f6 f1e1 b8c6 b1a3 e7e6 a3c4 d7c7 a4a5 f8e7 c2c3 e8g8 d2d4 c5d4 c3d4 d6d5 c4b6 a8d8 e4e5 f6d7 b6d7 d8d7 c1d2 f8c8 d1a4 c7d8 e1c1 d7c7 a4d1 c6a7 h2h4 a7b5 g2g3 c7c4 b2b3 c4c6 g1g2 b5c3 d1e1 c3e4 c1c6 c8c6 d2b4 c6c2 b4e7 d8e7 a1c1 e7c7 c1c2 c7c2 e1e3 c2a2 f3g5 a2a5 e3c1 a5c3 c1f4 e4g5 f4g5 h7h6 g5d8 g8h7 d8b6 c3c6 b6d8 c6c2 d8b6 c2e4 g2g1 e4e1 g1g2 e1e4
EU-ch U12,Herculane,1994.??.??,7,"Szabo, Gergely","Aronian, Levon",0-1,2030,,B22,e2e4 c7c5 c2c3 d7d6 d2d4 g8f6 f1d3 b8c6 g1f3 c5d4 c3d4 c8g4 c1e3 d6d5 e4e5 f6d7 e1g1 e7e6 h2h3 g4h5 b1c3 f8e7 a1c1 e8g8 g2g4 h5g6 d3g6 f7g6 f3h2 g6g5 d1d2 f8f7 f2f4 g5f4 e3f4 c6d4 c3d5 e7c5 f4e3 f7f1 c1f1 d7e5 b2b4 d8d5 b4c5 e5f3 h2f3 d4f3 f1f3 d5f3 g1h2 a8f8 a2a4 a7a5 d2e1 f3e4 e1c3 f8f3
EU-ch U12,Herculane,1994.??.??,8,"Raceanu, Valentin","Aronian, Levon",0-1,,,D76,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 g2g3 e8g8 f1g2 d7d5 c4d5 f6d5 e1g1 b8c6 b1c3 d5b6 d4d5 c6a5 d1c2 c7c6 d5c6 a5c6 f1d1 d8c7 c3b5 c7b8 c1f4 e7e5 f4e3 c8f5 c2c5 f8c8 b5d6 g7f8 f3g5 c8c7 c5b5 f5c2 e3b6 a7b6 d1d2 c6d4 b5e5 f8g7 e5d5 a8a5 d2d4 a5d5 d4d5 g7b2 a1f1 c2a4 d6f7 c7f7 g5f7 g8f7 f1b1 b8c7 d5d2 b2a3 g2d5 f7f6 d5b3 a4b3 a2b3 c7c3 d2d1 c3c2 e2e3 f6g5 g1f1 a3c5 f1g2 c2e4 g2g1 g5g4 h2h4 g4h3 g1f1 e4f3 d1e1 c5e3 b1b2 f3g2 f1e2 g2f2
EU-ch U12,Herculane,1994.??.??,9,"Aronian, Levon","Geanta, Horia",1-0,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5b4 c3b5 b8c6 d1g4 e8f8 c1d2 f7f5 g4g3 g8e7 g3b3 a5b6 g1f3 a7a6 a3b4 a8b8 b5d6 c6d4 f3d4 b6d4 d2c3 d8b6 e1c1 d4c3 b3c3 c8d7 g2g4 e7c8 g4f5 c8d6 e5d6 b6d6 f5e6 d7e6 h1g1 h8g8 c3f3 e6f7 f1c4 d6f6 c4d5 f6f3 d5f3 f7e6 g1e1 f8f7 d1d6 g8e8 d6b6 e8e7 e1e6 e7e6 f3d5 b8e8 b6b7 f7f6 d5e6 e8e6 c1d2 e6c6 d2d3 h7h5 c2c4 g7g6 c4c5 f6e6 d3c4 e6e5 h2h3 c6f6 b7e7 e5f4
Wch U12 Disney,Paris,1994.??.??,4,"Aronian, Levon","De Bortoli, Peter",1-0,1995,1995,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3 e7e6 e2e4 d5e4 f3e4 f8b4 e4f5 e8g8 g1f3 e6f5 f1e2 h7h6 g5f6 d8f6 e1g1 b4c3 b2c3 b8d7 a1b1 b7b6 e2d3 f5f4 d1d2 g7g5 b1e1 f6g7 h2h4 g5g4 d2f4 g4f3 f1f3 g8h8 f3g3 g7f6 f4e4
Wch U12 Disney,Paris,1994.??.??,5,"Mamedov, Chingiz","Aronian, Levon",0-1,1995,1995,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 e1c1 a8c8 c4b3 c6e5 h2h4 h7h5 e3h6 e5c4 b3c4 c8c4 h6g7 g8g7 g2g4 h5g4 h4h5 f8h8 h5g6 f7g6 f3f4 e7e5 f4e5 d6e5 d4b3 d8e8 h1h8 e8h8 d2d3 b7b5 c3d5 d7e6 d5f6 g7f6 d3d6 h8h6 c1b1 h6f4 b3c5 c4c5 d6c5 g4g3 c5f8 f6g5 f8e7 f4f6 e7f6 g5f6 d1g1 g6g5 g1g3 g5g4 b1c1 f6g5 c1d2 g5f4 g3g1 g4g3 d2e2 e6g4 e2e1 g4f3 b2b3 b5b4 e1d2 g3g2 d2d3 f3e4 d3e2 f4g3 e2e3 e4c2 g1c1 c2f5
