Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World op,Philadelphia,1988.??.??,?,"Tempone, Marcelo","Ashley, Maurice",0-1,2450,2280,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 c7c5 d4d5 e6d5 c4d5 e8g8 g1h3 f8e8 h3f2 e8e5 c1d2 b4c3 d2c3 e5d5 d1b3 d5d6 e2e4 b8c6 b3c4 d8e7 f2d3 b7b6 e1c1 d6e6 d3f4 c6e5 c4a4 e6d6 f4d5 f6d5 e4d5 e5g6 c1b1 c8b7 f1a6 b7a6 a4a6 e7g5 a6b7 a8e8 b1a1 g5g2 h1e1 e8e1 d1e1 g6f8 a2a3 g2f3 b7b8 d6d5 a1a2 d5d3 c3e5 f3d5 a2a1 f7f6 e5g3 d3d1 e1d1 d5d1 a1a2 d1d5 a2a1 g8f7 b8a7 d5c6 g3c7 b6b5 a7b8 d7d5
World op,Philadelphia,1988.??.??,?,"Wolff, Patrick G","Ashley, Maurice",1/2-1/2,2530,2280,B89,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 b8c6 f1c4 e7e6 c1e3 f8e7 d1e2 c8d7 e1c1 e8g8 f2f4 a8c8 d4c6 d7c6 e4e5 f6e4 e3d4 d8c7 c1b1 d6e5 d4e5 e4c3 e5c3 c7f4 d1d4 f4c7 d4g4 g7g6 e2e3 c6d5 c4d5 e6d5 e3d4 f7f6 d4d5 f8f7 h2h4 c8d8 d5e6 c7d7 e6e2 d8e8 h4h5 g6g5 g4e4 e8d8 a2a3 e7f8 g2g4 d7c6 h1h3 d8d1 e2d1 c6e4 h3h1 e4c6 h1f1 f8a3 f1f6 f7f6 c3f6 c6f6 d1d5 f6f7 d5g5 f7g7
World op,Philadelphia,1988.??.??,?,"De Firmian, Nick E","Ashley, Maurice",1-0,2515,2280,B89,e2e4 c7c5 g1f3 d7d6 b1c3 b8c6 d2d4 c5d4 f3d4 g8f6 f1c4 e7e6 c1e3 f8e7 d1e2 e8g8 e1c1 c8d7 c4b3 a8c8 h1g1 c6a5 f2f3 a5b3 a2b3 e6e5 d4b5 d8a5 c1b1 d6d5 c3d5 f6d5 d1d5 d7c6 b5a7 c6d5 a7c8 f8c8 e4d5 a5d5 g1d1 d5e6 e2d3 h7h6 d3e4 e6a6 e3c1 e7d6 e4d3 a6c6 c2c3 d6f8 d3e4 c6b6 b1c2 c8c7 c1e3 b6a6 e3f2 a6e6 d1d8 e6e7 e4d5 c7c6 b3b4 c6d6 d8d6 e7d6 d5d6 f8d6 c2d3 f7f5 d3c4 g8f7 c4d5 d6c7 f2g3 f7f6 c3c4 g7g5 c4c5 h6h5 b4b5 h5h4 g3f2 f6e7 b5b6 c7b8 h2h3 e7d7 b2b4
World op,Philadelphia,1988.??.??,?,"Ashley, Maurice","Lane, Gary W",1-0,2280,2395,A13,c2c4 e7e6 g1f3 g8f6 g2g3 b7b6 f1g2 c8a6 b2b3 c7c6 e1g1 f8e7 c1b2 e8g8 d2d4 d7d5 b1d2 b8d7 f1e1 c6c5 c4d5 e6d5 f3e5 a6b7 d2f3 d7e5 f3e5 a8c8 a1c1 c5d4 d1d4 e7c5 d4f4 c5d6 f4f5 d8e7 e5g4 f6g4 f5g4 f7f6 g2d5 g8h8 d5b7 e7b7 c1d1 f6f5 g4g7 b7g7 b2g7 h8g7 d1d6 c8c2 a2a4 c2b2 d6d3 f8e8 d3d7 g7g6 d7a7 b2b3 e1d1 f5f4 d1d6 g6f5 a7f7 f5e5 d6d7 f4g3 h2g3 h7h5 f7h7
World op,Philadelphia,1988.??.??,?,"Ashley, Maurice","Benko, Pal C",1/2-1/2,2280,2425,A21,c2c4 e7e5 b1c3 f8b4 d1c2 g8f6 g1f3 d8e7 a2a3 b4c3 c2c3 d7d6 d2d3 e8g8 b2b4 e5e4 d3e4 f6e4 c3b2 a7a5 e2e3 b8c6 b4b5 c6e5 f1e2 f7f6 e1g1 c8e6 b2c2 e4c5 f3d4 e6f7 e3e4 f7g6 f2f3 f8e8 c1b2 e5d7 f1e1 d7b6 a1d1 e7f7 e2f1 e8e7 c2c1 h7h6 e1e3 a8e8 d1e1 a5a4 c1c3 g8h7 c3c1 h7g8 g1f2 g8h7 c1c2 h7h8 c2c1 h8h7
World op,Philadelphia,1988.??.??,?,"Rizzitano, James","Ashley, Maurice",0-1,2435,2280,B88,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 b8c6 f1c4 e7e6 c1e3 f8e7 e1g1 a7a6 c4b3 d8c7 f2f4 c6a5 d1d3 b7b5 f4f5 e6e5 d4e2 c8b7 c3d5 f6d5 b3d5 b7d5 d3d5 a8c8 b2b3 e8g8 a1c1 e7f6 g2g4 c7d8 d5d2 h7h6 e2c3 a5b7 c3d5 b7c5 d2g2 f6g5 c1e1 c5d7 e3g5 h6g5 f1f2 d7f6 d5e3 c8c3 e3d1 c3c5 f2d2 d6d5 e4d5 c5d5 d2d5 f6d5 d1f2 d5f4 g2e4 d8b6 g1f1 f8c8 e1d1 b6c5 d1d2 c5c3 e4e1 b5b4 f1g1 e5e4 f2e4 c3f3 e4g5 f3g4
US op,Chicago,1989.??.??,1,"Cronin, M.","Ashley, Maurice",1/2-1/2,,2415,A49,d2d4 g8f6 g1f3 g7g6 g2g3 b7b5 f1g2 c8b7 e1g1 f8g7 c2c4 b5c4 d1a4 e8g8 a4c4 f6e4 c4c2 d8c8 b1d2 e4d2 c1d2 b8a6 a1c1 a8b8 b2b4 b7c6 a2a3 c8b7 d2e3 b8c8 f1d1 c6d5 f3e1 d5g2 e1g2 c7c6 g2f4 a6c7 c2c5 f8e8 d4d5 c6d5
US op,Chicago,1989.??.??,5,"Hove, James B","Ashley, Maurice",1/2-1/2,,2415,B66,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5f4 c8d7 d4c6 d7c6 d2e1 d8a5 f2f3 e8c8 e1f2 d6d5 f4e3 f8a3 e3d4 e6e5 d4e5 d5e4 e5d4 h8e8 f3e4 f6e4 c3e4 e8e4 c2c3 a3e7 f1c4 e4f4 f2e2 e7g5 c1b1 d8e8 e2c2 f4g4 h1g1 g5e3 d4e3 g4c4 c2d2 c4e4 g1e1 a5h5 h2h3 h5g6 b1a1 g6e6 e3f2 e4e1
US op,Chicago,1989.??.??,6,"Ashley, Maurice","Allan, Denis",0-1,2415,2285,A33,c2c4 g8f6 b1c3 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 g2g3 f8c5 e2e3 e8g8 f1g2 d7d5 c4d5 e6d5 e1g1 c8g4 d1a4 d8d7 d4c6 b7c6 e3e4 g4h3 e4e5 h3g2 g1g2 f6g4 c1f4 f7f6 e5f6 f8f6 a1d1 d7f5 f2f3 g4h2 g2h2 g7g5 f4g5 f5g5 c3e2 a8e8 e2f4 g5h6 h2g2 f6f4
US op,Chicago,1989.??.??,8,"Ashley, Maurice","Cobert, P.",1-0,2415,,A21,c2c4 e7e5 b1c3 d7d6 g1f3 g7g6 d2d4 b8d7 b2b3 f8g7 c1b2 g8e7 h2h4 h7h5 e2e4 e8g8 d1d2 e5d4 f3d4 d7e5 f1e2 e7c6 d4c2 c8e6 c2e3 c6d4 f2f4 d4e2 d2e2 e6g4 e2d2 e5c6 e3g4 h5g4 h4h5 g6g5 h5h6 g7c3 b2c3 f7f6 d2d5 g8h8 d5g5 d8e7 e1c1 f8f7 g5g4 a7a5 g4f5 e7f8 g2g4 c6e7 f5h5 h8h7 d1g1 e7g6 g4g5 f6f5 c3f6 f7f6 g5f6 f8f6 c1b1 f5e4 f4f5 g6e5 h5g5 f6g5 g1g5 a8f8 g5g7 h7h8 g7c7 f8f5 h6h7
