Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Belfort op,Belfort,1992.??.??,2,"Bacrot, Etienne","Lecuyer, Christian",0-1,,2260,E25,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 f6d5 d4c5 d8a5 e2e4 d5e7 c1e3 e8g8 d1b3 a5c7 g1h3 e7c6 h3f2 c6a5 b3c2 e6e5 f1e2 c8e6 e1g1 b8d7 f2d3 a5b3 a1b1 b3c5 f1d1 f8c8 d3b4 a7a6 c3c4 c7a5 c2a2 b7b5 b4d5 e6d5 d1d5 a8b8 c4b5 a6b5 a2a1 b8b7 h2h3 h7h6 g1h2 g8h7 e3c5 c8c5 d5c5 d7c5 a1e5 a5a3 b1b5 b7b5 e2b5 c5e6 b5c4 a3e7 f3f4 h7g8 c4e6 f7e6 f4f5 g8f7 e5e6 e7e6 f5e6 f7e6 h2g3 e6e5 g3f3 g7g5 f3e3 h6h5 g2g3 h5h4 g3h4 g5h4 e3f3
Belfort op,Belfort,1992.??.??,5,"Bacrot, Etienne","Zawadski, Stephane",1/2-1/2,,2235,D94,d2d4 d7d5 c2c4 c7c6 e2e3 g8f6 b1c3 g7g6 f1d3 f8g7 g1f3 e8g8 e1g1 c8f5 d3f5 g6f5 c4d5 f6d5 d1b3 d5b6 c1d2 b8d7 f1e1 d7f6 a1d1 d8c7 b3c2 e7e6 e3e4 f5e4 c3e4 b6d5 f3g5 a8d8 e1e3 h7h6 e4f6 d5f6 g5e4 c7f4 e4f6 f4f6 d2c3 d8d5 e3g3 g8h8 d1d3 f6f5 c2d1 f8g8 d3f3 f5h5 g3h3 h5g6 h3g3 g6h5 g3h3 h5g6 h3g3 g6g3
Belfort op,Belfort,1992.??.??,7,"Bacrot, Etienne","Stefanski, Pascal",1-0,,,E90,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 e8g8 c1e3 e7e5 g1f3 b8d7 d4e5 d6e5 f1e2 c7c6 e1g1 d8e7 d1c2 f6h5 f1d1 h5f4 e2f1 f7f5 e4f5 f8f5 f3d2 d7f6 g2g3 f6e8 d2e4 f4e6 c4c5 e6d4 e3d4 e5d4 c3e2 f5d5 e2f4 c8f5 f4d5 c6d5 c2b3 f5e4 d1e1 e7f7 e1e4
Belfort op,Belfort,1992.??.??,8,"Pachow, Joerg","Bacrot, Etienne",1-0,2240,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 d2d4 b8c6 f1b5 f6d5 c1d2 d5c3 b5c6 b7c6 d2c3 a5d5 e1g1 c8g4 f1e1 g4f3 d1f3 d5f3 g2f3 e8c8 c3b4 e7e6 b4f8 h8f8 e1e4 d8d5 c2c3 f8d8 a1e1 a7a6 g1g2 d8d7 e4e5 d5e5 e1e5 d7d5 f3f4 c8d7 g2f3 d7d6 f3e3 f7f6 e5d5 c6d5 e3d3 g7g5 f4g5 f6g5 b2b4 e6e5 d4e5 d6e5 c3c4 d5c4 d3c4 e5f4 b4b5 a6b5 c4b5 f4f3 a2a4
Wch U10,Duisburg,1992.??.??,1,"Bacrot, Etienne","Mastrovasilis, Dimitrios",1-0,,,E85,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 b8c6 d4d5 c6e7 d1c2 a7a6 g2g4 a8b8 e2g3 c8d7 f1d3 b7b5 c4c5 b5b4 c3e2 d6c5 e3c5 d7b5 d3b5 b8b5 c5b4 f6e8 b4c3 e8d6 b2b3 d8c8 a1c1 g8h8 c2b2 f7f6 c3d2 f8g8 b2c2 b5b7 c2d3 c8a8 d2a5 a8a7 a5d2 g8f8 d2e3 a7b8 e2c3 f6f5 g4f5 g6f5 g3h5 f5f4 h5g7 f4e3 g7e6 f8f3 d3e2 f3h3 e2g2 e7g6 g2h3 g6f4 e6f4 e5f4 e1g1 b8g8 h3g2 g8f7 c3e2
Wch U10,Duisburg,1992.??.??,2,"Kuliev, S.","Bacrot, Etienne",0-1,,,A87,d2d4 f7f5 c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 b1c3 d8e8 c1f4 c7c6 d4d5 b8a6 f3d4 c8d7 e2e4 f5e4 c3e4 f6e4 g2e4 a6c5 e4g2 c5a4 d1a4 g7d4 a4c2 e7e5 a1e1 e8d8 f4h6 f8f7 b2b4 c6c5 a2a3 a8c8 b4b5 d8a5 g2e4 f7f2 c2f2 d4f2 g1f2 a5c3 e1c1 c3d4 f2f3 g6g5 g3g4 d4d2 c1e1 d2f4 f3g2 f4g4 g2h1 g4h4 f1f6 h4e1
Wch U10,Duisburg,1992.??.??,3,"Bacrot, Etienne","McShane, Luke J",0-1,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 c7c5 d4c5 d6c5 e3c5 b8c6 d1d8 f8d8 g1e2 f6d7 c5a3 d7e5 e2f4 e7e6 a1d1 d8d1 e1d1 b7b6 c3b5 c8a6 d1c2 a8c8 c2b1 g7h6 f4h3 a6b5 c4b5 c6d4 b2b3 h6e3 f3f4 e5g4 f1c4 g4f6 a3b4 a7a5 b5a6 d4c6 h1e1 e3f4 h3f4 c6b4 f4e6 b6b5 a6a7 c8a8 e6c7 a8a7 c7b5 a7a2 e4e5 f6h5 b5d6 a2g2 c4f7 g8f8 e5e6 b4d5 e1e5 h5f6 b3b4 d5c3 b1c1 f6d5 b4b5 d5b4 e6e7 f8g7
Wch U10,Duisburg,1992.??.??,4,"Metreveli, S.","Bacrot, Etienne",0-1,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 d2d4 b8c6 f1b5 f6d5 c1d2 d5c3 b5c6 b7c6 d2c3 a5d5 e1g1 c8g4 f1e1 g4f3 d1f3 d5f3 g2f3 e7e6 f3f4 e8c8 e1e5 d8d5 e5d5 c6d5 c3d2 f8d6 a1e1 c8d7 b2b3 h8b8 g1g2 b8b6 g2f3 h7h5 e1g1 g7g6 a2a4 d7e7 f3e2 e7d7 h2h3 c7c5 d4c5 d6c5 d2e3 d7d6 e3c5 d6c5 e2d3 b6b4 d3e3 b4e4 e3f3 c5b4 g1a1 b4c3 a1a2 a7a5 f3g3 f7f6 g3f3 g6g5 f4g5 f6g5 f3g3 e4e1 g3f3 e6e5 f3g3 d5d4 g3f3 e5e4 f3g3 d4d3 c2d3 e4d3
Wch U10,Duisburg,1992.??.??,5,"Bacrot, Etienne","Vallejo Pons, Francisco",1/2-1/2,,,A89,d2d4 f7f5 g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 c2c4 e8g8 e1g1 d7d6 b1c3 b8c6 d4d5 c6e5 f3e5 d6e5 e2e4 f5f4 b2b3 g6g5 d1e2 a7a6 c1d2 d8e8 a1c1 e8g6 c4c5 g6h6 f2f3 f4g3 h2g3 f6h5 e2f2 h6g6 d2e3 g5g4 f3f4 e5f4 g3f4 g4g3 f2d2 h5f6 e4e5 f6g4 f1f3 g4h2 d5d6 h2f3 g2f3 c7d6 c3d5 f8f7 c5d6 c8g4 f3g4 g6g4 d5e7 g8h8 d6d7 f7f8 c1c8 a8c8 d7c8q f8c8 e7c8 g4c8 g1g2 h7h5 g2g3 c8g4 g3h2 g4h4 h2g1 h4g3 g1f1 g3f3 d2f2 f3h1 f1e2 h1b1 e2f3 b1f5 f3e2 h8h7 f2f3 b7b5 e3d2 h5h4 d2e1 h4h3 e2f2 g7h6 f3b7 h7g6 b7c6 g6h5 c6f3 h5g6 f3c6 g6h7 c6b7 h6g7 b7f3 h3h2 f2g2
Wch U10,Duisburg,1992.??.??,6,"Geanta, Horia","Bacrot, Etienne",0-1,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 b8c6 f1b5 f6d5 c1d2 d5c3 b5c6 b7c6 d2c3 a5d5 e1g1 c8g4 c3b4 g4f3 g2f3 e8c8 b4c5 e7e6 c5a7 d5a5 b2b4 a5a7 c2c3 f8d6 d1b3 a7b6 a2a4 d8d7 f1e1 d7e7 e1e4 h8e8 e4h4 c6c5 c3c4 c5d4 a1b1 d4d3 c4c5
