Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-FL,Kharkov,1985.??.??,?,"Psakhis, Lev","Bareev, Evgeny",0-1,2540,2310,A57,d2d4 g8f6 g1f3 c7c5 d4d5 b7b5 c2c4 c8b7 a2a4 b5b4 c1g5 d7d6 b1d2 b8d7 e2e4 h7h6 g5f6 d7f6 g2g3 d8c7 f1h3 b7c8 h3c8 a8c8 e1g1 g7g6 f3e1 h6h5 f2f4 f8g7 d1e2 f6g4 d2f3 g7d4 f3d4 c5d4 b2b3 g4e3 f1f3 h5h4 e2b2 e3c4 g1g2 f7f5 f3d3 h4g3 h2g3 a7a5 a1d1 e8d7 b2e2 h8h5 e1f3 c8h8 b3c4 c7c4 f3h4 f5e4 e2g4 d7d8 d3d4 c4c2 d1d2 c2c3 d2d1 b4b3 d4e4 b3b2 g4e2 h5d5 h4f3 c3c1 f3d2 d5d2 e2d2 c1d2 d1d2 b2b1q
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Eingorn, Vereslav S",1/2-1/2,2310,2530,E48,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1e2 d7d5 c4d5 f6d5 e1g1 c5d4 e3d4 e8g8 c3d5 e6d5 e2f4 b4d6 f1e1 c6e7 d1f3 e7g6 f4g6 h7g6 c1f4 d6f4 f3f4 f8e8 e1e8 d8e8 f4c7 b7b6 a1c1 c8e6 d3a6 e8a4 c7c6 a4c6 c1c6 a8d8 c6c7 d8d7 c7c8 g8h7 h2h4 d7e7 c8c1 h7h6 f2f3 g6g5 h4g5 h6g5 g2g3 g5f6 g1f2 g7g5 g3g4 e7e8 f2g3 e8e7 a6b5 f6g7 f3f4 g5f4 g3f4 f7f6 b5e2 g7f7 e2d3 f7g7 d3e2 g7f8 e2f3 f8e8 c1h1 e7g7 h1h8 e8e7 h8h6 e6f7 b2b4
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Gurgenidze, Bukhuti",1-0,2310,2455,E33,d2d4 g8f6 c2c4 e7e6 g1f3 b8c6 b1c3 f8b4 d1c2 d7d5 c1g5 h7h6 g5f6 d8f6 a2a3 b4c3 c2c3 e8g8 e2e3 f8e8 f1e2 d5c4 c3c4 e6e5 d4d5 c6e7 a1d1 c7c6 d5d6 e7d5 e3e4 d5b6 c4b4 f6g6 e1g1 c8h3 f3e1 a8d8 a3a4 h3c8 d1d2 e8e6 a4a5 b6d7 e2c4 e6f6 e1d3 g6g5 f1d1 b7b6 d3e1 h6h5 c4f1 h5h4 a5b6 a7b6 b4a4 c6c5 a4c6 f6g6 b2b3 g5f6 c6c7 d8f8 f1c4 f6f4 c4b5 d7f6 d6d7 c8d7 b5d7 f6e4 d2c2 g6g5 d7h3 f4f6 d1d3
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Lerner, Konstantin Z",1/2-1/2,2310,2510,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1c2 d5c3 c2c3 f8e7 c1f4 c7c6 f4e5 e8g8 d4d5 e7f6 e5f6 d8f6 c3f6 g7f6 d5e6 f7e6 f3d4 g8f7 e2e3 f7e7 f1c4 b7c8 e1c1 c6c5 d4e2 c8a6 c4a6 b8a6 d1d3 a8d8 d3c3 f8g8 g2g3 b6b5 c3c2 d8d3 c2d2 d3d2 c1d2 g8d8 d2c2 a6c7 e2c3 c5c4 h1d1 d8d1 c2d1 f6f5 h2h3 a7a5 g3g4 b5b4 a3b4 a5b4 c3b1 c7b5 b1d2 b5d6 f2f4 c4c3
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Lputian, Smbat G",1-0,2310,2550,D34,d2d4 e7e6 c2c4 d7d5 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c1g5 c5c4 f3e5 c8e6 e5c6 b7c6 b2b3 d8a5 d1c2 e7b4 g5d2 c6c5 a2a3 c4b3 c2b2 b4c3 d2c3 a5a4 d4c5 f8c8 c3d4 f6d7 a1c1 f7f6 f1d1 a8b8 d1d3 c8c7 h2h4 e6f7 c1c3 b8e8 g2f3 h7h5 c3b3 d7c5 d4c5 c7c5 b3b7 a4a5 b2b4 e8c8 b4a5 c5a5 d3e3 c8e8 e3c3 g7g6 c3c7 e8f8 e2e3 a7a6 c7d7 f6f5 b7c7 a5b5 g1g2 b5a5 a3a4 d5d4 e3d4 f5f4 g3f4 a5f5
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Novikov, Igor A",1-0,2310,2465,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1c2 d5c3 c2c3 b8d7 c1g5 d7f6 e2e3 a8c8 c3c2 d8d5 c2a4 b7c6 a4a6 c6b7 f1b5 f6d7 a6a4 a7a6 b5a6 b7a6 a4a6 c8a8 a6d3 d7c5 d3c2 c5e4 e1g1 f8d6 g5f4 d6f4 e3f4 a8c8 f1e1 e4d6 a1c1 e8g8 e1e5 d5b7 f3g5 g7g6 c2b3 h7h6 g5f3 f8d8 g2g4 g8g7 h2h4 d6e8 f4f5 e6f5 g4f5 g6f5 g1h2 e8f6 e5f5 b7e4 c1g1 f6g4 g1g4 e4g4 b3f7 g7h8 f7e6 g4g7 f5f6
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Ubilava, Elizbar",1-0,2310,2485,D37,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 c1f4 g8f6 e2e3 e8g8 g1f3 c7c5 d4c5 e7c5 a2a3 b8c6 f1e2 a7a6 d1c2 d5c4 e2c4 c8d7 e1g1 a8c8 f1d1 c5e7 c4d3 h7h6 e3e4 f6h5 f4e3 e6e5 c2e2 h5f6 c3d5 d8e8 a1c1 d7g4 h2h3 g4f3 e2f3 f6d7 f3g4 g8h7 d3a6 f7f5 e4f5 b7a6 g4g6 e8g6 f5g6 h7h8 d5e7 c6e7 c1c8 f8c8 d1d7 e7g6 d7d6 g6f4 d6a6 f4d5 b2b4 c8c3 e3c5 d5f4 a6a5 f4d3 c5e3 c3b3 b4b5 d3b2 a3a4 b2c4 a5a8 h8h7 e3c5 b3b1 g1h2 c4d2 h3h4 g7g5 h4g5 h6g5 c5e3 d2f1 h2h3 f1e3 f2e3 h7g6 e3e4 g6h5 a8h8 h5g6 h8b8
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Yakovich, Yuri",0-1,2310,2390,A07,g1f3 d7d5 g2g3 g8f6 f1g2 c8f5 d2d3 e7e6 b1d2 h7h6 b2b3 f8e7 c1b2 e8g8 f3e5 f5h7 e2e4 a7a5 a2a4 d5e4 d3e4 e7b4 c2c3 b4d6 e5c4 d6e7 e1g1 b8d7 d1e2 d7c5 b2a3 d8b8 f1d1 f8d8 c4b2 e7f8 a3c5 f8c5 b2d3 c5f8 g2f1 c7c6 f2f3 g7g5 e2e3 b7b5 d3f2 b8e5 f3f4 e5c5 e3f3 d8d2 d1d2 f6e4 d2d7 e4f2 f3f2 c5c3 f2e1 c3b3 f4g5 h6g5 f1g2 b5a4 g2e4 f8c5 g1h1 h7f5 e4g2 a4a3 e1c1 c5f8 c1g5 f8g7 a1d1 f5g6 g2c6 a8b8 d7d8 g7f8 d8d4 f8g7 d4d8 b8d8 d1d8 g8h7 g5h4 g7h6 c6e4 h7g7 h4g4 b3c4
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Zaichik, Gennadi",1-0,2310,2485,E90,d2d4 g8f6 c2c4 c7c5 d4d5 g7g6 b1c3 f8g7 e2e4 d7d6 f1d3 e8g8 g1f3 e7e5 g2g3 b8d7 f3h4 f6h5 h4g2 d7f6 h2h3 f6e8 d3e2 h5f6 d1c2 e8c7 g3g4 a7a6 a2a4 a6a5 c1g5 c7a6 c2d2 a6b4 e1c1 d8d7 f2f3 f6e8 d1g1 b7b6 h3h4 f7f5 g4f5 g6f5 h4h5 g8h8 g2h4 f5f4 e2f1 f8f7 f1h3 d7h3 h1h3 c8h3 d2h2 h3d7 h4g6 h8g8 h5h6 h7g6 h6g7 e8g7 h2h6 b4d3 c1d2 d3b2 g1h1 f7f8 h6h7 g8f7 h1h6
URS-FL,Kharkov,1985.??.??,?,"Chekhov, Valery A","Bareev, Evgeny",1-0,2495,2310,E14,g1f3 g8f6 c2c4 c7c5 b1c3 b7b6 e2e3 e7e6 d2d4 c5d4 e3d4 d7d6 f1d3 f8e7 e1g1 e8g8 f1e1 c8b7 d4d5 e6e5 a2a3 a7a5 a1b1 f6e8 d1c2 g7g6 c1h6 e8g7 b2b4 b8d7 c2e2 b7a6 b1c1 a8c8 c3a4 f8e8 b4a5 b6a5 c4c5 a6d3 e2d3 d7c5 a4c5 c8c5 c1c5 d6c5 h6g7 g8g7 e1e5 e7f6 e5e8 d8e8 d3c4 e8e7 g2g3 h7h5 h2h4 e7d6 g1f1 g7g8 f3d2 f6b2 d2e4 d6e5 d5d6 g8f8 d6d7 f8e7 e4c5 b2d4 c5b7 e7d7 b7a5 e5f6 c4b5 d7e6 b5c6 e6e7 c6f6 d4f6 a5c4 e7e6 f2f4 f6e7 a3a4 f7f6 a4a5 e7c5 a5a6 e6d7 f1e2 d7c6 c4d2 c6b6 d2e4 c5e7 e2d3 f6f5 e4d2 e7c5 d2f3 b6a6 d3c4 c5f2 f3e5 a6b6 c4d5 f2g3 e5g6 g3e1 d5e6 b6c5 e6f5 c5d5 f5f6 e1d2 f4f5 d5d6 f6f7 d2c3 f5f6 c3d4 g6e7 d4c3 f7g6 d6d7 e7d5
