Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
CUB-ch,Holguin,1991.??.??,1,"Becerra Rivero, Julio","Borges Mateos, Juan",0-1,2310,2385,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 f8e7 g4g5 f6d7 h2h4 d7b6 c1e3 e8g8 f1d3 d6d5 e4e5 b8c6 d4c6 b7c6 d1h5 g7g6 h5g4 b6d7 f2f4 f8e8 h4h5 d7f8 g4h4 e7b4 h5g6 f7g6 d3g6 e8e7 g6d3 e7g7 a2a3 b4e7 c3e2 c6c5 c2c3 a8b8 a1b1 d5d4 c3d4 b8b3 e2c1 b3d3 c1d3 c5d4 e3d2 d8d5 e1g1 c8b7 h4h3 h7h6 d3b4 d5d7 f1f2 a7a5 b4d3 h6g5 f4g5 g7h7 h3h7 f8h7 g5g6 h7f8 d3f4 d4d3 b1c1 e7d8 d2e3 d7g7 f2h2 g7e5 g1f2 d3d2 e3d2 d8b6 f2g3 e5g5 g3h3
CUB-ch,Holguin,1991.??.??,2,"Velez, Nestor","Becerra Rivero, Julio",1/2-1/2,2320,2310,A29,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 g1f3 b8c6 e1g1 f8e8 c3d5 b4c5 d2d3 f6d5 c4d5 c6d4
CUB-ch,Holguin,1991.??.??,3,"Becerra Rivero, Julio","Leyva, Hector",1-0,2310,2380,B98,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8a5 e1c1 c8d7 g5f6 g7f6 d4b3 a5c7 f4f5 h7h5 b3d4 b8c6 f1e2 c6d4 d1d4 c7c5 h1d1 c5e5 f3h3 h5h4 c1b1 e8c8 e2g4 c8b8 a2a3 d7c8 c3a4 d6d5 f5e6 f7e6 e4d5 f6f5 g4f3 e5f6 f3e2 e6e5 d4d2 h8g8 e2f1 f5f4 h3b3 c8g4 d1e1 g8g6 c2c4 e5e4 c4c5 e4e3 c5c6 g4c8 d2c2 e7d6 f1a6 g6g7 a4b6 c8f5 a6d3 h4h3 b3a4 f5d3 a4a8
CUB-ch,Holguin,1991.??.??,4,"Sariego, Wilfredo","Becerra Rivero, Julio",0-1,2435,2310,B22,e2e4 c7c5 c2c3 e7e6 g1f3 d7d5 e4d5 e6d5 d2d4 b8c6 f1e2 f8d6 e1g1 g8e7 d4c5 d6c5 b1d2 e8g8 d2b3 c5d6 h2h3 c8f5 b3d4 f5e4 c1e3 d8d7 d1d2 a8d8 a1d1 h7h6 e3f4 e7g6 f4h2 f8e8 f1e1 d6c5 h2g3 d7e7 e2b5 e7f6 f3h2 h6h5 h2f3 h5h4 g3h2 a7a6 b5f1 g6e5 f3e5 c6e5 d2f4 f6g6 g1h1 e5d3 e1e4 d3f4 e4f4 e8e4 f1d3 g6h5
CUB-ch,Holguin,1991.??.??,5,"Fuentes, Manuel","Becerra Rivero, Julio",1/2-1/2,2305,2310,A46,d2d4 g8f6 g1f3 d7d6 c1g5 f6e4 g5h4 c7c5 d4c5 e4c5 b1a3 b8c6 e2e4 g7g6
CUB-ch,Holguin,1991.??.??,6,"Becerra Rivero, Julio","Arencibia, Juan Joel",1/2-1/2,2310,2400,C08,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 g8f6 c2c3 f8e7 d4c5 e7c5 d2b3 c5e7 f1d3 e8g8 h2h3 h7h6 e1g1 e7d6 f1e1 b8c6 b3d4 f8e8 e1e8 d8e8 c1e3 c8d7
CUB-ch,Holguin,1991.??.??,7,"Becerra Rivero, Julio","Herrera, Irisberto",0-1,2310,2260,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 g2g4 b7b5 g5f6 e7f6 g4g5 f6d4 d1d4 c8b7 f1e2 e8g8 h1d1 d7b6 f3e3 a8c8 f4f5 d6d5 f5e6 f7e6 e4d5 b7d5 d4h4 g7g6 e2g4 f8e8 d1d5 e6d5 g4e6 e8e6 e3e6 g8g7 e6f6 g7g8 h4f4 c8e8 b2b3 c7e5 f6e5 e8e5 f4f6 d5d4 c3d1 b6d5 f6a6 e5g5 a6d6 g8g7 c1b2 h7h5 d1f2 d5e3 d6d7 g7h6 h2h4 g5g2 f2e4 g2c2 b2b1 c2h2 e4g5 h2h1 b1b2 h1h2 b2c1 h2h4 g5f7 h6g7 f7d6 g7f6 d6b5 h4h1 c1d2 h1h2 d2d3 h2a2 d7d6 f6g5 d6d4 e3f5 d4d8 h5h4 b5c3 a2b2 c3e4 g5f4 d3c3 b2e2 e4d2 h4h3 d8h8 f4g4 b3b4 f5h4 h8a8 h3h2 a8a1 h4f3
CUB-ch,Holguin,1991.??.??,8,"Calderin, Roberto","Becerra Rivero, Julio",1/2-1/2,2345,2310,A45,d2d4 g8f6 c1g5 f6e4 g5f4 c7c5 d4d5 e7e6 f2f3 e4f6 c2c4 b7b5 e2e4 b5c4 b1c3 e6d5 e4d5 d7d6 f1c4 f8e7 g1e2 e8g8 e1g1 b8d7 e2g3 d7b6 b2b3 f6e8 d1d2 e7f6 a1c1 f6d4 g1h1 b6c4 b3c4 f7f5 f1e1 g7g6 f4h6 e8g7 c3b5 d4e5 h6g5 e5f6 g5f6 d8f6 c1b1 c8d7 d2c3 f6c3 b5c3 a8b8 a2a3 g6g5 h1g1 g8f7 g1f2 a7a5 g3f1 g7h5 g2g3 h5f6 f1d2 a5a4 e1d1 f8d8 b1b8 d8b8 d1b1 b8b1 d2b1 f7e7 f2e3 e7d8 c3d1 d8c7 b1c3 c7b6 d1f2 f6g8 f3f4 g5g4 e3d3 g8e7 f2d1 b6c7 d1e3 c7b6 e3d1 b6c7
CUB-ch,Holguin,1991.??.??,9,"Armas, Jorge","Becerra Rivero, Julio",1/2-1/2,2400,2310,E92,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 d4d5 a7a5 c1g5 h7h6 g5h4 b8a6 f3d2 d8e8 a1b1 c8d7 b2b3 f6h7 g2g4 g7f6 h4f6 h7f6 d2f1 a6c5 f1g3 g8g7 h2h3 f8h8 d1d2 e8e7 d2e3 c7c6 e1f1 f6e8 a2a3 c6d5 c4d5
CUB-ch,Holguin,1991.??.??,10,"Becerra Rivero, Julio","Perez, Rodney",1/2-1/2,2310,2265,A49,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 d2d4 e8g8 e1g1 d7d6
