Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Hallsberg opJ,Hallsberg,1975.??.??,1,"Aperia, T.","Benjamin, Joel",1/2-1/2,,,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 c5d4 c3d4 g8f6 b1c3 d5d8 g1f3 c8g4 d1b3 g4f3 g2f3 d8b6 b3b6 a7b6 f1b5 e8d8 c1e3 b8d7 e1e2 e7e6 h1d1 f8d6 d4d5 e6e5 c3a4 d6c5 a4c5 b6c5 a2a4 b7b6 b2b4 c5b4 a1b1 d7c5 b1b4 f6d7 d5d6 d8c8 d1c1 a8a7 b5c6 a7a5 e2f1 c5d3
Hallsberg opJ,Hallsberg,1975.??.??,2,"Benjamin, Joel","Barlov, Dragan",0-1,,,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 e7d6 h2h3 f8e7 g1f3 e8g8 c1e3 c8f5 b1c3 b8c6 f1e2 d6d5 b2b3 e7b4 d1c1 d5c4 e2c4 b6c4 b3c4 f5d3 a2a3 b4a5 c4c5 f8e8 e1d1 b7b6 c5b6 c7b6 a1a2 d3c4 a2d2 c4b3 d1e2 d8c8 e2f1 c6e7 d2b2 a5c3 b2b3 c8c4
Hallsberg opJ,Hallsberg,1975.??.??,3,"Bergstrom, Mats","Benjamin, Joel",0-1,,,A02,b2b3 g8f6 c1b2 g7g6 e2e3 f8g7 f2f4 e8g8 g1f3 d7d6 f1e2 c7c5 e1g1 b8c6 e2b5 c8d7 b5c6 d7c6 d1e1 d8d7 d2d3 b7b5 e3e4 a7a5 h2h3 a5a4 b3b4 d7a7 g2g4 a4a3 b2c3 c5b4 c3d4 a7a4 b1d2 a8c8 d2b3 c6d7 e1d2 f6e8 f4f5 g7d4 f3d4 a4a7 g1h1 g8g7 d2b4 e8f6 b4d2 a7b8 a1d1 e7e5 f5e6 f7e6 f1f2 e6e5 d4e2 f6e4 f2f8 e4d2 f8c8 b8b7
Hallsberg opJ,Hallsberg,1975.??.??,4,"Benjamin, Joel","Wengholm, Anders",0-1,,,A36,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e3 e7e5 g1e2 g8e7 a2a3 e8g8 a1b1 a7a5 e1g1 a8b8 c1d2 c8e6 c3d5 b7b5 c4b5 e7d5 b5c6 d8b6 d1a4 b8a8 e2c3 d5c7 a4d1 e6b3 d1c1 a8d8 f2f4 e5f4 g3f4 f7f5 d2e1 d6d5 c3d1 f8e8 e1c3 d5d4 e3d4 c5d4 c3d2 c7d5 f1f2 d8c8 g2d5 b3d5 b2b4 c8c6 c1b2 a5a4 b4b5 c6e6 b2b4 d5a8 h2h3 b6b7 f2h2 b7f3 b5b6 f3g3 g1f1 g3h2 b6b7 h2h1
Hallsberg opJ,Hallsberg,1975.??.??,5,"Benjamin, Joel","Welin, Thomas",0-1,,,B16,e2e4 c7c6 b1c3 d7d5 g1f3 d5e4 c3e4 g8f6 e4f6 g7f6 f1c4 c8f5 d2d4 e7e6 d1e2 d8c7 f3h4 f5g6 f2f4 f8d6 f4f5 g6f5 h4f5 c7a5 c1d2 a5f5 e1c1 b8d7 h1f1 f5g6 c4e6 f7e6 e2e6 d6e7 f1e1 g6f7 e6d6 e8d8 d2a5 b7b6 d6c6 a8c8 c6a4 f7c4 a4c4 c8c4 a5c3 e7d6 g2g3 h8e8 c1d2 c4c8 d2d3 d7f8 e1f1 d8e7 f1f5 e7f7 d1f1 f8d7 f1f2 e8e7 g3g4 f7g6 c3d2 e7f7 c2c3 c8h8 h2h4 h7h6 h4h5 g6h7 a2a4 h8g8 f2g2 d6c7 d3e2 g8e8 e2f3 f7e7 g2f2 h7g7 b2b4 d7f8 a4a5 f8h7 a5b6 a7b6 c3c4 h7g5 d2g5 f6g5 f3g2 c7f4 f2a2 e7e2 a2e2 e8e2 g2f3 e2e3 f3f2 e3b3 f5d5 b3b4 d5d7 g7g8 d7d8 g8g7 d8d7 g7g8 d7d8 g8f7 d8d7 f7e6 d7h7 b4c4 h7h6 e6d5 h6b6 c4d4 b6g6 d4d2 f2g1 d5e4
Hallsberg opJ,Hallsberg,1975.??.??,6,"Adler, Bo","Benjamin, Joel",0-1,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1c4 e7e6 e1g1 g8e7 d2d3 d7d5 c4b5 e8g8 b5c6 e7c6 a1b1 a8b8 d1e1 d5d4 c3e2 c6b4 c1d2 b4c2 e1c1 c2e3 d2e3 d4e3 c1e3 b7b6 d3d4 c5d4 e2d4 c8b7 f1d1 d8e7 e4e5 a7a6 f3g5 b7a8 g5e4 e7b7 d1e1 f8d8 b1d1 b8c8 e3h3 b7d5 e4d6 d8d6 e5d6 g7d4 g1h1 c8c2 e1g1 d5d6 h3d3 d6c6 d3d4 c2g2 d4d8 g8g7 d8a8 g2g1
Hallsberg opJ,Hallsberg,1975.??.??,7,"Swanson, Stephen","Benjamin, Joel",1/2-1/2,,,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 a7a6 c1g5 b8c6 d4d2 h7h6 g5h4 g8f6 b1c3 g7g5 h4g3 f8g7 f1e2 c8e6 e1g1 e8g8 h2h4 g5g4 f3h2 b7b5 e2d3 f6h5 g3f4 h5f4 d2f4 c6e5 d3e2 e5g6 f4d2 d8d7 h4h5 g6e5 c3d5 a8b8 d5e3 f8c8 c2c3 a6a5 f1c1 a5a4 g2g3 c8c5 d2d1 e5c4 e2c4 b5c4 d1e2 c5h5 h2g4 h5b5 c1c2 d7b7 e3d1 b7c8 g4e3 c8c5 a2a3 b8b7 c2d2 c5h5 e2h5 b5h5 e3d5 e6g4 g1g2 g4h3 g2f3 h3c8 d1e3 e7e6 d5b4 h5c5 d2d6 g7f8 d6d2 f8e7
Hallsberg opJ,Hallsberg,1975.??.??,8,"Benjamin, Joel","Pirttimaki, Timo",1-0,,,C00,e2e4 e7e6 d2d3 d7d5 b1d2 b7b6 g2g3 c8b7 f1g2 c7c5 g1f3 g8f6 e4e5 f6d7 e1g1 b8c6 f1e1 g7g5 c2c4 d5d4 h2h3 h7h6 a2a3 d8c7 d2e4 f8e7 d1e2 d7e5 e4g5 h6g5 f3e5 c6e5 e2e5 c7e5 e1e5 b7g2 g1g2 e8d7 c1d2 a8b8 a3a4 h8h7 e5e1 f7f5 e1h1 e7f6 b2b4 e6e5 f2f3 h7e7 h1e1 a7a6 g3g4 f5f4 e1b1 e7e8 a1a2 d7c7 a2b2 f6e7 b4c5 e7c5 d2e1 a6a5 h3h4 g5h4 e1h4 c5b4 h4e1 b4c5 b2b5 b8a8 b5b3 e8h8 e1d2 c7d7 b1h1 h8h1 g2h1 a8h8 h1g2 d7e6 b3b1
Hallsberg opJ,Hallsberg,1975.??.??,9,"Benjamin, Joel","Bjork, Carl Magnus",1/2-1/2,,,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 a7a5 g2g3 b8c6 f1g2 e8g8 e1g1 b4d2 d1d2 d7d6 b1c3 d8e7 e2e4 e6e5 d4d5 c6b8 f3e1 f6e8 e1d3 f7f5 e4f5 c8f5 a1e1 b8d7 f2f4 f5d3 d2d3 e8f6 d3d2 b7b6 g2h3 a8e8 h3e6 g8h8 c3b5 e7d8 f4f5 e5e4 b5c3 d7e5 c3e4 f6e4 e1e4 d8f6 d2e2 g7g5 f5g6 f6f1 e2f1 f8f1 g1f1 h7g6 f1e2 h8g7 b2b3 e8h8 h2h4 h8a8 a2a4 a8h8 e2e3 h8f8 e4f4 f8h8 e3d4 h8h6 f4f1 h6h8 d4e4 h8d8 g3g4 d8h8 f1h1 h8f8 h4h5 f8f3
US-op,Columbus,1977.??.??,?,"Haas, D.","Benjamin, Joel",1-0,,,B87,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 a7a6 c4b3 b7b5 a2a3 f8e7 e1g1 e8g8 d1f3 d8b6 c1e3 b6b7 g2g4 b8c6 d4c6 b7c6 f3g2 c8b7 f2f3 a6a5 a3a4 b5b4 c3e2 f6d7 e2d4 c6c8 f1d1 d7c5 g2f2 d6d5 e4d5 c5b3 c2b3 b7d5 f3f4 c8b7 f2g3 f8e8 g1f2 a8c8 d1d2 e7c5 a1d1 c5a7 d4b5 a7b8 g4g5 b7a8 e3d4 d5c6 g3e3 a8b7 b5a7 b8a7 d4a7 c6d5 a7d4 b7e7 e3e5 e7f8 h2h4 d5b3 d1a1 e8d8 e5e3 b3c4 b2b3 c4a6 a1d1 a6b7 h4h5 d8d5 d1g1 c8d8 h5h6 g7g6 g1d1 f8d6 f2e1 d6d7 d4b6 d8a8 d2d5 e6d5 e3d4 a8e8 e1f2 d7h3 d4g7
