Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
HUN-ch,Budapest,1946.??.??,?,"Bakonyi, Elek","Benko, Pal C",1-0,,,B44,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 f8b4 d4c6 b7c6 f1d3 e8g8 e1g1 d7d5 e4e5 f6d7 c4d5 d7e5 d3h7 g8h7 d1h5 h7g8 h5e5 c6d5 f2f4 f7f6 e5d4 d8b6 c1e3 b6d4 e3d4 c8d7 a1d1 d7c6 a2a3 b4d6 d4e3 f8d8 f1f2 g7g6 h2h4 g8f7 h4h5 g6h5 f4f5 e6e5 c3d5 d8d7 d5c3 a8d8 f2d2 d6b8 d2d7 d8d7 e3c5 c6a4 d1f1 a4b3 f1f2 a7a6 g1f1 d7d3 f1e1 d3g3 f2d2 f7e8 c3e4 g3g7 e4f6 e8f7 f6h5 g7g5 d2d7 f7g8 h5f6
HUN-ch,Budapest,1946.??.??,?,"Barcza, Gedeon","Benko, Pal C",0-1,,,A06,g1f3 d7d5 b2b3 c7c5 c1b2 f7f6 d2d4 c5d4 d1d4 e7e5 d4d2 b8c6 e2e3 f8b4 c2c3 b4a5 b3b4 a5b6 a2a4 c8e6 a4a5 b6c7 a5a6 b7a6 f1a6 g8e7 b1a3 e8g8 e1g1 e5e4 f3e1 c6b4 a3b5 b4a6 a1a6 c7b6 b5d4 e6c8 a6a2 e7f5 e1c2 f5d4 c2d4 d8d7 f2f3 e4f3 f1f3 f8e8 d2d3 a7a5 b2a3 c8a6 d3f5 d7f5 d4f5 a6c4 a2d2 a8d8 g1f2 g7g6 f5d6 e8e6 d6c4 d5c4 d2d8 b6d8 f3f4 e6c6 f2f3 f6f5 f3e2 d8g5 f4f1 a5a4 e2d2 c6e6 a3c5 e6e5 c5d4 e5a5 d2c2 a4a3 c2b1 g8f7 b1a2 g5e7 f1b1 a5a6 b1b7 a6c6 d4b6 f7e6 b6a5 h7h5 b7b1 e6d5 a5b4 e7b4 c3b4 c4c3 a2a3 c3c2 b1c1 d5e4 b4b5 c6c8 b5b6 e4d3 a3b3 c8b8
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Fuster, Geza",1-0,,,A12,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 b2b3 c8f5 c1b2 e7e6 c2c4 b8d7 e1g1 f8d6 b1c3 e8g8 d2d4 d8e7 f3d2 d6a3 b2a3 e7a3 e2e4 d5e4 d2e4 f8d8 d1e2 f5e4 g2e4 d7b6 a1d1 d8d7 d1d2 a8d8 f1d1 g7g6 e4f3 a3a5 e2e3 e6e5 d4e5 d7d2 d1d2 f6d7 f3g4 a5b4 e5e6 f7e6 g4e6 g8g7 e3d4
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Szilagyi, Gyorgy",1-0,,,D26,c2c4 g8f6 b1c3 d7d5 d2d4 c7c5 e2e3 c5d4 e3d4 e7e6 g1f3 d5c4 f1c4 f8e7 e1g1 e8g8 c1g5 b8d7 d1e2 d7b6 c4b3 b6d5 a1d1 b7b6 c3d5 e6d5 f1e1 c8e6 f3e5 a8c8 e5f7 e6f7 e2e7 f8e8 e7d8 c8d8 f2f3 g8f8 g1f2 e8e1 d1e1 d8c8 e1c1 c8c1 g5c1 f8e7 c1f4 a7a6 g2g4 h7h6 f4e5 e7e6 b3c2 g7g6 c2d3 b6b5 f2g3 f7e8 h2h4 a6a5 e5c7 a5a4 c7e5 f6g8 e5f4 h6h5 f4g5 b5b4 a2a3 b4a3 b2a3 g8f6 g5f6 e6f6 g4g5 f6f7 g3f4 f7e6 d3c2 e6d6 f4e3 d6e6 e3d2 e6d6 d2c3 d6e7 c3b4 e7e6 c2a4
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Toth, V.",0-1,,,D36,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c4d5 e6d5 c1g5 f8e7 d1c2 b8d7 e2e3 d7f8 f1d3 f8e6 g5h4 g7g6 e1g1 e6g7 b2b4 a7a6 c3a4 e8g8 a4c5 g7f5 h4f6 e7f6 a2a4 f5d6 a1a2 a6a5 b4a5 a8a5 f1b1 f8e8 f3d2 e8e7 d2b3 a5a7 a4a5 g8g7 c5a4 c8f5 d3f5 d6f5 a4b6 e7e4 b3c5 e4g4 g2g3 h7h5 c2e2 f6e7 c5d3 e7d6 g1h1 d8e8 b1g1 d6c7 d3e1 e8d8 f2f3 g4g5 f3f4 g5g4 e1d3 c7b6 a5b6 a7a2 e2a2 d8b6 d3e5 b6d8 e3e4 f5d4 h2h3 f7f6 e5g4 h5g4 h3g4 d5e4 a2b2 b7b5 g1a1 d8d7 b2c3 d4e2
HUN-ch,Budapest,1946.??.??,?,"Tipary, Lajos","Benko, Pal C",1-0,,,A48,d2d4 g8f6 g1f3 g7g6 c2c3 f8g7 c1g5 d7d6 b1d2 b8c6 e2e4 e8g8 f1d3 e7e5 d4d5 c6e7 d1c2 c7c6 c3c4 h7h6 g5f6 g7f6 h2h3 c6d5 c4d5 c8d7 c2b3 d7c8 e1c1 a7a6 g2g4 b7b5 d2f1 g6g5 f1e3 e7g6 d1g1 g6h4 d3e2 a8a7 e3f5 c8f5 g4f5 h4f3 b3f3 g8h7 c1b1 d8d7 f3h5 a7c7 h3h4 g5h4 h1h4 f6h4 h5h4 d7d8 f5f6 f8g8 e2g4 g8g6 g4f5 d8g8 g1h1 g8f8 f2f4 e5f4 h4f4 c7c4 f4h4 h7g8 f5g6 f7g6 h4f4 h6h5 h1g1 g8h7 f6f7 c4c7 g1f1 a6a5 f4f6 b5b4 f6e6 h7g7 e6f6 g7h7 e4e5 d6e5 d5d6 c7c6 f6e7 c6c8 d6d7 c8a8 e7e8 h7g7 e8a8
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Balogh, Janos",1-0,,,A30,g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 c2c4 e7e6 e1g1 f8e7 b2b3 e8g8 c1b2 c7c5 d2d4 c5d4 d1d4 b8c6 d4d2 d7d5 c4d5 f6d5 f1d1 e7f6 b1a3 f6b2 d2b2 d8f6 b2f6 d5f6 f3e5 c6e5 g2b7 a8b8 b7a6 f8d8 a3b5 d8d1 a1d1 e5c6 a2a3 g8f8 d1c1 c6d8 c1c7 f6d5 c7a7 d8c6 a7d7 f8e8 d7d6 c6e5 e2e4 d5f6 f2f4 e5d7 e4e5 f6e4 d6d4 e4c5 b5d6 e8e7 a6c4 b6b5 d6b5 c5b3 c4b3 b8b5 d4d7 e7d7 b3a4 d7c6 g1f2 c6c5 a4b5 c5b5 f2e3 b5c4 g3g4 h7h6 h2h4 g7g6 e3e4 h6h5 g4h5 g6h5 f4f5 c4c5 e4f4 c5d4 a3a4
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Ban, Jeno",1-0,,,B75,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 a7a6 e1c1 d8c7 g2g4 b7b5 g4g5 f6d7 c3d5 c7b7 d4c6 b7c6 e3d4 g7d4 d2d4 e7e5 d5b4 c6c2 c1c2 e5d4 d1d4 d7e5 f3f4 e5g4 b4d5 e8f8 h2h3 g4f2 h1h2 f2e4 d4e4 c8f5 f1d3 f5e4 d3e4 a8c8 c2d2 f8g7 h3h4 h7h6 h2h1 h6g5 h4g5 h8h1 e4h1 c8h8 h1e4 h8h2 d2c3 a6a5 a2a3 h2h3 e4d3 h3f3 c3d4 b5b4 a3b4 a5b4 d4e4 f3f2 b2b3 f2g2 d5b4 f7f6 g5f6 g7f6 b4d5 f6e6 b3b4 g6g5 f4f5 e6d7 d3b5 d7d8 e4f3 g2d2 b5c6 d2d1 f5f6 d1g1 f3f2 g1h1 f6f7 h1h8 b4b5 g5g4 f2g3 d8c8 d5e7
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Gereben, Erno",1/2-1/2,,,D13,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 e7e6 e2e3 f8d6 f4g3 e8g8 f1d3 b7b6 a2a3 c8b7 e1g1 d6g3 h2g3 d8e7 a1c1 f8c8 f3e5 c6e5 d4e5 f6d7 f2f4 f7f6 e5f6 d7f6 d1d2 e6e5 d3e2 d5d4 e3d4 e5d4 c3b5 f6e4 d2d3 e4c5 d3c4 g8h8 g1h2 c8c6 e2g4 c6h6 g4h3 d4d3 c1e1 e7d7 b2b4 d3d2 e1d1 b7g2 h2g2 d7h3 g2f2 h3h2 f2f3 h6g6 f1g1 a8e8 b4c5 g6e6 b5d4 e6e3 f3g4 h7h5 g4g5 e3g3 g1g3 h2g3 g5h5 g3h3 h5g5 h3g3 g5f5 g3h3 f5g5 h3g3
HUN-ch,Budapest,1947.??.??,?,"Barcza, Gedeon","Benko, Pal C",1-0,,,E61,c2c4 e7e5 b1c3 g8f6 g1f3 d7d6 e2e3 g7g6 d2d4 b8d7 f1e2 f8g7 e1g1 e8g8 b2b3 f8e8 c1b2 a7a5 c3b5 f6e4 f3d2 e5d4 e3d4 d7c5 f2f3 e4d2 d1d2 c5e6 d4d5 e6f4 f1f2 g7b2 d2b2 c7c6 d5c6 b7c6 b5d4 d8f6 e2f1 c8d7 a1d1 e8e5 d4e2 f4e2 f2e2 f6e7 e2d2 e5e6 d2d3 c6c5 f3f4 d7c8 b2f2 c8b7 f4f5 g6f5 f2f5 e6g6 f5f4 e7e5 f4e5 d6e5 d3d8 g8g7 d8a8 b7a8 d1d7 g6a6 d7c7 a8c6 a2a3 g7g6 b3b4 c5b4 a3b4 a5a4 c4c5 a4a3 f1a6 a3a2 a6d3 e5e4 c7c6
