Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Pittsburgh op,Pittsburgh,1946.??.??,?,"Fajans, Harry","Bisguier, Arthur Bernard",1/2-1/2,,,C24,e2e4 e7e5 f1c4 g8f6 d2d3 c7c6 f2f4 d7d5 e4d5 f8c5 f4e5 f6g4 g1f3 g4f2 d1d2 f2h1 d3d4 c8g4 d2f4 g4f3 g2f3 c5e7 d5d6 e7h4 e1f1 e8g8 c1e3 b8d7 b1c3 d7b6 c4b3 g7g5 f4f5 d8d7 e5e6 d7d6 e6f7 g8g7 f5e5 d6e5 d4e5 f8f7 b3f7 g7f7 f1g2 b6c4 e3g1 a8d8 a1d1 d8d1 c3d1 c4e5 g1a7 f7e6 a7d4 h4e1 d4e5 e6e5 g2h1 e5f4 h1g2 h7h5 g2f1 e1a5 f1e2 g5g4 f3g4 f4g4 e2f2 g4h3 f2g1 a5b6 d1f2 b6f2 g1f2 h3h2 c2c4 h5h4 c4c5 h2h3 f2f3 h3h2
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Kupchik, Abraham",1/2-1/2,,,A95,c2c4 f7f5 g1f3 g8f6 g2g3 e7e6 f1g2 f8e7 e1g1 e8g8 b1c3 d7d5 d2d4 c7c6 c1f4 f6e4 d1b3 b8d7 c3e4 f5e4 f3e5 d8b6 c4c5 b6b3 a2b3 d7e5 f4e5 e7f6 e5d6 f8e8 d6e5 e8f8 e5d6 f8e8 d6e5
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Levin, Jacob",1-0,,,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 d7d6 c2c3 c8d7 d2d4 e8g8 b1d2 c6d4 c3d4 d7a4 d4e5 a4b5 d2c4 f6e4 e2e4 d6d5 e4g4 h7h5 g4h5 b5c4 f3g5 e7g5 c1g5 d8d7 f1e1 c4d3 e1e3 d3g6 h5h4 d7f5 g2g4 f5c2 e3h3 g6h7 a1c1 c2e4 h3e3 e4g6 f2f4 f7f6 e5f6 g7f6 g5h6 f8e8 f4f5 g6f7 e3g3 e8e4 h4h3 f7e7 c1f1 e7c5 g1h1 g8f7 g4g5 h7g8 g5f6 f7f6 h6e3 c5f8 h3h8 f6f7 h8h5 f7f6 g3g6 f6e5 h5h8
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Mc Cord, J.",1-0,,,B32,e2e4 c7c5 d2d4 c5d4 g1f3 b8c6 f3d4 d7d5 f1b5 d5e4 d4c6 d8d1 e1d1 c8g4 f2f3 g4d7 c6d4 a8d8 d1e2 d7b5 d4b5 e4f3 g2f3 d8c8 b1c3 e7e6 c1f4 a7a6 b5d6 f8d6 f4d6 g8f6 h1g1 h8g8 a1d1 f6h5 g1g5 g7g6 g5c5 c8c5 d6c5 f7f5 c5d6 e8f7 d6e5 f7e7 d1d4 g8d8 d4d8 e7d8 e2e3 d8d7 c3e2 d7c6 e2f4 h5f4 e3f4 c6d5 e5g7 b7b5 g7c3 h7h6 h2h4
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Seidman, Herbert",0-1,,,A28,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5d4 f3d4 f8b4 d4c6 b7c6 d1b3 a7a5 e2e3 f6e4 f1e2 d8f6 e1g1 e4c3 b2c3 b4c3 a1b1 e8g8 c1a3 d7d6 e2f3 a5a4 b3d1 c8d7 b1b7 f6d8 d1c2 c3e5 f1b1 c6c5 a3b2 e5b2 c2b2 d7c8 b7b5 c8a6 f3a8 a6b5 b2b5 d8a8 b5b7 a8a5 b7b5 a5b5 b1b5 f8a8 g2g3 g8f8 b5b7 a4a3 b7c7 a8a4 c7d7 a4c4 d7d6 c4c2 d6d5 f8e7 g1g2 c5c4 d5d4 e7e6 g2f3 c2a2 d4c4 a2b2 c4a4 a3a2 a4a5 e6d6 h2h4 d6c6 e3e4 c6b6 a5a8 b6c5 f3e3 c5c4 f2f4 b2g2 g3g4 c4b3 e3f3 g2c2 e4e5 c2c3 f3e2 c3c4
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Shipman, Walter",1/2-1/2,,,A18,c2c4 g8f6 b1c3 e7e6 e2e4 d7d5 e4e5 d5d4 e5f6 d4c3 b2c3 d8f6 d2d4 c7c5 g1f3 h7h6 f1d3 c5d4 c3d4 f8b4 c1d2 b4d2 d1d2 e8g8 e1g1 b8c6 a1d1 f8d8 f1e1 b7b6 d4d5 c6a5 d2e3 c8d7 c4c5 e6d5 c5b6 a7b6 f3e5 d7a4 d1b1 a8b8
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Steiner, Herman",0-1,,,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 e8g8 c2c3 d7d5 d2d3 d5d4 b1d2 c8g4 h2h3 g4f3 d2f3 e7c5 c1g5 d8d6 g5f6 d6f6 b3d5 a8e8 d5c6 f6c6 c3d4 e5d4 f1c1 c6d6 e2c2 c5b6 a2a4 c7c5 a4b5 a6b5 a1a6 e8a8 c1a1 a8a6 a1a6 c5c4 e4e5 d6c7 d3c4 b5c4 f3d2 c4c3 b2c3 d4c3 a6b6 c7b6 c2c3 h7h6 d2f3 f8d8 c3c2 g7g6 g1h2 b6b4 h2g1 d8a8 c2c1 g8g7 g1h2 b4e4 c1c3 g7g8 c3d4 a8a4 d4d8 g8h7 d8d7 e4f4 g2g3 f4f3 d7a4 f3f2 h2h1 f2g3 a4d7 h7g7 d7d4 g3h3 h1g1 g7h7 d4d5 h3f5 d5d6 h6h5 d6f8 f5g4 g1h1 g4f3 h1g1 h5h4
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Adams, Weaver Warren",1-0,,,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 d7d6 a2a4 c8g4 c2c3 e8g8 h2h3 c6a5 b3c2 g4f3 e2f3 c7c5 a4b5 a6b5 d2d3 a5c6 a1a8 d8a8 b1d2 b5b4 d2c4 f8b8 c4e3 b4c3 b2c3 a8a2 f3d1 e7f8 f2f4 e5f4 f1f4 c6e5 d3d4 e5g6 f4f1 b8e8 e3g4 a2e6 d4d5 e6c8 f1f6 g7f6 g4f6 g8g7 f6e8 c8e8 d1h5 g7g8 c1h6 f8h6 h5h6 e8e5 h6e3 f7f5 g1f2 f5f4 e3d3 g8g7 c2d1 e5g5 f2f1 g6e5 d3a6 g5f6 a6c8 g7h6 c8e6 f6e6 d5e6 h6g7 d1a4 g7f6 a4d7 f4f3 g2g3 e5d3 d7b5 d3b2 f1f2 f6e6 f2f3 e6e5 g3g4 b2d1 c3c4 d1c3 b5c6 c3d1 g4g5 d1b2 c6d5 b2d3 h3h4 d3f4 d5g8 f4g6 h4h5 g6f8 h5h6 e5d4 g8h7 f8h7 g5g6 h7g5 f3g4 g5e4 h6h7 e4f6 g4g5
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Evans, Larry",1-0,,,C49,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 h7h6 g5h4 a7a6 b5a4 d8e7 f1e1 c6d8 d3d4 d8e6 h4g3 f8d8 d1e2 c7c5 d4e5 d6e5 f3e5 b7b5 e5c6 e7e8 c6d8 e6d8 e4e5 f6d5 c3c4 d5c3 e2f3 c3a4 f3a8 a4b6 a8a7 e8c6 c4b5 a6b5 a1d1 d8e6 d1d6 c6a8 a7b6 c8b7 e1d1 g8h7 d6e6 f7e6 b6e6 b7g2 e6f5 h7h8 g3h4 g2d5 e5e6 d5e6 f5e6 a8f3 d1d8 h8h7 e6g8 h7g6 d8d6 g6h5 g8g7 h5h4 d6h6 f3h5 g7g3
Pittsburgh op,Pittsburgh,1946.??.??,?,"Bisguier, Arthur Bernard","Byrne, Donald",1-0,,,C71,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 c2c4 c8d7 d2d4 g8e7 d4d5 c6b8 a4c2 g7g6 b1c3 f8g7 e1g1 e8g8 f3e1 d7c8 f2f4 e5f4 c1f4 b8d7 e1d3 f7f6 d1d2 d7e5 b2b3 e5d3 c2d3 f8f7 a1e1 c8d7 h2h4 d7g4 d3e2 d8d7 f4h6 g7h8 d2f4 g4e2 c3e2 a8e8 e2d4 e7c8 d4e6 e8e7 h4h5 g6g5 h6g5 h8g7 h5h6 f6g5 f4g5 g8h8 h6g7 h8g8 f1f5 f7f5 e4f5 e7f7 f5f6 c8b6 e6c7 d7d8 e1e8
