Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U20,Groningen,1984.??.??,1,"Blatny, Pavel","Hynes, Kilian A",1/2-1/2,2330,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3 b8c6 f1d3 c5d4 e1g1 f8c5 f1e1 g8e7 b1d2 e7g6 g2g3 c8d7 a2a3 f7f6 d2b3 c5b6 d3g6 h7g6 b3d4 c6d4 f3d4 e8f7 d4f3 d7c6 c1e3 d5d4 e3d4 d8d5 e1e3 a8d8 c2c3 g6g5 d1f1 b6d4 a1d1 f6e5 c3d4 f7e7 d1d2 g5g4 d4e5 d5d2 f3d2 h8h2 d2e4 d8h8 f2f4 h2h1 g1f2 h8h2 f1g2 h2g2 f2g2 h1c1 b2b3 c1a1 a3a4 a1b1 g2f2 b1b2 f2e1 c6e4 e3e4 b2b3 e1f2 a7a5 e4c4 e7d7 c4d4 d7e7 d4c4 b3b2 f2e3 e7d7
EU-ch U20,Groningen,1984.??.??,2,"Gazis, Efstathios","Blatny, Pavel",0-1,,2330,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 b1c3 b5b4 c3e2 c6a5 b3a2 c7c5 c2c3 b7c8 c3b4 c5b4 e2g3 c8e6 a2e6 f7e6 d3d4 e5d4 f3d4 d8d7 f2f4 a5c6 c1e3 a8c8 d1e2 g8h8 e1d1 c6d4 e3d4 d7c6 a4a5 c6c4 d1d2 c4e2 d2e2 c8c4 a1d1 f6d7 b2b3 c4c6 g3h5 e6e5 f4e5 d6e5 d4b2 e7c5 g1h1 c6d6 d1e1 d6d3 h2h3 g7g6
EU-ch U20,Groningen,1984.??.??,3,"Blatny, Pavel","Howell, James C",0-1,2330,2320,B26,e2e4 c7c5 b1c3 d7d6 g2g3 b8c6 f1g2 g7g6 d2d3 f8g7 c1e3 e7e6 d1d2 g8e7 e3h6 e8g8 h2h4 g7h6 d2h6 f7f6 e1c1 c6d4 g1e2 e6e5 g2h3 c8h3 h1h3 d8d7 h3h1 b7b5 e2d4 c5d4 c3e2 d6d5 f2f4 d5e4 d3e4 a8c8 f4e5 f6e5 h1h2 d7c6 e2g1 c6e4 g1h3 e4b7 h4h5 e7f5 h6g5 b7e4 b2b3 f5e3 d1d2 f8f1 c1b2 e3c4 b3c4 b5c4 g5e7 c8b8 b2a3 e4c6 e7a7 c6d6
EU-ch U20,Groningen,1984.??.??,4,"Hickl, Joerg","Blatny, Pavel",0-1,,2330,A26,c2c4 e7e5 b1c3 b8c6 g1f3 f7f5 d2d3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 a1b1 d7d6 b2b4 h7h6 b4b5 c6e7 c4c5 g8h7 c5d6 c7d6 f3d2 d6d5 c1a3 c8e6 d1b3 f8e8 c3a4 b7b6 d2f3 f6d7 b1c1 f5f4 g3f4 e7f5 c1c6 e5f4 a3b2 d7b8 c6c2 d5d4 b3b4 e6d5 f1c1 b8d7 b4d2 g7e5 c2c4 d5c4 c1c4 a8c8 c4c6 e5g7 d2f4 e8e2 f4g4 c8c6 b5c6 d7e5 f3g5 d8g5 g4e2 f5h4 f2f4 e5f3 g1h1 g5f4 g2f3 h4f3 c6c7 f4c7 e2f3 c7c2 b2a3 c2b1 h1g2 b1a2 a4b2 a2a3 b2c4
EU-ch U20,Groningen,1984.??.??,5,"Blatny, Pavel","Hellers, Ferdinand",0-1,2330,,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 f2f4 e7e6 g1f3 g8e7 e1g1 e8g8 h2h3 a8b8 c1e3 c6d4 g1h2 b7b5 d1d2 b5b4 c3d1 c8d7 e3f2 e7c6 f3h4 f7f5 c2c3 b4c3 b2c3 d8a5 a1c1 d4b5 f2e1 b5a3 d1e3 c6e7 h2h1 a5a6 g3g4 d7b5 c3c4 b5c6 g4f5 b8b2 d2d1 e6f5 e1c3 g7c3 c1c3 a3b1 c3c1 b1d2 f1f2 d2c4 f2b2 c4e3 d1b3 c5c4 d3c4 e3g2 h4g2 f5e4 g2e3 a6c8 h1h2 f8f4 c1f1 f4f1 e3f1 c8e6 b3c3 e6f5 h2g1 f5g5 c3g3 g5c5 g3e3 c5e5 b2b8 g8g7 e3g3 e5f6 g3f2 e7f5 b8c8 c6a4 c8c7 g7f8 c7a7 a4d1 a7a8 f8g7 f1g3 d1f3 g3f5 f6f5 a8a7 g7g8 a7a8 g8g7 f2b2 g7h6 b2d2 g6g5 d2d6 h6h5 a8a6 h5h4 d6d2 h4h5 d2d6 h5h4 d6d4 h7h5 a6f6 f5h3 d4f2 h4g4 f2h2 h3g3 h2g3 g4g3 f6f5 e4e3 f5g5 f3g4 g1f1 h5h4 g5g8 h4h3 c4c5 h3h2
EU-ch U20,Groningen,1984.??.??,6,"Blatny, Pavel","Rechlis, Gad",0-1,2330,,B23,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 f2f4 e7e6 g1f3 d7d6 e1g1 g8e7 a1b1 e8g8 a2a3 b7b6 b2b4 d8d7 c3e2 c8b7 d2d3 f7f5 c2c3 a8e8 c1e3 b7a8 d1b3 g8h8 b1d1 d7c8 f3d2 e6e5 d2c4 c8e6 b4b5 d6d5 c4e5 c6e5 f4e5 f5e4 d3d4 e7f5 e3c1 e8d8 b3b2 a8b7 g2h3 c5d4 c3d4 b7c8 h3f5 f8f5 f1f5 e6f5 d1f1 f5g4 e2f4 g6g5 f4g2 c8e6 b2b4 d8e8 b4d6 h7h6 d6c6 e8c8 c6d6 c8c3 g2e3 g4e2 d6e6 c3c1 e3d1 c1c2 d1f2 e4e3 e6d5 e3f2 g1g2 g5g4 e5e6 c2c1 f1f2 e2e1
EU-ch U20,Groningen,1984.??.??,7,"Norwood, David","Blatny, Pavel",0-1,,2330,E51,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 e2e3 b8c6 f1d3 e8g8 e1g1 d5c4 d3c4 b4d6 c4b5 e6e5 b5c6 e5d4 f3d4 b7c6 d4c6 d8e8 c6d4 c8b7 d4f5 d6e5 f2f3 g7g6 f5g3 h7h5 d1c2 a8d8 e3e4 e5d4 g1h1 g8g7 g3e2 c7c5 c1g5 d8d7 a1d1 e8e6 e2f4 e6e5 g5f6 e5f6 c3d5 f6a6 b2b3 f8d8 f1e1 b7c6 c2c1 c6d5 f4d5 h5h4 b3b4 d8c8 b4c5 c8c5 c1f4 d4f2 e1f1 c5c2 f4e5 f7f6 d5f6 f2d4 e5f4 a6f6 f4g4 d7f7 f3f4 c2a2 e4e5 d4e5 f1f3 e5f4
EU-ch U20,Groningen,1984.??.??,8,"Dobrev, Nanko","Blatny, Pavel",0-1,,2330,D38,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 c1g5 f8b4 b1c3 h7h6 g5f6 d8f6 e2e3 e8g8 d1c2 b8c6 a1d1 d5c4 f1c4 e6e5 e1g1 e5d4 c3d5 f6d6 f3d4 c6d4 d1d4 b4c5 d4f4 g8h8 f1d1 f7f5 f4f3 b7b6 d5f4 d6f6 f3g3 g7g5 f4d5 f6g7 f2f4 g5g4 b2b4 c5d6 a2a3 h6h5 e3e4 f5e4 c2e4 c8f5 e4e2 c7c6 d5e3 d6f4 e3f5 f8f5 g3d3 g7f6 d3d7 a8f8 e2e7 f6e7 d7e7 f4g5 e7b7 b6b5 h2h4 g5e3 g1h2 b5c4 d1d7 e3f4
EU-ch U20,Groningen,1984.??.??,9,"Blatny, Pavel","Belotti, Bruno",1-0,2330,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f3 f8g7 c1e3 c7c6 d1d2 b7b5 g1e2 b8d7 e3h6 g7h6 d2h6 c8b7 g2g4 e7e5 f1g2 d8b6 d4e5 d6e5 c3d1 b6c5 a1c1 e8c8 h6e3 c5e3 d1e3 a7a5 h2h4 h7h5 g4g5 f6e8 c1d1 e8g7 g2h3 c8c7 h3d7 d8d7 d1d7 c7d7 e2c1 g7e6 c1d3 d7d6 e1f2 e6c5 d3c5 d6c5 h1d1 b7c8 e3g2 h8e8 g2e1 e8f8 e1d3 c5d6 f2e3 f8e8 a2a3 a5a4 b2b4 a4b3 c2b3 d6c7 d1c1 c7d6 c1d1 d6c7 b3b4 c8h3 d1c1 c7d6 c1c5 h3d7 a3a4 b5a4 c5a5 d7h3 a5a4 h3f1 d3c5 e8e7 a4a1 f1b5 a1a2 b5c4 a2a8 c4b5 f3f4 e5f4 e3f4 b5f1 a8b8 f1b5 f4e3 e7a7 e3d4 a7a1 e4e5 d6e7 b8b7 e7e8 c5e4 a1d1 d4c3 d1d3 c3c2 d3d4 e4d6 e8d8 b7f7 b5c4 c2c3 d4d6 f7f8
EU-ch U20,Groningen,1984.??.??,10,"Rasmussen, Karsten","Blatny, Pavel",1-0,,2330,C55,e2e4 e7e5 f1c4 g8f6 d2d3 b8c6 g1f3 f8e7 e1g1 d7d6 c2c3 c6a5 d1a4 c7c6 c4f7 e8f7 b2b4 b7b5 a4a5 d8a5 b4a5 e7d8 a2a4 a7a6 f3g5 f7g6 f2f4 e5f4 g5f3 f6h5 c1a3 c6c5 e4e5 d6e5 f3e5 g6f6 e5c6 d8c7 a3c5 c8d7 c5d4 f6f5 a4b5 a6b5 c6e7 f5g5 a5a6 c7d6 e7d5 d7c6 d5b6 a8d8 f1e1 g5f5 b1a3 d6c7 a3b5 c7b6 d4b6 d8d3 b5d4 d3d4 b6d4 h5f6 a1a5 f5g6 a6a7
