Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
RUS-chB,Vilnius,1912.??.??,1,"Hromadka, Karel","Bogoljubow, Efim",0-1,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 f8c5 e1g1 d7d6 c2c3 d4c3 b1c3 g8e7 a2a3 e8g8 b2b4 c5b6 c1g5 c8g4 c3d5 h7h6 g5h4 d8e8 h2h3 g4f3 d1f3 e7g6 h4f6 c6e5 f6e5 g6e5 f3g3 e8d8 c4b3 d8g5 g3g5 h6g5 a1d1 f8d8 g1h1 g8f8 g2g3 c7c6 d5c3 g5g4 h1g2 g4h3 g2h3 f8e7 h3g2 e5g4 d1d2 d8h8 b3d1 h8h2 g2f3 g4e3 f1e1 e3c4 d2a2 c4e5
RUS-chB,Vilnius,1912.??.??,2,"Bogoljubow, Efim","Platz, R.",1-0,,,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 b1c3 f8c5 d2d3 d8d6 c1e3 c5e3 f2e3 g8e7 d1d2 e7g6 e1c1 c8e6 c1b1 f7f6 c3e2 e8c8 d2c3 c6c5 f3d2 b7b5 d2b3 c5c4 d3c4 d6d1 h1d1 d8d1 e2c1 e6c4 b3c5 h8d8 b2b3 d1f1 b3c4 d8d1 c5d3 g6h4 c4b5 a6b5 b1b2 h4g2 c3c6 g2e3 c6e8 c8b7 e8b5 b7c8 d3c5 d1d2 b5e8
RUS-chB,Vilnius,1912.??.??,3,"Ern, H.","Bogoljubow, Efim",0-1,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 e5d4 f3d4 f8e7 b5c6 b7c6 d1d3 e8g8 c1g5 a8b8 a1b1 f6g4 g5e7 d8e7 f2f4 f7f5 b1e1 f5e4 e1e4 e7h4 d4f3 h4h5 d3d4 c6c5 d4c4 g8h8 e4e7 d7c6 h2h3 c6f3 f1f3 g4e5 e7e5 d6e5 c4c5 h5e8 c5c7 e5f4 c7a7 b8b2 a7f2 e8g6 f3f4 f8f4 f2f4 h7h6 c3d5 b2c2 d5e3 c2a2
RUS-chB,Vilnius,1912.??.??,7,"Bogoljubow, Efim","Langleben, S.",1-0,,,A82,d2d4 f7f5 e2e4 d7d6 b1c3 g8f6 f1d3 f5e4 c3e4 g7g6 e4f6 e7f6 d1e2 d8e7 c1e3 f8g7 e1c1 e8g8 h2h4 f6f5 d3c4 g8h8 e2d2 h7h5 e3g5 e7d7 g1f3 b7b5 c4b3 c8b7 h1e1 b7e4 f3g1 a7a5 a2a3 a5a4 b3a2 b5b4 d2b4 b8c6 b4c4 d6d5 c4c5 e4g2 f2f3 a8a5 c5c3 a5b5 c1b1 f8b8 g5c1 c6d4 d1d4 c7c5 d4d5 g7c3 d5d7 b5b2 c1b2 c3b2 e1e7 b2d4 b1c1
RUS-chB,Vilnius,1912.??.??,8,"List, Paul","Bogoljubow, Efim",0-1,,,D15,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 e2e3 d8b6 b1c3 c8f5 f1d3 f5d3 d1d3 e7e6 e1g1 f8b4 c3e2 b4e7 a2a3 b8d7 c4c5 b6c7 b2b4 e8g8 c1b2 f6e4 f3e5 f7f6 e5d7 c7d7 f2f3 e4g5 e3e4 f6f5 e4e5 g8h8 a1e1 g5f7 e2g3 f7h6 b2c1 g7g5 h2h4 f8g8 g3h5 g8g6 h4g5 e7g5 c1g5 g6g5 h5f4 a8g8 g1f2 d7g7 f1g1 g5g3 f2e2 h6g4 g1h1 g3g2 f4g2 g4f2 d3e3 f2h1 g2f4 g7h6 e2d3 h1f2 d3c3 f2h3 f4h3 h6h3 e1e2 g8g3
RUS-chB,Vilnius,1912.??.??,12,"Vait, A.","Bogoljubow, Efim",0-1,,,D15,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 b1c3 d5c4 e2e3 b7b5 a2a4 f6d5 a4b5 d5c3 b2c3 c6b5 f3e5 c8b7 a1b1 d8d5 f2f3 f7f5 d1c2 e7e6 c2b2 b7a6 f1c4 b5c4 b2b8 a8b8 b1b8 e8e7 e3e4 f5e4 c1g5 e7d6 e5f7 d6c7 g5f4 f8d6 f4d6 d5d6 b8h8 d6f4 e1g1 e4e3 f7d8 a6c8 g2g3 f4f5 d8c6 f5c2 f1e1 c2c3 g1f1 c3d3
RUS-chB,Vilnius,1912.??.??,15,"Bogoljubow, Efim","Gargulak, M.",0-1,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 d4e5 c6e5 b5d7 d8d7 f3d4 e8c8 f2f4 e5c6 g1h1 h7h5 d4c6 d7c6 c3d5 c6d7 d1d4 c7c5 d4c4 f6d5 e4d5 e7f6 a1b1 b7b5 c4b3 d7b7 a2a4 b5b4 b3c4 h8e8 c2c3 a7a5 c3b4 a5b4 b2b3 e8e7 c1d2 d8e8 f1e1 e7e1 d2e1 f6d4 e1d2 g7g6 b1c1 c8b8 c1e1 e8e1 d2e1 b8a7 e1h4 b7a6 c4c1 a6e2 h4g3 c5c4 f4f5 c4c3 g3f4 c3c2 h2h3 e2d1 h1h2 d4e5 c1e3 a7b7 g2g3 e5f4 e3e7 b7a6 g3f4 d1d2 h2g3 c2c1q e7d6 a6b7 d6d7 c1c7 d7b5 b7a7
St Petersburg,St Petersburg,1913.??.??,?,"Bogoljubow, Efim","Nimzowitsch, Aaron ",0-1,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 d1g4 c7c5 g1f3 a7a6 d4c5 d8c7 g4g3 d7c5 f1d3 g7g6 c1f4 b8c6 e1g1 c6e7 a1c1 f8g7 b2b4 c5d7 c3e2 e8g8 e2d4 e7c6 d4c6 b7c6 c2c4 d5c4 d3c4 c7b8 c1b1 d7b6 f3d2 f8d8 f1c1 b6d5 c1e1 d5f4 g3f4 g7e5 e1e5 d8d2 f4g5 b8d6 b1e1 d6d4 c4f1 d4f2 g1h1 f7f6 g5e3 f6e5
St Petersburg,St Petersburg,1913.??.??,?,"Alekhine, Alexander","Bogoljubow, Efim",0-1,,,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 g8e7 d2d4 e5d4 c3d4 c5b4 c1d2 b4d2 d1d2 a7a6 b5a4 d7d5 e4d5 d8d5 b1c3 d5e6 e1f1 e6c4 f1g1 e8g8 d4d5 f8d8 d2e1 c8g4 a4b3 c4f4 d5c6 g4f3 e1e7 f3c6 h2h4 d8d2 a1f1 a8e8 e7g5 d2f2 b3f7 g8h8 f1d1 f4f7 d1d2 h7h6 d2f2 e8e1 g1h2 f7f2 g5g4 c6g2
Baden-Baden m,Baden-Baden,1914.??.??,?,"Rabinovich, Ilya Leontievich","Bogoljubow, Efim",1/2-1/2,,,D07,d2d4 d7d5 g1f3 b8c6 c2c4 c8g4 c4d5 g4f3 g2f3 d8d5 e2e3 e7e5 b1c3 f8b4 c1d2 b4c3 b2c3 e5d4 c3d4 g8e7 f1d3 e8g8 e1g1 a8d8 d3e4 d5d6 a1b1 b7b6 d1c2 f7f5 e4c6 e7c6 f1c1 f8f6 c2c4 g8h8 f3f4 f6h6 b1b5 d6g6 g1f1 d8d6 f1e2 h6h2 d2e1 g6e8 b5e5 c6e5 f4e5 d6d7 e5e6 d7e7 d4d5 h2h6 e1b4 c7c5 b4e1 e8h5 f2f3 h5h2 e1f2 h6g6 c4h4 h2d6 c1d1 h8g8 h4h3 f5f4 e3e4 b6b5 h3f5 g6f6 f5g5 f6g6 g5f5 g6f6
