Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
USA op,Aspen,1968.??.??,?,"De Fotis, Gregory","Browne, Walter S",1/2-1/2,,,E07,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 g2g3 f8e7 f1g2 e8g8 g1f3 b8d7 e1g1 d5c4 e2e4 c7c5 d4d5 e6d5 e4e5 f6g4 d1d5 d7b6 d5e4 d8d3 h2h3 d3e4 c3e4 c8f5 e4d6 g4h6 d6b7 f5d3 f1d1 h6f5 c1g5 f7f6 e5f6 g7f6 g5f4 b6d5 f4c1 d5b4 f3e1 f5d4 c1h6 f8c8 a2a3 b4c6 e1d3 c4d3 g2d5 g8h8 d1d3 a8b8 d5c6 c8c6
USA op,Aspen,1968.??.??,?,"Nolte, J.","Browne, Walter S",0-1,,,E65,g1f3 c7c5 c2c4 b8c6 b1c3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 e2e3 d7d6 d2d4 c8g4 h2h3 g4d7 d4d5 c6a5 d1d3 a7a6 f3d2 b7b5 b2b3 b5b4 c3e2 d7f5 e3e4 f6e4 d2e4 g7a1 c1h6 a1g7 h6g7 g8g7 g3g4 f5d7 f2f4 f7f5 g4f5 d7f5 e2g3 d8d7 g3f5 d7f5 d3e3 h7h6 e4g3 f5f6 g1h1 f6c3 e3e7 f8f7 e7h4 c3d4 h4g4 a8e8 h3h4 g7h7 h4h5 g6g5 g3f5 d4f6 f4g5 f6g5 g4g5 h6g5 f5d6 f7f1 g2f1 e8e1 h1g2 e1a1 f1d3 h7h6 d6f7 h6h5 d5d6 a1a2 g2f3 g5g4 f3g3 a2d2 d3f5 a5c6 d6d7 a6a5 f5e6 h5g6 e6d5 d2d5 c4d5 g6f7
USA op,Aspen,1968.??.??,?,"Avram, Herbert Mois","Browne, Walter S",0-1,,,E75,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4d5 e7e6 g1f3 h7h6 g5e3 e6d5 e4d5 c8g4 d1d2 g8h7 e1g1 f8e8 a1e1 a7a6 h2h3 g4f3 e2f3 b8d7 e3f4 d8c7 e1e8 f6e8 f3e2 a8b8 f4g3 g7d4 g1h1 e8f6 f2f4 b8e8 e2d3 d4e3 d2d1 h7g7 g3h2 e3d4 d1c2 d7f8 c3e2 d4e3 h2g3 f8h7 g3e1 c7d7 e1c3 d7e7 b2b3 h6h5 c3b2 h5h4 c2c3 g7h6 f1f3 f6h5 f4f5 h7g5 f3f1 g5e4 d3e4 e7e4 f5g6 f7g6 h1h2 e3g5 f1f2 e4e3 c3e3 g5e3 f2f1 e3d2 e2g1 d2f4 g2g3 f4g3 h2g2 h5f4 g2h1 g6g5 b2c1 h6h5 c1f4 g3f4 h1g2 e8e3 f1f3 e3e4 f3f2 g5g4 f2e2 e4e2 g1e2 f4d2 e2g1 h5g5 g2f2 g5f5 f2g2 f5f4 h3g4 f4g4 g1e2 h4h3 g2h1 b7b5 h1h2 b5c4 b3c4 d2e3 a2a4 e3d2 e2g1 d2f4 h2h1 f4e5 g1e2 g4f3 e2g1 f3e4 a4a5 e4d3 g1f3 e5c3
USA op,Aspen,1968.??.??,?,"Burgar, Wesley","Browne, Walter S",0-1,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1c4 d7d6 e1g1 e7e6 d2d3 g8e7 d1e2 e8g8 a2a4 b7b6 c1d2 a7a6 g1h1 a8b8 a1e1 b6b5 c4b3 d6d5 e2f2 c5c4 b3a2 b5b4 c3d1 b4b3 a2b1 b3c2 b1c2 c4d3 c2d3 c6b4 d3b1 d5e4 b1e4 e7d5 f3e5 c8b7 d1c3 d8e7 f2g3 e7c7 c3d5 b4d5 e1c1 c7e7 g3e1 g7h8 b2b4 f8c8 c1c8 b8c8 e1b1 c8b8 f1c1 e7d6 b1d3 h8e5 f4e5 d6e5 e4d5 e5d5 d3d5 b7d5 h1g1 b8b7 d2c3 f7f5 g1f2 g8f7 g2g3 g6g5 f2e3 d5b3 h2h4 g5h4 g3h4 b3a4 c1g1 e6e5 g1g5 f7e6 g5g8 b7c7 c3d2 c7c4 g8b8 f5f4 e3f2 a4b5 b8b7 c4c2 f2e1 f4f3
USA op,Aspen,1968.??.??,?,"Fritzinger, Dennis","Browne, Walter S",0-1,,,A00,b2b4 d7d5 c1b2 c8f5 g1f3 e7e6 e2e3 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1 b8d7 d2d4 d8a8 a1c3 f6e4 c3b2 a8a5 f3d2 f8b4 f2f3 e4d2 b1d2 d7b6 d1c1 b6a4 b2a1 e8d7 e1d1 a4c3 a1c3 b4c3 d2b3 a5b4 g2g4 f5g6 h2h4 h7h6 h4h5 g6h7 c1b1 h8a8 b3c5 d7c8 b1b4 c3b4 c5b3 a8a2 h1h2 a2b2 b3c1 b2b1 f1d3 h7d3 c2d3 b4a3 h2c2 c8b8 e3e4 b1c1 c2c1 a3c1 d1c1 b8a7 f3f4 a7b6 f4f5 e6f5 e4f5 f7f6 c1b2 b6b5 b2b3 b5a5 b3a3 b7b5 a3b3 b5b4 b3a2 a5a4 a2b2 b4b3 b2a1 a4b4 a1b2 c7c6
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Weinstein, Norman",1-0,,,B79,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 g8f6 f1c4 e8g8 c4b3 d7d6 f2f3 c8d7 d1d2 d8a5 e1c1 f8c8 h2h4 c6e5 c1b1 e5c4 b3c4 c8c4 d4b3 a5c7 e3d4 d7e6 d2e3 a7a5 d1d3 a5a4 d4b6 c7c8 b3a5 c4b4 a2a3 b4b6 e3b6 f6d7 b6b7 c8b7 a5b7 a8b8 b7a5 d7e5 h1d1 e5d3 d1d3 g7f6 g2g3 b8a8 a5c6 e6c4 d3e3 a8c8 c6a5 f6d4 a5c4 c8c4 e3d3 d4c3 d3c3 c4d4 c3d3 d4c4 d3d5 g8g7 c2c3 c4c5 d5c5 d6c5 c3c4 g7f6 b2b3 a4b3 b1b2 f6e5 b2b3 e5d4 a3a4 d4e5 a4a5 e5d6 e4e5 d6c6 b3a4 h7h6 g3g4 g6g5 h4h5 e7e6 a5a6 c6b6 a6a7 b6a7 a4b5
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Subramanian, Subu",1-0,,,A08,e2e4 e7e6 d2d3 d7d5 b1d2 c7c5 g2g3 b8c6 f1g2 g8f6 g1f3 f8e7 e1g1 e8g8 d1e2 b7b6 e4e5 f6d7 f1e1 c8b7 h2h4 a8c8 d2f1 c5c4 d3d4 c4c3 b2b3 c6b4 a2a3 b7a6 e2d1 b4c6 h4h5 h7h6 f1h2 f8e8 g2h3 d7f8 c1f4 f8h7 d1c1 e7g5 c1e3 c8c7 g1h1 c6b8 f4g5 h6g5 h2g4 f7f5 e5f6 g7f6 g4h2 e6e5 d4e5 f6e5 h3f5 d5d4 f3d4 a6b7 d4f3 d8d2 h1g1 d2e3 e1e3 c7e7 h2g4 b7f3 f5h7 g8h7 g4f6 h7h8 f6e8 g5g4 e8d6 e7d7 d6c4 e5e4 c4e5 d7c7 e5f3 e4f3 a1e1 b8c6 e3c3 h8g7 e1e6 c7d7 c3c6 d7d1 g1h2 d1d2 e6g6 g7f7 c6c7
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Brandts, Paul",1-0,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 c8g4 f4e5 d6e5 d1a4 g4d7 a4c2 b8c6 b2b4 c5d6 f1c4 d8e7 d2d3 e8c8 e1g1 d8f8 c1e3 g7g6 b1a3 a7a6 g1h1 f7f5 b4b5 d6a3 b5c6 d7c6 f3e5 c6e8 d3d4 a3d6 e4f5 c7c5 a1e1 e7h4 e3f4 d6c7 c4e6 c8b8 d4d5 b8a8 c2d2 c7d6 e5c4 d6f4 f1f4 h4g5 c4e5 g8f6 d5d6 g6f5 d6d7 e8g6 e5f3 g5h6 d2d6 f6e4 d6c7 e4c3 f4h4 c3b5 c7c8 f8c8 d7c8q h8c8 h4h6
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Benko, Pal C",1-0,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 d8b6 d4b3 e7e6 c1e3 b6c7 f2f4 f8e7 c4d3 a7a6 d1f3 b7b5 g2g4 c8b7 g4g5 f6d7 e1c1 c6b4 c1b1 d6d5 e4d5 b4d3 d1d3 b5b4 c3a4 b7d5 d3d5 e6d5 f3d5 e8g8 b3d4 f8e8 d4f5 a8c8 h1c1 c7c6 d5c6 c8c6 c1d1 d7f8 a4b6 e7c5 b6d5 g8h8 b2b3 c5e3 f5e3 a6a5 d1d2 e8d8 d2d3 f8e6 a2a3 b4a3 b1a2 c6d6 a2a3 e6c5 d3d4 h7h6 h2h4 h8g8 g5h6 g7h6 e3f5 g8f8 f5d6 d8d6 c2c4 d6g6 d5e3 g6g3 d4d5 c5e6 e3f5 g3f3 d5a5 f8e8 a5a8 e8d7 a8a7 d7c6 a7f7 f3f4 f5h6 f4h4 f7f6 c6d7 h6f5 h4f4 f6f7 d7d8 f5d6 f4d4 d6b5 d4d3
San Juan,San Juan,1969.??.??,1,"Browne, Walter S","Donner, Jan Hein",1/2-1/2,,,B16,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6 f1c4 c8f5 g1e2 e7e6 e1g1 h7h5 c4d3 f5d3 d1d3 f8d6 c1f4 h5h4 h2h3 d8c7 f4d6 c7d6 d3b3 b7b6 c2c4 b8d7 a1c1 e8c8 c4c5 b6c5 d4c5 d6c7 b3a4 h8h5 b2b4 h5d5 b4b5 d7c5 a4a3 c6b5 e2c3 d5d3 a3b4 d3d4 b4b5 a7a6 b5b1 d4c4 c3e2 c5d3 c1c4 c7c4 b1b6 c4b5 b6a7 b5b7 a7e3 f6f5 e2c1 f5f4 e3d2 b7b2 d2a5 b2b5 a5a3 f4f3 c1d3 b5d3 f1c1
