Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
CUB-ch,Matanzas,1997.03.20,5,"Bruzon, Lazaro","Rodriguez, Amador",0-1,,2555,B53,e2e4 c7c5 g1f3 b8c6 f1b5 d7d6 d2d4 c5d4 d1d4 c8d7 b5c6 d7c6 c2c4 f7f5 b1c3 f5e4 f3g5 e7e5 d4e3 g8f6 g5e4 f6e4 c3e4 d8h4 e4g5 h4c4 b2b3 c4g4 e3g3 g4d4 a1b1 h7h6 c1b2 d4d5 g5f3 d5e4 e1d2 e4d5 d2c2 c6b5 f3d2 f8e7 g3g6 d5f7 g6f7 e8f7 b2c3 a8c8 c2b2 c8c6 b1c1 h8c8 c3b4 f7e6 d2e4 b5d3 e4c3 e7f6 f2f3 d6d5 c3a4 e5e4 b4c3 f6g5 c1d1 b7b5
CUB-ch,Matanzas,1997.03.22,7,"Bruzon, Lazaro","Vera, Reynaldo",0-1,,2510,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 h7h6 g5f6 g7f6 e1c1 a7a6 c1b1 c8d7 f2f4 d8b6 d4c6 d7c6 f1c4 b6c5 d2e2 e8c8 f4f5 d8e8 c4b3 h6h5 h1f1 c5e5 d1d3 h5h4 d3f3 f8e7 e2f2 e7d8 f5e6 f7e6 f3f4 c8b8 a2a3 h8h6 f4h4 h6h4 f2h4 f6f5 h4h5 e8h8 h5f7 f5e4 f7e6 e5e6 b3e6 e4e3 f1e1 d8g5 e6d5 h8h2 d5c6 b7c6 c3e4 g5h6 g2g4 h6f4 e1f1 h2g2 e4c3 g2g4 c3e2 f4g5 e2d4 g4d4 f1e1 d4d5 c2c3
CUB-ch,Matanzas,1997.03.29,13,"Bruzon, Lazaro","Arencibia, Walter",1-0,,2560,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6b7 f3d4 e8g8 b1c3 e7c5 f1d1 d8e8 c1f4 b7d8 f4g3 d8e6 d4b3 c5e7 c3e4 f7f5 e5f6 g7f6 b3d4 f6f5 d4e6 d7e6 e4d2 f5f4 g3h4 e7h4 e2g4 e8g6 g4h4 a8b8 d2c4 f4f3 h4g3 c8a6 d1d4 g6g3 h2g3 f3g2 b2b3 b8b5 a1e1 b5h5 e1e5 h5e5 c4e5 f8f5 e5g4 g8f8 g4e3 f5a5 a2a4 f8e7 g1g2 a5g5 d4h4 g5g7 h4h6 c6c5 e3f5 e6f5 h6a6 c5c4 a6a7 c4b3 c2b3 e7d6 g2f3 g7g4 a7b7 h7h5 a4a5 h5h4 a5a6 h4g3 f2g3 g4g8 b3b4 g8a8 b4b5 c7c6 b7b6 d6c5 b6c6 c5b5 c6f6 a8a7 f3f4 a7g7 f6f5 b5a6 g3g4 a6b7 f5c5 b7b6 c5c4 b6b5 c4c8
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Paneque, Pedro","Bruzon, Lazaro",1-0,2345,2345,A12,c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5 f1g2 e7e6 e1g1 f8e7 c1b2 b8d7 d2d3 h7h6 b1d2 e8g8 a2a3 a7a5 a1c1 d8b8 c1c2 e6e5 c4d5 c6d5 e2e4 d5e4 d3e4 f5h7 d1e2 e7d6 f3h4 f8c8 c2c8 b8c8 d2c4 d6c7 f1c1 c8e8 h4f5 e8e6 g2h3 e6a6 f5h6 g8f8 h3d7 f6d7 h6f5 a5a4 e2d2 d7f6 d2b4 f8g8 f5e7 g8h8 e7d5 f6d5 e4d5 f7f6 b4e7 c7d8 e7e8 h7g8 b3b4 b7b5 c4e3 d8b6 e8h5 g8h7 h5f7 a8d8 c1d1 a6a8 e3g4 h7e4 g4f6 g7f6 f7f6 h8h7 f6b6 e4d5 b6c7 h7g6 c7e5
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Pineda, Boris","Bruzon, Lazaro",0-1,2295,2345,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 h7h6 e1g1 e8g8 c3a4 c8e6 f3d2 d8d7 a1b1 e6h3 d2e4 f6e4 d3e4 a7a5 b2b3 a8d8 a2a3 g8h8 a4c3 c6e7 b3b4 h3g2 g1g2 a5b4 a3b4 c5d4 c3b5 d4b6 d1d3 d7e6 b5c3 c7c6 b4b5 b6d4 b5c6 b7c6 c1a3 d8a8 b1b3 f8b8 f1b1 b8b3 b1b3 d4c3 b3c3 c6c5 c3b3 a8a6 a3c1 h8h7 c1e3 e7c8 f2f4 c8b6 f4e5 b6c4 e3f2 a6c6 d3d5 c4e5 d5d1 c6a6 d1b1 e6c4 b3b2 a6a4 g2g1 a4b4 b2b4 c5b4 b1d1 b4b3
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Vazquez, Renier","Bruzon, Lazaro",1/2-1/2,2360,2345,B01,e2e4 d7d5 e4d5 d8d5 d2d4 e7e5 g1f3 e5d4 d1d4 d5d4 f3d4
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Alvarez, Jose","Bruzon, Lazaro",1/2-1/2,2390,2345,A57,d2d4 g8f6 g1f3 c7c5 d4d5 d7d6 c2c4 b7b5 c4b5 a7a6 b5b6 b8d7 b1c3 d7b6 e2e4 g7g6 a2a4 c8g4 f1e2 f8g7 a4a5 b6d7 e1g1 e8g8 h2h3 g4f3 e2f3 f6e8 f3e2 e8c7 f2f4 a8b8 e2c4 b8b4 d1d3 d8b8 c3a4 b8a7 a1a2 g7d4 g1h1 b4b8 c1d2 g8h8 d2c3 c7b5 a2a1 f7f6 h3h4 a7c7 g2g3 f8g8 a1a2 g8g7 b2b3 d4c3 a4c3 b5d4 c3e2 d4b5 e2g1 c7c8 g1f3 c8c7 d3e3 b8f8 g3g4 g7f7 f1f2 c7c8 f2h2 f7g7 a2g2 c8d8 g2a2 d8a8 h2h3 b5c7 a2g2 a8b7 h4h5 g6g5 h5h6 g7g6 f4g5 f6g5 f3g5 d7e5 g5f3 e5g4 e3c3 g4f6 g2g6 h7g6 h3g3 f8g8 f3g5 g8f8 g5f3 f8g8 f3g5 g8f8 g5f3 f8g8 f3g5
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Bruzon, Lazaro","Barrio, D.",1/2-1/2,2345,2355,A24,c2c4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 d2d3 d7d6 a1b1 e7e5 g1f3 f8e8 e1g1 e5e4 f3e1 e4d3 e1d3 c7c6 f1e1 a7a5 b2b3 b8a6 c1b2 c8f5 e2e4 f5g4 d1d2 d8c7 h2h3 g4e6 b1c1 f6d7 c3d1 c7d8 b2g7 g8g7 d1e3 d7c5 f2f4 f7f6 d3f2 e6f7 c1d1 d8b6 d2b2 b6c7 e3g4 c5d7 g1h2 a6c5 b2d2 a5a4 b3b4 c5a6 d2c3 h7h5 g4f6 d7f6 e4e5 d6e5 f4e5 c7e7 a2a3 a8d8 e5f6 e7f6 c3f6 g7f6 c4c5 e8e1 d1e1 f7d5 g2d5 d8d5 f2e4 f6g7 e4d6 d5d2 h2h1 d2d3 e1a1 d3g3 h1h2 g3b3 d6b7 a6c7 b7d8 c7b5 d8c6 g7f6 a1f1 f6e6 f1f8 g6g5 f8b8 b3b2 h2g1 b5a3 c6d4 e6e5 c5c6 b2b1 g1g2 b1c1 d4f3 e5d6 f3g5 c1c2 g2g3 d6c6 g5f3 c2b2 b8c8 c6b7 c8c5 b2b4 c5h5 a3b5 h5h7 b7b6 h7h6 b6b7 h6h7 b7b6 h7h6 b6b7 h6h7 b7c6
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Bruzon, Lazaro","Blanco, Cesar Augusto",1/2-1/2,2345,2335,B30,e2e4 c7c5 g1f3 b8c6 f1b5 c6d4 f3d4 c5d4 e1g1 g7g6 d2d3 f8g7 b1d2 e7e6 d2c4 d8c7 c1d2 a7a6 d2a5 c7b8 a5b4 g7f8 b4f8 e8f8 c4b6 a6b5 b6a8 b8a8 d1d2 a8a4 b2b3 a4a3 c2c3 d7d6 c3d4 c8d7 a1c1 f8g7 c1c7 d7c6 f2f4 g8f6 f4f5 a3a7 f5e6 a7d4 d2f2 d4f2 f1f2 h8f8 h2h4 h7h6 g2g4 g6g5 h4g5 h6g5 f2f5 g7g6 c7f7 f8f7 e6f7 g6f7 f5g5 c6d7
Adelquis Remon,Adelquis Remon,1997.??.??,?,"Bruzon, Lazaro","Gomez, F.",1/2-1/2,2345,2335,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b5c6 d7c6 b1c3 f5e4 c3e4 g8f6 d1e2 c8g4 d2d3 f6e4 e2e4 g4f3 g2f3 f8d6 c1e3 e8g8 h1g1 d8f6 g1g3 f6e6 e1e2 f8f7 c2c4 a8e8 a1g1 d6f8 g3g5 b7b6 h2h4 e6d6 g5h5 g7g6 h5g5 e8e6 e2d1 f8h6 g5g4 h6g7 h4h5 g6h5 g4h4 e6g6 g1h1 d6f6 h4h5 h7h6 d1e2 f6e6 h5h3 e6d6
