Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12,Cannes,1997.??.??,1,"Redpath, Joseph",Bu Xiangzhi,0-1,,,A03,f2f4 d7d5 g1f3 g7g6 e2e3 f8g7 f1e2 c7c5 e1g1 b8c6 d2d4 g8f6 c2c3 e8g8 d1e1 f6e4 b1d2 e4d2 c1d2 f7f6 e1g3 c8f5 d2e1 e7e5 a1d1 c5d4 c3d4 e5e4 f3d2 d8e7 d2b1 f5e6 a2a3 f6f5 b2b4 a7a5 b4b5 c6b8 e1c3 f8c8 g3e1 b7b6 a3a4 a8a7 e1d2 g8h8 d1c1 g7h6 c3b2 c8g8 b2a3 e7d8 g1h1 g6g5 g2g3 a7g7 f1g1 g7g6 e2h5 g6f6 h5e2 f6g6 e2h5 g6g7 h5e2 g7f7 e2h5 f7d7 h5e2 h6f8 a3f8 d8f8 c1f1 f8h6 e2d1 d7g7 d2f2 b8d7 b1a3 d7f6 a3c2 g5g4 c2e1 g8c8 e1g2 g7c7 f1e1 h6f8 e1e2 f6e8 g2e1 e8d6 e1c2 d6c4 c2a1 f8b4 a1b3 b4a4 b3c5 a4b5 c5e6 c7e7 e6g5 h7h6 h2h3 h6g5 f4g5 e7h7 f2f5 b5d7 f5d7 h7d7 e2e1 c8g8 d1g4 d7a7 g4e6 g8d8 g1f1 a5a4 f1f5 a4a3 f5d5 d8d5 e6d5 b6b5 h1g1 a7c7 e1c1 b5b4 c1c4 a3a2 c4c7 a2a1q g1f2 a1b2 f2g1 b2b1 g1f2 b4b3 c7c8 h8g7 c8g8 g7h7 g5g6 h7h6 g8b8 b1c2 f2g1 b3b2 d5a2 c2c1 g1f2 c1d2 f2f1 d2e3 d4d5 e3f3
Wch U12,Cannes,1997.??.??,2,Bu Xiangzhi,"Tuncer, Yunus",1-0,,,D03,d2d4 d7d5 g1f3 g8f6 c1g5 b8c6 e2e3 c8g4 b1d2 e7e6 c2c3 f8e7 d1a4 e8g8 f3e5 c6e5 d4e5 f6e4 g5e7 d8e7 d2e4 d5e4 a4e4 g4f5 e4f4 a8d8 f1e2 f5d3 e2d3 d8d3 e1g1 f8d8 f4a4 a7a6 a1d1 e7d7 a4d7 d8d7 d1d3 d7d3 f1b1 f7f6 e5f6 g7f6 g2g4 f6f5 g4f5 e6f5 g1g2 g8f7 g2f3 f7f6 f3e2 d3d5 b1d1 d5e5 d1d7 f5f4 d7h7 f4e3 f2e3 e5e7 h7e7 f6e7 e2f3 c7c5 h2h4 b7b5 h4h5 a6a5 a2a4 b5b4 f3e4 c5c4 e4d5 b4c3 b2c3 e7d7 d5c4 d7e6 c4b5 e6f6 c3c4
Wch U12,Cannes,1997.??.??,3,"Naiditsch, Arkadij",Bu Xiangzhi,1/2-1/2,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4b5 f8b4 a2a3 b4c3 b5c3 d7d5 e4d5 e6d5 f1d3 e8g8 e1g1 h7h6 c3e2 f8e8 h2h3 f6e4 e2f4 c8f5 c2c3 d5d4 c3d4 c6d4 c1e3 e4g3 f1e1 f5d3 d1d3 d4e2 g1h2 e2f4 d3d8 a8d8 e3f4 g3e4 f4e3 b7b6 a3a4 e4d6 e3f4 d6e4 h2g1 e4c5 e1e8 d8e8 f4e3 e8e4 e3c5 b6c5 b2b3 c5c4 f2f3 e4d4 b3c4 d4c4 a4a5 g7g6 g2g4 c4c2 h3h4 g8g7 a1b1 c2c5 b1a1 h6h5 g1f2 h5g4 f3g4 c5c2 f2f3 c2c3 f3g2 a7a6 a1a4 g7h7 g4g5 h7g7 g2f2 c3c5 f2f3 f7f6 g5f6 g7f6 f3g4 f6g7 g4g3 g7h6 g3g4 c5b5 g4g3 h6h5 g3h3 b5b1 h3g2 b1b2 g2g3 h5h6 g3h3 b2b3 h3g4 b3c3 g4f4 h6h5 f4e5 c3c5 e5f6 c5c1 f6f7 c1f1 f7e6 f1f2 e6e7 h5h6 e7d6 f2c2 d6e6 c2d2 e6e7 h6h5 e7e6 d2h2 e6f6 h2e2 f6g7 e2f2 a4c4 f2f5 c4a4 f5b5 g7f6 h5h6 f6e6 h6g7 e6e7 b5f5 e7e6 g7h6 e6e7 h6h5 e7e6 f5f1 e6e7 f1h1 e7f6
Wch U12,Cannes,1997.??.??,4,"Llobell Cortell, Enrique",Bu Xiangzhi,1/2-1/2,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1c4 e7e6 f4f5 g8e7 f5e6 d7e6 d2d3 e8g8 e1g1 a7a6 a2a4 c6d4 f3d4 c5d4 c3e2 e7c6 d1e1 c8d7 c1d2 a8c8 e1f2 d8e7 g1h1 e6e5 e2g1 d7e6 c4e6 e7e6 g1f3 f7f6 h2h4 a6a5 h4h5 g6g5 f3h2 c6b4 d2b4 a5b4 b2b3 c8c3 f2e2 f8c8 a1a2 c8c6 f1f2 e6c8 h2g4 h7h6 g4h2 c6a6 a2b2 c3c7 e2g4 c8g4 h2g4 c7c5 g4h2 b7b5 a4b5 c5b5 g2g4 g8f7 h1g2 a6a1 f2f1 b5a5 f1a1 a5a1 h2f1 f7e6 g2f2 g7f8 f1g3 e6d7 g3f5 d7c6 f2g2 c6b5 g2f2
Wch U12,Cannes,1997.??.??,5,Bu Xiangzhi,"Buckley, Simon T",1-0,,2110,E97,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 e7e5 e1g1 b8c6 d4e5 d6e5 d1d8 f8d8 c1g5 c6d4 f3d4 d8d4 g5e3 d4d7 b2b3 c7c6 f2f3 d7d8 f1d1 d8d1 c3d1 f6d7 d1b2 d7f8 a1d1 f8e6 c4c5 e6d4 e3d4 e5d4 b2c4 c8e6 c4a5 a8b8 g1f1 g8f8 e2c4 f8e8 f3f4 e6c4 b3c4 g7f8 a5b3 b8d8 f1e2 f7f6 d1d3 e8f7 b3a5 d8d7 d3b3 f8c5 b3b7 d7b7 a5b7 c5b6 c4c5 b6c7 g2g3 g6g5 f4g5 f6g5 e2d3 f7e6 d3d4 h7h5 b7d6 c7d6 c5d6 e6d6 e4e5 d6e6 a2a4 h5h4 a4a5 h4h3 a5a6 g5g4 d4c5 e6e5 c5c6 e5e4 c6b7 e4f3 b7a7 f3g2 a7b8 g2h2 a6a7 h2g3 a7a8q g3h2 a8a2 h2g1 a2b1 g1h2 b1c2 h2g1 c2d1 g1f2 d1h1 g4g3 h1h3 g3g2 h3h2 f2f1 h2f4 f1e2 f4g3 e2f1 g3f3 f1g1 b8c7 g1h2 f3f2 h2h1 f2h4
Wch U12,Cannes,1997.??.??,6,Bu Xiangzhi,"Meszaros, Tamas",1-0,,2185,A48,d2d4 g8f6 g1f3 g7g6 c1g5 f6e4 g5f4 d7d5 b1d2 f8g7 e2e3 c8f5 d2e4 f5e4 f3d2 e8g8 d2e4 d5e4 c2c3 c7c5 d4c5 d8a5 d1c2 b8c6 a1c1 a5a2 b2b4 a2a3 f1e2 a7a5 e1g1 a5a4 e2c4 f8d8 h2h4 d8d7 h4h5 e7e6 h5g6 h7g6 f4d6 c6e7 c4b5 e7c6 b5c4 c6e7 c2e4 e7f5 d6e5 g7e5 e4e5 a3b2 c1a1 a4a3 a1a2 d7d2 a2b2 a3b2 e5e4 a8a1 c4d3 f5e7 d3b1 e7d5 e4e5 a1a3 b4b5 d5c3 c5c6 c3b1 c6b7
Wch U12,Cannes,1997.??.??,7,"Volokitin, Andrei",Bu Xiangzhi,0-1,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4c6 b7c6 e4e5 f6d5 c3e4 f7f5 e5f6 d5f6 e4d6 f8d6 d1d6 d8a5 c1d2 a5d5 d6d5 c6d5 e1c1 d7d6 f2f3 a7a5 f1b5 c8d7 b5d3 d7c6 d1e1 e8d7 h2h4 h8b8 c2c3 a5a4 h1h3 a8a7 c1b1 a7b7 d2c1 d5d4 c3c4 g7g6 e1e2 e6e5 c1g5 b8f8 g5f6 f8f6 h4h5 d7e6 h5g6 h7g6 e2e1 b7g7 e1h1 g6g5 h3h7 g7h7 h1h7 g5g4 h7c7 g4f3 g2g3 e5e4 d3f1 f6h6
Wch U12,Cannes,1997.??.??,8,Bu Xiangzhi,"Riazantsev, Alexander",0-1,,2330,E21,d2d4 g8f6 c1g5 e7e6 c2c4 f8b4 b1c3 e8g8 g1f3 d7d6 e2e3 b8d7 d1b3 b4c3 b3c3 d8e7 f1d3 b7b6 e1g1 c8b7 e3e4 h7h6 g5f6 e7f6 f1e1 e6e5 a1d1 a8d8 d3c2 e5d4 f3d4 d7c5 f2f3 c5e6 d4e2 f6e5 b2b3 e6f4 c3e3 f4e2 e1e2 f8e8 d1e1 a7a5 g1h1 e8e7 e3f2 d8e8 c2d3 b7c6 e1d1 e8a8 a2a3 e5c3 d3c2 a8e8 e2d2 c3b2 a3a4 b2e5 h2h3 e7e6 d2d4 e5f6 f2d2 h6h5 d1e1 f6e5 e1f1 e5g3 d2f2 g3g5 f2d2 g5c5 f1d1 c5e5 d2f2 e5f4 d1e1 e6e5 e1f1 h5h4 f2d2 f4f6 d2f2 e5e7 d4d2 f6g5 f1g1 c6d7 d2d5 g5f4 f2d2 f4d2 d5d2 d7c6 g1d1 g7g6 h1g1 g8g7 g1f2 e7e5 c2d3 e5e7 d2e2 g7h6 e2d2 h6g5 d2e2 f7f5 e4f5 g6f5 e2e7 e8e7 d3c2 f5f4 d1e1 e7e1 f2e1 g5f6 e1d2 f6e5 d2c3 c6d7 c2d3 d7f5 d3f1 c7c6 f1e2 d6d5 c4d5 c6d5 e2b5 d5d4 c3d2 e5d6 b5e8 d6c5 e8f7 f5d7 d2d3 d7c6 f7g6 c6d5 g6e8 d5b3 d3e4 c5c4 e8f7 c4c3 f7b3 c3b3 e4f4 d4d3 f4e3 b3c2 f3f4 d3d2
Wch U12,Cannes,1997.??.??,9,"Bartel, Mateusz",Bu Xiangzhi,0-1,2135,,B56,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 f6g4 e3g5 d8b6 f1b5 e7e5 c3d5 b6d4 d1d4 e5d4 d5c7 e8d7 c7a8 f7f6 g5f4 f8e7 h2h3 g4e5 e1c1 b7b6 d1d4 c8b7 a8b6 a7b6 h1d1 d7c7 b5c6 b7c6 f4g3 g7g6 f2f4 e5d7 c2c4 f6f5 e4e5 d6e5 f4e5 d7c5 b2b4 c5e6 d4d6 e7d6 d1d6 c6d7 g3f2 h8b8 b4b5 e6g5 f2e3 g5e4 d6d4 d7e6 c1c2 b8a8
Wch U12,Cannes,1997.??.??,10,Bu Xiangzhi,"Gashimov, Vugar",1-0,,2255,D27,d2d4 g8f6 g1f3 d7d5 c2c4 d5c4 e2e3 e7e6 f1c4 a7a6 a2a4 c7c5 e1g1 b8c6 b1c3 f8e7 d1e2 e8g8 f1d1 d8c7 h2h3 b7b6 d4c5 e7c5 e3e4 f6d7 c1e3 c8b7 a1c1 c5e3 e2e3 d7c5 c4a2 c7e7 f3d4 c6b4 a2b1 g7g6 e4e5 a8d8 b1e4 b4a2 e4b7 a2c1 b7f3 c1b3 d4b3 c5b3 c3e4 d8d1 f3d1 b3c5 e4f6 g8g7 e3g5 e7d8 d1c2 c5d7 f6h5 g7h8 g5h6 f8g8 h5g3 d8c7 c2d3 c7e5 g3e4 d7c5 e4c5 e5c5 d3a6 g8d8 a6b5 d8d1 g1h2 c5d6 g2g3 d1d2 h6e3 d6d4 e3d4 d2d4 b2b3 h8g7 h2g2 g7f6 g2f3 f6e5 f3e3 e5d5 b5d3 d5c5 f2f4 f7f6 h3h4 f6f5 d3c2 d4d6 c2d3 c5b4 d3c4 h7h6 e3f2 d6c6 c4b5 c6c7 b5e8 c7g7 f2e3 g7e7 e8g6 b4b3 e3d4 e7g7 h4h5 b3a4 d4e5 b6b5 e5e6 b5b4 e6f5 b4b3 f5f6 g7b7 g6e4 b7b4 e4b1 a4a3 f6g7 a3b2 b1g6 b2c3 f4f5 b4b7 g7h6 b7b6 h6g7 b3b2 f5f6 b6b5 g7h6 b5b7 g6b1
