Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
New York blind sim 10'',New York,1945.??.??,1,"Fine, Reuben","Byrne, Robert E",1-0,,,D04,d2d4 d7d5 e2e3 g8f6 g1f3 g7g6 f1d3 f8g7 e1g1 b8d7 b2b3 e8g8 c1b2 c7c5 b1d2 a7a6 d1e2 b7b5 c2c4 c5d4 e3d4 b5c4 b3c4 d7b6 a1b1 b6a4 b2a1 d5c4 d2c4 c8e6 c4e5 a6a5 d3b5 a4b6 e5c6 d8d6 f3g5 e6g4 e2e7 b6c8 e7b7 h7h6 b7a8 h6g5 c6e5 g4f5 b1c1 c8e7 a8a5 f6d5 b5c4 d5f4 a5c5 d6d8 f1e1 d8a8 c4f1 e7d5 f2f3 f8c8 c5b5 c8f8 a2a4 g8h7 a4a5 f7f6 e5c6 g5g4 f3g4 f5g4 a5a6 d5c7 b5b7 f4d5 b7a8
Ventnor City,Ventnor City,1945.??.??,1,"Suesman, Walter Bradford","Byrne, Robert E",1/2-1/2,,,C47,e2e4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5d4 f3d4 f8b4 d4c6 b7c6 d1d4 d8e7 f2f3 d7d5 c1g5 d5e4 g5f6 g7f6 d4e4 e7e4 f3e4 f6f5 f1d3 f5e4 d3e4 c8d7 e1c1 f7f5 e4d3 e8c8 h1f1 h8f8 c3e2 b4d6 e2f4 d8e8 g2g3 e8e7 f4h5 c8d8 c1d2 d7e8 h5f4 e8d7 d1e1 e7e1 d2e1 d6b4 c2c3 b4d6 f4g2
Ventnor City,Ventnor City,1945.??.??,2,"Santasiere, Anthony Edward","Byrne, Robert E",1-0,,,C36,e2e4 e7e5 f2f4 e5f4 g1f3 g8f6 b1c3 d7d5 e4d5 f6d5 c3d5 d8d5 d2d4 f8d6 c2c4 d5e4 e1f2 c8f5 c4c5 d6e7 f1b5 c7c6 b5c4 e4c2 d1c2 f5c2 h1e1 f7f6 c1f4 e8d7 e1e2 c2g6 a1e1 h8e8 f3h4 g6h5 c4e6 d7d8 g2g4 f6f5 h4f5 h5g4 f5e7 g4e2 e1e2 b8a6 f4d6 a6c7 e6f7 e8h8 d4d5 c7b5 d5c6 b5d6 c5d6 h8f8 c6b7
Ventnor City,Ventnor City,1945.??.??,3,"Byrne, Robert E","Adams, Weaver Warren",1-0,,,C31,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 b1c3 g8f6 f1c4 c7c6 d5c6 b8c6 d2d3 f8b4 g1e2 e8g8 e1g1 d8b6 g1h1 c8g4 h2h3 b4c3 b2c3 g4e2 d1e2 f8e8 d3d4 a8c8 c4b3 c6a5 c1d2 b6c6 f4f5 e4e3 d2e1 f6d5 f5f6 g7g6 e2g4 a5c4 g4g5 e3e2 f1f5 d5e3 f5c5 c6d6 b3c4 e3c4 c5c8 e8c8 e1g3 d6e6 a1e1 h7h6 g5h6 e6f6 h6f4 f6e6 f4f3 c8e8 h1g1 c4a3 g1f2 e6a2 e1e2 e8e2 f3e2 a2c2 e2c2 a3c2 f2e2 c2a3 e2d3 b7b5 d4d5 a3c4 d3d4 a7a5 d5d6 g8f8 d4c5 a5a4 c5c6
Ventnor City,Ventnor City,1945.??.??,4,"Yanofsky, Harry","Byrne, Robert E",0-1,,,D71,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 d2d4 g7g6 g2g3 f8g7 f1g2 d5c3 b2c3 e8g8 c1f4 c7c5 f4b8 a8b8 e2e3 d8a5 g1e2 c5d4 e3d4 c8g4 d1b3 f8c8 f2f3 g4e6 b3b2 e6c4 a1c1 e7e5 f3f4 e5d4 e1f2 d4c3 e2c3 a5c5
Ventnor City,Ventnor City,1945.??.??,5,"Byrne, Robert E","Keltz, B.",0-1,,,A15,g1f3 g8f6 c2c4 b7b6 b2b3 c8b7 c1b2 g7g6 d2d3 c7c5 e2e4 d7d6 e4e5 d6e5 f3e5 f8g7 b1d2 e8g8 d2f3 b8d7 f1e2 f6h5 d1d2 d8c7 e5d7 g7b2 d2b2 c7d7 f3e5 d7f5 e2g4 f5g5 h2h4 g5h6 g4h5 h6h5 f2f3 h5h6 e1f2 h6f4 g2g3 f4f6 b2e2 a8d8 e2e3 d8d4 a1d1 f8d8 d1d2 d8d6 d2e2 d6e6 f2e1 f6g7 h1f1 f7f6 f3f4 f6e5 f4e5 d4d8 e1d2 d8f8 f1f8 g7f8 e2f2 f8g7 f2e2 e6c6 e3g5 b7c8
Ventnor City,Ventnor City,1945.??.??,6,"Jackson, Edward Schuyler","Byrne, Robert E",1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 f1c4 c7c6 e1g1 f8e7 a2a4 h7h6 d1e2 g8f6 b1c3 d8c7 c1e3 d7f8 c4b3 g7g5 e2c4 f8e6 h2h4 f6g4 d4e5 d6e5 h4h5 e8g8 c3e2 g4e3 f2e3 e7c5 c4c3 c7b6 f3e5 c5e3 g1h1 b6c5 e5g4 e6f4 g4h6 g8h7 c3c5 e3c5 e2f4 h7h6 f4d3 c5d4 c2c3 d4b6 b3f7 c8g4 d3e5 g4h5 f7h5 h6h5 g2g4 h5h6 h1g2 f8f1 a1f1 a8e8 f1f5 b6c7 e5f7 h6g6 f7g5 c7d8 g5h3 e8e4 h3f4 g6g7 g2f3 e4e1 f4d3 e1f1 f3e4 f1g1 e4f3 g1f1 d3f2 f1b1 b2b4 b1a1 f2e4 a1f1 f3g2 f1e1 g2f3 e1f1 f3e2 f1g1 e4d6 g1g4 f5f7 g7g8 f7b7 d8f6 b7b8 g8h7 b8b7 h7g6 e2f3 g4h4 c3c4 f6e5 c4c5 g6f6 d6e4 f6f5 b7f7 f5e6 f7a7 e6d5 a7d7 d5c4 d7b7 c4d5 e4f2 e5c3 f2g4 c3b4 b7b4
Ventnor City,Ventnor City,1945.??.??,7,"Byrne, Robert E","Green, Matthew",1-0,,,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d5b6 f1d3 c8g4 e5d6 c7d6 h2h3 g4h5 e1g1 e7e6 b1d2 b8c6 c2c3 f8e7 f1e1 d6d5 d1e2 d8c7 d2f1 e7d6 c1d2 e8c8 e2e3 h5g6 a2a4 c6e7 b2b3 c8b8 e1c1 e7f5 e3e2 d6f4 a4a5 b6c8 a5a6 f4d2 f1d2 c8b6 a6b7 f7f6 d3f5 e6f5 c3c4 d5c4 b3c4 f5f4 c4c5 b6d5 a1a7
Ventnor City,Ventnor City,1945.??.??,8,"Byrne, Robert E","Regen, A.",1/2-1/2,,,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 g8f6 e1g1 d7d6 f3g5 d6d5 e4d5 c6d4 d1e1 d4b3 a2b3 f8e7 b1c3 c8b7 e1e5 e8g8 d2d3 e7d6 e5d4 f6d5 d4e4 g7g6 c3d5 b7d5 e4h4 h7h5 g2g4 f7f6 g5e4 d5e4 d3e4 h5g4 h4g4 g8g7 c1f4 d6f4 g4f4 d8e7 f1d1 f8e8 d1d4 e7c5 d4d7 e8e7 a1d1 a8e8 c2c3 a6a5 d1d5 c5c6 f4g4 a5a4 b3a4 b5a4 h2h4 g7h6 d7e7 e8e7 h4h5 g6g5 g1g2 e7g7 d5d8 g7e7 d8d5 c6e6 g4e6 e7e6 d5d4 e6a6 d4c4 c7c6 g2g3 h6h5 f2f3 h5h6 g3g4 h6g6 f3f4 g5f4 g4f4 g6f7 f4e3 f7e6 e3d3 e6d6 c4d4 d6e5 d4d8 a4a3 b2a3 a6a3 d8e8 e5d6
Ventnor City,Ventnor City,1945.??.??,9,"Stark, Martin Charles","Byrne, Robert E",1-0,,,D29,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 d1e2 b7b5 c4b3 c8b7 f1d1 b8d7 a2a4 f8e7 d4c5 e8g8 c5c6 b7c6 f3e5 d8c7 e5c6 c7c6 c1d2 d7c5 a4b5 a6b5 a1a8 f8a8 b3c2 f6e4 e2f3 a8c8 d2e1 f7f5 b1d2 e7f6 d2e4 f5e4 f3e2 f6b2 c2e4 c5e4 e2b2 c6c2 b2e5 e4c5 d1a1 c2f5 e5f5 e6f5 g2g4 f5g4 a1c1 c8c7 e1a5 c7a7 a5b6 c5b3 c1c8
