Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Troll Masters,Gausdal NOR,2001.01.05,1,"Edvardsen,R","Carlsen,Magnus",1/2-1/2,2055,,D12,d2d4 g8f6 g1f3 d7d5 e2e3 c8f5 c2c4 c7c6 b1c3 e7e6 f1d3 f5d3 d1d3 b8d7 b2b3 f8d6 e1g1 e8g8 c1b2 d8e7 a1d1 a8d8 f1e1 d5c4 b3c4 e6e5 d4e5 d7e5 f3e5 d6e5 d3e2 d8d1 e1d1 f8d8 d1d8 e7d8 e2d1 d8d1 c3d1 e5b2 d1b2 b7b5 f2f3 g8f8 g1f2 f8e7
Troll Masters,Gausdal NOR,2001.01.06,2,"Carlsen,Magnus","Brameld,A",0-1,,2095,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1c4 e7e6 e1g1 d5b6 c4e2 f8e7 h2h3 g4h5 c1f4 b8c6 c2c3 e8g8 b1d2 d6d5 b2b4 a7a5 a2a3 d8d7 d1c2 h5g6 e2d3 f8c8 f1b1 e7f8 h3h4 c6e7 g2g3 d7a4 f3e1 a4c2 d3c2 g6c2 e1c2 b6a4 b1b3 b7b6 g1f1 c7c5 b4c5 b6c5 d4c5 c8c5 d2b1 a8c8 f4e3 c5c4 e3d4 e7c6 b3b5 c6d4 c2d4 a4c3 b1c3 c4d4 c3e2 d4a4 f1e1 a4a3 a1b1 f8b4 e1f1 a3d3
Troll Masters,Gausdal NOR,2001.01.07,3,"Carlsen,Magnus","Fant,G",1-0,,2062,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 b7b6 d1g4 e7f5 f1d3 h7h5 g4h3 c7c5 d3f5 e6f5 h3g3 e8f8 h2h4 b8c6 c1g5 f7f6 e5f6 g7f6 g5e3 d8e7 g1e2 c8e6 e1g1 f8f7 e2f4 a8g8 g3f3 e7d7 a1d1 c5c4 f1e1 g8g4 g2g3 f7f8 f4e6 d7e6 e3h6 f8f7 e1e6 f7e6 h6f4 c6e7 d1e1 e6d7 f3e3
Troll Masters,Gausdal NOR,2001.01.08,4,"Tallaksen,G","Carlsen,Magnus",1/2-1/2,2258,,D35,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 e2e3 f8e7 g1f3 e8g8 f1d3 b8d7 e3e4 d5e4 c3e4 f6e4 d3e4 d7f6 e4c2 e7b4 c1d2 b4d2 d1d2 b7b6 e1g1 c8b7 f3e5 f6d7 d2d3 g7g6 e5d7 d8d7 b2b3 a8d8 a1d1 c7c5 d4c5 d7d3 d1d3 d8d3 c2d3 b6c5 f1d1 f8d8 f2f3 e6e5 g1f2 e5e4 d3e2 d8d1 e2d1 g8f8 f3e4 b7e4 a2a3 a7a5 g2g3 f8e7 f2e3
Troll Masters,Gausdal NOR,2001.01.08,5,"Carlsen,Magnus","Nilssen,J",0-1,,2371,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 b1c3 a7a6 b5a3 b7b5 c3d5 g8e7 c2c4 c6d4 c4b5 e7d5 e4d5 c8d7 c1e3 a6b5 e3d4 e5d4 d1d4 f8e7 a3b5 e8g8 b5c3 e7f6 d4d2 f8e8 f1e2 f6c3 d2c3 d7b5 e1g1 e8e2 f1e1 e2e1 c3e1 b5c4
Troll Masters,Gausdal NOR,2001.01.09,6,"Grubert,C","Carlsen,Magnus",1-0,2170,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8d6 e1g1 e8g8 c2c4 c7c6 b1c3 e4c3 b2c3 c8g4 a1b1 b7b6 c4d5 c6d5 c3c4 b8c6 c4d5 c6d4 d3h7 g8h7 d1d4 g4f3 d4d3 f7f5 d3f3 d6e5 c1a3 e5d6 a3d6 d8d6 b1c1 g7g6 c1c6 d6d7 f1c1 a8c8 f3h3
Troll Masters,Gausdal NOR,2001.01.10,7,"Carlsen,Magnus","Johansen,KR",1-0,,2097,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 c7c5 d4c5 d8a5 c5d6 g7c3 b2c3 a5c3 c1d2 c3d4 f1d3 d4d6 d2c3 f7f6 g1f3 b8c6 c3d2 d6c5 d1e2 g8h6 h2h3 e8g8 d2e3 c5c3 e1f2 h6f7 h1d1 e7e5 d3c4 c3a5 f2g1 g8g7 a1b1 a5c7 e3c5 f8e8 c4f7 c7f7 f4e5 f6e5 f3g5 f7a2 e2f2 c6d8 d1f1 a2a6 c5e7 c8e6 f2f6 g7g8 e7f8 a6f1 b1f1
Troll Masters,Gausdal NOR,2001.01.11,8,"Sorensen,H","Carlsen,Magnus",1-0,2245,,D48,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 a2a4 c8b7 e1g1 b5b4 c3e4 f6e4 d3e4 d7f6 f3d2 f6e4 d2e4 d8d5 f2f3 f7f5 e4f2 a8d8 b2b3 c6c5 c1b2 c5d4 b2d4 e6e5 d4b6 d8d6 a4a5 d5e6 d1c2 f8e7 c2c4 e6c4 b3c4 e8f7 f1c1 h8c8 a1b1 f7e6 c4c5 d6d2 b1b4 b7c6 b4b3 c6b5 b3c3 c8c6 e3e4 f5f4 c1d1 d2d1 f2d1 b5a4 d1b2 a4b5 g1f2 e7f8 g2g3 f8e7 c3c2 g7g6 f2e1 e6d7 e1d2 d7e6 b2d3 e7g5 g3g4 g5e7 d3b4 c6c8 b4d5 e6d7 d2c1 b5a4 c2c4 a4b5 c4c2 b5a4 c2c3 a4b5 c1d2 e7h4 c3c1 h4f2 c5c6
Troll Masters,Gausdal NOR,2001.01.12,9,"Carlsen,Magnus","Moen,A",0-1,,2227,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 b8c6 e1g1 f8e7 c2c3 c8g4 b1d2 e4d2 c1d2 e8g8 d2f4 e7d6 f4d6 c7d6 f1e1 d8f6 d3c2 c6a5 c2b3 a5c4 b3c4 d5c4 d1e2 b7b5 e2e4 g4f3 e4f3 f6f3 g2f3 f8e8 g1f1 g7g5 e1e8 a8e8 a1e1 e8e1 f1e1 g8g7 e1f1 g7f6 f1e2 f6f5 e2e3 d6d5 f3f4 g5g4 f2f3 h7h5
Open NOR-ch,Oslo NOR,2001.04.07,1,"Hagberg,Oivind","Carlsen,M",0-1,,2064,C42,e2e4 e7e5 g1f3 g8f6 d2d3 d7d6 c2c3 g7g6 c1g5 f8g7 f1e2 e8g8 d3d4 h7h6 g5f6 d8f6 d4e5 d6e5 e1g1 b8d7 b1d2 d7c5 d1c2 c8g4 f1e1 f8e8 b2b4 c5e6 h2h3 g4f3 d2f3 e6f4 e2c4 f4h3 g2h3 f6f3 e1e3 f3h5 c2b3 e8f8 a1d1 h5g5 e3g3 g5f6 d1d3 g6g5 g3f3 f6e7 f3f5 g8h8 c4f7 a8d8 d3f3 d8d6 g1f1 e7d8 f7h5 f8f5 f3f5 d6c6 f5f3 c6d6 f3f5 d6d2 f5f7 d8d3 f1g2 d3e4 h5f3 e4h4 f3b7 g5g4 b3e6 h4h3 g2g1 d2d1
