Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",1/2-1/2,,2032,A48,d2d4 g8f6 g1f3 g7g6 e2e3 f8g7 f1d3 e8g8 e1g1 d7d5 b1d2 b8d7 c2c3 b7b6 e3e4 d5e4 d2e4 c8b7 f1e1 f8e8 c1f4 a8c8 d1a4 a7a6 a1d1 b6b5 a4c2 f6d5 f4g3 c7c6 h2h4 c6c5 d4c5 d7c5 e4c5 c8c5 c2b1 d8b6 h4h5 g7c3 h5g6 h7g6 b2c3 d5c3 b1b4 c3d1 e1d1 b7f3 g2f3 e8d8 d3e2 d8d1 e2d1 c5c1 b4d2 b6c5 g1g2 a6a5 g3f4 c1c4 f4e3 c5d6 d1b3 c4h4 d2a5 d6d7 g2f1 d7d3 f1g2 d3d7
New York State-ch,Kerhonkson USA,2002.08.31,1,"Simon,Jerry C","Caruana,F",1/2-1/2,,2040,D90,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c4d5 f6d5 d1b3 d5c3 b2c3 e8g8 c1a3 b8d7 a1d1 b7b6 e2e3 c8b7 f1e2 f8e8 e1g1 e7e6 c3c4 d8c8 f1e1 e6e5 c4c5 b6c5 d4c5 b7c6 e2c4 e8e7 e3e4 a8b8 b3e3 d7f6 f3d2 e7d7 f2f3 c8d8 e3e2 f6h5 g2g3 d8g5 d2f1 h5f4
New York State-ch,Kerhonkson USA,2002.09.01,3,"Dolgitser,K","Caruana,F",1-0,2262,2040,D85,g1f3 g8f6 c2c4 g7g6 d2d4 f8g7 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 c1e3 e8g8 a1c1 c5d4 c3d4 c8g4 f1e2 d8a5 d1d2 a5d2 f3d2 g4e2 e1e2 b8a6 c1c2 f8d8 d2b3 g8f8 h1c1 f8e8 a2a4 d8d6 c2c4 e8d7 d4d5 b7b6 e3f4 e7e5 f4e3 a8b8 a4a5 b8b7 a5b6 a7b6 b3d2 f7f5 f2f3 f5f4 e3f2 b6b5 c4c6 b7c7 c6c7 a6c7 c1a1 d6a6 d2b3 a6a1 b3a1 g7f8 e2d3 c7a6 a1c2 a6b4 c2b4 f8b4 f2b6 b4e7 d3c3 e7f8 b6a5 f8e7 c3b3 e7d6 a5b4 d6c7 b4a3 d7c8 d5d6 c7b8 a3c5 c8d7 b3b4 d7c6 g2g3 g6g5 g3g4 h7h5 g4h5 g5g4 d6d7 c6d7 h5h6
New York State-ch,Kerhonkson USA,2002.09.01,4,"Caruana,F","Agaian,Sarkis",1-0,2040,,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 f8e7 a2a4 c8e6 f1e2 d6d5 e4d5 f6d5 c3d5 e6d5 e1g1 e8g8 c2c4 d5c6 d1c2 b8d7 f1d1 d8c7 c4c5 f7f5 f2f3 a8e8 b3d2 d7f6 e2c4 g8h8 b2b4 e5e4 b4b5 c6d5 c4e2 e7d6 d2f1 d6e5 a1a3 f5f4 e3f2 e8c8 b5a6 b7b6 f2h4 c7c6 e2b5 c6a8 h4f6 f8f6 c2d2 c8c5 f3e4 d5g8 d2e2 a8f8 a3d3 c5b5 a4b5 g8c4 a6a7 f8c5 g1h1 f6f8 d3d8 c4e2 a7a8q h7h6 d8f8 h8h7 f8h8 h7g6 a8e8 g6g5 d1d5 c5f2 e8e5 g5h4 g2g3 h4h3 e5e6 e2g4 d5h5
New York State-ch,Kerhonkson USA,2002.09.02,5,"Caruana,F","Kwartler,L",0-1,2040,2253,B11,e2e4 c7c6 b1c3 d7d5 g1f3 c8g4 e4d5 c6d5 h2h3 g4f3 d1f3 g8f6 d2d4 e7e6 c1g5 f8e7 f1b5 b8c6 e1g1 e8g8 c3e2 d8b6 b5c6 b7c6 a1b1 a8b8 c2c3 b6a6 b2b4 b8b7 b1b2 a6a3 b2c2 a7a5 b4a5 a3a5 g5f6 e7f6 e2f4 c6c5 d4c5 a5c5 c3c4 b7c7 f4d3 c5a7 c4c5 f8c8 f3e3 a7a5 f1c1 h7h6 g1h1 e6e5 f2f4 e5e4 d3e5 f6e7 c5c6 f7f6 e5g6 e7a3 f4f5 c8e8 e3d2 a5b5 g6f4 a3c1 d2c1 e8c8 c1d2 c7c6 c2c6 b5c6 d2d5 c6d5 f4d5 c8c5 d5e3 c5c3 e3d5 c3d3 d5f4 d3d2 a2a4 e4e3 h1g1 d2d1 g1h2 d1d4 f4e2 d4d2
New York State-ch,Kerhonkson USA,2002.09.02,6,"Townsend,William T","Caruana,F",0-1,,2040,C60,e2e4 e7e5 g1f3 b8c6 f1b5 g7g6 c2c3 f8g7 e1g1 d7d5 d1a4 g8e7 d2d4 e5d4 f3d4 c8d7 e4d5 c6d4 c3d4 a7a6 b5d7 d8d7 a4d7 e8d7 b1c3 a8d8 c1f4 d7c8 d5d6 c7d6 c3e4 e7f5 g2g4 f5d4 f4d6 f7f5 a1c1 d4c6 g4f5 g6f5 d6e7 f5e4 e7d8 h8d8 f1e1 d8e8 b2b3 g7d4 c1c4 c8c7 e1d1 d4a7 d1e1 e8g8 g1f1 g8f8 e1e4 f8f2 f1e1 f2h2 e4h4 a7f2
FSIMA Feb,Budapest HUN,2003.02.01,1,"Caruana,F","Kun,G",1-0,2134,2359,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6 f1d3 e4d2 e1d2 c7c5 g1h3 b8c6 d3b5 c5d4 b5c6 b7c6 c3d4 c6c5 h1b1 d8a5 c2c3 c5d4 g4d4 e8g8 h3f4 c8a6 b1b4 a8b8 b4a4 b8b2 d2c1 a5b5 a4a6 f8b8 f4d3 b2e2 a6a4 a7a5 a4a3 b5a6 f2f3 e2g2 a3b3 b8c8 a1b1 c8c4 d4e3 a6c6 d3f4 d5d4 e3d3 g2g1 c1c2 g1b1 c2b1 d4c3 f4g6 c6c5 d3d8 g8h7 g6f8 h7g7 f8e6
FSIMA Feb,Budapest HUN,2003.02.02,2,"Eperjesi,L","Caruana,F",1/2-1/2,2271,2134,D85,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 f1b5 b8c6 e1g1 e8g8 c1e3 c5d4 c3d4 c8g4 b5c6 b7c6 a1c1 d8a5 d1d2 a5d2 f3d2 f8d8 d2b3 a7a5 c1c6 a5a4 b3c5 g4e2 f1e1 g7d4 c5e6 f7e6 e1e2 d4e3 f2e3 d8d1 g1f2 g8f7 f2g3 d1d6 e2c2 a8b8 c6c4
FSIMA Feb,Budapest HUN,2003.02.03,3,"Caruana,F","Schneider,At",1/2-1/2,2134,2302,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 a7a6 c2c4 b8c6 d4d2 g7g6 b2b3 g8f6 b1c3 f8g7 c1b2 d8a5 c3d5 a5d2 f3d2 e8g8 d5f6 e7f6 f1e2 f6f5 b2g7 g8g7 e1g1 f8e8 e2d3 c6b4 d3b1 f5e4 b1e4 d6d5 c4d5 c8f5 e4f5 g6f5 d2c4 a8d8 f1d1 b4d5 d1d2 d5c3 c4d6 g7g6 a2a4 e8e6 d6c4 d8d2 c4d2 e6e2 d2c4 b7b5 a4b5 a6b5 c4a5 e2b2 a1e1 c3e2 g1f1 e2d4 e1e3 b2a2 a5b7 a2a1 e3e1 a1a3 e1b1 d4b3 f1e2 b3d4 e2d2 f5f4 b7d6 a3a2 d2d3 d4e6 d6e4 f7f5 e4d2 e6c5 d3c3 c5e4 d2e4 f5e4 c3d4 a2f2 d4e4 f2g2 e4f4 g2g5 b1c1 g5h5 c1c6 g6f7 c6b6 h5c5 b6b7 f7g6 b7b6 g6h5 b6b7 h7h6 b7b6 c5c4 f4f3 c4b4 f3e3 b4b2 e3f3 b5b4 f3g3 b2b3 g3f4 b3b1 f4g3 b4b3 b6b5 h5g6 g3h4 g6f6 h4h5 f6e6 h5h6 e6d6 h2h4 d6c6 b5b8 c6c5 h4h5 c5c4 h6h7 b1g1 h5h6 g1g5 h7h8 g5b5 b8b5 c4b5 h6h7 b3b2 h8g8 b2b1q h7h8q b1g6 h8g7 g6g7 g8g7
FSIMA Feb,Budapest HUN,2003.02.04,4,"Hardicsay,P","Caruana,F",1/2-1/2,2309,2134,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 e1g1 f8e7 a2a3 e8g8 b2b4 f8e8 d2d3 e7f8 c1b2 a7a5 b4b5 c6d4 f3d2 c7c6 b5c6 d4c6 a1b1 c8e6 f1e1 a5a4 c3b5 d8d7 b2a1 c6a5 d2c4 a5c4 d3c4 a8d8 d1d7 d8d7 b5c3 b6c4 c3a4 c4a3 b1b7 a3c2 e1f1 d7b7 g2b7 e6g4 f2f3 g4d7 a4c3 f8c5 g1h1 c5d4 e2e3 c2e3 f1c1 e8b8 b7e4 f7f5 e4d3 d7c6 d3e2 g7g5 h2h3 h7h5 h1h2 g8f7 c3d1 d4a1 c1c6 e3d1 e2d1 b8b2 d1c2 f7e7 h2g1 e7d7 c6c4 d7e6 g1f1 e6d5 c4c8 f5f4 g3g4 h5g4 h3g4 d5d4 c8d8 d4c3 c2e4 b2h2
