Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
St Petersburg,St Petersburg,1874.??.??,?,"Chigorin, Mikhail","Davidov, Mikhail",1-0,,,C37,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 e1g1 g4f3 d1f3 d8f6 e4e5 f6e5 d2d3 f8h6 b1c3 g8e7 c1d2 b8c6 a1e1 e5f5 c3d5 e8d8 d2c3 h8e8 c3f6 h6g5 g2g4 f5g6 f6g5 g6g5 h2h4 g5h4 f3f4 d7d6 d5f6 c6e5 e1e5 d6e5 f4e5 c8g4 e5d4 d8c8 c4e6 c8b8 f6d7 b8c8 d7c5 c8b8 c5a6 b7a6 d4b4
corr,?,1879.??.??,?,"Chigorin, Mikhail",Yakubovich,1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 e1g1 d7d6 d2d4 e5d4 c3d4 c5b6 b1c3 c6a5 c1g5 f7f6 g5h4 a5c4 d1a4 d8d7 a4c4 d7f7 c3d5 g8h6 a1d1 c8g4 c4c1 g4f3 g2f3 e8g8 g1h1 f7h5 c1f4 g8h8 d5f6 h5f7 e4e5 d6e5 d4e5 h6g8 f1g1 g7f6 g1g8 f8g8 h4f6 g8g7 d1g1 a8g8 f4h6 b6c5 e5e6 f7f8 f3f4 c5e7 f6a1 b7b5 f2f3 c7c5 f4f5 b5b4 g1g3 c5c4 h6h7
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",1-0,,,C48,e2e4 e7e5 b1c3 b8c6 g1f3 g8f6 f1b5 f8c5 e1g1 d7d6 d2d4 e5d4 f3d4 c8d7 d4f5 d7f5 e4f5 e8g8 c1g5 d8d7 g5f6 g7f6 c3d5 g8h8 d1h5 d7d8 h5h6 f8g8 d5f6 g8g7 b5c6 b7c6 a1e1 d8f8 g1h1 c5d4 e1e4 d4b2 f1e1 b2f6 h6f6 f8d8 e4e7 h8g8 e1e3 d8f8 e7c7 h7h6 e3e7
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",0-1,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 d8f6 c2c3 g8e7 f1c4 d7d6 e1g1 c6e5 c4e2 f6g6 b1d2 c8h3 e2f3 h7h5 g1h1 e5f3 d1f3 h3g4 f3f4 e8c8 d4b5 g4e2 e3c5 e2b5 c3c4 b5c6 c5d4 f7f5 f2f3 h5h4 b2b4 d8f8 e4e5 h4h3 g2h3 d6e5 d4e5 h8h3 e5c7 f8h8 f1f2 g6f7 d2e4 c6e4 f3e4 g7g5 f4d6 e7g6 e4f5 g6f4 c7a5 h3h2 f2h2 h8h2 h1h2 f7h5 h2g1 h5g4 g1f2 g4e2 f2g1 e2g4 g1f2 g4e2 f2g3 e2g2
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",0-1,,,C13,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 g1f3 e8g8 f1d3 c7c5 e4d5 e6d5 e1g1 c5d4 c3e2 c8g4 e2g3 b8c6 h2h3 g4f3 d1f3 c6e5 f3d1 g7g6 f2f4 e5c4 d3c4 d5c4 d1f3 d8b6 g1h1 d4d3 c2d3 f6b2 a1b1 c4c3 f1f2 a8c8 f2c2 b6a6 g3e4 a6a2 e4c3 a2b1 c3b1 c8c2 f3b7 c2c1 h1h2 c1b1 b7b5 a7a5 d3d4 a5a4 b5a4 b2c1 d4d5 f8b8 a4c4 c1e3 c4e4 e3g1 h2g3 b1b3 g3h4 h7h6 e4e1 g1d4 g2g4 d4f6 g4g5 h6g5 h4g4 g5f4 d5d6 f4f3 e1a5 f3f2
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",1-0,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 b8c6 e1g1 f8e7 c2c4 c8g4 f1e1 g4f3 d1f3 c6d4 f3e3 d4f5 e3h3 f5d6 c4d5 e4f6 c1g5 d8d7 h3h4 e8c8 b1c3 h7h6 h4d4 c8b8 g5e3 b7b6 a2a4 c7c5 d5c6 d7c6 e3f4 b8a8 a4a5 d6c8 d3b5 c6b5 c3b5 d8d4 b5d4
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",1-0,,,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 b1c3 f8c5 d2d3 c8g4 h2h3 g4f3 d1f3 g8e7 c3e2 e8g8 g2g4 d8d7 c1e3 c5b4 e1f1 a8d8 e2g3 d7e6 h3h4 a6a5 h1g1 g8h8 g3f5 g7g6 a2a3 b4d6 f1e2 g6f5 g4f5 e6d7 e3h6 f8g8 h6g5 g8g5 h4g5 c6c5 g1h1 e7g8 f5f6 d6f8 h1h3 c5c4 a1h1 c4d3 c2d3 h7h6 g5g6 f7g6 f6f7 g8e7 h3h6 f8h6 f7f8q d8f8 f3f8 e7g8 h1h6
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",0-1,,,C25,e2e4 e7e5 b1c3 b8c6 f2f4 e5f4 g1f3 g7g5 f1c4 f8g7 d2d4 d7d6 h2h4 h7h6 h4g5 h6g5 h1h8 g7h8 f3e5 d6e5 d1h5 d8f6 c3d5 f6g7 d5c7 e8d8 c7a8 g8f6 h5f7 g7f7 c4f7 c6d4 f7b3 f6e4 c1d2 c8g4 c2c3 d4c6 b3d5 e4f6 c3c4 d8c8 e1f2 e5e4 a1e1 e4e3 d2e3 f4e3 e1e3 c8b8 f2g3 g4d7 b2b4 f6h5 g3h2 h8e5 g2g3 e5g3 h2g2 g3f4 e3e1 b8a8 e1h1 d7g4 b4b5 c6e5 c4c5 a8b8 a2a4 e5g6 h1e1 f4e5 d5f7 g6f4
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",1-0,,,A00,e2e3 c7c5 c2c4 e7e6 f2f4 b8c6 g1f3 g8f6 b2b3 f8e7 c1b2 e8g8 f1d3 d7d5 b1c3 a7a6 f3e5 e7d6 e5c6 b7c6 c3e2 d8e7 e2g3 g7g6 e1g1 e6e5 d1c2 f6g4 h2h3 g4h6 f4e5 d6e5 b2e5 e7e5 g3e2 c8f5 d3f5 h6f5 c4d5 c6d5 e2f4 d5d4 f4d3 e5g7 e3e4 f5g3 f1e1 a8c8 a1c1 f7f5 e4f5 f8f5 c2c4 g8h8 c4a6 c8f8 a6d6 g3h5 c1c5 f5f6 d6e5 g7h6 g2g4 h5f4 d3f4 h6f4 e5f4 f6f4 c5d5 h8g7 e1e7 g7f6 d5e5 h7h6 g1g2 f8f7 e7f7 f6f7 d2d3 f4f6 a2a4 f6b6 e5b5 b6c6 g2f3 c6e6 a4a5 e6e3 f3f2 e3d3 a5a6 d3d2 f2f3 d2a2 b5b6 d4d3 f3e3 d3d2 e3e2 h6h5 g4h5 g6h5 b3b4
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",1/2-1/2,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 d8f6 c2c3 g8e7 f1c4 c6e5 c4e2 d7d5 f2f4 e5g4 e2g4 f6h4 g2g3 h4g4 d1g4 c8g4 e4e5 e8g8 d4f5 c5e3 f5e3 g4f3 h1f1 f3e4 b1d2 e4d3 f1f2 c7c5 d2f3 f7f6 e1c1 c5c4 e5f6 f8f6 d1e1 f6e6 f3g5 e6a6 a2a3 h7h6 g5f3 a6e6 f3d4 e6e4 c1d2 a8e8 g3g4 e7c6 d4c6 b7c6 e3g2 e8b8 d2c1 b8e8 e1e4 e8e4 c1d2 e4e7 f4f5 e7b7 d2c1 b7e7 g2f4 d3e4 h2h4 g8f7 f4e6 e4d3 e6d8 f7f6 d8e6 f6e5 e6f4 e5e4 c1d2 e7b7 b2b4 d5d4 c3d4 a7a5 f4e6 b7b8 f2f4 e4d5 d2c3 a5b4 a3b4 b8b7 e6c5 b7a7 c5d3 a7a3 c3b2 a3d3 g4g5 d3b3 b2c2 h6g5 h4g5 b3b4 f5f6 g7f6 g5f6 b4b8 f6f7 b8f8 c2c3 c6c5 f4f5 d5e6 f5c5 f8f7 c3c4 e6d6
