Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
USA-72ch,Ventura,1971.??.??,6,"Christiansen, Larry Mark","Gheorghiu, Florin",0-1,,,A26,c2c4 g7g6 b1c3 f8g7 g1f3 g8f6 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 a1b1 e7e5 d2d3 c6d4 b2b4 c7c6 b4b5 d4f3 g2f3 d6d5 b5c6 b7c6 d1a4 c8e6 c1a3 f8e8 c4d5 c6d5 f1c1 a7a6 a3c5 a8c8 c5b6 d8d6 b6a5 e6d7 a5b4 d6e6 a4b3 e5e4 d3e4 d5e4 b3e6 e8e6 f3g2 e6c6 c1d1 d7f5 c3d5 f6d5 d1d5 c6c2 a2a3 e4e3 b1d1 g7f8 g2f3 e3f2 g1f2 f8c5 d5c5 c8c5 b4c5 c2c5 d1d5 c5c2 d5a5 f5d3 a5e5 d3b5 f3d5 g8f8 e5e3 h7h6 g3g4 b5c4 d5c4 c2c4 f2g3 f8g7 e3f3 c4e4 h2h4 e4e2 g4g5 h6g5 h4g5 e2e5 g3g4 e5e4 g4g3 g7f8 f3b3 f8e7 g3f3 e4a4 f3g3 e7e6 b3f3 a6a5 f3f6 e6e7 f6f3 a4e4 f3b3 e4e5 g3f4 e5f5 f4g4 e7d6 b3b7 d6c5 a3a4 c5d5 b7b5 d5e4 b5b7 e4d4 b7c7 d4d5 c7b7 d5c6 b7e7 f5f1 e7e5 c6b6 e5b5 b6a6 b5d5 f1b1 g4f4 b1b4 f4e5 b4a4 d5d7 a4g4 e5f6 g4f4 f6g7 a5a4 d7d8 a6b5 d8b8 b5c4 b8a8 c4b3 a8b8 f4b4 b8e8 b4b7 e8e3 b3c2
USA-72ch,Ventura,1971.??.??,8,"Christiansen, Larry Mark","Romanenko, Ivan",1-0,,,B38,c2c4 c7c5 g1f3 g8f6 b1c3 g7g6 d2d4 c5d4 f3d4 f8g7 e2e4 d7d6 f1e2 b8c6 c1e3 e8g8 e1g1 c8d7 h2h3 a8c8 d1d2 a7a6 f2f4 f6e8 a1d1 c6d4 e3d4 d7c6 b2b4 f7f5 e4f5 g6f5 b4b5 a6b5 c4b5 c6d7 d4g7 e8g7 g1h1 d7e6 e2f3 c8c5 f3b7 g7h5 f1f3 h5f6 d2e3 g8f7 e3c5 d6c5 d1d8 f8d8 a2a4 f6e4 c3e4 f5e4 f3c3 d8d3 c3c5 e4e3 c5e5 e6c4 b7f3 d3a3 e5e4 c4d5 e4e3 a3e3 f3d5 e7e6 d5c6 f7e7 a4a5 e7d6 a5a6 e3a3 h1h2 d6c7 g2g4 c7b6 g4g5 a3c3 h3h4 c3d3 h4h5 d3d8 h2g3 d8d3 g3g4 d3d4 g4f3 d4d3 f3e4 d3d1 e4e5 d1e1 e5f6 e1f1 f6g7 f1f4 g7h7 e6e5 g5g6 f4h4 h5h6 e5e4 g6g7 e4e3 g7g8q e3e2 g8g1
USA-72ch,Ventura,1971.??.??,9,"Binet, Laszlo T","Christiansen, Larry Mark",1/2-1/2,,,A45,d2d4 g8f6 c1g5 c7c5 d4c5 e7e6 e2e3 f8c5 a2a3 a7a5 g1f3 b8c6 b1c3 d7d5 f1d3 e8g8 e1g1 h7h6 g5h4 c5e7 d1e1 e6e5 a1d1 c8e6 d3b5 e5e4 f3d4 c6d4 d1d4
USA-72ch,Ventura,1971.??.??,10,"Christiansen, Larry Mark","Cunningham, Walter",0-1,,,E94,c2c4 g8f6 g1f3 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 c1e3 f6g4 e3g5 f7f6 g5h4 b8d7 e1g1 c7c6 d1c2 d8e8 a1d1 a7a6 b2b4 h7h5 h2h3 g4h6 d4e5 d6e5 c4c5 g8h8 e2c4 g6g5 h4g3 e8g6 d1d6 h6f7 c4f7 g6f7 f1d1 f8e8 c2d2 d7f8 c3a4 c8e6 a4b6 a8b8 a2a4 f8g6 d2e2 h5h4 g3h2 g7f8 d6d2 f8e7 a4a5 e8g8 f3d4 e5d4 e2h5 h8g7 h2b8 g8b8 d2d4 g5g4 d4d8 e7d8 h3g4 d8b6 c5b6 b8h8 h5c5 h4h3 g2h3 h8h3 g4g5 g6f4 d1d8 h3a3
USA-72ch,Ventura,1971.??.??,12,"Christiansen, Larry Mark","Fritzinger, Dennis",1-0,,,D41,g1f3 g8f6 c2c4 c7c5 b1c3 d7d5 c4d5 f6d5 e2e3 e7e6 d2d4 f8e7 f1c4 d5c3 b2c3 b8c6 e1g1 e8g8 d1c2 b7b6 f1d1 d8c7 c4d3 g7g6 e3e4 c5d4 c3d4 c7b7 a2a3 e7f6 c1b2 c6e7 a1c1 f8d8 c2d2 d8d7 d2f4 f6g7 d3b5 d7d8 c1c7 b7b8 g2g3 e6e5 f4c1 c8g4 d1d3 g4f3 d3f3 d8c8 c7c8 b8c8 b5c4 b6b5 c4f7 g8h8 c1c8 a8c8 d4e5 c8f8 b2c3 f8c8 f3d3 c8c5 d3d8 g7f8 c3d4 c5c1 g1g2 e7c6 d8f8 h8g7 f8c8 g7f7 d4a7 c1c4 a7e3 c6e5 c8c4 e5c4 e3c5 f7e6 f2f3 c4b2 f3f4 b2c4 c5b4 h7h5 g2f3 c4b6 h2h3 b6d7 g3g4 h5g4 h3g4 d7f6 f4f5 e6f7 f3f4 g6f5 g4f5 f6h5 f4g5 h5g7 e4e5
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Poutiainen, Pertti",1/2-1/2,,,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6e8 c1e3 c7c5 d4c5 b8c6 c5d6 e7d6 f1e2 d8a5 d1d5 a5b4 e1c1 d6e5 d5c5 e5e4 f3e5 b4c5 e3c5 c6e5 c5f8 g8f8 f4e5 e4e3 c3d5 g7e5 c1b1 c8e6 d5e3 a8c8 e2f3 e8c7 e3g4 e5g7 h1e1 c7a6 g4e5 a6b4 c2c3 g7e5 e1e5 e6a2 b1a1 a2b3 d1d2 b4c6 e5b5 b3e6 f3c6 c8c6 a1b1 b7b6 b5e5 f8e7 e5e3 h7h5 b2b3 b6b5 b1b2 a7a6 e3e5 e7f6 e5e4 f6e7 e4d4 a6a5 d4d8 a5a4 b3a4 b5a4 d8a8
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Miles, Anthony J",1-0,,,B09,e2e4 d7d6 b1c3 g7g6 d2d4 f8g7 f2f4 g8f6 g1f3 c7c5 f1b5 c8d7 e4e5 f6g4 h2h3 d7b5 c3b5 d6e5 h3g4 d8a5 c1d2 a5b5 d4e5 b8c6 d2c3 b5c4 g2g3 a8d8 d1e2 c4e6 g4g5 h7h5 g5h6 h8h6 e1f2 h6h1 a1h1 e8f8 h1d1 d8d1 e2d1 f7f6 d1d3 f8f7 b2b3 g7h6 e5f6 e7f6 f3h4 c6e7 h4g6 c5c4 b3c4 e7g6 f4f5 e6b6 c4c5 b6c5 c3d4 c5c7 f5g6 f7g7 d3f5 c7d6 c2c3 a7a6 f2e2 b7b5 a2a3 d6c6 e2f2 c6d6 f2g2 h6c1 f5h5 c1h6 d4e3 d6c6 g2h2
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Adorjan, Andras",1/2-1/2,,,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 d6e5 d4e5 d8d1 e1d1 f6h5 h1g1 c8g4 f1e2 b8c6 h2h3 a8d8 d1e1 g4f3 e2f3 c6d4 f3d1 h5g3 e1f2 d4f5 d1f3 c7c6 c3e4 g3e4 f3e4 e7e6 g2g4 f5e7 g4g5 e7d5 c2c4 d5b6 b2b3 d8d7 c1e3 f8d8 f2e2 g7f8 a1d1 d7d1 g1d1 d8d1 e2d1 f8b4 e3d2 b4d2 d1d2 g8f8 d2c3 f8e7 b3b4 e7d7 c3b3 d7c7 a2a4 b6d7
WchT U26,Teeside,1974.??.??,?,"Chellstorp, Craig V","Christiansen, Larry Mark",0-1,,,A01,b2b3 e7e5 c1b2 b8c6 e2e3 d7d5 f1b5 f8d6 g1f3 d8e7 d2d4 e5e4 f3e5 e7g5 e5c6 g5g2 c6e5 c7c6 h1f1 c6b5 d1e2 a7a6 b1c3 g8e7 e1c1 e8g8 f1g1 g2h3 g1g3 h3e6 e2h5 e6f5 h5h4 c8e6 f2f3 e7g6 e5g6 f7g6 f3e4 d6g3 e4f5 g3h4 f5e6 a8e8 b2a3 h4e7 a3e7 e8e7 c3d5 e7e6 d1e1 f8f5 c2c4 b5c4 b3c4 b7b5 e3e4 b5c4 d5c7 e6e7 c7a6 f5a5 a6b4 e7b7 b4c2 a5a2 e1e3 b7b3 e3g3 g8f7 d4d5 b3g3 h2g3 f7f6 c2b4 a2e2 b4c6 e2e4
Buenos Aires-J,Buenos Aires,1975.??.??,?,"Christiansen, Larry Mark","Bravo, Hector",1-0,,,A08,g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 f8e8 e4e5 f6d7 d2f1 f7f6 e5f6 d7f6 c1f4 e7d6 f3e5 d8c7 d1e2 c6d4 e2d2 f6h5 c2c3 h5f4 c3d4 f4g2 g1g2 c5d4 a1c1 c7e7 a2a3 c8d7 e1e2 d7b5 h2h4 e7f6 f1h2 e8f8 f2f4 b5e8 c1e1 a8c8 h2f3 d6c5 e1c1 e8b5 d2e1 f6f5 e2c2 b7b6 f3d4 c5d4 c2c8 d4e5 c8f8 g8f8 e1b4 f8f7 b4b5 e5d4 b5d7 f7g6 c1c6 d4b2 c6e6 b2f6 d7e8 g6h6 e6e3 f5g4 e8e6
