Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lone Pine,Lone Pine,1976.??.??,1,"De Firmian, Nick E","Martinovsky, Eugene",1-0,2200,2200,C62,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 e1g1 e5d4 f3d4 g7g6 b1c3 f8g7 d4c6 b7c6 b5c4 g8f6 c1g5 h7h6 g5h4 e8g8 f2f4 d8b8 c4b3 a7a5 e4e5 f6h7 e5d6 c7d6 h4e7 a5a4 e7f8 h7f8 c3a4 a8a4 b3a4 b8a7 g1h1 a7a4 c2c3 a4b5 a2a4 b5b2 a4a5 g7c3 a5a6 c3d4 a6a7 d4a7 a1a7 d6d5 d1a1 b2a1 f1a1 g8g7 h1g1 g7f6 g1f2 f6e7 f2e3 f8e6 g2g4 f7f5 g4f5 g6f5 a1g1 d5d4 e3d2 e7d6 g1g6 c6c5 g6h6 c5c4 a7a5 d6e7 a5f5 c4c3 d2d3 d7c8 h6e6 c8e6 f5c5 c3c2 d3d4 e6f5 d4e5 f5d3 f4f5 e7d7 h2h4 d7e7 h4h5 e7f7 c5c7 f7g8 e5f6 d3e4 h5h6 e4d3 f6g6
Lone Pine,Lone Pine,1976.??.??,2,"Weinstein, Norman","De Firmian, Nick E",1-0,2430,2200,E74,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f1e2 e8g8 c1g5 c7c5 d4c5 d8a5 g5d2 a5c5 g1f3 c8g4 d2e3 c5a5 e1g1 b8c6 a1c1 f8c8 b2b3 f6d7 e3d2 d7c5 h2h3 g4e6 d1c2 a7a6 c3d5 a5d8 f1d1 h7h6 d2e3 d8a5 c2b1 e6d5 d1d5 c6b4 d5d2 c5e6 a2a4 c8c7 d2d1 a8c8 f3e1 a5e5 e1c2 b4c2 b1c2 h6h5 d1d5 e5f6 e2f1 g8h7 d5h5 h7g8 h5d5 e6f4 d5d1 f4e6 d1d5 e6f4 d5d1 f4e6 f1e2 b7b5 a4a5 b5c4 e2c4 c7c6 c2d2 f6e5 c4d5 c6c1 d1c1 c8c1 d2c1 e5c3 c1c3 g7c3 e3b6 e6c5 f2f3 e7e6 d5c4 g8f8 g1f2 f8e8 f2e2 e8d7 e2d1 d7c6 d1c2 c3e1 g2g4 c5b7 c4a6 b7a5 b6d8 c6c5 d8g5 e1f2 a6e2 a5c6 c2d2 c6d4 e2d1 f7f5 h3h4 f5g4 f3g4 d6d5 g5e7 c5c6 d2d3 d5e4 d3e4 c6d7 e7f6 d4b5 e4f3 f2c5 f3f4 d7e8 d1e2 e8f7 f6e5 b5d4 e2c4 d4c6 e5c7 c5b4 f4f3 f7f6 g4g5 f6f7 c7g3 c6a5 g3f2 b4c3 f3e4 a5c4 b3c4 f7e7 c4c5 c3a5 f2g3 e7d7 c5c6
Lone Pine,Lone Pine,1976.??.??,3,"Evans, Larry D","De Firmian, Nick E",1-0,2200,2200,B22,e2e4 c7c5 c2c3 e7e6 d2d4 d7d5 e4d5 d8d5 g1f3 b8c6 b1a3 c5d4 a3b5 f8d6 f1c4 d5e4 c4e2 d6b8 c3d4 e4d5 e1g1 g8e7 b5c3 d5a5 e2d3 h7h6 d1e2 c8d7 a2a3 a5h5 h2h3 c6a5 e2c2 d7c6 f3e5 b8e5 d4e5 h5e5 b2b4 e7d5 c3e4 d5b4 a3b4 e5a1 c1b2 a1a2 b4a5 a2a5 b2g7 h8g8 g7c3 a5d8 c3f6 d8d5 f6h4 g8g6 f2f3 d5d4 h4f2 d4d5 f2c5 a8d8 e4d6 d8d6 d3g6 d6d8 g6f7 e8d7 f1d1
Lone Pine,Lone Pine,1976.??.??,4,"De Firmian, Nick E","Silman, Jeremy D",0-1,2200,2310,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 d8d7 d2d4 f8e8 b1d2 e7f8 d4d5 c6e7 c3c4 c7c6 a2a4 b5c4 d5c6 d7c6 d2c4 c8e6 c4a5 e6b3 d1b3 c6c7 c1d2 a8b8 b3c3 c7b6 a5c4 b6c6 c3d3 e7g6 f3h2 d6d5 e4d5 f6d5 a1c1 d5f4 d3g3 f8b4 h2f3 b4d2 f3d2 g6h4 d2e4 h4g2 c4d6 g2e1 e4f6 g8f8 f6h7 f8e7 d6f5 e7d7 c1e1 c6g6 h7g5 g6g5
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",1/2-1/2,2200,2200,A41,d2d4 d7d6 g1f3 g7g6 c2c4 f8g7 g2g3 e7e5 b1c3 b8c6 d4d5 c6e7 f1g2 h7h6 e1g1 f7f5 e2e4 g8f6 f3e1 e8g8 e1d3 f5e4 c3e4 g6g5 d1e2 c8f5 c1d2 d8d7 d2c3 f5g4 f2f3 f6e4 e2e4 g4f5 e4e2 b7b5 d3b4 a7a5 b4c6 e7c6 d5c6 d7c6 c4b5 c6b6 g1h1 a8e8 a1d1 a5a4 e2c4 f5e6 c4a4 e8a8 a4e4 e6a2 f3f4
Lone Pine,Lone Pine,1976.??.??,6,"Blumenfeld, Rudy","De Firmian, Nick E",0-1,2200,2200,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 f1d3 b7b5 h1e1 c8b7 f3g3 b5b4 c3d5 e6d5 e4d5 e8d8 d4f5 e7f8 g3e3 c7c5 e3d2 a8c8 c1b1 d8c7 g5h4 f6d5 h4f2 c5a5 d3c4 d5c3 b2c3 b4c3 d2e3 a5f5 e3c3 c7d8 g2g4 f5b5 c4b5 c8c3 f2d4 c3f3 b5c4 f3f4 h2h3 d6d5 c4b3 f8b4 d4g7 h8g8 g7h6 f4f6 h6d2 b4d2 d1d2 f6d6 c2c4 d5d4 b3c2 h7h6 e1d1 b7f3 d2d4 d6b6 b1c1 f3d1 c2f5 d1a4 c4c5 b6b7
Lone Pine,Lone Pine,1976.??.??,7,"Strauss, David J","De Firmian, Nick E",0-1,2300,2200,B25,e2e4 c7c5 b1c3 g7g6 g2g3 f8g7 f1g2 b8c6 d2d3 d7d6 c1e3 e7e5 f2f4 g8e7 g1f3 e8g8 e1g1 c6d4 d1d2 a8b8 f3h4 e5f4 e3f4 b7b5 a2a3 a7a5 a1e1 d8c7 g1h1 b5b4 a3b4 c5b4 c3b1 d4c2 d2c2
Paul Masson op,?,1977.??.??,2,"Harari, Zaki","De Firmian, Nick E",1-0,2270,2395,A76,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 c7c5 d4d5 e7e6 e1g1 e6d5 c4d5 f8e8 d1c2 b8d7 h2h3 a7a6 a2a4 a8b8 c1f4 d8e7 f3d2 d7e5 f4e3 f6h5 f2f4 g7h6 e2h5 g6h5 a1e1 e5g6 e4e5 d6e5 f4f5 h6e3 e1e3 g6f8 e3g3 g8h8 f5f6 e7d7 d2e4 f8g6 c2d2 e8g8 d2h6 d7e8 e4g5 g6f8 g5h7
Paul Masson op,?,1977.??.??,3,"De Firmian, Nick E","Fritzinger, Dennis",0-1,2395,2275,C41,e2e4 e7e5 g1f3 d7d6 d2d4 g8f6 b1c3 b8d7 f1c4 f8e7 e1g1 e8g8 a2a4 c7c6 c4b3 d8e8 f1e1 e7d8 a4a5 d8c7 c1g5 h7h6 g5h4 e8d8 d4d5 g7g5 h4g3 d7c5 d5c6 b7c6 b3c4 a8b8 a1a2 c8e6 c4e6 c5e6 a5a6 b8b4 h2h4 g5g4 f3d2 g8h7 b2b3 f8g8 d2c4 f6h5 d1d2 b4b8 d2e3 e6d4 c3e2 c6c5 e3d3 g8g6 c4e3 d4f3 g2f3 g4f3 e3f5 f3e2 d3e2 h5f4 e2d2 d6d5 e4d5 d8d7 f5e3 d7h3 d5d6 b8g8 c2c4 c7a5 d2d5 g6g3 f2g3 g8g3 g1f2 h3h2
Golden Gate op,San Francisco,1977.??.??,?,"Harari, Zaki","De Firmian, Nick E",1-0,,,E76,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 g1f3 c7c5 d4c5 d6c5 d1d8 f8d8 e4e5 f6e8 c3d5 b8c6 c1e3 b7b6 e1c1 c8g4 f1e2 f7f6 e5f6 e8f6 h2h3 g4d7 h1e1 a8c8 d5c3 f6e8 f3e5 c6e5 f4e5 g7e5 c3d5 e5f6 e3f4 d7e6 e2f3 g8f7 g2g4 g6g5 f4g3 e8d6 d5f6 f7f6 g3e5 f6f7 b2b3 d8d7 e1e2 d6e8 d1f1 f7g8 e5b2 e6f7 f3e4 e7e6 e2f2 e8d6 e4c2 c8f8 b2f6 h7h6 f6c3 d6e8 c3e5 d7d8 h3h4 g5h4 g4g5 e8g7 g5h6 g7f5 f2f5 e6f5 f1g1 g8h7 c2f5 h7h6 e5f4 h6h5 g1g5 h5h6 g5g8 h6h5 f5g4
Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Whitehead, Jay E",0-1,,,B35,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 g8f6 f1c4 d8a5 e1g1 e8g8 c4b3 d7d6 h2h3 c8d7 f2f4 a5h5 d1d3 b7b5 a2a3 a7a6 d4f3 a8c8 a1d1 c6a5 e4e5 d6e5 f4e5 d7f5 d3d4 f6d7 e3f4 a5b3 c2b3 d7c5 c3d5 f8d8 d1c1 c5e6 d5e7 g8f8 d4b4 a6a5 e7g6 f8g8 c1c8 d8c8 g6e7 g8f8 b4a5 f8e7 a5b4 e7e8 f4e3 f5d3 f1e1 h5g6 e3f2 g7f8 b4a5 e6f4 f3h4 g6c6 a5d2 f8h6 f2e3 c6c2 h4f3 c2d2 e3d2 c8c2 g1h1 c2c6 f3d4 c6g6 d2f4 h6f4 e5e6 f7f5 a3a4 d3e4 e1e2 g6g3 h1g1 f4e3 g1h2 e3f4 h2g1 g3d3 d4b5 f4e3 g1f1 d3d1 e2e1 e4d3
Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Bustamante, Richard",1/2-1/2,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 e2c3 e8g8 g2g3 b8c6 c1e3 f6e4 c3e4 f7f5 e4c3 e7f6 c3e2 d8d5 h1g1 e6e5 e2c3 d5f7 d4d5 c6d4 f2f4 c7c5 e1f2 c8d7 a3a4 g8h8 f1c4 a8e8 g1f1 e5f4 e3f4 f6e5 f2g1 e5f4 f1f4 g7g5 f4f2 f7e7 c3b5 d7b5 c4b5 e8d8 c2c3 d4b5 a4b5 f5f4 g3f4 g5f4 d1d3 e7g5 f2g2 g5d5 d3d5 d8d5 c3c4 d5d4 g2c2 f4f3 g1f2 d4g4 f2e3 g4g7 c2f2 g7e7 e3d3 b7b6 a1f1 f8d8 d3c2 d8d4 b2b3 d4h4 f2f3 h4h2 c2c3 h2e2 c3d3 e2e6 f1g1 e6g6 g1h1 h8g7 d3c3 h7h6 c3d3 e7e5 h1a1 e5e7 a1h1 g6d6 d3c3 d6e6 c3d3 e6e1 h1h2 e1g1 d3c3 e7e1 h2d2 e1c1 c3b2 c1b1 b2a2 b1a1 a2b2 g1b1 b2c3
Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Jones, Charles B",1/2-1/2,,,B89,e2e4 c7c5 g1f3 g8f6 b1c3 b8c6 d2d4 c5d4 f3d4 d7d6 f1c4 e7e6 c1e3 a7a6 d1e2 f8e7 e1c1 d8c7 c4b3 c6a5 g2g4 b7b5 g4g5 a5b3 a2b3 f6d7 d4f5 e6f5 c3d5 c7d8 e4f5 c8b7 f5f6 g7f6 h1e1 b7d5 d1d5 h8g8 g5f6 d7f6 d5f5 a8b8 e3a7 b8b7 a7d4 f6g4 e2f3 d8c8 f5f7 g4e5 d4e5 d6e5 c1b1 g8f8 f7f8 e7f8 e1e5 b7e7 f3h5 e8d8 e5e7 f8e7 h5h7 c8e6
