Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,0-1,,2570,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 b1c3 h7h6 c1d2 c8e6 a1d1 d8c8 f1e1 b7b6 a2a3 c8b7 d2c1 a8e8 h2h3 c6c5 c3e4 f5e7 b2b3 a7a5 e4c3 e7c6 c1b2 c5c4 b3c4 e6c4 c3e4 c4e6 d1d2 f8e7 e1d1 e8d8 g1f1 d8d2 d1d2 a5a4 f3d4 c6d4 d2d4 b6b5 f2f4 h6h5 f1f2 b7c6 f2f3 g7g6 f3e3 h8d8 d4d8 e7d8 e3d4 d8e7 b2c1 e6f5 c1b2 b5b4 a3b4 e7b4 c2c3 a4a3 b2a1 b4e7 c3c4 f5e4 d4e4 c6c5 e4d3 c5b4 g2g4 h5g4 h3g4 b4b3 f4f5 g6f5 g4f5 b3a2 a1c3 a2b1 e5e6 f7e6 f5e6 a3a2 d3e4 e7a3 e4d3 c7c6 c3d4 a2a1q d4a1 b1a1 d3d4 a3e7 c4c5 a1b2 d4c4 b2a3
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.27,2,Wang Chaoran,Ding Liren,1-0,,,E86,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 c7c6 d1d2 b8d7 e1c1 d8c7 g2g4 a7a6 h2h4 b7b5 e2g3 c7a5 c1b1 d7b6 d4e5 d6e5 e3c5 b5b4 c5b6 a5b6 c3a4 b6a5 b2b3 c8e6 f1e2 f8d8 d2e3 f6d7 h4h5 a5c7 g3f5 g7f8 e3g5 f7f6 f5h6 g8g7 g5e3 c7a7 e3c1 d7c5 a4c5 f8c5 h5g6 d8d1 e2d1 h7g6 h6f5 g6f5 c1h6 g7f7 g4f5 e6f5 e4f5 a8g8 f3f4 c5f8 h6h5 f7e7 f4e5 a7d4 e5f6 e7f6 h1e1 g8g3 h5e8 d4c5 e8e6 f6g7 f5f6 g7g6 e6g8 g6f6 g8g3
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.28,3,Ding Liren,Zhang Jianhua,1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 g8f6 b1c3 b8d7 f1c4 h7h6 e1g1 f8e7 d1e2 e8g8 c1e3 a7a6 a2a4 c7c6 d4e5 d7e5 f3e5 d6e5 a4a5 c6c5 f1d1 d8c7 f2f3 b7b6 a5b6 c7b6 b2b3 c8b7 a1a2 f8d8 d1a1 a6a5 e2e1 b7c6 c3a4 c6a4 a2a4 d8d7 a4a5 a8a7 a5a7 d7a7 e1c3 e7d6 c3b2 d6b8 a1a7 b6a7 b3b4 b8d6 b4b5 a7b6 b2a3 g7g5 a3a6 f6d7 a6c8 d7f8 c8e8 b6a7 b5b6 a7e7 e8e7 d6e7 c4b5 f8e6 b6b7 e7d6 b5c4 e6d8 c4d5 c5c4 e3a7 d8b7 d5b7 g8g7 g1f2 g7f6 f2e3 c4c3 e3d3 d6b4 d3c4 b4a5 g2g4 f6g6 c4b5 a5c7 b5b4 h6h5 h2h3 h5h4 b4c3 g6f6 c3b4 f6e6 c2c4 c7d6 c4c5 d6e7 b4b5 e6d7 c5c6 d7c7 a7c5 e7f6 c5b6 c7b8 b5a6 f6d8 b6d8 f7f5 c6c7
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.29,4,Tang Zijian,Ding Liren,1-0,,,D03,d2d4 g8f6 g1f3 g7g6 c1g5 f8g7 b1d2 d7d5 e2e3 e8g8 c2c4 c7c6 f1d3 h7h6 g5h4 c8e6 e1g1 b8d7 d1c2 a8c8 c4c5 g6g5 h4g3 f6h5 f1e1 f7f5 b2b4 d8e8 d2b3 h5g3 h2g3 c8b8 b4b5 e8c8 a2a4 d7f6 f3e5 f6e4 a1b1 c8c7 b5b6 c7c8 e5f3 a7a6 f3d2 c8d7 d2f1 b8e8 f2f3 e4f6 c2e2 d7c8 b3a1 f6d7 f1d2 d7b8 d2b3 e6d7 f3f4 g5g4 g1f2 e7e6 e1h1 f8f6 b3c1 g8f7 c1a2 f7e7 a2b4 f6f8
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.30,5,Ding Liren,Xu Yang,1/2-1/2,,2358,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 c2c3 b8d7 f1d3 f5d3 d1d3 c6c5 e1g1 g8e7 c1e3 e7c6 b1d2 f8e7 a2a3 e8g8 b2b4 c5c4 d3c2 f7f5 e5f6 e7f6 b4b5 c6e7 e3f4 e7g6 f4d6 f8e8 d6g3 e6e5 c2f5 g8h8 d4e5 d7e5 f3d4 e5d3 d2f3 f6d4 f3d4 e8f8 f5g4 d8c8 g4g5 g6f4 g3f4 d3f4 a1e1 f8f6 e1e3 c8f8 e3f3 a8e8 g1h1 h7h6 g5g4 e8e4 a3a4 f8e8 f3e3 f4d3 e3e4 d5e4 g4e2 e8e5 e2e3 e5h5 h2h3 h5f7 h1g1 f7d5 g1h1 d5e5 h1g1 f6g6 d4e2 g6f6 e2d4 f6f7 d4e2 b7b6 e2d4 h8h7 d4c6 e5f5 c6d4 f5g6 g1h1 d3c5 f1a1 f7d7 h1g1 d7d5 a4a5 d5g5 g2g3 g5h5 g1g2 h5d5 a5b6 a7b6 a1b1 c5e6 d4e6 g6e6 b1e1 d5e5 e3d4 e5b5 d4e4 e6e4 e1e4 b5c5 f2f4 b6b5 g2f3 c5d5
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.31,6,Wen Yang,Ding Liren,1-0,,,C00,e2e4 e7e6 d1e2 f8e7 g2g3 d7d5 d2d3 g8f6 h2h4 c7c5 f1g2 b8c6 g1f3 e8g8 h4h5 d5e4 d3e4 e6e5 h5h6 g7g6 c2c3 d8c7 e1g1 c8g4 b1a3 a7a6 a3c2 a8d8 c2e3 g4c8 f3g5 b7b5 a2a4 c5c4 a4b5 a6b5 e3d5 c7b7 f1d1 c8e6 g5e6 f7e6 d5e7 c6e7 d1d8 f8d8 c1g5 f6e8 g2h3 d8d6 g5h4 e7c6 h4g5 b7c8 e2e3 e8c7 e3c5 c8d7 h3g4 g8f7 a1f1 f7g8 g1g2 d6d3 g4e2 d3d6 g2g1 c6a5 c5e5 a5c6 e5f4 e6e5 f4h4 c7e6 g5e3 d7e7 h4e7 c6e7 f1a1 e7c6 a1a8 d6d8 a8a6 d8c8 e2g4 g8f7 a6b6 c8c7 b6b5 f7f6 g4e6 f6e6 b5c5 e6d6 c5c4 c6a5 c4c7 d6c7 g1g2 c7c6 g2f3 c6b5 f3g4 b5c4 g4g5 c4d3 g5f6 d3e4 f6g7 a5c4 g7h7 e4f5 h7g7 c4e3 f2e3
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.02,7,Liu Renhui,Ding Liren,1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1e2 g8f6 c1f4 e8g8 e1g1 c7c6 b1d2 d6f4 e2f4 d8d6 d1f3 c8e6 c2c3 b8d7 f4e6 f7e6 f3h3 e6e5 d4e5 d7e5 d3c2 a8e8 a1e1 c6c5 d2f3 e5f3 h3f3 e8e1 f1e1 b7b6 f3h3 d5d4 c3d4 c5d4 h3f5 d6b4 e1e2 g8h8 c2d3 a7a5 h2h3 b4c5 e2e5 c5c1 g1h2 g7g6 f5g5 c1g5 e5g5 f6h5 h2g1 h5f4 g5g3 f8c8 g3f3 g6g5 a2a4 c8c1 g1h2 c1d1 d3c4 h7h6 g2g3 f4g6 f3f5 d1b1 b2b3 d4d3 c4d3 b1b3 d3b5 h8g7 h2g2 g6e7 f5e5 g7f6 e5e4 b3b4 e4e2 e7d5 e2c2 f6e5 c2c6 h6h5 c6g6 g5g4 g6g5 e5d6 g5h5 g4h3 h5h3 d5c3 h3h6 d6c5 h6c6 c5d4 c6b6 c3a4 b6h6 a4c3 h6h4 d4c5 h4b4 a5b4 b5d3 b4b3 g3g4 c5d4 d3h7 b3b2 f2f3 d4e5 g2g3 b2b1q h7b1 c3b1 f3f4 e5f6 g3h4 b1c3 g4g5 f6g7 f4f5 c3e4 h4h5 e4g3 h5g4 g3e4 g4f4 e4g5 f4g5 g7f7 f5f6 f7f8 g5f5 f8f7 f5e5 f7f8 e5e6 f8e8
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.03,8,Ding Liren,Huang Yicheng,1-0,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 f6e4 d1e2 d8e7 e2e4 d7d6 d2d4 d6e5 d4e5 b8c6 f2f4 c8e6 f1d3 e7h4 g2g3 h4d8 b1c3 g7g6 d3b5 d8d7 c1e3 e6f5 e4a4 f8b4 a1d1 b4c3 b2c3 d7e6 e3c5 f5h3 e1f2 h3g4 d1d2 a8d8 d2d8 e8d8 h1b1 e6d5 c5a7 d5f3 f2g1 c6a7 a4d4 d8e7 b1f1 a7b5 d4c5 e7d7 f1f3 g4f3 c5b5 f3c6 b5c4 d7e7 g1f2 h8d8 f2e1 d8d7 a2a4 d7d5 a4a5 d5b5 a5a6 b5b1 e1f2
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.04,9,Ding Liren,Qiu Tong,1-0,,,B29,e2e4 c7c5 g1f3 g8f6 b1c3 d7d5 e4d5 f6d5 f1b5 b8c6 f3e5 d5c3 d2c3 d8d1 e1d1 c8d7 b5c6 d7c6 e5c6 b7c6 c1e3 e7e6 d1e2 e8c8 h1d1 f8e7 d1d8 h8d8 a1d1 d8d1 e2d1 c8b7 b2b3 c5c4 d1d2 f7f5 f2f4 c6c5 g2g3 b7c6 b3c4 c6b6 d2c1 h7h6 h2h4 h6h5 c1d2 e7d6 d2c1 e6e5 c1b2 b6c6 e3d2 c6d7 b2b3 e5f4 g3f4 d6e7 d2e1 d7c6 e1f2 c6b6 f2g3 e7d6 b3a4 d6c7 a4a3 b6c6 a3a4 a7a6 a4b3 c6d7 b3b2 d7e6 b2c1 c7d6 c1d2 d6e7 d2d3 e6d7 d3d2 d7d6 d2d3 g7g6 d3d2 e7f6 g3f2 d6c6 d2d3 c6b6 d3d2 b6a5 f2e1 a5a4 e1f2 a4a5 f2e1 a5a4 e1f2 f6e7 d2c1 e7d6 f2g3 a4a3 c1b1 d6c7 b1a1 c7d8 g3f2 d8e7 a1b1 e7d6 f2g3 a3a4 b1b2 d6e7 g3f2 e7f6 f2g3 a4a5 b2b3 a5b6 b3b2 b6c6 b2b3 c6d6 b3b2 d6e6 g3f2 f6e7 b2b3 e7d6 f2g3 e6f7 b3a4 d6c7 a4b3 f7g7 b3b2 c7d8 g3f2 d8e7 b2c1 e7d6 f2g3 g6g5 h4g5 g7g6 c1d2 h5h4 g3h2 g6h5 d2e2 h5g4 e2f2 h4h3 f2g1 d6e7 g1h1 e7d6 g5g6 d6f8 h2g1 g4h5 g1c5 f8h6 c5d6 h5g6 c4c5 g6f7 c5c6 f7e8 h1h2 h6g7 d6e5 g7f8 h2h3 f8e7 h3g3 e8d8 g3f3 e7c5 f3e2 d8c8 e2d3 c5b6 d3c4 c8d8 c4d5 d8c8 c3c4 b6a5 e5d6 c8d8 d5e6 a5c3 e6f5 a6a5 f5e6 a5a4 f4f5 a4a3 f5f6 c3f6 e6f6 d8c8 c6c7 c8d7 c4c5 d7c8 f6e7 c8b7 e7d7 b7a7 c2c4
zt 3.5,Shandong CHN,2007.04.28,1,Zhou Jianchao,Ding Liren,1/2-1/2,2572,2289,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 f2f3 d7d6 c1e3 c7c6 f1d3 a7a6 a2a4 a6a5 d1d2 b8a6 a1d1 e7e5 g1e2 d8e7 e1g1 f6d7 d3b1 f8e8 f3f4 d7b6 b2b3 e5d4 e3d4 a6c5 d4g7 g8g7 b1c2 c8g4 f1e1 a8d8 h2h3 g4e2 c3e2 e7c7 e2g3 b6c8 g1h1 f7f6 d2f2 c5d7 f2f3 d7c5 e1f1 e8f8 h3h4 d8e8 h4h5 c7d7 h1h2 f8f7 d1d2 f7f8 f1h1 b7b6 h2g1 g6g5 g3f5 g7g8 f4g5 f6g5 f3c3 e8e5 f5d6 d7e7 c3d4 c8d6 d4d6 c5e4 d6e7 e5e7 c2e4 e7e4 h1h3 f8e8 h3d3 g8g7 d3d7 g7h6 d7c7 e8e6 d2d3 c6c5 g1f2 h6h5 c7h7 h5g6 h7d7 e4e2 f2f3 e2e1 d7d6 e1f1 f3g3 f1e1 d6e6 e1e6 g3f3 g6f5 d3d5 f5g6 g2g3 g6h5
