Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Capablanca mem-D,Cienfuegos,1996.??.??,2,"Dominguez Perez, Lenier","Rios, Eyleen",1/2-1/2,,2150,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 e4c5 c2c3 d5d4 f3g5 e6d5 g5f7 e8f7 d1f3 f7e6 d2e4 c5b3 f3g4 e6f7 g4f5 f7e8 e5e6 d5e6 f5e6 c6e7 e6b3 d8d5 b3d5 e7d5 c3d4 h7h6 c1d2 a8d8 a1c1 e8d7 e4c5 f8c5 c1c5 c7c6 f1c1 d8c8 f2f3 h8e8 g1f2 e8e6 c1e1 c8e8 c5c1 d7d6 e1e6 e8e6 c1e1 e6e1 f2e1 d6e6 e1e2 d5c7 d2f4 c7d5 f4e5 g7g6 g2g3 d5b6 e5g7 h6h5 e2d3 e6f5 h2h3 b6d5 g7e5 d5b4 d3d2 b4a2 e5d6 a6a5 d6c7 a5a4 c7d6 f5e6 d6c5 e6f5 c5d6 f5e6 d6c5 e6f5 c5d6
Capablanca mem-D,Cienfuegos,1996.??.??,3,"Escobar Forero, Alder","Dominguez Perez, Lenier",1-0,2335,,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e6 f1d3 f8e7 e1g1 e8g8 g1h1 d8c7 d1e2 b8d7 c1d2 b7b5 a1e1 c8b7 e4e5 f6d5 e5d6 c7d6 c3e4 d6b6 c2c3 d7f6 e4g3 b5b4 f4f5 b4c3 b2c3 e6e5 e2e5 e7d6 e5e2 b6c7 c3c4 d5b4 d2b4 d6b4 e1b1 b4c3 d4f3 h7h6 e2c2 c3a5 d3e4 f6e4 g3e4 b7c6 f5f6 f8e8 e4g3 g7g6 f3h4 g8h7 h4g6 f7g6 f6f7 c6g2 c2g2 e8f8 g3e4 a8d8 f1f6 f8f7 g2g6 h7h8
Capablanca mem-D,Cienfuegos,1996.??.??,4,"Dominguez Perez, Lenier","Ramon, Vivian",1/2-1/2,,2220,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 g7g6 d2d3 f8g7 b5c4 c7c6 d1f3 d8e7 c1g5 g7f6 g5f6 e7f6 f3g3 d7d6 f2f4 c8e6 b1d2 f6e7 e4e5 d6d5 f4f5 e6f5 f1f5 g6f5 g3g7 d5c4 g7h8 e8c8 d2c4 g8h6 h8g7 e7e6 g7h7 h6g4 a1f1 b7b5 h2h3 b5c4 h3g4 c4d3 c2d3 f5g4 h7f7 e6e5 f7f5 e5f5 f1f5 d8e8 f5f4 e8e2 f4g4 e2b2 g4d4 b2a2 g2g4 a2a5 g1f2 a5g5 f2f3 c8c7 f3f4 g5g8 g4g5 g8d8 f4e5 d8d4 e5d4 c7d6 d4c4 d6e6 c4c5 a7a5 d3d4 e6f5 c5c6 a5a4
Capablanca mem-D,Cienfuegos,1996.??.??,5,"Fandino, Roquelina","Dominguez Perez, Lenier",1-0,2145,,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 b8d7 e1g1 g8f6 f1e1 g7g6 c2c3 f8g7 d2d4 c5d4 c3d4 d6d5 e4e5 f6e4 b1c3 e4c3 b2c3 d7f8 a1b1 d8d7 d1b3 a8b8 c3c4 d5c4 b3c4 b7b5 c4b3 f8e6 d4d5 e6c5 e5e6 f7e6 b3e3 d7d5 c1a3 b5b4 a3b4 c5a6 b1d1 d5f5 b4e7 e8e7 e3a7 e7f6 d1d7 h8f8 d7g7 b8e8 g7h7 e6e5 a7g7
Capablanca mem-D,Cienfuegos,1996.??.??,6,"Dominguez Perez, Lenier","Hernandez, Yadira",1-0,,2215,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 g8f6 e1g1 b7b5 a2a3 c6e5 h2h3 c8b7 d4b3 e5c4 d3c4 b5c4 b3d2 f8e7 f2f4 e8g8 e3d4 e7c5 d4c5 c7c5 g1h2 a8b8 a1b1 e6e5 d1f3 d7d5 e4d5 f6d5 c3d5 b7d5 f3f2 c5c7 f4e5 c7e5 f2f4 f8e8 f4e5 e8e5 f1e1 b8e8 e1e5 e8e5 b1d1 g7g6 d2b1 e5g5 d1d2 h7h5 b1c3 d5c6 c3d1 g8g7 d1e3 g5c5 d2d4 c6b5 c2c3 f7f5 h3h4 g7f7 h2g3 c5c8 g3f4 c8c5 g2g3 c5c6 a3a4 b5a4 e3c4 f7f6 c4e5 c6c5 d4a4
Capablanca mem-D,Cienfuegos,1996.??.??,7,"Delgado Crespo, Mairelys","Dominguez Perez, Lenier",1/2-1/2,2170,,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e6 d1f3 d8c7 g2g4 b8c6 d4b3 b7b5 g4g5 f6d7 f1d3 c8b7 a2a3 d7c5 c1e3 e8c8 f3f2 c7b6 e4e5 c6e5 f4e5 b7h1 b3c5 d6c5 e1c1 b6b7 e3c5 f8c5 f2c5 c8b8 c5b4 h1c6 d1f1 d8d7 a3a4 b5a4 b4a5 b8a7 c3a4 c6a4 a5a4 h8b8 b2b3 d7c7 c1b2 b7b6 f1a1 a6a5 a4a5 b6a5 a1a5 a7b6 b3b4 b6c6 b2b3 c6d7 c2c4 d7e7 c4c5 b8d8 d3b5 f7f6 g5f6 g7f6 e5f6 e7f6 a5a2 e6e5 a2f2 f6g5 c5c6 e5e4 f2c2 d8d6 b3a4 c7a7 a4b3
Capablanca mem-D,Cienfuegos,1996.??.??,8,"Dominguez Perez, Lenier","Fierro Baquero, Martha Lorena",1/2-1/2,,2165,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 b7c6 e1g1 f8g7 f1e1 g8f6 b1c3 e8g8 d2d3 d7d6 h2h3 e7e5 c3e2 c5c4 c1g5 h7h6 g5f6 d8f6 e2g3 c8e6 d3c4 e6c4 b2b3 c4a6 c2c4 a8d8 d1d2 a6c8 f3h2 h6h5 a1d1 d8d7 d2a5 f6d8 a5a4 d8b6 h2f3 a7a5 d1d3 f8d8 g3f1 c8b7 f1e3 f7f5 f3g5 g7h6 g5e6 d8e8 e3d5 b6a7 d5f6 g8f7 f6d7 e8e6 c4c5 f7e8 d7b6 f5e4 e1e4 h6g7 e4e1 e8f8 b6c4 a7c5 d3f3 f8g8 c4a5 b7a8 a5c4 e6e8 a4a5 c5a5 c4a5 e5e4 a5c4 d6d5 c4d2 a8b7 f3e3 c6c5 e1c1
Capablanca mem-D,Cienfuegos,1996.??.??,9,"Andonovski, Ljubisa","Dominguez Perez, Lenier",0-1,2260,,E73,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1e3 e7e5 d4d5 a7a5 g2g4 f6e8 h2h4 f7f5 g4f5 g6f5 e4f5 c8f5 e2g4 d8d7 g4f5 d7f5 g1e2 f5f3 e2g3 f3d1 a1d1 b8d7 h1g1 g8h8 g3e4 h7h6 g1g6 h8h7 g6e6 f8f7 c4c5 d6c5 e3c5 d7c5 e4c5 e8d6 c3e4 d6e4 c5e4 f7f4 e4g3 a8f8 d1d2 f8f7 h4h5 f4d4 d2d4 e5d4 g3e4 f7f5 e6e7 h7g8 e7e8 g8f7 d5d6 f5e5 e8e5 g7e5 d6c7 e5c7 e1e2 f7e6 e2d3 c7b6 e4d2 e6f5 d2c4 b6c7 d3d4 f5g5 d4e4 g5h5 e4f5 h5h4 c4d2 h6h5 d2e4 h4h3 f2f4 h5h4 f5g5 c7d8 g5h5 h3g2 h5g4 h4h3 e4g3 h3h2 b2b3 b7b5 a2a4 b5a4 b3a4 d8e7
Capablanca mem-D,Cienfuegos,1996.??.??,10,"Dominguez Perez, Lenier","Lopez, C.",1/2-1/2,,2370,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 f3g5 e8f8 g5f3 f8e8 f3g5
Capablanca mem-D,Cienfuegos,1996.??.??,11,"Arribas, Maritza","Dominguez Perez, Lenier",1-0,2270,,B51,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 e1g1 g8f6 f1e1 e7e6 c2c3 f8e7 d2d4 e8g8 b1d2 d7b6 b5d3 c8d7 d2f1 c5d4 c3d4 d6d5 e4e5 f6e4 f1g3 d7c6 g3e4 d5e4 d3e4 c6e4 e1e4 d8d5 d1d3 a8c8 b2b3 c8c3 d3c3 d5e4 c3e3 e4c2 f3e1 c2c6 c1d2 b6d5 e3e4 f8c8 h2h4 e7a3 a1d1 h7h6 g1h2 a3b2 e4g4 g8f8 d1b1 b2a3 g4f3 d5c3 d2c3 c6f3 e1f3 c8c3 b1d1 c3c2 d1d2 c2d2 f3d2 a3b2 d2f3 f8e7 h2g3 e7d7 g3f4 d7c6 f4e4 c6b5 d4d5 e6d5 e4d5 b5b4 f3d2 b7b5 f2f4 b4a3 f4f5 a3a2 e5e6 f7e6 f5e6 b2f6 h4h5 a2b2 d5c6 b2c2 d2e4 f6e7 b3b4 c2d3 e4d6 a7a5 b4a5 b5b4 a5a6 b4b3 a6a7 b3b2 a7a8q b2b1q a8a3 d3e2 a3f3 e2e1 f3e4 b1e4 d6e4 e1f1 c6d7 e7f8 e6e7 f8e7 d7e7 f1g2 e7f7 g2f3 f7g7 f3e4 g7h6 e4f5 h6g7 f5g5 h5h6
