Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20,Kiljava,1984.??.??,?,"Thorsteins, Karl","Dreev, Alexey",0-1,2375,,D15,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c1g5 f6e4 g5f4 e4c3 b2c3 d5c4 g2g3 b7b5 f1g2 c8b7 f3e5 f7f6 e5c4 g7g5 f4b8 b5c4 a1b1 a8b8 b1b7 b8b7 g2c6 b7d7 d1a4 e7e6 e1g1 f8d6 a4a6 e8f7 c6d7 d8d7 a6c4 h8b8 a2a4 d7c8 c4d3 f7g7 f2f4 g5f4 g3f4 f6f5 e2e4 f5e4 d3e4 c8c3 e4e6 c3d4 g1h1 b8f8 e6a2 d6b4 a2f2 d4f2 f1f2 f8a8 f2a2 a8a5 h1g2 g7f6 g2f3 f6f5 a2e2 a5a4 e2e5 f5f6 e5h5 a4a7 h5h6 f6g7 h6b6 b4c3 f3g4 a7a5 f4f5 a5a4 g4h5 c3f6 b6b7 g7g8 b7b8 g8f7 b8b7 f6e7 f5f6 f7f6 b7b3 f6g7 b3g3 g7h8 g3h3 a4e4 h5h6 e4e5 h3f3
Wch U20,Kiljava,1984.??.??,?,"Wells, Peter K","Dreev, Alexey",1/2-1/2,2320,,D13,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4d5 c6d5 c1f4 b8c6 a1c1 f6e4 a2a3 c8f5 e2e3 e7e6 d1a4 f7f6 c3e4 f5e4 f3d2 e4f5 c1c6 b7c6 a4c6 e8f7 f1a6 f8e7 a6b7 a8a7 e1g1 d8a5 d2b3 a5a4 c6b6 e7d8 f4c7 d8c7 b6c7 f7g6 c7g3 g6f7 g3c7
Wch U20,Kiljava,1984.??.??,?,"Hansen, Curt","Dreev, Alexey",1/2-1/2,2485,,C60,e2e4 e7e5 g1f3 b8c6 f1b5 f8b4 e1g1 g8e7 c2c3 b4a5 b5c6 e7c6 b2b4 a5b6 b4b5 c6a5 f3e5 e8g8 d2d4 d8e8 b1d2 d7d6 e5d3 e8b5 c3c4 b5d7 c1b2 c7c5 d4d5 b6c7 a1b1 a8b8 d3f4 d7g4 d1g4 c8g4 b2c3 g4d7 f4h5 f7f6 f2f4 b7b5 f4f5 a5c4 d2c4 b5c4 h5f4 b8b6 f4e6 d7e6 f5e6 f8b8 b1b6 a7b6 a2a4 b8a8 f1a1 h7h5 g1f2 a8f8 f2e3 f6f5 a1f1 f5e4 f1f8 g8f8 e3e4 c7d8 e4f5 h5h4 h2h3 d8e7 c3b2 e7d8 b2a1 d8e7 a1c3 e7d8 c3b2 d8e7
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Moskalenko, Viktor",1-0,2395,2460,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 c5d4 f3d4 d8b6 f1e2 c6d4 e3d4 f8c5 c3a4 b6a5 c2c3 c5d4 d1d4 b7b6 e2d1 a5b5 b2b4 c8b7 a4b2 a8c8 d1a4 b5a6 c3c4 c8d8 e1g1 e8g8 f4f5 e6f5 c4d5 b6b5 a4b3 a6b6 d4b6 d7b6 d5d6 b7e4 a2a4 f8e8 a4b5 e8e5 f1d1 e5b5 d1d4 b6c8 b2a4 g8f8 d6d7 c8e7 a4c3 b5b7 c3e4 f5e4 a1f1 b7d7 f1f7 f8e8 d4d7 d8d7 f7g7 d7d4 g7h7 d4b4 b3e6 e8d8 g1f2 b4b2 f2g3 b2b6 e6g4 b6b3 g3f4 e4e3 g4f3 e7d5 f3d5 e3e2 h7h8 d8d7 d5c6 d7c6 h8e8 a7a5 e8e2 a5a4 g2g4 a4a3 h2h4 b3b2 e2e6 c6d7 e6a6 a3a2 g4g5 d7e7 f4g4 e7f7 g4h5 b2h2 a6a7 f7e6 h5g6 h2b2 h4h5 b2b8 h5h6 b8g8 g6h5 e6f5 a7a5
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Aseev, Konstantin N",1/2-1/2,2395,2455,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 g8f6 e4e5 d6e5 f3e5 d7d6 d2d4 d6d4 d1d4 c5d4 f1d1 e7e6 d1d4 f8c5 d4d3 b8d7 e5d7 f6d7
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Kaidanov, Grigory S",1/2-1/2,2395,2415,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a6 e1g1 d7d6 c4b3 e8g8 b1d2 c5a7 f1e1 c8e6 d2f1 h7h6 f1g3 d6d5 e4d5 f6d5 f3e5 c6e5 e1e5 a7f2 g1h1 f2g3 h2g3 d5f6 b3e6 f7e6 d3d4 d8e8 c1f4 g7g5 f4d2 e8h5 d1h5 f6h5 h1g1 f8f6 g3g4 h5g7 a2a4 g8f7 c3c4 a8d8 d2e3 g7e8 b2b3 f7g6 b3b4 e8d6 a1c1 c7c6 b4b5 a6b5 c4b5 c6b5 a4b5 d6c8 g1h2 c8d6 c1c7 d6f7 e5c5 f7d6 b5b6 f6f7 d4d5 e6e5 c7f7 g6f7 c5c7 f7g6 e3c5 d6e4 c5e7 d8d5 c7b7 d5b5 e7f8 b5b3 h2g1 b3b1 g1h2 b1b3 h2g1 b3b1 g1h2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Kharitonov, Andrei Y",1/2-1/2,2395,2450,D53,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5f6 e7f6 e2e3 c7c6 d1c2 b8d7 f1e2 e8g8 e1g1 d5c4 e2c4 e6e5 a1d1 e5d4 f3d4 d8a5 c3e4 f6e7 e4g3 d7b6 c4b3 e7f6 g3e4 f6e7 e4g3 e7f6 g3e4 f6e7 e4g3
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Khalifman, Alexander",1/2-1/2,2395,2485,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 e1g1 e8g8 c4b3 a7a6 b1d2 c5a7 d2c4 h7h6 c1e3 c8e6 e3a7 a8a7 f1e1 e6c4 b3c4 c6a5 c4b3 a5b3 d1b3 f8e8 a1d1 d8d7 d3d4 e5d4 d1d4 c7c5 d4d3 e8e4 b3b6 e4e1 f3e1 a7a8 b6d6 d7d6 d3d6
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Neverov, Valeriy",1/2-1/2,2395,2480,A32,d2d4 g8f6 g1f3 c7c5 c2c4 e7e6 b1c3 c5d4 f3d4 f8b4 d4b5 a7a6 b5d6 e8e7 d6c8 d8c8 d1b3 b8c6 c1d2 h8d8 e2e3 e7f8 f1e2 d7d5 c4d5 f6d5 e1g1 d5f4 e2f3 f4d3 a1d1 c6e5 f3e2 b4e7 b3c2 f8g8 a2a3 d3c5 f2f4 e5c6 b2b4 c5d7 d2e1 d7f6 d1c1 f6d5 e1f2 d5c3 c2c3 e7f6 c3b3 d8d2 e2f3 c8d7 f1d1 a8d8 d1d2 d7d2 c1d1 d2b2 d1d8 c6d8 b3b2 f6b2 a3a4 b2a3 b4b5 a6b5 a4b5 a3c5 g1f1 b7b6 f1e2 f7f6 f2e1 d8f7 f3g4 f6f5 g4f3 f7d6 f3c6 g8f7
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Novikov, Igor A",1-0,2395,2460,D03,d2d4 g8f6 g1f3 e7e6 c1g5 c7c5 e2e3 d7d5 b1d2 f8e7 c2c3 b8d7 f1d3 b7b6 e1g1 c8b7 f3e5 d7e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f6 d2f3 e8c8 d3b5 c8b8 a2a4 d7f8 b2b4 a7a6 b5d3 f6e5 f3e5 f8d7 d1h5 d7f6 h5f7 d8e8 f7e7 e8e7 b4c5 b6c5 a1b1 b8c7 a4a5 f6d7 e5d7 e7d7 b1b6 d7d6 f1b1 d6b6 b1b6 c5c4 d3c2 b7c8 g1f2 h8f8 c2h7 f8h8 h7c2 h8h2 e3e4 h2h4 f2e3 d5e4 b6b4 h4h5 b4c4 c7d8 c4a4 h5c5 e3d4 c5d5 d4e4 c8b7 a4d4 d5d4 e4d4 b7g2 d4c5 d8c7 c2b3 e6e5 f4e5 g7g5 b3e6 g2f3 c5d4 g5g4 d4e3 c7c6 e6c4 f3d5 c4a6 g4g3 a6e2 c6c5 e2g4 d5c6 g4c8
