Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.19,1,"Duda,J","Brzeski,M",0-1,1939,2208,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 b1c3 a7a6 b5a3 b7b5 c3d5 c6e7 c2c4 e7d5 e4d5 b5c4 a3c4 f8e7 f1e2 f7f5 e1g1 g8f6 c1d2 a6a5 d1e1 f6d5 d2a5 d8d7 a2a4 e8g8 e1d2 c8b7 f1d1 d5f4 e2f1 d7e6 g2g3 e6h6 c4e3 f4h3 f1h3 h6h3 e3d5 f5f4 d2e1 a8a5 d5e7 g8h8 e1f1 h3e6 d1e1 a5a8
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.20,2,"Zysko,J","Duda,J",1/2-1/2,2148,1939,A18,c2c4 e7e6 b1c3 g8f6 e2e4 d7d5 e4e5 f6d7 d2d4 d5c4 f1c4 c7c5 g1f3 c5d4 d1d4 b8c6 d4e4 d8a5 c1f4 f8b4 e1g1 b4c3 b2c3 a5c3 f4d2 c3a3 e4g4 a3f8 c4b5 h7h5 g4a4 d7b8 d2b4 f8g8 f1d1 f7f6 e5f6 g7f6 b4c3 g8g7 a4f4 e8g8 f4h4 g7g6 d1d3 g8f7 a1d1 c6e7 f3d4 g6g4 h4g4 h5g4 h2h3 g4h3 d3h3 f8g8 d1e1 e7d5 c3b2 g8g2 g1g2 d5f4 g2g3 f4h3 e1c1 b8c6 b5c6 b7c6 g3h3 e6e5 h3g3 e5d4 b2d4 c8d7 c1h1 a8g8 g3f4 g8g4 f4e3 a7a6 h1h7 f7e6 h7h6 e6d5 d4f6 g4a4 h6h5 d5e6 f6c3 a4a2 h5a5 a2a5 c3a5 e6d5 e3d3 d7f5 d3e3 d5c5 a5d8 c5b5 d8e7 f5e6 f2f4 c6c5 f4f5 e6f5 e7c5
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.21,3,"Duda,J","Walkusz,W",1-0,1939,2151,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 d7d5 f3e5 d5e4 e5c6 d8g5 d1e2 g8f6 f2f4 g5f4 d2d4 f4h4 g2g3 h4h3 c1g5 a7a6 b5a4 f8d6 c6e5 c7c6 e1c1 e8g8 a4b3 g8h8 g5f6 g7f6 e5f7 f8f7 b3f7 c8g4 e2e4 g4d1 h1d1 h8g7 f7e6 h3h6 c1b1 a8e8 e4g4 h6g5 a2a3 h7h5 g4g5 f6g5 d4d5 c6c5 d1f1 e8f8 f1f8 g7f8 e6c8 b7b6 c8a6 f8e7 a6e2 g5g4 c2c4 e7f6 b1c2 d6e5 c2b3 f6e7 e2d3 e5d4 d3g6 d4g1 g6h5 g1h2 b3a4 h2g3 a4b5 g3c7 b5c6 g4g3 h5f3 c7d8 f3g2 e7e8 d5d6 d8f6 c6b6 e8d7 b6c5 f6b2 g2h3 d7d8 a3a4 b2a3 c5c6 a3b4 c4c5 b4d2 c6b6
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.22,4,"Czarnota,D","Duda,J",1-0,2229,1939,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 f1e1 d7d6 a2a4 b5b4 h2h3 c6a5 c2c3 b4c3 b2c3 a5b3 d1b3 e8g8 d2d4 e5d4 f3d4 c8d7 c1f4 c7c5 d4f3 d7c6 b1d2 a8a7 c3c4 d8a8 b3d3 a7d7 e1e2 f8b8 a4a5 h7h6 f3e1 b8b2 f2f3 f6h5 f4h2 e7f6 a1a3 f6d4 g1h1 g7g5 d2b3 b2e2 d3e2 d4g7 e1d3 a8e8 e2d2 e8e6 d2c2 f7f5 d3f2 f5e4 f2e4 h5f6 b3d2 f6e4 d2e4 e6g6 a3e3 g8h7 h2g3 g7d4 e3e2 d7b7 g3d6 b7b2 c2d3 b2e2 d3e2 c6e4 e2e4 g6e4 f3e4 h7g6 g2g3 g5g4 h3g4 g6g5 e4e5 g5g6 e5e6 g6f6 e6e7 f6f7 h1g2 d4f6 d6c5 f6e7 c5e7 f7e7 g2f3 e7d6 f3e4 d6c5 e4d3 c5c6 d3d4 c6d6 c4c5 d6c6 d4c4 c6c7 c4d5 c7d7 c5c6 d7c8 d5d6
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.23,5,"Duda,J","Sabuk,P",1/2-1/2,1939,2091,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 c1g5 h7h6 g5f6 e7f6 d4d5 c6e7 b1d2 c7c6 d5c6 b7c6 d2f1 d6d5 e4d5 e7d5 f1g3 d5f4 g3e4 f4d3 e4f6 d8f6 d1d3 e5e4 d3d4 e4f3 d4f6 g7f6 g2f3 c6f3 e1e3 e8e3 f2e3 g8g7 a1f1 f3h5 f1f5 h5g6 f5d5 a8e8 g1f2 e8e5 d5e5 f6e5 b3d5 g6f5 b2b4 f5c8 e3e4 g7g6 a2a3 f7f5 e4f5 g6f5 f2f3 f5f6 h3h4 f6f5 d5c6 f5e6 c6e4 e6d6 f3e3 c8e6 e4b7 d6c7 b7f3 c7d6 f3d1 d6d5 d1b3 d5d6 b3c2 d6d5 c2d3 e6g4 d3f1 g4f5 f1e2 f5e6 e3d3 e6f5 d3e3 f5e6 e2f1 e6f5
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.24,6,"Brynski,D","Duda,J",0-1,2064,1939,C56,e2e4 e7e5 d2d4 e5d4 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 d1d4 a5c4 d4c4 d8d5 c4e2 f8e7 e1g1 c8g4 f2f3 d5d4 g1h1 g4d7 f1d1 d4c5 b2b4 d7b5 e2e1 c5b4 c2c3 b4c4 b1a3 c4e2 a3b5 e2b5 c1a3 c7c5 a1b1 b5c6 e1e5 a8c8 d1e1 c8c7 e5f5 e8g8 e1e7 c7e7 f5c5 f8e8 c5e7 e8e7 a3e7 h7h6 e7f6 g7f6 g5e4 f6f5 e4g3 c6c3 h2h3 b7b6 b1d1 c3c2 d1d7 c2a2 h1h2 a7a5 d7a7 a2e6 a7a6 f5f4 g3e4 f7f5 e4d2
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.25,7,"Duda,J","Rudnicki,M",0-1,1939,2197,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 e1c1 d6d5 e4d5 f6d5 d4c6 b7c6 e3d4 d5c3 d2c3 g7h6 d4e3 h6e3 c3e3 d8b6 e3e7 c8e6 e7a3 a8b8 f1d3 c6c5 c2c4 b6c7 a3c3 b8b4 b2b3 f8b8 d3c2 a7a5 c3e3 a5a4 g2g4 a4b3 a2b3 c7a5 e3c3 a5a2 h1e1 e6c4 b3c4 b4c4 e1e3 c4c3 e3c3 a2b2 c1d2 b8e8 d1b1 b2a2 c3c5 a2a3 c5c3 a3d6 d2c1 d6f4 c1b2 f4h2 b1d1 e8b8 c3b3 h2e5 b2b1 b8a8 b3b2 e5c3 c2e4 a8a7 d1d2 g8g7 d2d1 c3a3 d1d3 a3a1 b1c2 a1e1 d3c3 g7h6 c2b3 e1d1 c3c2 h6g5 b3c3 a7c7 c3b3 f7f5 g4f5 g6f5 f3f4 g5f4 b3a3 c7a7 a3b4 f5e4 c2f2 f4e5
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.26,8,"Markowski,P","Duda,J",0-1,2119,1939,A18,c2c4 e7e6 b1c3 g8f6 e2e4 d7d5 e4e5 f6d7 d2d4 d5c4 f1c4 c7c5 g1f3 b8c6 d4d5 d7e5 f3e5 c6e5 c4b5 c8d7 e1g1 a7a6 b5d7 d8d7 f1e1 e5g6 f2f4 e8c8 d5e6 d7d1 c3d1 f7e6 d1f2 f8d6 f2e4 d6e7 c1e3 b7b6 a2a4 a6a5 g2g3 h8f8 e1f1 e7f6 e4f6 f8f6 a1c1 c8b7 c1c4 d8d3 c4e4 b7c6 f1e1 c6d5 e3c1 d3d4 e4e2 d4a4 b2b3 a4a1 g1g2 a1b1 c1b2 b1e1 e2e1 f6f7 g2f3 g6e7 e1d1 d5c6 d1e1 c6d6 b2e5 d6d7 e1d1 e7d5 f3e4 d7c6 g3g4 g7g6 h2h4 f7d7 d1h1 c6b5 h4h5 b5b4 h5g6 h7g6 h1h6 d5e7 e5f6 b4b3 f6e7 d7e7 h6g6 a5a4 g6h6 c5c4 e4e5 a4a3 e5f6 a3a2 f6e7 a2a1q e7e6 a1e1 e6f5 b6b5 g4g5 c4c3 g5g6 c3c2 g6g7 e1e8 h6h3 b3b4 h3g3
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.27,9,"Duda,J","Plonczak,D",1-0,1939,2162,B07,e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 d4e5 d6e5 d1d8 e8d8 c1g5 f8d6 f1c4 c8e6 c4e6 f7e6 f2f3 d8e7 c3d1 b8c6 c2c3 b7b5 g1e2 h7h6 g5e3 c6a5 e2c1 b5b4 c1d3 b4c3 d1c3 a5c4 e1e2 h8b8 b2b3 c4e3 e2e3 f6d7 c3a4 d7b6 a4c5 a7a5 h1c1 a5a4 b3b4 a4a3 a1b1 b6c8 b1b3 a8a7 c1c3 b8a8 d3e1 c8b6 e3e2 b6a4 c5a4 a7a4 e1c2 e7d7 e2d3 a8c8 d3d2 c8a8 d2d1 a8a7 b3a3 a4a3 c3a3 a7a3 c2a3 d6b4 a3c4 b4c3 d1c2 c3d4 c2d3 c7c5 c4a5 d7c7 d3c4 c7b6 a5b3 d4g1 h2h3 g7g6 a2a4 g6g5 a4a5 b6a6 g2g4 g1f2 b3c5 a6a5 c5e6 a5b6 c4d5 f2g3 e6g7 b6c7 g7f5 g3f4 f5h6 c7d7 h6f7 d7e7 f7e5 e7f6 e5d3 f4c7 e4e5 f6f7 d5e4 f7g6 f3f4
44th Rubinstein Mem Open A,Polanica Zdroj POL,2008.08.28,10,"Stoma,P","Duda,J",1-0,2294,1939,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 b7b5 a4b3 f8e7 c2c3 d7d6 b1d2 e8g8 d2f1 c6a5 b3c2 c7c5 f1g3 d8c7 e1g1 c8d7 h2h3 f8e8 f3h2 g7g6 f2f4 g8g7 d1f3 e8f8 f4e5 d6e5 c1g5 c7d6 d3d4 c5d4 c3d4 f6g8 g5e7 d6e7 d4d5 a5c4 f3c3 a8c8 f1f2 b5b4 c3b3 e7c5 c2d3 a6a5 a1c1 c5e3 c1c4 e3g3 d3f1 g3b3 a2b3 g8f6 f1d3 f6e8 c4c8 d7c8 f2c2 e8d6 c2c7 g7h6 c7c6 f8d8 h2f3 f7f6 g2g4 h6g7 c6c7 d8d7 c7c5 d7a7 c5c6 a7d7 g1f2 g7f7 g4g5 f7e7 g5f6 e7f6 h3h4 h7h6 f3d2 c8b7 c6b6 f6g7 d2c4 d7f7 f2g3 d6c8 b6b5 g7f6 b5c5 f7d7 c5b5 d7e7 b5a5 e7c7 a5a1 c7e7 a1a4 g6g5 h4h5 e7g7 a4b4 g5g4 c4a5 b7a8 b4b8 g7a7 b3b4 c8d6 b8g8 a8b7 g8g6 f6e7 g6h6 d6f7 h6b6 b7a8 g3g4 a7c7 b6a6
