Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,Moscow,1963.??.??,?,"Dzindzichashvili, Roman",Usakovsky,1-0,,,B14,c2c4 g8f6 b1c3 e7e6 d2d4 d7d5 g1f3 c7c5 e2e3 b8c6 a2a3 c5d4 e3d4 f8e7 c4c5 f6e4 d1c2 f7f5 f1b5 e8g8 b5c6 b7c6 c1f4 g7g5 f4e5 g5g4 f3d2 c8a6 f2f3 g4f3 d2f3 e7g5 c2a4 a6c4 a4c6 f8f7 c6e6 g5e3 e5g3 d8f8 c3e4 d5e4 e6c4 e4f3 g2f3 f8g7 g3f2 g7g2 f2e3 g2h1 c4f1 h1h2 e1c1 a8e8 f1g1 h2g1 e3g1 e8e2 c5c6 f7g7 d4d5 g7g2 g1d4 g8f7 d4c3
URS-chT,Moscow,1963.??.??,?,"Dzindzichashvili, Roman","Kapengut, Albert Z",1/2-1/2,,,A37,c2c4 c7c5 g1f3 b8c6 b1c3 g7g6 g2g3 f8g7 f1g2 d7d6 e1g1 c8d7 e2e3 g8h6 d2d4 e8g8 b2b3 d7g4 h2h3 c5d4 e3d4 g4f3 g2f3 h6f5 f3c6 b7c6 c3e2 d6d5 c4c5 e7e5 d4e5 g7e5 a1b1 d8e7 d1c2 a7a5 c1f4 e5f4 e2f4 f5d4 c2d3 e7c5 b1c1 c5b6 f1d1 d4e6 d3d2 a5a4 b3b4 a4a3 d1e1 e6g5 d2e3 b6b4 h3h4 g5e4 c1c6 f8d8 h4h5 b4d2 f4d5 d2d5 e3e4 d5e4 e1e4 d8d2 h5h6
URS-chT,Moscow,1963.??.??,?,Bukhover,"Dzindzichashvili, Roman",1-0,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 f1d3 f8b4 e1g1 b4c3 b2c3 e8g8 c1g5 c6e5 d1d2 d7d6 g5f6 g7f6 d2h6 e5g6 a1e1 e6e5 e1e3 g8h8 d3c4 c8e6 c4e6 f7e6 e3h3 f8f7 h6g6 b6c7 g6h6 a8g8 f1d1 c7c6 h6e3 f6f5 e3f3 f7g7 h3g3 g7g4 e4f5 e5e4 f3e3
URS-chT,Moscow,1963.??.??,?,"Rashkovsky, Nukhim N","Dzindzichashvili, Roman",1-0,,,B47,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d8c7 f1e2 a7a6 f2f4 b7b5 d4c6 c7c6 e2f3 c8b7 e4e5 c6c7 e1g1 f8c5 g1h1 g8e7 c3e4 e8g8 e4c5 b7f3 d1d6 a8c8 d6e7 f3g2 h1g2 c7c6 f1f3 f8e8 e7d7 c6c5 f3c3
URS-chT,Moscow,1963.??.??,?,"Dzindzichashvili, Roman",Vaskan,1-0,,,A17,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 g2g3 b7b6 f1g2 c8b7 e1g1 e8g8 d2d4 d8e7 c3a4 d7d5 c4c5 b6c5 a2a3 b4a5 a4c5 b7c6 f3e5 a5b6 b2b4 a7a5 c1d2 a5b4 d2b4 b6a5 d1d3 f6e8 c5d7
Tbilisi,Tbilisi,1965.??.??,?,"Pietzsch, Wolfgang","Dzindzichashvili, Roman",0-1,,,B67,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 g5f6 g7f6 c1b1 d8b6 c3e2 a8c8 g2g3 c6a5 b2b3 f8e7 f1h3 a5b7 h1e1 b7c5 d2e3 b5b4 e2g1 a6a5 g1f3 e8g8 f3d2 b6c7 d1c1 c8a8 c2c3 b4c3 e3c3 c7b7 h3g2 f8b8 c1c2 b7a6 d2c4 b8b4 b1a1 a8b8 c2b2 e7f8 c3e3 a5a4 b3a4 a6a4 b2b4 b8b4 c4b2 a4a7 e3c3 b4d4
Tbilisi,Tbilisi,1965.??.??,?,"Navarovszky, Laszlo","Dzindzichashvili, Roman",1/2-1/2,,,E60,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 d4d5 d7c5 f3d4 a7a5 b1c3 c8d7 b2b3 d8c8 c1a3 d7h3 f1e1 h3g2 g1g2 f6e4 c3e4 c5e4 d1d3 c8h3 g2g1 e4f6 a1d1 f6g4 d4f3 e7e5 e2e3 h3h5 h2h4 f7f5 d3e2 a5a4 b3b4 g7f6 f3h2 g6g5 e3e4 h5f7 e4f5
Tbilisi,Tbilisi,1965.??.??,?,"Kholmov, Ratmir D","Dzindzichashvili, Roman",1/2-1/2,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 f1e2 f8e7 e1g1 e8g8 d1d2 f6e4 c3e4 e7g5 e4g5 c6d4 d2d4 d8g5 d4d6 g5d8 a1d1 d8d6 d1d6 e6e5 e2f3 c8e6 b2b3 a8c8 c2c4 c8c7 f1e1 c7c5 f3b7 f8b8 h2h3 g8f8 b7d5 e6d5 e1e5 c5a5 d6d5 a5a2 d5d7 b8e8 e5b5 g7g6 d7d1 e8e2 d1f1 e2c2 g2g4 a7a5 c4c5 a5a4 b3a4 a2a4
Tbilisi,Tbilisi,1965.??.??,?,"Gurgenidze, Bukhuti","Dzindzichashvili, Roman",1-0,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 f1e2 f8e7 d4b3 a7a6 d1d2 b7b5 a2a3 c8b7 a1d1 c6a5 b3a5 d8a5 e4e5 b5b4 a3b4 a5e5 f2f4 e5f5 g2g4 f6e4 g4f5 e4d2 e1d2 e7g5 f4g5 b7h1 d1h1 h7h6 g5g6
Tbilisi,Tbilisi,1965.??.??,?,"Soos, Bela","Dzindzichashvili, Roman",1/2-1/2,,,E70,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1e2 e8g8 e2g3 e7e5 d4d5 f6g4 f2f3 g4h6 c1e3 f7f5 e3f2 f5f4 g3e2 g6g5 h2h3 c7c5 d5c6 b8c6 c4c5 h6f7 c5d6 c8e6 c3b5 d8a5 e2c3 f8d8 a2a3 d8d7 b2b4 a5d8 c3d5 f7d6 b5d6 d7d6 f2c5 d6d7 f1c4 g8h8 e1g1
