Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Rostov,Rostov,1980.??.??,?,"Ehlvest, Jaan","Ryskin, Alexander",1/2-1/2,,,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 c1e3 e5d4 c3d4 c6a5 b3c2 c7c5 d4c5 d6c5 b1d2 f6d7 d1b1 a5c6 e4e5 h7h6 c2e4 a8c8 e4f5 g4f5 b1f5 d7b6 d2e4 d8d7 f5h5 c6b4 e4f6 g7f6 e3h6 d7d3 e5f6 e7f6 f3e5 d3h7 e1e3 f6e5 e3e5 c8c6 e5g5 c6g6 h6f8 h7h5 g5h5 g8f8 h5c5 g6e6 h2h4 e6e2 a2a3 b4d3 c5c6 b6c4 b2b3 c4e5 c6a6 e2f2 a3a4 f2b2 a1f1 b2b3 a4a5 b3a3 a6a8 f8g7 a5a6 b5b4 a6a7 b4b3 a8b8 a3a7 b8b3 a7a4 f1d1 a4d4 g2g3 d4d6 g1g2 g7g6 b3a3 f7f5 g2f1 d6d4 a3a6 g6h5 a6a5 d4e4 d1d3 e5d3 a5f5 h5g4 f5a5 g4h3 a5a1 h3g3 h4h5 g3f3 a1d1 d3f4 d1d8 f4h5 d8d3 f3g4 f1f2 h5f4 d3g3 g4f5
EU-ch U20,Groningen,1982.??.??,1,"Berend, Fred","Ehlvest, Jaan",0-1,,2450,B50,e2e4 c7c5 g2g3 b8c6 f1g2 e7e6 b1c3 g8f6 g1f3 d7d6 e1g1 f8e7 f1e1 d8c7 d2d4 c5d4 c3b5 c7b8 b5d4 c6e5 c2c4 e8g8 b2b3 e5g6 d1e2 f8d8 c1b2 f6d7 e1d1 a7a6 d1d2 b8c7 f3e1 d7f6 a1d1 c8d7 h2h4 c7a5 a2a3 a8c8 e1d3 h7h6 d1c1 d7e8 b3b4 a5c7 d4b3 e6e5 c4c5 c7b8 g2h3 e8d7 h3d7 f6d7 h4h5 g6f8 d2c2 f8e6 c5c6 b7c6 c2c6 c8c6 c1c6 b8b5 c6c2 d7b6 f2f4 b6a4 b2a1 e5f4 g3f4 d8e8 g1g2 b5d3 e2d3 e6f4 g2f3 f4d3 c2c6 e8a8
EU-ch U20,Groningen,1982.??.??,2,"Ehlvest, Jaan","Greenfeld, Alon",1/2-1/2,2450,2305,A30,g1f3 c7c5 c2c4 g8f6 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 c1g5 a7a6 g5f6 e7f6 d4d3 a8a7 a1d1 f6e7 f3d4 b7g2 g1g2 a7c7 f2f4 b8c6 d4c6 d8a8 f1f3 a8c6 b2b3 e8g8 g3g4 f8c8 a2a4 d6d5 c4d5 c6c3 d5d6 e7d6 d3c3 c7c3 d1d6 c3c6 d6d7 c6c7 f3d3 g8f8 d7c7 c8c7 d3d8 f8e7 d8b8 c7c6 g4g5 h7h6 b8b7 e7f8 b7b8 f8e7 b8b7 e7f8 h2h4 h6g5 h4g5 g7g6 g2f2 a6a5 e2e3 e6e5 f2f3 c6e6 f3e4 e5f4 e4f4 f7f5 g5f6 e6f6 f4e5 f6f3 b7b6 f3e3 e5d4 e3f3 b6b5
EU-ch U20,Groningen,1982.??.??,3,"Miralles, Gilles","Ehlvest, Jaan",0-1,,2450,A00,b2b4 d7d5 c1b2 c8g4 c2c4 e7e6 d1b3 g8f6 e2e3 b8d7 h2h3 g4f5 g1f3 f8e7 f1e2 e8g8 e1g1 a7a5 a2a3 d5c4 e2c4 f5e4 f3e5 d7e5 b2e5 f6d7 e5b2 d7b6 c4e2 d8d6 b4b5 e6e5 d2d3 e4f5 b1d2 a5a4 b3c3 f7f6 a1c1 a8c8 f1d1 f8d8 d2f1 f5e6 d3d4 e5e4 f1d2 d6d5 c1c2 e7d6 d1c1 c8a8 b2a1 f6f5 f2f4 e6f7 c3b2 d5e6 d2c4 b6c4 e2c4 e6g6 c4e2 g6g3 c2c3 f7d5 g1h1 d8f8 b2d2 d6f4 h1g1 g3h2 g1f1 f4g3 e2c4 d5c4 c3c4 f5f4
EU-ch U20,Groningen,1982.??.??,4,"Ehlvest, Jaan","D'Amore, Carlo",1-0,2450,2305,A79,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 f3d2 f8g7 e2e4 e8g8 f1e2 b8a6 e1g1 a6c7 a2a4 f8e8 f2f3 b7b6 d2c4 c8a6 c1g5 a8b8 d1d2 a6c4 e2c4 a7a6 c4d3 b6b5 a4b5 a6b5 b2b4 d8d7 a1a7 c5b4 c3e2 b8a8 a7a8 e8a8 d2b4 a8a4 b4b3 d7e8 f1c1 e8b8 g5e3 f6d7 b3c2 a4a1 c1a1 g7a1 e2d4 b8a7 c2f2 a7a4 d4c6 b5b4 f2h4 a4d1 d3f1 a1f6 h4g4 d7f8 g4f4 c7e8 c6b4 f8d7 b4c6 h7h5 e3f2 d7e5 f4e3 g6g5 c6e5 d6e5 h2h4 g5h4 e3a3 e8g7 a3d6 g7e6 d6c6 e6f4 c6f6 f4e2 g1h2 d1f1 f6g5 g8h7 g5h5 h7g8 h5g5 g8h7 g5h4 h7g8 h4g5 g8h7 f2c5
EU-ch U20,Groningen,1982.??.??,5,"Hansen, Curt","Ehlvest, Jaan",1/2-1/2,,2450,D55,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 g1f3 f8e7 c1g5 e8g8 e2e3 h7h6 g5f6 e7f6 a1c1 c7c6 f1d3 b8d7 e1g1 d5c4 d3c4 e6e5 c4b3 e5d4 e3d4 f8e8 f1e1 e8e1 d1e1 d7f8 c3e4 c8e6 e4f6 d8f6 e1b4 e6b3 b4b3 f6e7 h2h3 f8e6 c1e1 a8d8 e1e5 e7d7 b3e3 a7a6 e3e4 g7g6 e4d3 d7d6 e5e1 c6c5 d3e3 e6d4 f3d4 c5d4 e3h6 d6b4 h6c1 d4d3 e1d1 d3d2 c1c3 b4f4 b2b3 b7b5 g1f1 f4h2 d1d2 d8e8 f2f4 h2f4 d2f2 f4h2 f2f3 h2h1 f1f2 h1b1 c3d2 e8c8 f2g3
EU-ch U20,Groningen,1982.??.??,6,"Ehlvest, Jaan","Nijboer, Friso",1-0,2450,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1c2 c7c5 e2e4 d5c3 b2c3 d8c7 f1b5 b7c6 b5d3 g7g6 h2h4 b8d7 c2e2 f8g7 c1b2 e8g8 h4h5 d7f6 h5h6 g7h8 f3g5 a8d8 h1h4 c7e7 e2e3 f6d7 a1d1 d7b8 h4g4 c6a4 d1d2 b8c6 e4e5 c6a5 e3g3 a4e8 d2e2 a5c6 g4f4 e7c7 e2e3 c6e5 d4e5 h8e5 g5e6 c7d6 c3c4 e5b2 e6d8 d6d8 e3e2 b2d4 d3e4 d8d7 e4d5 g8h8 f4e4 d7a4 e4d4 c5d4 g3e5 f7f6 e5e7 a4a5 e1f1 a5c5 e7g7
EU-ch U20,Groningen,1982.??.??,7,"Ehlvest, Jaan","Condie, Mark L",1-0,2450,2310,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f2f4 a7a6 f1e2 f8e7 a2a4 d8c7 e1g1 e8g8 c1e3 b8c6 d1e1 c6d4 e3d4 e6e5 d4e3 e5f4 e3f4 c8e6 e1g3 g8h8 e4e5 d6e5 f4e5 c7b6 g1h1 f8g8 a1d1 a8e8 b2b3 b6c6 e2f3 c6c8 c3e2 f6d7 e5c3 e7f6 c3f6 d7f6 e2d4 e8e7 f1e1 g8e8 c2c4 e6g4 e1e7 e8e7 f3g4 c8g4 g3g4 f6g4 d4f5 e7e8 f5d6 e8e7 d6f5 e7e8 f5d6 e8e7 h1g1 g7g6 c4c5 h8g8 b3b4 g4e5 b4b5 a6b5 a4b5 e7c7 d1d5 e5g4 d5d4 f7f5 h2h3 g4f6 c5c6 b7c6 b5b6 c7e7 g1f2 f6e4 d4e4 f5e4 b6b7 e7b7 d6b7 h7h5 f2e3 g8h7 e3e4 h7h6 e4f4
EU-ch U20,Groningen,1982.??.??,8,"Cramling, Pia","Ehlvest, Jaan",0-1,2260,2450,B82,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f2f4 a7a6 d1f3 d8c7 c1e3 b7b5 a2a3 c8b7 f1d3 b8d7 g2g4 d7c5 g4g5 f6d7 e1c1 c5d3 d1d3 d7c5 d3d2 c7a5 c1b1 b5b4 a3b4 a5b4 d2d1 a8b8 e3c1 g7g6 h1e1 f8g7 f3e3 e8g8 f4f5 g7e5 h2h4 e6f5 e4f5 g6f5 c3a2 b4c4 e3e2 c4e2 e1e2 f7f6 a2c3 f5f4 g5f6 f8f6 e2f2 h7h6 b1a2 f4f3 d4b3 c5b3 c2b3 g8h7 c3d5 f6f7 c1e3 e5g3 f2f1 f3f2 d1d4 b7d5 d4d5 b8e8 e3d2 e8e1 d2e1 f2e1q f1f7 h7g8 d5f5 g3e5 f7f8 g8h7 f8f7 e5g7 f5f2 h7g8 f7f5 d6d5 f2g2 e1a5 a2b1 a5e1 b1a2 e1e4 f5f2 e4h4 f2c2 h4e4 c2e2 e4f3 e2f2 f3e4 f2e2 e4b4 e2e6 b4a5 a2b1 g8f7 e6g6 a5e1 b1a2 e1a5 a2b1 g7f8 g6g4 a5e1 b1a2 f8e7 g4g7 f7e8 g2c2 d5d4 c2c8 e8d7 c8a8 e1a5 a2b1 a5b6
EU-ch U20,Groningen,1982.??.??,9,"Ehlvest, Jaan","Stohl, Igor",1-0,2450,,D42,e2e4 c7c6 c2c4 d7d5 c4d5 c6d5 e4d5 g8f6 b1c3 f6d5 g1f3 b8c6 d2d4 e7e6 f1d3 f8e7 e1g1 e8g8 f1e1 e7f6 d3e4 d8d6 e4c2 d5c3 b2c3 d6d5 d1d3 g7g6 c1f4 b7b6 f3d2 c8b7 d2e4 f6g7 d3g3 c6e7 e4d6 b7c6 f4g5 e7f5 d6f5 e6f5 c2b3 d5a5 g5e7 f8e8 b3c4 f5f4 g3f4 a5f5 f4f5 g6f5 a2a4 a7a5 e7d6 a8c8 h2h3 e8d8 d6f4 c6e4 a1c1 g7f8 e1e3 f8d6 e3g3 g8h8 f4d6 d8d6 c1e1 d6g6 g3g6 f7g6 e1e3 c8e8 d4d5 f5f4 e3e1 g6g5 d5d6 e4c6
EU-ch U20,Groningen,1982.??.??,10,"Bosboom, Manuel","Ehlvest, Jaan",0-1,,2450,B15,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 g8h6 g1f3 f7f6 f1d3 c8g4 h2h3 g4f3 d1f3 e8g8 e5e6 f6f5 g2g4 d8d6 f3e2 f8f6 c1e3 f6e6 g4f5 h6f5 d3f5 g6f5 e1c1 b8d7 d1g1 e6g6 e2h5 d6e6 e3f2 e6f7 g1e1 e7e6 h5f3 d7f6 c1b1 f6e4 c3e4 f5e4 f3b3 b7b6 f2e3 a8c8 b3a4 c6c5 d4c5 b6c5 h3h4 c8b8 e3c1 f7f6 a4a3 g6g3 c2c3 g3c3 a3a6 c3c1 b1c1 f6b2 c1d1 b2d4 d1e2 b8b2
