Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Yalta op,Yalta,1995.??.??,2,"Kushch, Nikolai","Eljanov, Pavel",1-0,2360,,A30,g1f3 c7c5 c2c4 e7e6 b1c3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 f1e1 d7d6 e2e4 a7a6 d2d4 c5d4 f3d4 d8c7 c1e3 e8g8 a1c1 b8d7 f2f4 a8c8 b2b3 f8d8 f4f5 e6e5 c3d5 f6d5 c4d5 d7c5 d4c6 b7c6 d5c6 a6a5 a2a3 a5a4 b3b4 c5b3 c1c3 b6b5 g3g4 h7h6 d1d5 b3d4 g1h1 e7g5 e3d4 e5d4 c3c2 c7b6 g2f1 g5h4 e1d1 d8e8 d5b5 b6b5 f1b5 e8e4 b5a6 c8c7 a6d3 e4e1 d1e1 h4e1 b4b5 e1c3 c2c1 c3a5 c1c4 a5b6 c4a4 c7c8 a4a6 c8b8
Polanica Zdroj op,Polanica Zdroj,1996.??.??,?,"Eljanov, Pavel","Perdek, Miroslaw",0-1,2155,2325,A31,c2c4 g8f6 b1c3 c7c5 g1f3 b7b6 e2e4 d7d6 d2d4 c5d4 f3d4 c8b7 f2f3 e7e6 c1e3 f8e7 f1e2 e8g8 e1g1 a7a6 d1e1 d8c7 a1c1 b8d7 e1f2 a8c8 f1d1 f8e8 b2b4 c7b8 a2a3 e7d8 d4b3 d8c7 g2g3 d6d5 c4d5 e6d5 e4d5 c7g3 h2g3 e8e3 f2e3 b8g3 g1f1 f6g4 e3g1 g4h2 g1h2 g3h2 b3d4 h7h5 c1c2 d7e5 d1d2 h2f4 f1e1 f4e3 f3f4 e3g3
Polanica Zdroj op,Polanica Zdroj,1996.??.??,1,"Sherbakov, Ruslan","Eljanov, Pavel",1-0,2565,2155,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 b7b6 e1g1 c8b7 d1d3 b8d7 c1g5 d8c7 d3e3 e7e5 d4d5 d7f6 f3d2 f6e8 g5h6 e8d6 h6g7 g8g7 f2f4 a8e8 f4f5 g6f5 e3g5 g7h8 g5f6 h8g8 f6g5 g8h8 g5f6 h8g8 d2c4 d6e4 f6f5 b7d5 c4e3 d5c6 e2d3 c7b7 e3g4 f7f6 b1e1 e4d6 g4f6 g8h8 f5g5 b7g7 g5g7 h8g7 f6e8 f8e8 e1e3 e5e4 d3e2 e8e6 e3g3 e6g6 g3g6 h7g6 f1d1 d6b7 e2a6 b7a5 g1f2 g7f6 d1d6 f6g5 g2g3 b6b5 h2h4 g5h6 a6c8 h6g7 c8d7 e4e3 f2e2
Polanica Zdroj op,Polanica Zdroj,1996.??.??,4,"Eljanov, Pavel","Kislov, Sergey",0-1,2155,2335,A31,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e5 d4f3 b8c6 b1c3 f8b4 c1d2 e8g8 a2a3 b4c3 d2c3 f8e8 e2e3 d7d5 f1e2 c8f5 b2b4 d8c7 c4d5 a8d8 e1g1 f6d5 d1b3 c6a5 b4a5 d5c3 e2c4 f5d3 b3c3 c7c4 c3c4 d3c4 f1c1 c4a6 f3g5 e5e4 c1c7 f7f6 g5h3 g7g5 g2g3 d8d5 g1g2 d5a5 a1d1 a6d3 c7b7 a5a3 d1c1 d3a6 b7d7 a6c8 d7c7 c8f5 c1b1 f5c8 h3g1 a3a2 b1c1 c8e6 c1b1 e8f8 c7e7 a2a6 g1e2 f8f7 e7e8 g8g7 e2d4 e6a2 b1b8 f6f5 b8b5 a6f6 e8e5 g7g6 h2h4 g5g4 d4e2 a2c4 e2f4 g6h6 b5c5 c4b3 f4d5 f6d6 d5e7 b3d1 e7f5 f7f5 e5f5 d1f3 g2h2 d6d1 f5f3 e4f3 c5a5 d1f1 a5a6 h6g7 a6a7 g7f6 a7a2 h7h5 a2b2 f6e5 b2a2 e5d5 e3e4 d5d4 a2a4 d4c3 a4a2 f1e1 a2a4 c3d3 a4a3 d3e2 a3a2 e2f1 a2a5 f1f2 a5h5 f2e3 h5f5 f3f2 e4e5 f2f1q f5f1 e1f1
Yalta op,Yalta,1996.??.??,1,"Tunik, Gennady","Eljanov, Pavel",1-0,2475,2155,D79,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 g1f3 e8g8 e1g1 c7c6 c4d5 c6d5 b1c3 f6e4 d1b3 b8c6 f1d1 e4c3 b2c3 c6a5 b3b4 b7b6 c1g5 f7f6 g5f4 c8b7 h2h4 f8e8 f3d2 a8c8 a1c1 a5c4 d2c4 c8c4 b4a3 a7a6 e2e4 d5e4 g2f1 c4c8 f1a6 b7a6 a3a6 e7e6 c3c4 c8a8 a6b5 f6f5 c4c5 d8d5 a2a4 g7d4 d1d4 d5d4 c5b6 d4a4 b5a4 a8a4 b6b7 a4b4 c1c8 g8f7 c8e8 f7e8 b7b8q b4b8 f4b8 e8d7 g1f1 d7c6 f1e2 c6d5 e2e3 e6e5 b8c7 h7h6 c7d8 d5e6 d8a5 e6f7 a5b4 f7e6 b4f8 h6h5 f8c5 e6f6 c5d6 f6e6 d6b8 e6d5 b8c7 d5e6 e3d2 e6d5 d2c3 d5e6 c3c4 g6g5 h4g5 f5f4 g3f4 h5h4 f4f5 e6f5 c4d5 f5g5 d5e4
Yalta op,Yalta,1996.??.??,2,"Eljanov, Pavel","Perun, Sergey",0-1,2155,,D18,c2c4 c7c6 d2d4 d7d5 b1c3 g8f6 g1f3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 f3h4 f5g4 f2f3 g4h5 g2g3 e8g8 d1b3 a7a5 c3a2 b4e7 c1d2 f6d5 h4g2 d5b6 g2f4 b6c4 b3c4 h5g6 f4g6 h7g6 a1d1 d8b6 d2c3 f8d8 g1g2 d7f6 a2c1 f6d5 f1e1 e6e5 c1d3 e5d4 c3d4 b6c7 d3f4 d5f4 e3f4 e7f6 d4f6 g7f6 f4f5 g6f5 d1d3 g8g7 e1d1 c7e7 c4c2 d8d3 c2d3 a8e8 d1d2 e7e3 d3d7 e8e6 d2f2 b7b6 h2h4 e3c1 d7d3 e6e5 d3c2 e5c5 c2c1 c5c1 f2d2 c1c4 b2b3 c4b4 d2d6 c6c5 d6d3 f5f4 g3f4 b4f4 g2g3 f4d4 d3c3 g7g6 c3e3 g6h5 e3e7 h5g6 e7e3 g6g7 e3c3 g7h6 c3e3 h6g6 e3e8 d4d3 e8g8 g6h7 g8g4 d3b3 g4f4 b3b4 f4f6 h7g7 f6c6 c5c4 g3f2 c4c3 c6c3 b4a4 c3c6 a4b4 h4h5 a5a4 c6c7 b4b5 f2e3 a4a3 c7c1 b5a5 c1a1 a3a2 e3d3 g7h6 d3c2 h6h5 c2b2 h5g5 a1g1 g5f4 b2a1 f7f5
Yalta op,Yalta,1996.??.??,3,"Nemirovski, Serge","Eljanov, Pavel",1/2-1/2,2225,2155,B22,e2e4 c7c5 c2c3 b7b6 d2d4 c8b7 f1d3 g8f6 d4d5 e7e6 c3c4 e6d5 e4d5 d7d6 b1c3 f8e7 g1f3 e8g8 e1g1 b8a6 b2b3 a6c7 c1b2 f8e8 f3g5 h7h6 g5e4 e8f8 e4g3 b7c8 f1e1 c8g4 d1d2 a7a6 d2f4 g4c8 c3e4 c7e8 e1e2 a8a7 a1e1 f6e4 d3e4 e7f6 e4f5 f6b2 e2b2 e8f6 b2e2 f8e8 f5c8 d8c8 g3f5 e8e2 e1e2 c8d8 f4d6 d8d6 f5d6 a7d7 d6e4 f6e4 e2e4 g8f8 g1f1 b6b5 f1e2 b5c4 b3c4 d7b7 e2d3 b7b2 e4e2 b2b7 d3c3 b7b1 e2b2 b1c1 c3b3 f8e7 b2c2 c1b1 b3a4 b1b6 a4a5 b6g6 g2g3 h6h5 c2d2 g6g4 a5a6 g4c4 a6b5 c4c3 b5c6 c3a3 d5d6 e7d8 d2b2 a3a6 c6c5 a6a5 c5c6 a5a8 a2a4 a8c8 c6d5 c8a8 b2b4 g7g5 d5e5 a8a5 e5f6 d8d7 b4b5 a5a4 b5g5 h5h4 f2f4 a4a2 g5h5 h4g3 h2g3 d7d6 f6f7 a2a7 f7f6 a7a8 f6f5 a8g8 f5e4 g8g3 h5e5 g3g8 e4f3 g8g7 e5e1 g7e7 e1a1 d6e6 a1a6 e6f5 a6a5 f5f6 a5a6 f6f5 a6a5 f5f6 f4f5 e7e5 a5e5 f6e5 f3g4 e5f6 g4f4 f6g7 f4e4 g7f6 e4f4 f6f7
Yalta op,Yalta,1996.??.??,4,"Eljanov, Pavel","Stets, Dmitry",1-0,2155,,B38,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 g1f3 e8g8 f1e2 c7c5 e1g1 c5d4 f3d4 b8c6 c1e3 c8d7 d1d2 f6g4 e2g4 d7g4 f2f3 g4d7 f1d1 c6e5 b2b3 d7c6 a1c1 f8e8 c3d5 a8c8 h2h3 e5d7 d4e2 b7b6 e2d4 d7f6 a2a4 c6b7 d4b5 f6d5 c4d5 a7a6 b5a7 c8c5 a7c6 b7c6 d5c6 d8a8 e3c5 b6c5 d2d5 e8c8 f3f4 a8c6 e4e5 g7h6 d5c6 c8c6 c1c4 a6a5 g1f2 g8f8 f2f3 f7f5 e5f6 e7f6 c4e4 f8f7 g2g4 h6g7 f4f5 g7h6 e4e6 h6f8 f3e4 c6b6 d1d3 b6b4 e4d5 g6f5 g4f5 b4f4 d5c6 c5c4 b3c4 f4c4 c6b6 c4c5 e6e1 c5f5 d3b3 f8h6 e1d1 f7e6 b3b5 f5f3 b5h5 f3b3 b6a5 h6e3 h5b5 b3c3 a5b4 c3c1 d1c1 e3c1 a4a5 f6f5 a5a6 c1e3
Yalta op,Yalta,1996.??.??,5,"Timoshenko, Georgy","Eljanov, Pavel",1/2-1/2,2500,2155,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 a2a4 c8e6 f1e2 g8f6 b1c3 a8c8 e1g1 a7a6 b5a3 f8e7 c1g5 e8g8 g5f6 e7f6 c3d5 f6g5 a3c4 c6d4 e2d3 e6d5 e4d5 e5e4 d3e2 d4e2 d1e2 f7f5 b2b3 d8f6 a1d1 f8e8 f2f3 e4f3 e2f3 b7b5 a4b5 a6b5 c4a3 c8c3 f3f5 g5e3 g1h1 f6f5 f1f5 e3c5 a3b5 c3c2 b5c7 e8e2 c7e6 h7h6 f5f8 g8h7 e6c5 c2c5 h2h3 c5c2 d1g1 e2d2 f8f5 c2b2 f5f3 d2d5 f3g3 g7g5 g1e1 h6h5 e1e6 h7g7 g3c3 d5d1 h1h2 d1d2 c3c1 g7f8 e6h6 d2g2 h2h1 g2h2 h1g1 b2g2 g1f1 g2f2 f1g1 h2g2 g1h1
Yalta op,Yalta,1996.??.??,6,"Eljanov, Pavel","Eljanov, Vladimir",1/2-1/2,2155,2325,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 f7f6 d2d3 f8d6
