Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Amsterdam m2,Amsterdam,1919.??.??,1,"Euwe, Max","Kroone, G.",0-1,,,D34,d2d4 d7d5 g1f3 c7c5 c2c4 e7e6 c4d5 e6d5 g2g3 b8c6 f1g2 g8f6 e1g1 f8e7 b1c3 e8g8 d4c5 e7c5 c1g5 d5d4 c3e4 c5e7 g5f6 e7f6 a1c1 c8f5 f3e1 a8c8 e1d3 d8e7 d3c5 b7b6 e4f6 e7f6 c5b3 f8d8 c1c4 d4d3 c4f4 f6b2 e2d3 f5d3 f1e1 d3g6 d1g4 c6e5 g4h4 e5d3 e1d1 d8e8 g2h3 c8c7 f4f3 b2e2 d1d3 g6d3
Amsterdam m1,Amsterdam,1919.??.??,1,"Euwe, Max","Kroone, G.",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d7d6 d2d4 e5d4 c3d4 c5b6 b1c3 g8f6 e1g1 e8g8 c4b3 c8g4 c1e3 f8e8 d1d3 f6e4 c3e4 g4f5 b3f7 g8f7 e4g5 f7f6 d3b3 d8d7 g5h7 f5h7 e3g5 f6g6 b3d3 g6f7 d3h7 c6d4 h7d3 d7g4 d3c4 e8e6 g1h1 a8h8 h2h4 g4f5 f3d4 b6d4 a1e1 c7c5 c4b3 b7b6 a2a4 d6d5 e1e6 f5e6 b3f3 d4f6 g5f6 g7f6 g2g3 e6e4 f3e4 d5e4 f2f3 e4f3 f1f3 h8d8 h1g2 d8d2 f3f2 d2d4 b2b3 c5c4 b3c4 d4c4 f2a2 f7g6 a2a3 f6f5 g2f3 g6h5 a4a5 c4b4 a3d3 b4b5 a5b6 a7b6 d3d6 b5b4 d6f6 b6b5 f6f5 h5g6 f5f4 b4a4 f3g4 a4a6 f4b4 a6b6 h4h5 g6f6 g4f4 b6b7 g3g4 b7b8 g4g5
Amsterdam m2,Amsterdam,1919.??.??,2,"Kroone, G.","Euwe, Max",1/2-1/2,,,C29,e2e4 e7e5 b1c3 g8f6 f2f4 d7d5 f4e5 f6e4 g1f3 f8e7 d2d3 e4c3 b2c3 e8g8 d3d4 f7f6 e5f6 e7f6 f1e2 f6h4 g2g3 h4e7 e1g1 c8h3 f1f2 b8d7 e2f1 h3f1 f2f1 d7f6 d1d3
Amsterdam m1,Amsterdam,1919.??.??,2,"Kroone, G.","Euwe, Max",0-1,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 c1e3 e8g8 d1d3 c6a5 b1d2 a5b3 a2b3 e4d2 d3d2 c7c5 b3b4 d5d4 c3d4 c5b4 e3g5 a6a5 g5e7 d8e7 d4d5 f8d8 d5d6 e7b7 f1c1 e6c4 d2f4 b4b3 f3d2 c4e6 c1c7 b7d5 d2e4 a5a4 e4c3 d5d3 f4e4 d3e4 c3e4 b5b4 c7b7 a4a3 b7b4 a3b2 a1f1 d8c8 f2f4 c8c1 e4d2 g7g6 g1f2 a8a1 d6d7 c1f1
Amsterdam m2,Amsterdam,1919.??.??,3,"Euwe, Max","Kroone, G.",1-0,,,C56,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e1g1 f6e4 f1e1 d7d5 c4d5 d8d5 b1c3 d5a5 f3d4 c6d4 d1d4 f7f5 c1g5 f8c5 d4g7 c5f2 g1h1 a5b4 c3d5
Amsterdam m1,Amsterdam,1919.??.??,3,"Euwe, Max","Kroone, G.",0-1,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 g8f6 f1e2 f8b4 e1g1 e8g8 d1d3 b4c3 b2c3 d7d5 d4c6 b7c6 e4e5 f6e4 c1a3 f8e8 f2f3 d8b6 d3d4 e4c3
Amsterdam m1,Amsterdam,1919.??.??,4,"Kroone, G.","Euwe, Max",1-0,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 b1d2 e8g8 f1e1 e4c5 b3c2 d5d4 d2b3 e6b3 a2b3 d4d3 c2b1 c6a5 a1a5
Amsterdam m1,Amsterdam,1919.??.??,5,"Euwe, Max","Kroone, G.",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 b4c3 d4d5 c3f6 f1e1 c6e7 e1e4 d7d6 c1g5 f6g5 f3g5 e8g8 g5h7 g8h7 e4h4 h7g8 d1h5 f7f5 a1e1 f8e8 e1e6 g8f8 c4e2 c8e6 d5e6 e7g6 h5g6 d8f6 g6f6 g7f6 h4h7 f8g8 h7d7 a8d8 e2c4 g8h8 d7f7 d6d5 e6e7 d5c4 e7d8q e8d8 g1f1 d8d2 f7c7 d2b2 c7c4 b2a2 c4c8 h8g7 c8c7 g7g6 c7b7 a7a5 b7a7 a5a4 g2g3 a4a3 f1g2 a2a1 g2f3 a3a2 h2h4 g6h5 f3f4 h5g6 h4h5 g6h5 f4f5 h5h6 f5f6
Amsterdam m1,Amsterdam,1919.??.??,6,"Kroone, G.","Euwe, Max",1/2-1/2,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 f1e1 e8g8 b1d2 e4c5 d2f1 c5b3 a2b3 b5b4 d1d3 d8c8 f1g3 c8b7 d3c2 f8b8 f3d4 b4c3 d4c6 b7c6 b2c3 e7b4 g3e2 d5d4 c1d2 d4c3 e1c1 c6d5 d2c3 b4c3 c2c3 d5b3 c3c7 b3b2 e2c3 b8c8 c7a5 a8b8 a5a3 h7h6 h2h3 b2d2 c3e4 d2d4 e4d6 c8c1 a1c1 b8b2 c1f1 b2b6 a3a1 d4d2 f1d1 d2e2 d1e1 e2d2 e1d1 d2g5 d1d3
Amsterdam m1,Amsterdam,1919.??.??,7,"Euwe, Max","Kroone, G.",1-0,,,D34,g1f3 d7d5 d2d4 c7c5 c2c4 e7e6 c4d5 e6d5 b1c3 b8c6 g2g3 g8f6 f1g2 c8e6 e1g1 f8e7 d4c5 d5d4 c3a4 e8g8 a2a3 b7b5 c5b6 a7b6 b2b4 b6b5 a4c5 e7c5 b4c5 e6c4 c1b2 a8a4 f3d4 c6d4 b2d4 f8e8 f1e1 f6e4 e2e3 d8c8 d1h5 f7f6 e1c1 c4f7 h5e2 f7c4 e2h5 c4f7 h5d1 f7c4 g2f1 e4c5 f1c4 a4c4 a1b1 c5e4 c1c4 b5c4 d1c2 e4g5 b1c1 c8h3 c2c4 g8h8 c4c6 e8f8 f2f4 g5f7 c6d5 f7h6 c1c7 h6g4 d5g2 h3h5 h2h3 g4h6 g3g4 h5a5 c7c3 f8b8 g2c2 h6g8 g1h2 a5d5 c3c5 d5f3 g4g5 b8b1 c2g2
