Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Pittsburgh op,Pittsburgh,1946.??.??,?,"Forster, J.","Evans, Larry",1-0,,,D40,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 e2e3 c7c5 b1c3 b8c6 a2a3 d5c4 f1c4 a7a6 e1g1 b7b5 c4a2 c8b7 d1e2 f8e7 f1d1 d8c7 d4c5 e7c5 b2b4 c5a7 c1b2 e8g8 h2h3 a8d8 a1c1 a7b8 c3b1 d8d1 c1d1 f6e4 b1d2 e4d2 d1d2 f8d8 a2b1 d8d2 e2d2 c7d6 d2c2 f7f5 c2c3 d6d1 c3e1 d1e1 f3e1 b8e5 b2c1 a6a5 b1a2 g8f7 e1d3 a5b4 d3e5 c6e5 a3b4 e5d3 c1d2 b7d5 a2d5 e6d5 g1f1 f7e6 d2c3 g7g6 f1e2 d3e5 c3e5 e6e5 e2d3 g6g5 g2g4 h7h6 g4f5 e5f5 d3d4 h6h5 f2f3 f5e6 d4c5 e6e5 c5b5 d5d4 e3d4 e5d4 b5a5 d4e3 b4b5 e3f3 b5b6 g5g4 h3g4 h5g4 b6b7 g4g3 b7b8q g3g2 b8b6
Pittsburgh op,Pittsburgh,1946.??.??,?,"Byrne, Robert E","Evans, Larry",1-0,,,C34,e2e4 e7e5 f2f4 e5f4 g1f3 g8f6 e4e5 f6h5 d2d4 d7d5 f1e2 g7g6 e1g1 f8h6 f3e1 h5g7 c1f4 h6f4 f1f4 c8e6 e1d3 b8c6 c2c3 d8e7 d3c5 e8g8 d1f1 b7b6 c5d3 g7f5 b1d2 c6a5 f1f2 a8c8 b2b4 a5b7 d2b3 a7a5 b4a5 b7a5 b3a5 b6a5 d3c5 c8b8 e2d3 e7g5 a1f1 b8b6 c5e6 f7e6 h2h4 g5h6 g2g4 f8b8 g4f5 g6f5 g1h1 b6b2 f2g3 g8h8 f4f2 b8g8 g3g8 h8g8 f2b2 h6h4 b2h2 h4e7 f1g1 g8f8 d3b5 c7c5 h2h6
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Adams, Weaver Warren",0-1,,,D07,d2d4 d7d5 g1f3 b8c6 c2c4 e7e5 f3e5 c6e5 d4e5 d5d4 b1d2 g8e7 g2g3 e7c6 d2f3 c8e6 b2b3 a7a5 f1g2 a5a4 e1g1 a4b3 d1b3 c6a5 b3d3 f8c5 f3d2 d8d7 c1b2 e8g8 d2b3 c5b6 b3a5 a8a5 f1d1 f8d8 f2f4 g7g6 g1h1 d7a4 d1c1 a5c5 d3b3 c5c4 b3a4 c4a4 g2b7 a4a2 a1a2 e6a2 c1a1 a2c4 b7f3 c7c5 a1c1 c4b3 f3e4 c5c4 h1g2 d4d3 e2d3 c4d3 e4d3 d8d3 b2a3 b3d5
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Almgren, S.",0-1,,,E11,d2d4 g8f6 g1f3 e7e6 g2g3 d7d5 c2c4 f8b4 c1d2 b4d2 b1d2 e8g8 f1g2 c7c6 e1g1 b8d7 d1c2 d8e7 e2e4 d5e4 d2e4 e6e5 e4f6 e7f6 d4e5 d7e5 f3e5 f6e5 f1e1 e5c5 a1d1 c8e6 b2b3 a7a5 c2b2 a5a4 e1e5 c5b4 g2e4 a4b3 a2b3 f8d8 d1d8 a8d8 g1g2 e6c4 e5g5 g7g6 b2f6 d8d6 f6e5 c4b3 e5e8 g8g7 e8e5 f7f6 e5e7 b3f7 g5g4 d6d4 e7c7 d4e4 f2f4 h7h5
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Byrne, Robert E",0-1,,,E68,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d6 g2g3 e8g8 f1g2 b8d7 e1g1 e7e5 d4e5 d6e5 e2e4 c7c6 b2b3 d8a5 c1b2 f8e8 d1c2 d7c5 a2a3 c5e6 a1d1 f6d7 c3e2 f7f6 d1d2 g7h6 d2d1 a5b6 h2h4 a7a5 b2c1 h6f8 c1e3 f8c5 e3c5 d7c5 e2c1 e6g7 f1e1 c8g4 d1d2 g4f3 g2f3 g7e6 c2c3 e6d4 f3d1 f6f5 e4f5 g6f5 e1e5 e8e5 c3d4 b6c7 f2f4 e5e1 g1f2 c7e7 c1e2 e1h1 f2g2 e7e4 d4e4 c5e4 d2d3 h1e1 e2g1 e4c5 d3d6 e1e3 d1c2 a8f8 b3b4 a5b4 a3b4 c5e4 d6d3 e3d3 c2d3 f8d8 d3e2 d8d2 g2h3 d2b2 b4b5 b2b3 e2f3 c6b5 c4b5 b3b5 g3g4 e4f2 h3g3 f2g4 f3g4 f5g4 g3g4 b5d5 f4f5 b7b5 g1e2 b5b4
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Gordon, A.",1/2-1/2,,,A00,a2a3 h7h6 h2h3 a7a6 b2b4 g7g5 c1b2 h8h7 g2g4 f8g7 b2g7 h7g7 h1h2 a8a7 f1g2 b7b5 a1a2 c8b7 g2b7 a7b7 g1f3 g8f6 b1c3 b8c6 d1a1 d8a8
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Kramer, Haije",1/2-1/2,,,E18,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 e8g8 e1g1 d7d6 d1d3 b8d7 f1d1 d8c8 b2b3 e6e5 d4e5 d6e5 f3g5 h7h6 g5e4 f8d8 g2h3 b7e4 c3e4 d7c5 h3c8 c5d3 d1d3 a8c8 e4f6 e7f6 c1b2 e5e4 d3d8 c8d8 b2f6 g7f6 g1f1 d8d2 c4c5 b6b5 b3b4 d2d4 a2a3 g8f8 f1e1 f8e7 a1d1 d4c4 e1d2 a7a5 d1c1 c4c1 d2c1 a5a4 c1d2 e7e6 d2c3 e6d5 f2f3 e4f3 e2f3 f6f5 c3d3 d5e5 d3e3 f5f4 g3f4 e5f5 e3d4 c7c6 d4e3 h6h5 e3e2 f5f4 e2f2
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","McCormick, Edgar Thomas",1-0,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 c1e3 e8g8 b1d2 e4c5 b3c2 d8d7 f1e1 a8d8 d2f1 e6g4 f1g3 g7g6 e3h6 f8e8 h2h3 g4f3 d1f3 d7e6 f3e3 c5d7 g1h1 e6e5 e3f3 e5f6 f3d5 d7e5 d5e4 f6f2 h6f4 e7d6 e1f1 f2c5 f4e3 c5c4 c2b3 c4e4 g3e4 g8g7 e4f6 e8e7 f6d5 e7e6 e3g5 d8f8 d5c7 d6c7 b3e6 f7e6 g5h6 g7h6 f1f8 c7d6 f8e8 h6g7 e8e6 d6b8 a1f1 h7h5 f1f6 c6a5 e6a6 a5c4 b2b3 c4e3 f6b6 e5d3 b6b8 d3f2 h1g1
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Sandrin, Albert",1-0,,,C56,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e1g1 f6e4 f1e1 d7d5 c4d5 d8d5 b1c3 d5a5 c3e4 c8e6 e4g5 e8c8 g5e6 f7e6 f3g5 d4d3 c2c3 a5d5 c1d2 e6e5 d1b3 d5d7 a2a4 d7f5 g5f7 f8c5 e1f1 e5e4 f7h8 c6e5 h8f7 e5f7 b3d1 f7e5 b2b4 e5f3 g1h1 c5d6 h2h3 g7g5 d1c1 g5g4 d2e3 g4h3 g2g3 h7h5 e3f4 d3d2 f4d2 d6g3 f2g3 d8d2 c1d2 f5f6 a1d1 f6e7 d2e3 f3e5 e3e4
Pittsburgh op,Pittsburgh,1946.??.??,?,"Evans, Larry","Santasiere, Anthony Edward",0-1,,,C27,e2e4 e7e5 b1c3 g8f6 f1c4 f6e4 d1h5 e4d6 c4b3 b8c6 c3b5 g7g6 h5f3 f7f5 f3d5 d8e7 b5c7 e8d8 c7a8 b7b6 d5f3 c8b7 d2d3 c6d4 f3h3 f5f4 c2c3 d4f5 g1e2 g6g5 h1f1 h7h5 g2g4 e7g7 f2f3 h5g4 h3g4 h8h2 a8b6 a7b6 g4g1 h2e2 e1e2 f5g3 e2e1 g3f1 g1f1 g7h6 b3d1 d6f5 b2b4 f8e7 a2a4 g5g4 f3g4 h6h2 f1e2 h2g3 e2f2 g3d3 g4f5 d3c3 c1d2 c3a1 f2b6 d8c8 f5f6 e7f8 b4b5 a1a3 b6f2 f8c5 f2h2 a3g3 h2g3 f4g3 f6f7 g3g2 d2e3 c5e3 f7f8q c8c7 a4a5 g2g1q e1e2 e3d4 b5b6 d4b6 a5b6 g1b6 f8f5 b6d4 d1c2 b7a6 e2e1 d4e3 e1d1 a6e2
