Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Midwest Masters-B,Chicago,1984.??.??,1,"Finegold, Benjamin","Schiller, Eric",1-0,2305,2205,D52,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 g1f3 d8a5 d1c2 f6e4 g5h4 f8b4 a1c1 d7b6 c4d5 e6d5 f1d3 c8f5 e1g1 b4c3 b2c3 a5a4 c2e2 a4a3 f3g5 h7h6 g5e4 d5e4 d3b1 e8g8 e2h5 f5g6 h5g4 f8e8 c3c4 e8e6 f1d1 a3a5 g4e2 g6h5 f2f3 a8e8 d1e1 a5a3 e2c2 f7f5 f3f4 h5f7 c2b3 a3a6 a2a3 e6g6 b1a2 b6a4 b3c2 a4b6 c2c3 b6a4 c3b4 b7b6 b4d2 e8c8 a2b3 b6b5 d2b4 g6g4 c4b5 c6b5 b3f7 g8f7 b4b3 c8c4 h4g3 h6h5 e1e2 f7g6 e2c2 c4c2 c1c2 b5b4 a3b4 g6h7 c2a2 h5h4 a2a4 a6g6 a4a7 h4g3 h2h3 g6c6 a7a1 g4g6 b4b5 c6c7 b3b2 g6b6 b2e2 g7g6 e2b2 c7d7 a1a5 d7c7 b2a3 b6b7 a3a1 c7c2 a1e1 c2d3 e1g3 h7g7 a5a6 d3d1 g1h2 d1h5 b5b6 h5e2 a6a7 b7a7 b6a7 e2a6 h3h4 a6a7 h4h5
Midwest Masters-B,Chicago,1984.??.??,2,"Zelkind, Eduard","Finegold, Benjamin",1/2-1/2,2410,2305,A14,c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 f8e7 e1g1 e8g8 b2b3 a7a5 c1b2 a5a4 b3a4 c7c6 d1b3 b8d7 b1c3 d7c5 b3c2 d8a5 f3g5 d5d4 c3e4 f6e4 g5e4 e6e5 e4c5 e7c5 c2e4 a5d2 b2c1 d2c3 e4e5 c3c4 c1f4
Midwest Masters-B,Chicago,1984.??.??,3,"Finegold, Benjamin","Odendahl, Steven M",1/2-1/2,2305,2435,D52,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 b8d7 e2e3 c7c6 g1f3 d8a5 f3d2 d5c4 g5f6 d7f6 d2c4 a5c7 a1c1 f8e7 f1e2 e8g8 e1g1 f8d8 d1b3 c8d7 e2f3 d7e8 f1d1 a8c8 a2a4 f6d5 c3e2 d5b4 e2f4 g7g6 c4e5 e7d6 e5g4 g8g7 d4d5
Midwest Masters-B,Chicago,1984.??.??,4,"Finegold, Benjamin","Martinovsky, Eugene",0-1,2305,2375,D80,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1g5 f6e4 g5h4 c7c5 c4d5 e4c3 b2c3 d8d5 e2e3 c5d4 d1d4 d5d4 c3d4 e7e6 a1b1 f8e7 h4g3 b8c6 f1b5 c8d7 g1f3 a7a6 b5d3 c6b4 d3e4 f7f5 e4b7 a8a7 a2a3 a7b7 a3b4 e7b4 f3d2 d7c6 f2f3 e8e7 b1b2 a6a5 e1g1 b4d2 b2d2 h8a8 f1a1 a5a4 d2a2 b7b3 e3e4 b3d3 g3f2 f5e4 f3e4 c6e4 a2a4 a8a4 f2h4 e7d6 a1a4 d3d2 g2g4 d2g2 g1f1 g2g4 h4g3 d6d5 f1f2 e4f5 g3e5 h7h5 a4a5 d5e4 a5a3 h5h4 a3b3 g4g5 e5f6 g5h5 b3b7 f5h3 f2e1 e4f3 b7b2 h3f5 b2f2 f3g4 f2d2 f5e4 f6e5 h5h7 d2f2 g6g5 f2e2 e4d5 e2e3 h7f7 e3c3 f7b7 c3c2 b7b3 e1f2 g4h3 c2d2 g5g4 f2f1 g4g3 h2g3 h4g3 d2d1 b3b2 d1c1 d5f3 c1e1 b2h2 e5g3 h3g3
Midwest Masters-B,Chicago,1984.??.??,5,"Tomas Batet, Joan","Finegold, Benjamin",1/2-1/2,2265,2305,D35,c2c4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e2e3 b8d7 c4d5 e6d5 f1d3 e8g8 d1c2 f8e8 g1f3 d7f8 e1g1 h7h6 g5f6 e7f6 b2b4
Midwest Masters,Chicago,1985.??.??,1,"Finegold, Benjamin","Buzbuchi, Ionut",1/2-1/2,2245,2340,A31,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e5 d4b5 d7d5 c4d5 f8c5 e2e3 e8g8 b5c3 e5e4 f1e2 d8e7 a2a3 f8d8 b2b4 c5d6 c1b2 b8d7 b1d2 d7b6 d1b3 b6d5 c3d5 f6d5 b3d5 d6b4 d5d8 e7d8 a3b4 c8f5 d2b3 d8e7 b2a3 e7g5 e1f1 h7h5 h2h4 g5f6 b3d4 a8d8 a3b2 f5g4 e2g4 h5g4 g2g3 f6d6 b2c3 d6c7 a1c1 d8d4 e3d4 e4e3 f2e3 c7g3 f1e2 g3f3 e2d3 f3f5 d3c4 f5e6 d4d5 b7b5 c4b5 e6d5 b5a6 d5d3 a6a7 d3e3 a7a6 e3e6 a6a5 e6a2 a5b6 a2e6 b6c5 e6e7 c5c4 e7e6 c4d4 f7f5 b4b5 g4g3 c1b1 e6e4 d4c5 e4e7 c5c4 e7e6
Midwest Masters,Chicago,1985.??.??,2,"Bisguier, Arthur Bernard","Finegold, Benjamin",1-0,2440,2245,E43,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 e2e3 c8b7 f1d3 f6e4 e1g1 f7f5 c3e2 e8g8 b2b3 e4g5 f3g5 d8g5 e3e4 g5h4 e4f5 e6f5 c1b2 b4d6 f2f4 h4g4 e2g3 d6f4 d3f5 g4g5 d1d3 h7h5 b2c1
Midwest Masters,Chicago,1985.??.??,3,"Finegold, Benjamin","Allen, Edward J",1/2-1/2,2245,2200,E61,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 c1g5 h7h6 g5h4 d7d6 e2e3 b8d7 f1e2 g6g5 h4g3 f6h5 d1c2 e7e5 d4e5 h5g3 h2g3 g5g4 f3d4 d7e5 d4f5 d8g5 f5g7 g8g7 c3d5 c8f5 c2c3 a8c8 a1d1 f8e8 d1d4 h6h5 h1h4 f7f6 d5f4 f5g6 c3b3 b7b6 b3a4 a7a5 a4b5 g6f7 b5a4
Midwest Masters,Chicago,1985.??.??,4,"Holliman, B.","Finegold, Benjamin",1/2-1/2,2200,2245,A22,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 d1b3 d5b6 f1g2 c8e6 b3c2 b8c6 g1f3 f8e7 e1g1 e8g8 d2d3 f7f5 h2h4 h7h6 a2a3 a7a5 c1e3 b6d5 c3d5 e6d5 e3c5 f5f4 e2e4 f4e3 f2e3 e7c5 c2c5 d8d6 a1c1 a5a4 d3d4 a8a5 c5d6 c7d6 d4e5 d6e5 f3d2 d5g2 g1g2 a5b5 c1c2 f8d8 d2e4 d8d3 f1e1 b5d5
Midwest Masters,Chicago,1985.??.??,5,"Finegold, Benjamin","Frumkin, Edward",1-0,2245,2200,A41,d2d4 g7g6 g1f3 f8g7 c1f4 d7d6 e2e4 c7c5 c2c3 c8g4 d4c5 d6c5 d1d8 e8d8 b1a3 g4f3 g2f3 g7h6 e1c1 d8e8 f4h6 g8h6 d1d5 b7b6 f1b5 e8f8 h1d1 a7a6 d5d8 f8g7 d8h8 g7h8 d1d8 h8g7 b5c6 b8c6 d8a8 c6e5 a8a6 e5f3 a6b6 f3h2 a3c4 h6g4 a2a4 h7h5 a4a5 h5h4 a5a6 h2f3 a6a7 h4h3 a7a8q h3h2 b6b8 h2h1q c1c2 g4f2 b8g8 g7f6 e4e5 f6g5 c4e3 c5c4 g8h8 f3e1 c2b1 h1g1 a8a7 e1d3 b1a2 f2e4 a7e7 f7f6 e5f6 e4c3 b2c3 g1f2 a2a3 f2b2 a3a4 b2b3 a4a5 b3c3 a5a6 d3b4 a6b5
