Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
2nd Behin Cup 2014,Tehran IRI,2014.11.16,2.20,"Saberi,Mahan","Firouzja,Alireza",0-1,1987,2372,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 b8c6 g1e2 g7g6 c2c3 f8g7 d1c2 g8e7 c1g5 e8g8 b1d2 h7h6 g5e7 c6e7 e1c1 b7b6 d2f3 c7c5 c2d2 d8d6 d2f4 d6f4 e2f4 h6h5 c1b1 g7h6 d1e1 h6f4 e1e7 g8g7 h1e1 f4d6 e7e3 a8b8 f3e5 b6b5 a2a3 c5c4 d3c2 a7a5 b1a1 b5b4 c3b4 a5b4 a3b4 d6b4 e1e2 b8a8 a1b1 a8a6 e5f3 c8d7 e3e5 f8a8 b1c1 a6a1 c2b1 d7f5 e5f5 g6f5 e2e5 c4c3 b2c3 b4c3 c1c2 a8c8 e5d5 c3d4 c2d2 d4c3 d2c2 c3f6
2nd Behin Cup 2014,Tehran IRI,2014.11.17,3.16,"Firouzja,Alireza","Mohammadpour,Afshin",1-0,2372,2034,B39,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3 g8f6 b1c3 f6g4 d1g4 c6d4 g4d1 d4e6 d1d2 d8a5 a1b1 g7c3 b2c3 b7b6 f1e2 c8a6 e1g1 a8c8 f2f4 f7f6 b1b4 e6c5 d2c2 a6b7 e2f3 b7c6 e3d4 c5e6 c2d2 h8g8 d4f2 g6g5 f4f5 g5g4 f3e2 e6g5 d2f4 h7h5 c4c5 b6c5 b4b8 c8b8 f4b8 e8f7 b8b3 f7g7 e4e5 g5e4 f2e3 a5c3 e3h6 g7h6 b3g8 c3e3 g1h1 e3e2 g8g6
2nd Behin Cup 2014,Tehran IRI,2014.11.18,4.2,"Ghaem Maghami,E","Firouzja,Alireza",1-0,2559,2372,E61,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6 e2e3 c7c6 g1e2 e7e5 h2h3 d8e7 b2b3 h7h5 e1g1 e5e4 e2f4 f8e8 f2f3 e4f3 d1f3 f6h7 f3f2 b8d7 e3e4 e7f6 c1e3 d7f8 a1d1 f8e6 e4e5 f6d8 e5d6 h7g5 f4e2 f7f5 d4d5 c6d5 c3d5 g5f7 d5e7 e8e7 d6e7 d8e7 e2f4
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,2.18,"Firouzja,Alireza","Lodhi,M",1-0,2332,2328,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d3 b7b5 a4b3 d7d6 c2c3 e8g8 f1e1 c6a5 b3c2 c7c5 b1d2 a5c6 h2h3 a6a5 a2a4 b5b4 d2c4 c8e6 f3g5 e6c4 d3c4 f6d7 g5f3 d8c7 d1e2 c6d8 f3h2 d8e6 g2g3 b4c3 b2c3 e7g5 c1a3 a8b8 h3h4 g5e7 h2g4 b8b7 g4e3 f8b8 e3d5 c7d8 a3c1 d7b6 c1e3 b6d5 c4d5 e6f8 c2d3 b7b2 e2f3 d8c8 d3b5 c8h3 e3c1 b2b3 e1e3 e7d8 f3e2 f8g6 e2c4 b3b5 a4b5 h3g4 c4e2 g4e2 e3e2 b8b5 e2b2 b5b2 c1b2 g6f8 c3c4 f8d7 b2c3 g8f8 g1f1 f8e8 f1e2 d7b6 e2d3 a5a4 c3a5 b6d5 c4d5 d8a5 a1a4 a5e1 a4a2 h7h5 d3c4 g7g6 c4b5 e8e7 b5c6 c5c4 a2e2 e1b4 c6b5 b4c5 b5c4 f7f5 f2f3 e7f6 c4b5 f5f4 g3f4 e5f4 e4e5 f6e7 b5c6
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,3.6,"Mchedlishvili,M","Firouzja,Alireza",1-0,2625,2332,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 f8e8 c1g5 h7h6 g5h4 a7a6 b5a4 b7b5 a4b3 c5e7 a2a4 a8b8 a4b5 a6b5 b1d2 d7d6 h4g3 c8g4 h2h3 g4h5 g3h2 d8d7 f1e1 b8a8 d1e2 b5b4 g2g4 h5g6 f3h4 g6h7 h4f5 e7f8 d2f3 b4c3 b2c3 g7g6 f5e3 g6g5 h2g3 e8b8 f3d2 c6d8 e3d5 f6d5 e4d5 a8a1 e1a1 f7f5 f2f3 d8f7 a1a7 f8g7 g1h2 e5e4 d3e4 f5f4 g3f2 g7c3 b3a4 d7d8 d2c4 f7e5 c4e5 c3e5 e2c4 b8c8 a4b5 h7g6 b5a6 c8a8 a7c7 g6e8 a6b7 a8a4 c4c2 a4a2 c2a2 d8c7 b7c6 g8f7 a2a8 e8d7 h2g2 d7c8 h3h4 g5h4 f2h4 e5d4 h4e1 h6h5 e1a5 c7e7 a8c8 e7h4 c8d7 f7g6 d7d6 d4f6 d6f4 g6g7 a5d2 g7g8 g4g5
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,4.13,"Firouzja,Alireza","Bajarani,U",0-1,2332,2494,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5e3 f6e4 d1g4 e8f8 f1d3 e4c3 e3d2 c3a2 c2c3 a2c3 b2c3 b4e7 g1e2 c7c5 e1g1 b8c6 e2f4 c5d4 c3d4 c6d4 f4h5 g7g6 g4d4 g6h5 f2f4 b7b6 g1h1 f7f5 e5f6 e7f6 d4f2 d8e7 a1e1 c8d7 f2f3 h5h4 f4f5 e6e5 f3d5 a8d8 d5e4 a7a5 d3c4 e7d6 c4d5 d7e8 e1d1 e8h5 d2e3 h5d1 f1d1 h8h7 h2h3 h7d7 e3h6 f8e7 h6e3 d6b4 e4f3 e5e4 f3h5 d7d5 h5h7 e7d6 e3f4 d6c6 d1c1 c6b5 h7h5 b4b3 h5e2 d5d3 h1h2 b3d5 c1b1 b5a6 f4c7 f6e5
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,5.23,"Ahadzada,Hajiali","Firouzja,Alireza",0-1,,2332,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c4 g8f6 b1c3 f8b4 c1g5 e8g8 g1e2 f8e8 c4c5 h7h6 g5h4 b8c6 a2a3 b4c3 b2c3 g7g5 h4g3 f6e4 d1c1 c6a5 a1b1 c8f5 b1b4 b7b6 c5b6 a7b6 f2f3 e4g3 h2g3 c7c5 d4c5 b6c5 b4b5 f5d3 b5b2 a5c4 b2a2 a8a6 e1f2 d8f6 g3g4 f6e5 e2g3 d3f1 h1f1 a6e6 g3f5 c4d6 f5d6 e5d6 a3a4 d5d4 c3d4 c5d4 c1d1 d4d3 f2g1 e6e2 a2e2 e8e2 f1e1 d6b6 g1h1 b6f2
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,6.12,"Firouzja,Alireza","Moskalenko,V1",0-1,2332,2528,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 g8f6 e4e5 f6d7 a2a3 b4e7 f2f4 c7c5 g2g3 b7b6 f1g2 b8c6 c1e3 c8a6 d1d2 a8c8 e1f2 e8g8 h1e1 c6a5 b2b3 a5c6 f2g1 d8c7 g1h1 c5d4 e2d4 c6d4 e3d4 e7c5 e1e3 c5d4 d2d4 c7c5 a1d1 c5d4 d1d4 c8c7 f4f5 f8c8 f5e6 f7e6 g2h3 d7f8 c3d5 e6d5 h3c8 a6c8 h1g1 c8e6 c2c3 g8f7 g1f2 f7e7 f2e2 f8d7 b3b4 c7c8 d4f4 b6b5 h2h4 d7b6 e2d3 d5d4 f4d4 b6d5 e3e1 c8c3 d3d2 c3g3 e1c1 g3a3 c1c5 a3a2 d2c1 a7a6 c5c6 a2a4 c6d6 d5b4 c1d2 a4a2 d2e3 b4d5 e3f3 a2a3 f3f2 b5b4 d6c6 b4b3 d4d2 a6a5 c6a6 a3a2 f2e2 d5f4 e2e3 f4g2 e3e2 e6c4
3rd Al Ain Chess Rapid,Al-Ain UAE,2014.12.18,7.20,"Ahadzade,Kanan","Firouzja,Alireza",0-1,1909,2332,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 c7c6 g1f3 g8f6 f1d3 e8g8 e1g1 c8g4 h2h3 g4f3 d1f3 b8a6 c1e3 a6b4 a2a3 b4d3 c2d3 f6d7 c3e2 d8c7 a1c1 a8c8 f4f5 c7d8 g2g4 c6c5 g1h1 c5d4 e3d4 g7d4 e2d4 c8c1 f1c1 d8b6 d4e2 d7e5 f3g3 b6b2 g3e3 b2a3 c1c7 a3d3 e3d3 e5d3 c7b7 a7a5 b7e7 f8a8 e2c3 a5a4 f5f6 a4a3 c3a2 h7h5 h1g2 h5g4 h3g4 a8b8 g2f3 d3e5 f3f4 b8b2 a2c3 b2f2 f4g5 f2g2 e7a7 g2g4 g5h6 g4h4 h6g5 e5f3
3rd Al Ain Chess Classic,Al-Ain UAE,2014.12.19,1.60,"Firouzja,Alireza","Al Shamisi,Hareb Nasser",1-0,2332,1389,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 e1g1 d7d6 c2c3 e8g8 c4b3 c6a5 b3c2 c7c5 d3d4 a5c6 d4d5 c6b8 h2h3 b8d7 b1d2 f8e8 f1e1 d7f8 d2f1 f8g6 f1g3 g6f4 f3h2 b7b5 d1f3 f6d7 g3f5 e7f6 f5d6 e8f8 h2g4 f4g6 d6b5 d8b6 b5a3 c8a6 c2d3 a6b7 a3c4 b6d8 g4f6 d7f6 c1g5 h7h6 g5f6 d8f6 f3f6 g7f6 c4d6 a8b8 d6b7 b8b7 a1b1 f8b8 b2b3 g6f4 d3c4 a7a5 b1d1 g8f8 g2g3 f4h3 g1g2 h3g5 f2f4 g5h7 e1h1 f8g7 h1h5 e5f4 g3f4 a5a4 g2f3
