Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
USA-chJ,?,1955.??.??,?,"Thomason, J.","Fischer, Robert James",0-1,,,E91,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1d3 c8g4 e1g1 b8c6 c1e3 f6d7 d3e2 g4f3 e2f3 e7e5 d4d5 c6e7 f3e2 f7f5 f2f4 h7h6 e2d3 g8h7 d1e2 f5e4 c3e4 e7f5 e3d2 e5f4 d2f4 d7e5 d3c2 f5d4 e2d2 e5c4 d2f2 f8f4 f2f4 d4e2 g1h1 e2f4
USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Warner, K.",0-1,,,B72,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 a7a6 e1c1 d8a5 c1b1 f8d8 g2g4 c6d4 e3d4 c8e6 d2e3 f6d7 f3f4 g7d4 e3d4 d7f6 f4f5 e6d7 h2h4 d7b5 e2f3 a8c8 c3b5 a6b5 h4h5 c8c4 d4e3 d8a8 a2a3 a5a4 c2c3 f6e4 f3e4 c4e4 e3h6 e4e2 d1d2 e2d2 h6d2 a4e4
USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Pupols, Viktors",0-1,,,C40,e2e4 e7e5 g1f3 f7f5 f3e5 d8f6 d2d4 d7d6 e5c4 f5e4 b1c3 f6g6 c4e3 g8f6 f1c4 c7c6 d4d5 f8e7 a2a4 b8d7 a4a5 d7e5 c4e2 e8g8 e1g1 c8d7 g1h1 g8h8 e3c4 f6g4 d1e1 f8f7 h2h3 g4f6 c4e5 d6e5 e2c4 f7f8 c1e3 f6h5 h1h2 e7d6 c4b3 h5f4 e3f4 e5f4 e1e4 f4f3 g2g3 d7f5 e4h4 a8e8 a1e1 d6e5 h4b4 g6h6 h3h4 g7g5 f1h1 g5h4 h2g1 h4h3 d5c6 b7c6 b4c5 h6g7 g1h2 g7f6 c5a7 e5d4 a7c7 d4f2 e1e8 f8e8 h1f1 f2d4 f1f3 d4c3 b2c3 e8e2 h2h1 f5e4 c7c8 h8g7 c8g4 f6g6 g4d7 g7h6
USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Ames, D.",1/2-1/2,,,C55,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1c4 f6e4 c4f7 e8f7 c3e4 d7d5 e4g5 f7g8 d2d4 h7h6 g5h3 c8g4 d4e5 c6e5 h3f4 c7c6 h2h3 e5f3 g2f3 g4f5 c1e3 f8b4 c2c3 b4a5 h1g1 d8e8 f4d5 e8f7 d5f4 a8e8 d1b3 a5c7 b3f7 g8f7 f4h5 g7g6 h5g3 f5h3 e1c1 e8d8 d1d8 c7d8 g1h1 h3g2 h1h6 h8h6 e3h6 g2f3 h6e3
USA-chJ,?,1955.??.??,?,"Whisler, W.","Fischer, Robert James",1/2-1/2,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 b8d7 d1d2 e7e5 d4d5 a7a5 h2h4 d7c5 g1e2 c8d7 e2g3 h7h5 f1e2 d8c8 g5h6 g8h7 h6g7 h7g7 h1f1 c8d8 e1c1 f6e8 f1h1 f7f5 e4f5 d7f5 g3f5 f8f5 g2g4 f5f4 g4h5 g6h5 d1g1 g7h8 d2c2 e8g7 c2g6 d8f6 g6f6 f4f6
Havana sim,Havana,1956.??.??,?,"Fischer, Robert James","Casado, J.",1/2-1/2,,,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 c6d4 d1d4 d7d6 c2c4 e7e5 d4d3 g8f6 b1c3 c8e6 c1g5 f8e7 f1e2 a7a6 b2b3 e8g8 e1g1 f8e8 a1d1 d8a5 d1d2 a8c8 g5f6 e7f6 f1d1 e8d8 c3d5 e6d5 d3d5 a5d5 d2d5 f6e7 f2f3 g7g6 c4c5 g8g7 g1f2 c8c6 g2g3 f7f6 f3f4 g7f7 f2e1 b7b5 b3b4 f7e8 f4e5 d6c5 e5f6 e7f6 b4c5 f6e7 d5d8 e7d8 d1d6 c6d6 c5d6 d8a5 e1d1 a5b4 e4e5 b4c3 e5e6 c3e5 d6d7 e8e7 e2g4 e5c7 d1c2 b5b4 c2d3 e7f6 d3c4 a6a5 c4c5 h7h5 g4h3 g6g5 c5c6 c7d8 h3g2 a5a4 g2d5 d8a5 c6b7 a4a3 b7c8 f6e7 d5c4 a5d8
CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Fox, Maurice",0-1,,,A05,g1f3 g8f6 g2g3 d7d6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 e2e4 e7e5 b1d2 c7c6 c2c3 d8c7 f3h4 a7a5 f2f4 b8d7 f4f5 d7c5 d2b3 c5b3 a2b3 f6d7 g3g4 f8e8 d1f3 d7c5 f5f6 g7f8 h4f5 d6d5 f3g3 d5e4 d3e4 g8h8 g3h4 c7d8 f5g7 f8g7 f6g7 h8g8 h4f2 d8e7 c1g5 c5d3 f2d2 e7d7 a1d1 d7g4 g5h6 d3f4 h6f4 e5f4 f1f4 g4h5 d1f1 c8e6 d2f2 e8e7 c3c4 h5e5 f4f6 g8g7 h2h4 e6f5 f6f5 g6f5 e4f5 f7f6 g1h1 e5e3 f2c2 a8d8 f1f3 e3e1 h1h2 d8d2 c2c3 e1h4 f3h3 d2g2 h2g2 e7e2 g2g1 h4e1 c3e1 e2e1 g1f2 e1b1 f2e3 b1b2 e3d4 b7b6 d4c3 b2f2 h3h5 f2f3 c3b2 f3g3 h5h2 g3g5 h2f2 g7f7 b2c3 f7e7 f2e2 e7d7 e2d2 d7c7 d2f2 c7d6 c3d4 g5g4 d4d3 d6e5 f2h2 g4g3 d3c2 g3g7 h2h6 e5f5
CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Matthai, H.",1/2-1/2,,,B77,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 g8f6 f2f3 b8c6 d1d2 e8g8 f1c4 c8d7 h2h4 a8c8 c4b3 d8a5 e1c1 f6h5 g2g4 c6d4 e3d4 g7d4 d2d4 h5f4 c1b1 f4e6 d4d2 f8e8 f3f4 e6c5 h4h5 c5b3 a2b3 d7g4 d1g1 f7f5 h5g6 h7g6 b3b4 a5b4 g1g4 f5g4 f4f5 c8c3 f5g6 c3h3 d2b4 h3h1 b1a2 g8g7 e4e5 d6e5 b4b7 h1h8 b7e4 g7f6 e4g4 e8g8 b2b4 g8g6 g4f3 f6g7 f3e3 g6e6 e3a7 h8d8 a7g1 g7f7 b4b5 d8d6 c2c4 e5e4 c4c5 d6d2 a2b3 e4e3 b3c3 d2f2 c5c6 f2f5 g1b1 f7f6 c3d3 e3e2 c6c7 f5c5 b5b6 e2e1q b1e1 e6e1 b6b7 c5c7 b7b8q c7d7 d3c2 e1e2 c2c3 e2e3 c3c2 d7d6 b8h8 f6g5 h8g8 g5f4 g8g2 e3e5 g2h2 f4f5 h2h5 f5e6 h5g4 e5f5 g4e4 f5e5 e4g4 e6d5 g4f3 e5e4 c2d3 d5e5 d3c3 d6d4 f3h5 e5d6 h5g6 d6c7 g6g7 d4d6 g7h7 e4e5 h7g7 e5e3 c3c4 e3e4 c4c3 c7d7 g7f7 e4e5 c3c4 e5a5 c4b4 d6d5 b4c4 a5c5 c4b3 d5e5 f7g6 e5f5 g6g7 c5e5 b3c4 f5g5 g7h7 e5f5 c4d4 f5a5 d4e3 a5a3 e3f4 g5a5 h7f7 a5c5 f4e4 c5g5 e4f4 g5a5 f4e4 a5a4 e4d5 a4a5 d5e4 a3h3 e4f4 d7d6 f7g6 e7e6 g6e8 a5a4 f4g5 h3g3 g5h5 a4a5 h5h4 g3a3 e8d8 d6e5 d8c7 e5e4 c7c4 e4e5 c4c7 e5f6 c7f4 a5f5 f4d4 f6g6 d4e4 a3a6 e4c4 a6d6 c4c8 e6e5 c8g8 g6f6 g8f8 f6e6 f8e8 e6d5 e8b5
CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Sharp, C.",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 d2d4 d7d6 c2c3 e8g8 h2h3 a8b8 b1d2 c8d7 f1e1 d8e8 d2f1 e7d8 f1g3 c6a5 b3c2 c7c5 d4e5 d6e5 d1d6 a5c6 d6c5 d8b6 c5a3 e8c8 c1e3 f8e8 e3b6 b8b6 a3c5 b6b7 a1d1 b7c7 c5d6 e8d8 d6a3 a6a5 d1d2 b5b4 c3b4 c6b4 c2b3 c7c5 e1d1 c8c7 f3g5 b4c2 d2c2 c5c2 a3e7 d7e8 b3f7 e8f7 d1d8
CAN-op,Montreal,1956.??.??,?,"Anderson, Frank Ross","Fischer, Robert James",1/2-1/2,,,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 d8c7 f1d3 b7b5 a2a3 b8d7 e1g1 c8b7 g1h1 g7g6 d1e1 f8g7 e1h4 e8g8 f4e5 d6e5 c1h6 f6h5 h6g7 g8g7 f3g5 d7f6 g5h3 a8e8 a1e1 c7e7
