Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
New York op,New York,1985.??.??,1,"Fishbein, Alexander","Byrne, Robert E",1-0,,2510,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 a2a4 b8c6 f2f4 e5f4 c1f4 c8e6 g1h1 d6d5 e4d5 f6d5 c3d5 d8d5 d1d5 e6d5 a1d1 c6b4 b3d4 f8e8 c2c3 b4c6 d4f5 d5b3 d1d7 e7g5 f4g5 e8e2 d7b7 b3a4 f5d6 f7f6 g5h4 c6e5 d6f5 e2g2 f5e7 g8f8 h1g2 a8e8 b7b4 a4b5 e7f5 b5f1 g2f1 h7h5 h4g3 e5d3 b4b7 g7g5 c3c4 h5h4 g3d6 f8g8 b7e7 e8e7 f5e7 g8f7 d6a3 f7e6 e7c6 g5g4 c6b4 d3e5 c4c5 a6a5 b4c2 e6d5 f1e2 d5e4 b2b4 a5b4 c2b4 e5g6 c5c6 g4g3 h2g3 h4g3 b4d3 g3g2 e2f2 e4d3 c6c7
New York op,New York,1985.??.??,2,"Polgar, Zsuzsa","Fishbein, Alexander",0-1,2430,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 g1e2 e7e5 c1g5 c7c6 d1d2 b8d7 d4d5 c6d5 c4d5 d7c5 e2g3 d8b6 f1e2 c8d7 g5e3 f6e8 e1g1 a7a5 g1h1 a5a4 a1b1 b6a5 f1c1 b7b5 b2b4 a4b3 a2b3 b5b4 c3d1 a8c8 c1c2 f7f5 c2a2 a5b6 e4f5 g6f5 f3f4 e8f6 f4e5 d6e5 a2a6 b6b8 e3c5 c8c5 e2c4 f5f4 g3f1 e5e4 d2f2 e4e3 d1e3 f4e3 f2e3 f6g4 e3g3 b8g3 f1g3 g4f2 h1g1 g7d4 c4e2 d4e3
New York op,New York,1985.??.??,4,"Dlugy, Maxim","Fishbein, Alexander",1-0,2485,,E86,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 c7c6 d1d2 b8d7 d4d5 c6d5 c3d5 f6d5 d2d5 d8c7 e2c3 d7b6 d5d2 c8e6 b2b3 a8d8 a1c1 f7f5 f1d3 c7d7 e1g1 f5f4 e3f2 g6g5 d3e2 h7h5 f1d1 d7e7 c3d5 b6d5 c4d5 e6c8 f2a7 g5g4 a7b6 d8e8 c1c7 e7h4 d1c1 g7f6 e2b5 e8d8 c7c2 g4f3 g2f3 c8h3 b6d8 f6d8 d2f2 h4f2 g1f2 d8b6 f2e1 b6e3 b5f1 h3d7 c2g2 g8h8 c1c7 f8d8 c7b7 h5h4 g2g6 d7c8 g6h6 h8g8 b7h7
New York op,New York,1985.??.??,6,"Cramling, Pia","Fishbein, Alexander",1-0,2400,,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 e4c5 c2c3 f8e7 b3c2 e6g4 f1e1 e8g8 d2b3 c5e6 d1d3 g7g6 c1h6 f8e8 f3d4 e6d4 b3d4 d8d7 d3g3 c6d4 c3d4 a8c8 a2a4 c7c5 a4b5 a6b5 a1a6 g4e6 f2f4 c5d4 c2d3 e7b4 e1f1 e6f5 a6f6 f5d3 g3d3 b4e7 e5e6 d7e6 f6e6
New York op,New York,1986.??.??,?,"Fishbein, Alexander","Shamkovich, Leonid",0-1,2350,2435,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 a2a4 e7e6 f1e2 d8c7 e1g1 b7b6 f2f4 b8d7 e2f3 c8b7 g1h1 a8c8 d4b3 f8e7 c1e3 e8g8 f1f2 c7b8 f2d2 b8a8 d2d4 f8d8 d1e2 d7c5 e3f2 d6d5 e4d5 c5b3 c2b3 e7c5 d4d2 e6d5 f2d4 f6e4 f3e4 d5e4 d4c5 b6c5 a1d1 d8d2 e2d2 e4e3 d2e3 b7g2 h1g1 h7h6 d1e1 g2c6 e3c5 c6a4 c5b4 a8a7 g1f1 a4d7 b4e4 d7h3 f1e2 a7b8 e2d2 b8b3 e4c2 b3b6 d2c1 g7g6 c2d2 h3f5 e1e5 b6b3 d2e2 b3a4 c1d2 a4a1
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Burnett, Ronald",1-0,2350,2200,B83,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 f2f4 b8c6 g1h1 e6e5 d4b3 a7a5 a2a4 c8d7 e2f3 e5f4 c1f4 c6e5 b3d4 d8b6 d4b5 d7c6 d1e2 b6c5 a1d1 c5b4 b2b3 a8c8 f4e3 c6b5 c3b5 e5c6 e3f2 f6d7 d1d5 d7f6 f2e1 f6d5 e4d5 b4c5 e1f2 c5b4 d5c6 b7c6 b5a7 c8e8 f3c6
USA-chJ,?,1986.??.??,?,"Finegold, Benjamin","Fishbein, Alexander",1-0,2280,2350,E61,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d6 c1f4 e8g8 e2e3 b8d7 f1e2 c7c6 e1g1 d8a5 a2a3 e7e5 b2b4 a5c7 f4g3 f6h5 g3h4 f7f5 d1b3 g8h8 c4c5 d6c5 b4c5 e5d4 e3d4 d7f6 f3e5 f6g4 e2g4 f5g4 a1e1 h5f4 h4g3 c8e6 e5g6 h7g6 e1e6 c7f7 g3f4 f7f4 e6e4 f4f5 h2h3 f5f7 b3f7 f8f7 e4g4 a8d8 f1d1 f7d7 c3e2 h8h7 g1f1 b7b6 c5b6 a7b6 e2f4 d7d4 d1d4 d8d4 g4h4 g7h6 f4g6 d4d1 f1e2 d1d2 e2e1 d2a2 g6e5 a2a1 e1e2 a1a2 e2d1 h7g7 h4g4 g7f6 e5d7 f6f5 d7b6 a2a3 b6c4 a3a2 d1e1 h6f8 g2g3 f8h6 e1f1 a2c2 c4d6 f5f6 g4c4 c2c4 d6c4 f6f5 f2f3 h6g7 f1e2 g7d4 e2d3 d4f2 c4d6 f5e5 d6e4 f2e1 d3c4
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Gurevich, Ilya",1/2-1/2,2350,2295,C76,e2e4 e7e5 g1f3 b8c6 f1b5 g7g6 c2c3 a7a6 b5a4 d7d6 e1g1 f8g7 d2d4 c8d7 c1e3 g8f6 b1d2 e8g8 h2h3 e5d4 c3d4 f8e8 d4d5 c6e5 f3e5 e8e5 a4c2 e5e7 e3g5 h7h6 g5h4 c7c6 d5c6 d7c6 f1e1 g6g5 h4g3 d6d5 e4e5 f6d7 d2f3 d8e8 d1d3 d7f8 f3d4 c6d7 d4f5 d7f5 d3f5 e8d7 f5f3 a8e8 c2f5 d7b5 f3c3 d5d4 c3d4 g7e5 g3e5 e7e5 e1e5 b5e5 d4e5 e8e5 f5c8 e5e7 a1c1 f8e6 c1c4 g8f8 c4b4 e6c5 b4b6 e7c7 c8f5 f8g7 g1f1 c5a4 b6b4 b7b5 f1e2 c7c1 a2a3
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Lief, Adam",1/2-1/2,2350,2250,B06,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 b1c3 b8d7 c1e3 e7e5 f1c4 g8f6 h2h3 e5d4 f3d4 e8g8 e1g1 f8e8 d4f3 d7f8 f1e1 c8e6 c4e6 f8e6 f3g5 h7h6 g5e6 e8e6 d1d3 d8e8 c3d5 e8d7 e3d4 a8e8 d4f6 g7f6 d5f6 e6f6 d3d4 f6e6 e1e3 a7a6 a1e1 d7e7 d4b4 b7b6 b4c4 a6a5 e3c3 e8c8 f2f3 e6e5 e1d1 g8h7 d1d5 h6h5 c4c6 h5h4 d5e5 d6e5 c6b7 e7g5 f3f4 g5d8 c3d3 d8f8 f4e5 f8c5 g1h1 c5c2 b7c8 c2d3 c8c7 d3f1 h1h2 f1f4 h2h1 f4f1 h1h2 f1f4 h2h1
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Litvinchuk, John",1/2-1/2,2350,2285,B58,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 e7e5 d4f3 h7h6 e1g1 f8e7 f1e1 e8g8 h2h3 c8e6 e2f1 d8a5 c1d2 a5b6 b2b3 c6d4 c3a4 b6c6 f3d4 e5d4 f1d3 d6d5 e4e5 f6e4 d2f4 b7b5 a4b2 e7b4 e1f1 b4c3 a1b1 f7f6 d1e2 f6e5 f4e5 e4d2 e2h5 c6e8 h5e8 f8e8 d3b5 e8e7 b2a4 d2b1 f1b1 e6f5 a4c3 e7e5 f2f4 e5e6 c3d5 f5c2 b1f1 e6d6 b5c4 g8h8 f1f2 c2e4 d5c7 a8d8 f2d2 e4f5 g1f2 d6d7 c7a6 d7e7 a6b4 d8d6 b4d5 e7d7 d5b4 a7a5 b4d3 f5d3 d2d3 d7e7 g2g3 h8h7 d3d2 h7g6 d2d3 g6f6 d3d2 e7e3 d2d4 d6d4 f2e3 d4d1 e3f3 d1c1 a2a4 c1c3 f3g4 c3e3 c4d5 f6e7 d5c4 e7d6 g4h4
